Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711638660000,94.98,95.16,94.98,95.14,973.845,1711638719999,92606.16451,320,725.209,1711644060000,95.26
1711638720000,95.14,95.23,95.12,95.21,717.521,1711638779999,68298.55321,340,409.935,1711644060000,95.26
1711638780000,95.22,95.30,95.21,95.25,774.159,1711638839999,73748.11055,323,407.709,1711644060000,95.26
1711638840000,95.25,95.26,95.13,95.19,1291.340,1711638899999,122950.30102,338,719.640,1711644060000,95.26
1711638900000,95.19,95.19,94.90,94.95,2627.799,1711638959999,249601.04599,552,1046.960,1711644060000,95.26
1711638960000,94.94,94.96,94.84,94.86,3523.352,1711639019999,334353.81027,585,2271.522,1711644060000,95.26
1711639020000,94.88,94.90,94.74,94.82,2538.936,1711639079999,240693.88775,525,1407.442,1711644060000,95.26
1711639080000,94.82,94.89,94.77,94.86,1574.360,1711639139999,149326.02211,319,926.875,1711644060000,95.26
1711639140000,94.86,94.96,94.85,94.93,1268.230,1711639199999,120377.85914,342,676.498,1711644060000,95.26
1711639200000,94.92,95.01,94.91,95.01,1563.267,1711639259999,148447.92994,287,954.893,1711644060000,95.26
1711639260000,95.02,95.10,95.00,95.00,1888.195,1711639319999,179454.40657,375,708.599,1711644060000,95.26
1711639320000,95.00,95.10,94.96,95.08,877.473,1711639379999,83390.30033,260,447.579,1711644060000,95.26
1711639380000,95.09,95.09,94.98,95.03,1285.699,1711639439999,122172.08566,246,560.144,1711644060000,95.26
1711639440000,95.03,95.05,94.97,95.03,715.289,1711639499999,67966.82138,255,433.497,1711644060000,95.26
1711639500000,95.03,95.06,94.87,94.89,806.639,1711639559999,76603.56675,288,390.714,1711644060000,95.26
1711639560000,94.90,94.96,94.83,94.96,1452.453,1711639619999,137816.28341,355,772.845,1711644060000,95.26
1711639620000,94.96,95.05,94.77,94.80,2245.493,1711639679999,213102.61726,548,912.397,1711644060000,95.26
1711639680000,94.79,94.83,94.71,94.74,2634.513,1711639739999,249649.35974,554,1170.361,1711644060000,95.26
1711639740000,94.75,94.85,94.75,94.75,1259.997,1711639799999,119449.82316,307,321.444,1711644060000,95.26
1711639800000,94.76,95.03,94.76,95.03,3163.108,1711639859999,300087.35059,863,1877.699,1711644060000,95.26
1711639860000,95.02,95.02,94.80,94.84,2487.754,1711639919999,236015.51632,414,1337.732,1711644060000,95.26
1711639920000,94.84,94.90,94.80,94.83,1554.258,1711639979999,147425.24088,363,1006.001,1711644060000,95.26
1711639980000,94.84,94.89,94.78,94.85,1851.936,1711640039999,175607.32698,348,947.743,1711644060000,95.26
1711640040000,94.85,94.85,94.75,94.84,1691.175,1711640099999,160292.54348,387,793.194,1711644060000,95.26
1711640100000,94.84,94.84,94.63,94.76,5431.589,1711640159999,514400.61693,891,1872.398,1711644060000,95.26
1711640160000,94.77,94.80,94.54,94.55,5511.128,1711640219999,521687.27776,858,1553.042,1711644060000,95.26
1711640220000,94.55,94.66,94.55,94.62,1395.607,1711640279999,132035.20924,355,911.728,1711644060000,95.26
1711640280000,94.63,94.63,94.55,94.63,1913.013,1711640339999,180932.47037,406,1036.560,1711644060000,95.26
1711640340000,94.63,94.64,94.58,94.58,1445.355,1711640399999,136742.15918,257,472.443,1711644060000,95.26
1711640400000,94.59,94.65,94.55,94.65,1650.177,1711640459999,156112.13894,326,1034.812,1711644060000,95.26
1711640460000,94.64,94.73,94.57,94.73,767.164,1711640519999,72607.18145,286,659.427,1711644060000,95.26
1711640520000,94.73,94.84,94.73,94.80,2693.157,1711640579999,255296.84001,480,1601.335,1711644060000,95.26
1711640580000,94.80,94.82,94.75,94.78,685.121,1711640639999,64937.95057,266,378.709,1711644060000,95.26
1711640640000,94.79,94.80,94.74,94.77,1077.661,1711640699999,102134.67410,294,279.617,1711644060000,95.26
1711640700000,94.78,94.95,94.78,94.90,2230.713,1711640759999,211638.53189,549,1274.998,1711644060000,95.26
1711640760000,94.90,94.90,94.82,94.85,1242.113,1711640819999,117820.32305,351,744.396,1711644060000,95.26
1711640820000,94.85,94.91,94.78,94.91,1565.868,1711640879999,148489.37648,373,853.011,1711644060000,95.26
1711640880000,94.90,95.09,94.89,95.08,915.243,1711640939999,86941.23823,367,704.358,1711644060000,95.26
1711640940000,95.07,95.11,95.05,95.06,1885.659,1711640999999,179292.15163,407,734.310,1711644060000,95.26
1711641000000,95.07,95.10,95.03,95.07,824.659,1711641059999,78399.61170,268,329.883,1711644060000,95.26
1711641060000,95.07,95.13,95.03,95.13,2858.424,1711641119999,271742.59654,496,883.599,1711644060000,95.26
1711641120000,95.12,95.16,95.08,95.09,2648.860,1711641179999,251971.41210,471,805.319,1711644060000,95.26
1711641180000,95.09,95.10,94.98,94.98,1463.063,1711641239999,139046.40033,380,457.508,1711644060000,95.26
1711641240000,94.98,95.03,94.98,95.02,1175.174,1711641299999,111647.11173,307,585.261,1711644060000,95.26
1711641300000,95.02,95.04,94.97,94.98,958.618,1711641359999,91068.44138,274,488.719,1711644060000,95.26
1711641360000,94.98,95.00,94.88,94.88,944.145,1711641419999,89639.89186,319,207.360,1711644060000,95.26
1711641420000,94.89,94.91,94.85,94.89,1702.319,1711641479999,161516.97195,381,1187.880,1711644060000,95.26
1711641480000,94.89,94.90,94.85,94.89,761.921,1711641539999,72290.24402,253,457.733,1711644060000,95.26
1711641540000,94.88,94.93,94.85,94.93,1394.576,1711641599999,132318.57051,252,1012.621,1711644060000,95.26
1711641600000,94.94,94.97,94.86,94.86,2625.537,1711641659999,249173.58164,504,806.115,1711644060000,95.26
1711641660000,94.86,94.96,94.76,94.81,1959.327,1711641719999,185883.07500,545,475.711,1711644060000,95.26
1711641720000,94.81,94.93,94.81,94.88,1289.237,1711641779999,122310.08021,369,766.317,1711644060000,95.26
1711641780000,94.87,94.90,94.84,94.85,1153.522,1711641839999,109427.67155,368,475.701,1711644060000,95.26
1711641840000,94.85,94.89,94.83,94.86,1068.928,1711641899999,101395.65845,279,455.224,1711644060000,95.26
1711641900000,94.85,94.88,94.84,94.88,356.511,1711641959999,33817.33707,162,205.784,1711644060000,95.26
1711641960000,94.87,94.89,94.61,94.63,3094.669,1711642019999,293217.89212,738,1094.154,1711644060000,95.26
1711642020000,94.63,94.63,94.48,94.62,4285.874,1711642079999,405159.26606,832,1596.646,1711644060000,95.26
1711642080000,94.60,94.61,94.42,94.50,4144.084,1711642139999,391601.64527,627,1745.134,1711644060000,95.26
1711642140000,94.51,94.69,94.51,94.66,1443.476,1711642199999,136554.77641,415,1074.440,1711644060000,95.26
1711642200000,94.66,94.74,94.62,94.65,1173.068,1711642259999,111068.03942,386,585.588,1711644060000,95.26
1711642260000,94.65,94.72,94.62,94.65,1976.738,1711642319999,187152.58089,417,1495.669,1711644060000,95.26
1711642320000,94.65,94.67,94.43,94.46,3082.961,1711642379999,291405.05473,546,780.116,1711644060000,95.26
1711642380000,94.47,94.52,94.36,94.43,2560.883,1711642439999,241783.35840,563,1614.538,1711644060000,95.26
1711642440000,94.43,94.44,94.36,94.36,1145.895,1711642499999,108162.23365,410,575.300,1711644060000,95.26
1711642500000,94.36,94.40,94.36,94.40,1916.314,1711642559999,180854.06657,443,1130.388,1711644060000,95.26
1711642560000,94.39,94.40,94.21,94.26,4400.734,1711642619999,414873.13038,1068,1249.018,1711644060000,95.26
1711642620000,94.26,94.32,94.22,94.30,2165.733,1711642679999,204167.15497,431,1747.935,1711644060000,95.26
1711642680000,94.31,94.31,94.19,94.22,2416.660,1711642739999,227750.17633,428,587.965,1711644060000,95.26
1711642740000,94.21,94.25,93.98,94.01,7338.366,1711642799999,690485.41594,1645,1825.838,1711644060000,95.26
1711642800000,94.00,94.24,93.88,94.20,8362.407,1711642859999,786609.89598,1484,5502.617,1711644060000,95.26
1711642860000,94.21,94.32,94.18,94.31,1808.213,1711642919999,170460.63838,536,1244.278,1711644060000,95.26
1711642920000,94.32,94.35,94.11,94.14,1735.761,1711642979999,163563.26347,436,827.782,1711644060000,95.26
1711642980000,94.14,94.26,94.14,94.16,1606.185,1711643039999,151325.59251,411,903.226,1711644060000,95.26
1711643040000,94.16,94.22,94.15,94.17,879.421,1711643099999,82835.27714,227,535.598,1711644060000,95.26
1711643100000,94.17,94.17,94.09,94.09,1264.622,1711643159999,119026.82028,304,379.929,1711644060000,95.26
1711643160000,94.10,94.34,94.09,94.34,957.462,1711643219999,90187.79163,330,886.282,1711644060000,95.26
1711643220000,94.34,94.41,94.34,94.36,1115.419,1711643279999,105270.14809,382,560.549,1711644060000,95.26
