Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710304980000,1.0946000,1.0947000,1.0937000,1.0943000,15978,1710305039999,17483.3906000,151,6228,1710310380000,1.1148
1710305040000,1.0943000,1.0954000,1.0943000,1.0954000,13484,1710305099999,14762.0608000,114,8567,1710310380000,1.1148
1710305100000,1.0953000,1.0953000,1.0947000,1.0952000,5020,1710305159999,5497.5851000,75,2068,1710310380000,1.1148
1710305160000,1.0955000,1.0968000,1.0955000,1.0968000,23427,1710305219999,25683.9981000,144,21017,1710310380000,1.1148
1710305220000,1.0968000,1.0983000,1.0966000,1.0982000,7701,1710305279999,8452.2277000,105,6110,1710310380000,1.1148
1710305280000,1.0982000,1.0996000,1.0982000,1.0994000,17281,1710305339999,18995.5599000,110,11008,1710310380000,1.1148
1710305340000,1.0993000,1.0999000,1.0988000,1.0995000,23188,1710305399999,25490.2009000,163,5895,1710310380000,1.1148
1710305400000,1.0992000,1.0996000,1.0985000,1.0989000,11564,1710305459999,12710.6927000,119,4597,1710310380000,1.1148
1710305460000,1.0986000,1.0992000,1.0977000,1.0982000,16661,1710305519999,18299.9196000,167,13183,1710310380000,1.1148
1710305520000,1.0982000,1.0988000,1.0979000,1.0979000,15517,1710305579999,17042.4599000,121,4841,1710310380000,1.1148
1710305580000,1.0978000,1.1011000,1.0975000,1.1010000,8402,1710305639999,9233.9832000,113,5251,1710310380000,1.1148
1710305640000,1.1008000,1.1013000,1.1000000,1.1013000,4979,1710305699999,5478.9076000,57,3143,1710310380000,1.1148
1710305700000,1.1014000,1.1024000,1.1013000,1.1019000,17592,1710305759999,19385.9571000,178,13939,1710310380000,1.1148
1710305760000,1.1019000,1.1020000,1.0994000,1.0994000,13616,1710305819999,14988.3933000,133,6323,1710310380000,1.1148
1710305820000,1.0994000,1.1009000,1.0993000,1.1008000,11174,1710305879999,12292.1012000,116,10607,1710310380000,1.1148
1710305880000,1.1009000,1.1015000,1.1004000,1.1015000,23958,1710305939999,26380.8920000,167,14763,1710310380000,1.1148
1710305940000,1.1015000,1.1026000,1.1015000,1.1024000,22129,1710305999999,24381.6053000,139,16418,1710310380000,1.1148
1710306000000,1.1020000,1.1020000,1.0995000,1.1002000,29177,1710306059999,32122.2977000,193,8826,1710310380000,1.1148
1710306060000,1.1001000,1.1004000,1.0986000,1.0992000,10168,1710306119999,11176.4404000,114,7152,1710310380000,1.1148
1710306120000,1.0992000,1.1018000,1.0992000,1.1013000,15807,1710306179999,17399.3260000,122,14057,1710310380000,1.1148
1710306180000,1.1013000,1.1022000,1.1005000,1.1015000,10825,1710306239999,11917.5686000,120,6700,1710310380000,1.1148
1710306240000,1.1017000,1.1018000,1.1003000,1.1003000,6339,1710306299999,6980.2364000,71,1075,1710310380000,1.1148
1710306300000,1.1002000,1.1002000,1.0985000,1.0994000,19377,1710306359999,21296.6858000,125,8979,1710310380000,1.1148
1710306360000,1.0993000,1.0996000,1.0981000,1.0984000,11968,1710306419999,13147.1256000,95,4522,1710310380000,1.1148
