Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710422280000,0.7446,0.7452,0.7440,0.7443,80303,1710422339999,59792.5905,305,57872,1710427620000,0.7367
1710422340000,0.7443,0.7448,0.7440,0.7440,42242,1710422399999,31447.2690,138,36471,1710427620000,0.7367
1710422400000,0.7440,0.7441,0.7424,0.7429,20546,1710422459999,15270.9322,140,11529,1710427620000,0.7367
1710422460000,0.7430,0.7430,0.7407,0.7408,52881,1710422519999,39237.2780,246,21909,1710427620000,0.7367
1710422520000,0.7409,0.7420,0.7394,0.7411,262883,1710422579999,194586.2359,889,101158,1710427620000,0.7367
1710422580000,0.7412,0.7417,0.7400,0.7408,100586,1710422639999,74532.0504,312,77844,1710427620000,0.7367
1710422640000,0.7407,0.7411,0.7384,0.7390,236504,1710422699999,174863.0069,756,75983,1710427620000,0.7367
1710422700000,0.7391,0.7407,0.7391,0.7397,259978,1710422759999,192350.0353,514,135251,1710427620000,0.7367
1710422760000,0.7398,0.7418,0.7392,0.7413,70830,1710422819999,52436.9968,241,46279,1710427620000,0.7367
1710422820000,0.7413,0.7419,0.7390,0.7390,65693,1710422879999,48656.5978,306,27195,1710427620000,0.7367
1710422880000,0.7389,0.7389,0.7374,0.7384,311492,1710422939999,229923.0509,633,83184,1710427620000,0.7367
1710422940000,0.7384,0.7413,0.7384,0.7387,71042,1710422999999,52578.2031,279,37105,1710427620000,0.7367
1710423000000,0.7387,0.7401,0.7385,0.7389,148639,1710423059999,109851.1398,275,103961,1710427620000,0.7367
1710423060000,0.7389,0.7411,0.7388,0.7407,172934,1710423119999,127951.0879,437,137749,1710427620000,0.7367
1710423120000,0.7408,0.7415,0.7399,0.7400,119879,1710423179999,88783.6556,389,76754,1710427620000,0.7367
1710423180000,0.7400,0.7400,0.7377,0.7384,180710,1710423239999,133481.8102,544,100313,1710427620000,0.7367
1710423240000,0.7385,0.7389,0.7373,0.7379,193804,1710423299999,143034.2324,532,122529,1710427620000,0.7367
1710423300000,0.7380,0.7385,0.7347,0.7350,306535,1710423359999,225634.0997,1097,175295,1710427620000,0.7367
1710423360000,0.7351,0.7369,0.7324,0.7359,550590,1710423419999,404297.9873,1773,190296,1710427620000,0.7367
1710423420000,0.7359,0.7385,0.7352,0.7355,192656,1710423479999,141935.5980,675,94782,1710427620000,0.7367
1710423480000,0.7355,0.7356,0.7320,0.7324,305705,1710423539999,224119.6880,668,159166,1710427620000,0.7367
1710423540000,0.7325,0.7327,0.7299,0.7309,471182,1710423599999,344453.8174,1551,222342,1710427620000,0.7367
1710423600000,0.7309,0.7312,0.7277,0.7295,487375,1710423659999,355474.5398,1650,211526,1710427620000,0.7367
1710423660000,0.7297,0.7356,0.7297,0.7346,491669,1710423719999,360531.5022,1355,354867,1710427620000,0.7367
1710423720000,0.7347,0.7356,0.7325,0.7339,269271,1710423779999,197698.6501,880,109153,1710427620000,0.7367
1710423780000,0.7340,0.7354,0.7331,0.7334,130376,1710423839999,95722.2343,412,52234,1710427620000,0.7367
1710423840000,0.7334,0.7340,0.7327,0.7334,94078,1710423899999,68984.0014,339,42766,1710427620000,0.7367
1710423900000,0.7333,0.7348,0.7311,0.7312,186287,1710423959999,136634.2944,617,77949,1710427620000,0.7367
1710423960000,0.7312,0.7315,0.7275,0.7301,299759,1710424019999,218600.7734,1033,149894,1710427620000,0.7367
1710424020000,0.7300,0.7329,0.7288,0.7293,262329,1710424079999,191617.4930,737,173384,1710427620000,0.7367
1710424080000,0.7293,0.7315,0.7278,0.7305,478621,1710424139999,349300.0274,1261,274327,1710427620000,0.7367
1710424140000,0.7305,0.7307,0.7259,0.7268,433961,1710424199999,315898.1603,1419,216914,1710427620000,0.7367
1710424200000,0.7270,0.7284,0.7244,0.7251,498055,1710424259999,361849.1266,1478,270193,1710427620000,0.7367
1710424260000,0.7248,0.7270,0.7234,0.7237,386187,1710424319999,279930.0429,1158,166025,1710427620000,0.7367
1710424320000,0.7237,0.7244,0.7200,0.7243,680698,1710424379999,491032.5012,1775,291510,1710427620000,0.7367
1710424380000,0.7243,0.7253,0.7220,0.7233,303801,1710424439999,219830.2032,1058,142393,1710427620000,0.7367
1710424440000,0.7234,0.7235,0.7195,0.7211,327814,1710424499999,236313.3094,1080,162967,1710427620000,0.7367
1710424500000,0.7211,0.7233,0.7196,0.7197,339324,1710424559999,244767.5752,1456,173087,1710427620000,0.7367
1710424560000,0.7199,0.7209,0.7166,0.7206,764160,1710424619999,549024.3702,2271,282123,1710427620000,0.7367
1710424620000,0.7206,0.7259,0.7206,0.7255,521151,1710424679999,377114.9909,1554,265796,1710427620000,0.7367
1710424680000,0.7258,0.7284,0.7258,0.7277,353995,1710424739999,257324.8159,1118,181698,1710427620000,0.7367
1710424740000,0.7277,0.7279,0.7240,0.7251,353974,1710424799999,256992.2742,1002,161487,1710427620000,0.7367
1710424800000,0.7251,0.7281,0.7247,0.7275,231547,1710424859999,168195.6347,855,83244,1710427620000,0.7367
1710424860000,0.7276,0.7278,0.7252,0.7274,407591,1710424919999,296147.4448,1079,247130,1710427620000,0.7367
1710424920000,0.7275,0.7300,0.7258,0.7284,298668,1710424979999,217468.8494,993,177822,1710427620000,0.7367
1710424980000,0.7284,0.7318,0.7280,0.7314,314218,1710425039999,229541.5977,1131,194801,1710427620000,0.7367
1710425040000,0.7312,0.7330,0.7308,0.7328,329545,1710425099999,241282.1577,1120,213441,1710427620000,0.7367
1710425100000,0.7327,0.7351,0.7318,0.7348,297947,1710425159999,218606.2712,948,165154,1710427620000,0.7367
1710425160000,0.7347,0.7364,0.7340,0.7361,341429,1710425219999,250985.2471,1018,212993,1710427620000,0.7367
1710425220000,0.7361,0.7367,0.7349,0.7354,268385,1710425279999,197484.9091,811,159550,1710427620000,0.7367
1710425280000,0.7353,0.7353,0.7300,0.7313,233205,1710425339999,170796.5929,796,94368,1710427620000,0.7367
1710425340000,0.7313,0.7344,0.7305,0.7339,127326,1710425399999,93256.0383,492,60215,1710427620000,0.7367
1710425400000,0.7339,0.7349,0.7326,0.7339,167077,1710425459999,122572.3130,540,105199,1710427620000,0.7367
1710425460000,0.7339,0.7347,0.7325,0.7346,122566,1710425519999,89951.9988,419,70759,1710427620000,0.7367
1710425520000,0.7346,0.7347,0.7331,0.7339,110810,1710425579999,81324.0300,354,42641,1710427620000,0.7367
1710425580000,0.7338,0.7351,0.7335,0.7349,97936,1710425639999,71881.8473,393,30728,1710427620000,0.7367
1710425640000,0.7348,0.7348,0.7321,0.7321,124122,1710425699999,91077.6752,332,26837,1710427620000,0.7367
1710425700000,0.7321,0.7336,0.7316,0.7326,90209,1710425759999,66105.3951,375,36780,1710427620000,0.7367
1710425760000,0.7327,0.7363,0.7319,0.7360,131001,1710425819999,96136.6567,453,72282,1710427620000,0.7367
1710425820000,0.7359,0.7363,0.7336,0.7346,143607,1710425879999,105607.3456,569,45035,1710427620000,0.7367
1710425880000,0.7347,0.7347,0.7334,0.7342,124899,1710425939999,91676.0721,361,74825,1710427620000,0.7367
1710425940000,0.7341,0.7366,0.7340,0.7365,66327,1710425999999,48742.2384,255,45316,1710427620000,0.7367
1710426000000,0.7366,0.7398,0.7365,0.7385,229748,1710426059999,169649.5625,837,168330,1710427620000,0.7367
1710426060000,0.7384,0.7410,0.7381,0.7407,308118,1710426119999,227771.6487,1037,188868,1710427620000,0.7367
1710426120000,0.7406,0.7409,0.7385,0.7395,314710,1710426179999,232803.8726,1021,103299,1710427620000,0.7367
1710426180000,0.7395,0.7398,0.7376,0.7387,265344,1710426239999,195932.4999,825,89670,1710427620000,0.7367
1710426240000,0.7388,0.7389,0.7371,0.7371,67867,1710426299999,50094.2442,263,33981,1710427620000,0.7367
1710426300000,0.7371,0.7376,0.7360,0.7369,94807,1710426359999,69858.0357,310,59623,1710427620000,0.7367
1710426360000,0.7369,0.7377,0.7367,0.7374,63368,1710426419999,46722.9324,236,40273,1710427620000,0.7367
1710426420000,0.7373,0.7380,0.7356,0.7371,166701,1710426479999,122765.0786,472,69668,1710427620000,0.7367
1710426480000,0.7370,0.7372,0.7360,0.7366,35424,1710426539999,26093.0607,144,20579,1710427620000,0.7367
1710426540000,0.7366,0.7369,0.7362,0.7363,33638,1710426599999,24775.3120,127,14190,1710427620000,0.7367
1710426600000,0.7364,0.7367,0.7324,0.7325,202595,1710426659999,148815.4693,368,41174,1710427620000,0.7367
1710426660000,0.7325,0.7340,0.7320,0.7333,165432,1710426719999,121240.1819,508,100908,1710427620000,0.7367
1710426720000,0.7334,0.7345,0.7329,0.7336,77236,1710426779999,56652.3966,290,31574,1710427620000,0.7367
1710426780000,0.7337,0.7339,0.7308,0.7308,100008,1710426839999,73224.5104,377,37905,1710427620000,0.7367
1710426840000,0.7311,0.7327,0.7301,0.7317,160278,1710426899999,117205.7470,532,106308,1710427620000,0.7367
1710426900000,0.7318,0.7336,0.7317,0.7322,237847,1710426959999,174157.0274,510,52243,1710427620000,0.7367
1710426960000,0.7323,0.7335,0.7303,0.7307,113162,1710427019999,82811.2482,374,80591,1710427620000,0.7367
1710427020000,0.7307,0.7319,0.7307,0.7313,69203,1710427079999,50616.9149,255,22358,1710427620000,0.7367
1710427080000,0.7315,0.7315,0.7283,0.7286,257386,1710427139999,187739.7085,674,89851,1710427620000,0.7367
1710427140000,0.7288,0.7303,0.7288,0.7296,97905,1710427199999,71401.5271,297,64075,1710427620000,0.7367
1710427200000,0.7297,0.7312,0.7297,0.7298,80315,1710427259999,58653.3084,290,45379,1710427620000,0.7367
1710427260000,0.7299,0.7301,0.7273,0.7286,149323,1710427319999,108745.7463,421,52140,1710427620000,0.7367
1710427320000,0.7287,0.7314,0.7281,0.7310,70878,1710427379999,51703.2705,277,37995,1710427620000,0.7367
1710427380000,0.7310,0.7319,0.7293,0.7295,57064,1710427439999,41704.7219,202,30164,1710427620000,0.7367
1710427440000,0.7292,0.7304,0.7291,0.7301,60431,1710427499999,44106.9482,203,28268,1710427620000,0.7367
1710427500000,0.7300,0.7314,0.7293,0.7304,61536,1710427559999,44932.6984,215,22337,1710427620000,0.7367
1710427560000,0.7303,0.7313,0.7267,0.7274,171588,1710427619999,125143.8920,571,91242,1710427620000,0.7367
1710427620000,0.7277,0.7477,0.7267,0.7399,2289199,1710427679999,1689617.6517,4550,1431745,1710427620000,0.7367
1710427680000,0.7399,0.7409,0.7373,0.7375,1126770,1710427739999,832711.6611,4346,571320,1710427620000,0.7367
1710427740000,0.7376,0.7386,0.7345,0.7345,450359,1710427799999,332026.4607,2298,226721,1710427620000,0.7367
1710427800000,0.7344,0.7361,0.7327,0.7342,379572,1710427859999,278656.7386,1120,168559,1710427620000,0.7367
1710427860000,0.7342,0.7356,0.7322,0.7355,251784,1710427919999,184787.6894,762,139967,1710427620000,0.7367
1710427920000,0.7352,0.7370,0.7331,0.7340,191998,1710427979999,141167.3569,586,79658,1710427620000,0.7367
1710427980000,0.7342,0.7362,0.7332,0.7356,131481,1710428039999,96571.3352,445,70240,1710427620000,0.7367
1710428040000,0.7357,0.7368,0.7336,0.7336,160264,1710428099999,117881.8648,476,58777,1710427620000,0.7367
1710428100000,0.7336,0.7341,0.7314,0.7316,108331,1710428159999,79382.9588,416,36012,1710427620000,0.7367
1710428160000,0.7316,0.7334,0.7311,0.7326,95514,1710428219999,69939.5194,324,53426,1710427620000,0.7367
1710428220000,0.7328,0.7333,0.7315,0.7319,83430,1710428279999,61075.1444,245,48049,1710427620000,0.7367
1710428280000,0.7324,0.7367,0.7324,0.7366,144760,1710428339999,106274.7735,322,116576,1710427620000,0.7367
1710428340000,0.7366,0.7367,0.7349,0.7356,122366,1710428399999,90004.0025,347,35739,1710427620000,0.7367
1710428400000,0.7356,0.7359,0.7339,0.7340,127795,1710428459999,93923.5151,456,55584,1710427620000,0.7367
1710428460000,0.7340,0.7382,0.7335,0.7382,102214,1710428519999,75223.0157,394,52623,1710427620000,0.7367
1710428520000,0.7381,0.7387,0.7354,0.7355,382521,1710428579999,281836.0124,841,123082,1710427620000,0.7367
1710428580000,0.7354,0.7364,0.7342,0.7342,295540,1710428639999,217249.2263,554,152100,1710427620000,0.7367
1710428640000,0.7342,0.7348,0.7334,0.7338,255328,1710428699999,187392.4103,514,80989,1710427620000,0.7367
1710428700000,0.7337,0.7342,0.7329,0.7330,196607,1710428759999,144220.0607,383,90039,1710427620000,0.7367
1710428760000,0.7330,0.7330,0.7310,0.7318,136823,1710428819999,100166.8371,389,55069,1710427620000,0.7367
1710428820000,0.7319,0.7322,0.7301,0.7307,99042,1710428879999,72394.6871,358,37403,1710427620000,0.7367
1710428880000,0.7307,0.7318,0.7306,0.7314,57681,1710428939999,42172.5291,227,35889,1710427620000,0.7367
1710428940000,0.7315,0.7316,0.7305,0.7315,44795,1710428999999,32751.8692,162,28469,1710427620000,0.7367
1710429000000,0.7315,0.7333,0.7311,0.7330,96848,1710429059999,70876.4348,248,74337,1710427620000,0.7367
1710429060000,0.7329,0.7343,0.7328,0.7337,53835,1710429119999,39485.6404,206,28229,1710427620000,0.7367
1710429120000,0.7338,0.7345,0.7336,0.7338,72446,1710429179999,53178.2839,242,53617,1710427620000,0.7367
1710429180000,0.7337,0.7343,0.7335,0.7341,78260,1710429239999,57426.5822,228,52499,1710427620000,0.7367
1710429240000,0.7341,0.7341,0.7328,0.7332,87812,1710429299999,64413.7430,202,48249,1710427620000,0.7367
1710429300000,0.7331,0.7334,0.7323,0.7325,58934,1710429359999,43180.5865,224,35768,1710427620000,0.7367
1710429360000,0.7326,0.7332,0.7322,0.7323,58428,1710429419999,42811.9748,191,38927,1710427620000,0.7367
1710429420000,0.7323,0.7325,0.7304,0.7304,84676,1710429479999,61929.9872,194,48636,1710427620000,0.7367
