Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710314460000,3.9462000,3.9493000,3.9434000,3.9455000,25180.8,1710314519999,99391.50388000,516,15639.5,1710319860000,3.9832
1710314520000,3.9454000,3.9470000,3.9344000,3.9362000,66513.4,1710314579999,262025.64084000,916,19663.8,1710319860000,3.9832
1710314580000,3.9357000,3.9505000,3.9331000,3.9409000,108942.1,1710314639999,429751.36049000,1296,54344.0,1710319860000,3.9832
1710314640000,3.9408000,3.9423000,3.9276000,3.9330000,35272.0,1710314699999,138676.80212000,769,14486.5,1710319860000,3.9832
1710314700000,3.9333000,3.9358000,3.9257000,3.9291000,18912.7,1710314759999,74346.03989000,478,13007.7,1710319860000,3.9832
1710314760000,3.9288000,3.9288000,3.9148000,3.9166000,43146.0,1710314819999,169189.96696000,870,17954.8,1710319860000,3.9832
1710314820000,3.9168000,3.9220000,3.9168000,3.9216000,16535.7,1710314879999,64816.95294000,429,11313.6,1710319860000,3.9832
1710314880000,3.9216000,3.9225000,3.9181000,3.9182000,8983.0,1710314939999,35212.42889000,273,5109.6,1710319860000,3.9832
1710314940000,3.9182000,3.9303000,3.9180000,3.9260000,25411.6,1710314999999,99710.65629000,522,19224.3,1710319860000,3.9832
1710315000000,3.9246000,3.9270000,3.9196000,3.9238000,21861.5,1710315059999,85779.29172000,465,13262.1,1710319860000,3.9832
1710315060000,3.9240000,3.9240000,3.9126000,3.9129000,28075.7,1710315119999,109940.08819000,584,11789.5,1710319860000,3.9832
1710315120000,3.9130000,3.9159000,3.9053000,3.9121000,69579.6,1710315179999,272118.67960000,1276,25108.0,1710319860000,3.9832
1710315180000,3.9115000,3.9140000,3.9100000,3.9108000,13196.0,1710315239999,51619.18743000,330,8796.4,1710319860000,3.9832
1710315240000,3.9105000,3.9135000,3.9075000,3.9104000,13068.8,1710315299999,51111.34626000,294,6184.8,1710319860000,3.9832
1710315300000,3.9109000,3.9164000,3.9104000,3.9130000,13590.1,1710315359999,53184.78092000,315,7083.7,1710319860000,3.9832
1710315360000,3.9125000,3.9156000,3.9063000,3.9088000,19859.0,1710315419999,77652.10341000,400,8276.5,1710319860000,3.9832
1710315420000,3.9093000,3.9159000,3.9076000,3.9115000,19336.2,1710315479999,75636.29084000,413,13042.8,1710319860000,3.9832
1710315480000,3.9113000,3.9130000,3.9089000,3.9116000,7075.9,1710315539999,27674.79627000,185,3079.4,1710319860000,3.9832
1710315540000,3.9116000,3.9132000,3.9085000,3.9093000,16526.0,1710315599999,64641.33295000,255,10362.1,1710319860000,3.9832
1710315600000,3.9093000,3.9110000,3.9026000,3.9073000,42265.5,1710315659999,165080.38558000,606,10944.3,1710319860000,3.9832
1710315660000,3.9072000,3.9093000,3.9020000,3.9090000,35217.1,1710315719999,137491.31736000,472,11084.4,1710319860000,3.9832
1710315720000,3.9091000,3.9111000,3.9058000,3.9072000,13853.3,1710315779999,54146.29008000,256,8242.7,1710319860000,3.9832
1710315780000,3.9075000,3.9107000,3.9071000,3.9080000,9064.3,1710315839999,35429.57101000,254,3576.8,1710319860000,3.9832
1710315840000,3.9079000,3.9087000,3.9067000,3.9076000,7616.7,1710315899999,29763.13604000,225,3035.0,1710319860000,3.9832
1710315900000,3.9079000,3.9169000,3.9079000,3.9169000,12843.8,1710315959999,50258.72194000,388,8623.1,1710319860000,3.9832
1710315960000,3.9169000,3.9208000,3.9158000,3.9204000,19331.7,1710316019999,75753.17576000,475,11670.9,1710319860000,3.9832
1710316020000,3.9201000,3.9250000,3.9164000,3.9224000,26977.3,1710316079999,105761.49708000,467,11961.5,1710319860000,3.9832
1710316080000,3.9222000,3.9222000,3.9182000,3.9201000,14233.0,1710316139999,55795.27928000,321,3949.3,1710319860000,3.9832
1710316140000,3.9203000,3.9222000,3.9168000,3.9168000,12736.3,1710316199999,49922.12039000,262,4360.2,1710319860000,3.9832
1710316200000,3.9165000,3.9230000,3.9152000,3.9205000,23886.0,1710316259999,93625.28920000,525,14448.1,1710319860000,3.9832
1710316260000,3.9206000,3.9216000,3.9142000,3.9166000,13106.7,1710316319999,51352.69118000,263,3982.9,1710319860000,3.9832
1710316320000,3.9168000,3.9184000,3.9134000,3.9138000,10563.2,1710316379999,41363.74727000,198,4505.5,1710319860000,3.9832
1710316380000,3.9134000,3.9175000,3.9127000,3.9159000,7216.1,1710316439999,28248.42520000,176,5725.5,1710319860000,3.9832
1710316440000,3.9161000,3.9180000,3.9134000,3.9139000,5628.0,1710316499999,22041.99253000,151,1615.3,1710319860000,3.9832
1710316500000,3.9135000,3.9155000,3.9082000,3.9082000,15976.4,1710316559999,62483.17663000,458,6232.4,1710319860000,3.9832
1710316560000,3.9086000,3.9099000,3.9027000,3.9081000,20909.2,1710316619999,81683.33659000,530,5118.9,1710319860000,3.9832
1710316620000,3.9068000,3.9101000,3.9055000,3.9069000,13252.1,1710316679999,51793.19884000,303,5711.3,1710319860000,3.9832
1710316680000,3.9075000,3.9096000,3.9060000,3.9080000,7980.9,1710316739999,31189.63706000,208,4004.8,1710319860000,3.9832
1710316740000,3.9081000,3.9146000,3.9081000,3.9127000,10083.4,1710316799999,39448.99475000,274,7525.5,1710319860000,3.9832
1710316800000,3.9121000,3.9146000,3.9102000,3.9132000,6345.9,1710316859999,24830.01170000,242,4493.5,1710319860000,3.9832
1710316860000,3.9134000,3.9138000,3.9038000,3.9098000,17628.3,1710316919999,68875.17654000,402,5186.0,1710319860000,3.9832
1710316920000,3.9098000,3.9103000,3.9050000,3.9055000,10131.8,1710316979999,39591.62073000,301,2165.3,1710319860000,3.9832
