Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711196280000,0.98530,0.98720,0.98530,0.98670,350797,1711196339999,346145.64640,450,199414,1711201680000,0.9931
1711196340000,0.98680,0.98680,0.98600,0.98600,61853,1711196399999,61014.22100,220,7945,1711201680000,0.9931
1711196400000,0.98600,0.98660,0.98560,0.98660,82420,1711196459999,81253.47250,242,47939,1711201680000,0.9931
1711196460000,0.98650,0.98750,0.98650,0.98720,109169,1711196519999,107754.90230,296,86940,1711201680000,0.9931
1711196520000,0.98720,0.98840,0.98720,0.98810,205135,1711196579999,202653.19350,372,131742,1711201680000,0.9931
1711196580000,0.98810,0.98810,0.98700,0.98700,118353,1711196639999,116867.48760,281,23863,1711201680000,0.9931
1711196640000,0.98700,0.98760,0.98700,0.98730,98937,1711196699999,97692.43520,226,32073,1711201680000,0.9931
1711196700000,0.98730,0.98730,0.98670,0.98690,139836,1711196759999,138013.15310,299,43163,1711201680000,0.9931
1711196760000,0.98690,0.98700,0.98610,0.98680,170463,1711196819999,168179.23400,330,61288,1711201680000,0.9931
1711196820000,0.98680,0.98720,0.98640,0.98710,43210,1711196879999,42637.01040,216,20238,1711201680000,0.9931
1711196880000,0.98710,0.98820,0.98710,0.98760,139886,1711196939999,138170.66300,286,86090,1711201680000,0.9931
1711196940000,0.98760,0.98780,0.98720,0.98740,94098,1711196999999,92917.44450,256,34746,1711201680000,0.9931
1711197000000,0.98740,0.98780,0.98690,0.98730,66891,1711197059999,66040.24620,276,29368,1711201680000,0.9931
1711197060000,0.98730,0.98740,0.98690,0.98710,83769,1711197119999,82692.66810,234,17180,1711201680000,0.9931
1711197120000,0.98710,0.98740,0.98700,0.98710,76607,1711197179999,75628.16040,262,28161,1711201680000,0.9931
1711197180000,0.98710,0.98740,0.98700,0.98710,84997,1711197239999,83904.23980,290,45948,1711201680000,0.9931
1711197240000,0.98710,0.98720,0.98640,0.98640,87790,1711197299999,86639.44880,282,6692,1711201680000,0.9931
1711197300000,0.98640,0.98690,0.98630,0.98630,177984,1711197359999,175584.10160,341,86995,1711201680000,0.9931
1711197360000,0.98640,0.98810,0.98610,0.98650,207610,1711197419999,204969.23560,510,130972,1711201680000,0.9931
1711197420000,0.98650,0.98810,0.98640,0.98780,101591,1711197479999,100291.32260,333,58688,1711201680000,0.9931
1711197480000,0.98790,0.98880,0.98770,0.98880,246194,1711197539999,243308.96510,438,164829,1711201680000,0.9931
1711197540000,0.98870,0.98910,0.98790,0.98860,461064,1711197599999,455877.62520,512,168987,1711201680000,0.9931
1711197600000,0.98860,0.98980,0.98860,0.98920,344235,1711197659999,340502.17290,1886,200708,1711201680000,0.9931
1711197660000,0.98920,0.99040,0.98920,0.99010,362058,1711197719999,358395.26490,1008,204531,1711201680000,0.9931
1711197720000,0.99010,0.99010,0.98890,0.98890,155063,1711197779999,153433.57310,434,43693,1711201680000,0.9931
1711197780000,0.98890,0.98920,0.98840,0.98880,283827,1711197839999,280677.42990,773,44706,1711201680000,0.9931
1711197840000,0.98880,0.98880,0.98810,0.98830,81428,1711197899999,80479.02170,294,33146,1711201680000,0.9931
1711197900000,0.98820,0.98910,0.98770,0.98900,152252,1711197959999,150479.91470,430,94690,1711201680000,0.9931
1711197960000,0.98890,0.98970,0.98880,0.98970,46482,1711198019999,45978.85270,206,38233,1711201680000,0.9931
1711198020000,0.98970,0.99090,0.98960,0.99070,201151,1711198079999,199242.39140,809,108097,1711201680000,0.9931
1711198080000,0.99060,0.99080,0.99010,0.99030,157830,1711198139999,156329.42470,553,70763,1711201680000,0.9931
1711198140000,0.99040,0.99060,0.98970,0.99060,71665,1711198199999,70964.73480,295,47751,1711201680000,0.9931
1711198200000,0.99060,0.99140,0.99050,0.99130,230258,1711198259999,228193.99340,594,136329,1711201680000,0.9931
1711198260000,0.99130,0.99210,0.99120,0.99180,128794,1711198319999,127733.89020,521,81211,1711201680000,0.9931
1711198320000,0.99180,0.99190,0.99090,0.99110,325916,1711198379999,323133.58530,456,95827,1711201680000,0.9931
1711198380000,0.99110,0.99130,0.99060,0.99060,78511,1711198439999,77804.71970,267,28644,1711201680000,0.9931
1711198440000,0.99070,0.99140,0.99060,0.99130,148052,1711198499999,146730.92350,304,92663,1711201680000,0.9931
1711198500000,0.99140,0.99150,0.99050,0.99070,179819,1711198559999,178189.23060,391,57214,1711201680000,0.9931
1711198560000,0.99070,0.99090,0.98970,0.99020,218553,1711198619999,216423.64810,505,34509,1711201680000,0.9931
1711198620000,0.99020,0.99080,0.99000,0.99050,110281,1711198679999,109221.90630,293,64043,1711201680000,0.9931
1711198680000,0.99050,0.99080,0.99040,0.99070,64975,1711198739999,64367.92110,198,23278,1711201680000,0.9931
1711198740000,0.99070,0.99100,0.98960,0.98970,140226,1711198799999,138849.59810,359,50393,1711201680000,0.9931
1711198800000,0.98970,0.99000,0.98810,0.98830,179853,1711198859999,177864.45960,623,45542,1711201680000,0.9931
1711198860000,0.98830,0.98900,0.98810,0.98820,116276,1711198919999,114945.01940,376,52545,1711201680000,0.9931
1711198920000,0.98820,0.98840,0.98750,0.98800,231947,1711198979999,229189.50960,485,129796,1711201680000,0.9931
1711198980000,0.98800,0.98840,0.98730,0.98820,123791,1711199039999,122290.26800,464,73621,1711201680000,0.9931
1711199040000,0.98830,0.98910,0.98800,0.98870,94387,1711199099999,93298.33390,325,53932,1711201680000,0.9931
1711199100000,0.98870,0.98970,0.98860,0.98950,82427,1711199159999,81533.32000,313,65828,1711201680000,0.9931
1711199160000,0.98960,0.98970,0.98800,0.98860,206032,1711199219999,203668.80730,488,107331,1711201680000,0.9931
1711199220000,0.98870,0.98970,0.98850,0.98930,110010,1711199279999,108800.43250,357,62544,1711201680000,0.9931
1711199280000,0.98940,0.98960,0.98850,0.98870,78939,1711199339999,78087.22450,281,27393,1711201680000,0.9931
