Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712114700000,0.6776000,0.6783000,0.6759000,0.6762000,81199,1712114759999,54985.8305000,365,36484,1712120100000,0.6713
1712114760000,0.6763000,0.6769000,0.6754000,0.6767000,128343,1712114819999,86773.6479000,419,60375,1712120100000,0.6713
1712114820000,0.6766000,0.6773000,0.6750000,0.6770000,137558,1712114879999,93017.4128000,499,58201,1712120100000,0.6713
1712114880000,0.6773000,0.6776000,0.6745000,0.6758000,100264,1712114939999,67787.9746000,478,47935,1712120100000,0.6713
1712114940000,0.6759000,0.6765000,0.6731000,0.6737000,138803,1712114999999,93606.3213000,649,39660,1712120100000,0.6713
1712115000000,0.6737000,0.6738000,0.6723000,0.6726000,64030,1712115059999,43094.3511000,450,21433,1712120100000,0.6713
1712115060000,0.6727000,0.6733000,0.6709000,0.6719000,114330,1712115119999,76841.6191000,508,60435,1712120100000,0.6713
1712115120000,0.6718000,0.6725000,0.6710000,0.6722000,71412,1712115179999,47968.6274000,301,46048,1712120100000,0.6713
1712115180000,0.6726000,0.6729000,0.6716000,0.6720000,41376,1712115239999,27819.8497000,156,23830,1712120100000,0.6713
1712115240000,0.6719000,0.6727000,0.6698000,0.6711000,249093,1712115299999,167115.7860000,707,80235,1712120100000,0.6713
1712115300000,0.6711000,0.6727000,0.6705000,0.6717000,102018,1712115359999,68532.4290000,406,51947,1712120100000,0.6713
1712115360000,0.6716000,0.6726000,0.6703000,0.6714000,105960,1712115419999,71131.8823000,452,50041,1712120100000,0.6713
1712115420000,0.6715000,0.6715000,0.6701000,0.6712000,62617,1712115479999,41999.8382000,226,25009,1712120100000,0.6713
1712115480000,0.6712000,0.6741000,0.6706000,0.6723000,176326,1712115539999,118650.6983000,528,125962,1712120100000,0.6713
1712115540000,0.6725000,0.6745000,0.6725000,0.6744000,51044,1712115599999,34392.4021000,221,26932,1712120100000,0.6713
1712115600000,0.6746000,0.6767000,0.6746000,0.6767000,54748,1712115659999,36988.1322000,236,41684,1712120100000,0.6713
1712115660000,0.6768000,0.6777000,0.6738000,0.6749000,133380,1712115719999,90164.7175000,448,62039,1712120100000,0.6713
1712115720000,0.6750000,0.6758000,0.6733000,0.6740000,34728,1712115779999,23429.5989000,183,20150,1712120100000,0.6713
1712115780000,0.6741000,0.6741000,0.6733000,0.6736000,15667,1712115839999,10555.1347000,97,5125,1712120100000,0.6713
1712115840000,0.6735000,0.6738000,0.6723000,0.6727000,63014,1712115899999,42408.6416000,260,26797,1712120100000,0.6713
1712115900000,0.6723000,0.6724000,0.6670000,0.6688000,361748,1712115959999,242028.5494000,1235,89087,1712120100000,0.6713
1712115960000,0.6689000,0.6703000,0.6689000,0.6693000,116344,1712116019999,77912.0211000,485,52815,1712120100000,0.6713
1712116020000,0.6694000,0.6716000,0.6685000,0.6714000,107080,1712116079999,71744.1913000,437,71871,1712120100000,0.6713
1712116080000,0.6711000,0.6728000,0.6701000,0.6725000,59595,1712116139999,40031.7600000,246,39854,1712120100000,0.6713
1712116140000,0.6725000,0.6743000,0.6725000,0.6739000,86815,1712116199999,58482.6590000,311,54328,1712120100000,0.6713
1712116200000,0.6739000,0.6742000,0.6725000,0.6727000,53891,1712116259999,36288.4407000,192,21136,1712120100000,0.6713
1712116260000,0.6728000,0.6740000,0.6728000,0.6729000,54704,1712116319999,36837.3601000,218,29939,1712120100000,0.6713
1712116320000,0.6727000,0.6727000,0.6709000,0.6716000,68601,1712116379999,46080.5347000,254,37387,1712120100000,0.6713
1712116380000,0.6715000,0.6727000,0.6709000,0.6726000,35853,1712116439999,24074.9601000,152,17036,1712120100000,0.6713
1712116440000,0.6726000,0.6728000,0.6709000,0.6721000,16516,1712116499999,11099.3410000,107,6469,1712120100000,0.6713
1712116500000,0.6721000,0.6725000,0.6709000,0.6709000,34398,1712116559999,23102.8808000,169,6223,1712120100000,0.6713
1712116560000,0.6709000,0.6711000,0.6696000,0.6701000,59486,1712116619999,39877.5487000,233,39810,1712120100000,0.6713
1712116620000,0.6699000,0.6702000,0.6679000,0.6679000,71692,1712116679999,47982.9989000,238,26939,1712120100000,0.6713
1712116680000,0.6679000,0.6682000,0.6663000,0.6669000,205521,1712116739999,137097.6572000,746,57739,1712120100000,0.6713
1712116740000,0.6668000,0.6685000,0.6665000,0.6683000,98824,1712116799999,65950.2294000,366,53014,1712120100000,0.6713
1712116800000,0.6682000,0.6691000,0.6652000,0.6655000,226698,1712116859999,151146.3672000,801,34741,1712120100000,0.6713
1712116860000,0.6657000,0.6664000,0.6646000,0.6647000,145694,1712116919999,96911.7515000,474,34333,1712120100000,0.6713
1712116920000,0.6647000,0.6679000,0.6646000,0.6675000,85075,1712116979999,56695.2650000,357,62943,1712120100000,0.6713
1712116980000,0.6674000,0.6674000,0.6642000,0.6643000,137096,1712117039999,91221.7165000,513,40385,1712120100000,0.6713
1712117040000,0.6644000,0.6649000,0.6635000,0.6644000,74661,1712117099999,49589.5718000,339,42376,1712120100000,0.6713
1712117100000,0.6642000,0.6670000,0.6616000,0.6629000,281054,1712117159999,186704.5785000,1007,94881,1712120100000,0.6713
1712117160000,0.6627000,0.6629000,0.6579000,0.6596000,764590,1712117219999,504450.0442000,2237,284623,1712120100000,0.6713
1712117220000,0.6596000,0.6612000,0.6576000,0.6576000,360816,1712117279999,237941.4045000,1140,195562,1712120100000,0.6713
1712117280000,0.6576000,0.6585000,0.6555000,0.6561000,381520,1712117339999,250593.7955000,1040,114138,1712120100000,0.6713
1712117340000,0.6561000,0.6577000,0.6555000,0.6560000,253501,1712117399999,166445.4400000,736,145137,1712120100000,0.6713
1712117400000,0.6561000,0.6595000,0.6561000,0.6577000,132521,1712117459999,87132.0073000,479,87380,1712120100000,0.6713
1712117460000,0.6576000,0.6602000,0.6576000,0.6583000,140217,1712117519999,92432.6538000,485,63092,1712120100000,0.6713
1712117520000,0.6582000,0.6589000,0.6566000,0.6572000,77238,1712117579999,50797.3161000,286,33024,1712120100000,0.6713
1712117580000,0.6571000,0.6572000,0.6555000,0.6555000,108994,1712117639999,71545.1013000,365,26879,1712120100000,0.6713
1712117640000,0.6557000,0.6577000,0.6551000,0.6568000,169328,1712117699999,111154.9254000,519,104151,1712120100000,0.6713
1712117700000,0.6567000,0.6583000,0.6554000,0.6583000,239090,1712117759999,157079.4204000,655,123084,1712120100000,0.6713
1712117760000,0.6584000,0.6584000,0.6561000,0.6562000,105823,1712117819999,69581.2663000,308,31497,1712120100000,0.6713
