Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710542760000,0.0060100,0.0060150,0.0060090,0.0060140,218170,1710542819999,1311.6773160,36,203070,1710548100000,0.006125
1710542820000,0.0060150,0.0060160,0.0060060,0.0060100,780725,1710542879999,4693.9130670,89,81426,1710548100000,0.006125
1710542880000,0.0060090,0.0060110,0.0060080,0.0060090,42713,1710542939999,256.6646210,19,37509,1710548100000,0.006125
1710542940000,0.0060100,0.0060200,0.0060100,0.0060170,520691,1710542999999,3131.8452670,56,352228,1710548100000,0.006125
1710543000000,0.0060160,0.0060190,0.0060130,0.0060130,639356,1710543059999,3845.6690340,63,35423,1710548100000,0.006125
1710543060000,0.0060120,0.0060120,0.0060030,0.0060120,352383,1710543119999,2116.7352470,62,177907,1710548100000,0.006125
1710543120000,0.0060140,0.0060190,0.0060120,0.0060190,189543,1710543179999,1139.9037540,41,87158,1710548100000,0.006125
1710543180000,0.0060190,0.0060260,0.0060190,0.0060220,237296,1710543239999,1429.0638460,45,210739,1710548100000,0.006125
1710543240000,0.0060220,0.0060250,0.0060210,0.0060250,128100,1710543299999,771.4169410,22,67786,1710548100000,0.006125
1710543300000,0.0060250,0.0060320,0.0060250,0.0060320,268412,1710543359999,1618.5341290,43,212123,1710548100000,0.006125
1710543360000,0.0060320,0.0060380,0.0060320,0.0060370,303288,1710543419999,1830.2695020,42,195957,1710548100000,0.006125
1710543420000,0.0060370,0.0060420,0.0060310,0.0060330,854319,1710543479999,5155.9760640,93,261104,1710548100000,0.006125
1710543480000,0.0060330,0.0060400,0.0060290,0.0060290,805779,1710543539999,4862.8582350,106,68101,1710548100000,0.006125
1710543540000,0.0060290,0.0060380,0.0060240,0.0060370,650107,1710543599999,3920.9411120,69,327134,1710548100000,0.006125
1710543600000,0.0060380,0.0060400,0.0060230,0.0060270,938518,1710543659999,5660.5671580,161,389767,1710548100000,0.006125
1710543660000,0.0060270,0.0060280,0.0060090,0.0060200,1040544,1710543719999,6259.1565780,116,327105,1710548100000,0.006125
1710543720000,0.0060160,0.0060170,0.0060070,0.0060140,506955,1710543779999,3047.0193920,57,205637,1710548100000,0.006125
1710543780000,0.0060140,0.0060170,0.0060100,0.0060150,238458,1710543839999,1433.9334320,45,148355,1710548100000,0.006125
1710543840000,0.0060150,0.0060150,0.0060130,0.0060130,367171,1710543899999,2208.3774260,25,261776,1710548100000,0.006125
1710543900000,0.0060110,0.0060180,0.0060100,0.0060170,397183,1710543959999,2388.4154220,58,161392,1710548100000,0.006125
1710543960000,0.0060190,0.0060200,0.0060060,0.0060090,523278,1710544019999,3145.8950680,66,243504,1710548100000,0.006125
1710544020000,0.0060110,0.0060120,0.0060080,0.0060100,346352,1710544079999,2081.6938820,32,186748,1710548100000,0.006125
1710544080000,0.0060070,0.0060150,0.0060070,0.0060150,799197,1710544139999,4804.5939950,40,667184,1710548100000,0.006125
1710544140000,0.0060150,0.0060220,0.0060150,0.0060220,130061,1710544199999,782.6404560,17,116946,1710548100000,0.006125
1710544200000,0.0060220,0.0060270,0.0060190,0.0060240,323379,1710544259999,1947.9626730,48,39935,1710548100000,0.006125
1710544260000,0.0060240,0.0060260,0.0060230,0.0060260,69492,1710544319999,418.7410400,10,69268,1710548100000,0.006125
1710544320000,0.0060270,0.0060380,0.0060270,0.0060350,153836,1710544379999,927.9247530,26,100835,1710548100000,0.006125
1710544380000,0.0060350,0.0060350,0.0060290,0.0060290,73317,1710544439999,442.2388090,18,5978,1710548100000,0.006125
1710544440000,0.0060270,0.0060290,0.0060260,0.0060260,47142,1710544499999,284.1492810,13,11453,1710548100000,0.006125
1710544500000,0.0060280,0.0060300,0.0060210,0.0060250,698626,1710544559999,4208.5067720,54,92857,1710548100000,0.006125
1710544560000,0.0060260,0.0060280,0.0060190,0.0060190,357925,1710544619999,2155.3038970,50,103257,1710548100000,0.006125
1710544620000,0.0060180,0.0060220,0.0060180,0.0060210,215658,1710544679999,1298.0263270,37,79300,1710548100000,0.006125
1710544680000,0.0060210,0.0060210,0.0060150,0.0060150,105956,1710544739999,637.4609080,15,0,1710548100000,0.006125
1710544740000,0.0060130,0.0060160,0.0060120,0.0060130,867175,1710544799999,5215.6070020,67,444880,1710548100000,0.006125
1710544800000,0.0060140,0.0060250,0.0060140,0.0060240,111100,1710544859999,668.8561280,32,72938,1710548100000,0.006125
1710544860000,0.0060230,0.0060230,0.0060190,0.0060190,78233,1710544919999,471.0153970,16,5616,1710548100000,0.006125
1710544920000,0.0060210,0.0060210,0.0060090,0.0060100,685146,1710544979999,4119.8785890,54,50543,1710548100000,0.006125
1710544980000,0.0060090,0.0060170,0.0060090,0.0060170,291701,1710545039999,1753.7224680,28,192124,1710548100000,0.006125
1710545040000,0.0060190,0.0060270,0.0060180,0.0060270,222878,1710545099999,1342.1921120,32,219491,1710548100000,0.006125
1710545100000,0.0060280,0.0060320,0.0060280,0.0060320,454208,1710545159999,2738.8480290,55,180120,1710548100000,0.006125
1710545160000,0.0060330,0.0060370,0.0060330,0.0060370,180196,1710545219999,1087.4993890,27,139495,1710548100000,0.006125
1710545220000,0.0060370,0.0060380,0.0060310,0.0060310,135873,1710545279999,819.8919580,21,41698,1710548100000,0.006125
1710545280000,0.0060310,0.0060410,0.0060300,0.0060390,1117693,1710545339999,6747.0396720,91,997218,1710548100000,0.006125
1710545340000,0.0060410,0.0060470,0.0060410,0.0060450,406899,1710545399999,2459.6880920,43,212051,1710548100000,0.006125
1710545400000,0.0060430,0.0060500,0.0060410,0.0060410,1043827,1710545459999,6311.2426430,70,261786,1710548100000,0.006125
1710545460000,0.0060400,0.0060410,0.0060390,0.0060410,150814,1710545519999,910.9029580,17,112655,1710548100000,0.006125
1710545520000,0.0060410,0.0060450,0.0060410,0.0060420,215057,1710545579999,1299.3763930,17,62427,1710548100000,0.006125
1710545580000,0.0060450,0.0060490,0.0060400,0.0060420,731841,1710545639999,4423.2896000,73,276769,1710548100000,0.006125
1710545640000,0.0060430,0.0060580,0.0060430,0.0060560,705788,1710545699999,4270.1894580,60,491578,1710548100000,0.006125
1710545700000,0.0060560,0.0060560,0.0060470,0.0060540,347086,1710545759999,2100.3553490,54,154680,1710548100000,0.006125
1710545760000,0.0060550,0.0060560,0.0060520,0.0060550,194440,1710545819999,1177.0796610,25,76770,1710548100000,0.006125
1710545820000,0.0060570,0.0060590,0.0060560,0.0060580,61047,1710545879999,369.7608170,6,40741,1710548100000,0.006125
1710545880000,0.0060590,0.0060610,0.0060560,0.0060560,387284,1710545939999,2346.0159290,34,4277,1710548100000,0.006125
1710545940000,0.0060570,0.0060610,0.0060540,0.0060600,255417,1710545999999,1547.1107540,31,144421,1710548100000,0.006125
1710546000000,0.0060610,0.0060640,0.0060590,0.0060640,342577,1710546059999,2076.6553830,20,289800,1710548100000,0.006125
1710546060000,0.0060640,0.0060640,0.0060570,0.0060580,298777,1710546119999,1810.6919740,39,46718,1710548100000,0.006125
1710546120000,0.0060580,0.0060590,0.0060550,0.0060550,403373,1710546179999,2442.8613320,27,25435,1710548100000,0.006125
1710546180000,0.0060560,0.0060650,0.0060560,0.0060650,343243,1710546239999,2080.7384310,37,334464,1710548100000,0.006125
1710546240000,0.0060660,0.0060670,0.0060650,0.0060660,208641,1710546299999,1265.6198920,22,49995,1710548100000,0.006125
1710546300000,0.0060670,0.0060670,0.0060540,0.0060550,418522,1710546359999,2536.9886330,65,174300,1710548100000,0.006125
1710546360000,0.0060560,0.0060560,0.0060530,0.0060540,134903,1710546419999,816.7223030,20,86524,1710548100000,0.006125
1710546420000,0.0060520,0.0060520,0.0060390,0.0060470,639645,1710546479999,3867.7108070,73,38794,1710548100000,0.006125
1710546480000,0.0060480,0.0060540,0.0060400,0.0060490,2428308,1710546539999,14679.5823740,114,411461,1710548100000,0.006125
1710546540000,0.0060480,0.0060590,0.0060480,0.0060590,540385,1710546599999,3269.8030660,40,539239,1710548100000,0.006125
1710546600000,0.0060590,0.0060640,0.0060550,0.0060550,1566777,1710546659999,9495.0002680,84,325784,1710548100000,0.006125
1710546660000,0.0060550,0.0060550,0.0060420,0.0060420,732470,1710546719999,4430.6747900,81,104870,1710548100000,0.006125
1710546720000,0.0060410,0.0060440,0.0060380,0.0060430,209778,1710546779999,1267.2581270,54,108115,1710548100000,0.006125
1710546780000,0.0060430,0.0060470,0.0060430,0.0060430,166852,1710546839999,1008.7671160,27,106367,1710548100000,0.006125
1710546840000,0.0060400,0.0060430,0.0060400,0.0060410,143960,1710546899999,869.7643660,17,64144,1710548100000,0.006125
1710546900000,0.0060420,0.0060500,0.0060410,0.0060500,141653,1710546959999,855.9493220,26,121428,1710548100000,0.006125
1710546960000,0.0060490,0.0060490,0.0060350,0.0060370,1620281,1710547019999,9782.6548840,106,79728,1710548100000,0.006125
1710547020000,0.0060360,0.0060420,0.0060360,0.0060380,427889,1710547079999,2584.3857420,65,222897,1710548100000,0.006125
1710547080000,0.0060370,0.0060390,0.0060320,0.0060390,459973,1710547139999,2775.8000080,71,139575,1710548100000,0.006125
1710547140000,0.0060410,0.0060480,0.0060390,0.0060470,383302,1710547199999,2315.9011180,61,188746,1710548100000,0.006125
1710547200000,0.0060470,0.0060520,0.0060430,0.0060480,2147689,1710547259999,12987.1796200,168,935830,1710548100000,0.006125
1710547260000,0.0060480,0.0060480,0.0060370,0.0060400,568949,1710547319999,3437.6664330,95,232007,1710548100000,0.006125
1710547320000,0.0060400,0.0060400,0.0060300,0.0060350,1870423,1710547379999,11285.8760490,152,633868,1710548100000,0.006125
1710547380000,0.0060340,0.0060510,0.0060310,0.0060510,2373053,1710547439999,14341.9726700,164,1943640,1710548100000,0.006125
1710547440000,0.0060500,0.0060530,0.0060480,0.0060530,701390,1710547499999,4243.3077310,64,542176,1710548100000,0.006125
1710547500000,0.0060520,0.0060670,0.0060520,0.0060640,1069178,1710547559999,6480.8268190,113,543864,1710548100000,0.006125
1710547560000,0.0060630,0.0060740,0.0060610,0.0060720,637357,1710547619999,3867.4534570,79,354816,1710548100000,0.006125
