Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712156520000,0.0368950,0.0369150,0.0368210,0.0368320,2117206,1712156579999,78052.0729970,652,690545,1712161920000,0.036295
1712156580000,0.0368330,0.0368830,0.0368080,0.0368830,1742321,1712156639999,64172.3131300,479,988127,1712161920000,0.036295
1712156640000,0.0368830,0.0369830,0.0368710,0.0369730,1283558,1712156699999,47399.1189130,358,989295,1712161920000,0.036295
1712156700000,0.0369740,0.0369800,0.0367970,0.0368270,3313458,1712156759999,122252.5726810,865,759724,1712161920000,0.036295
1712156760000,0.0368280,0.0368280,0.0367390,0.0368150,2803648,1712156819999,103094.7645800,817,1001072,1712161920000,0.036295
1712156820000,0.0368200,0.0368630,0.0367260,0.0367540,3872137,1712156879999,142451.9697780,892,930852,1712161920000,0.036295
1712156880000,0.0367560,0.0367920,0.0366810,0.0367560,5175667,1712156939999,190151.4596810,1171,2268631,1712161920000,0.036295
1712156940000,0.0367560,0.0367810,0.0367060,0.0367710,2131391,1712156999999,78295.3055170,583,1130964,1712161920000,0.036295
1712157000000,0.0367720,0.0367730,0.0366920,0.0366980,1736667,1712157059999,63770.9625150,466,753837,1712161920000,0.036295
1712157060000,0.0366960,0.0367350,0.0366340,0.0367240,2683876,1712157119999,98445.6878920,758,1330466,1712161920000,0.036295
1712157120000,0.0367230,0.0368290,0.0367230,0.0367770,3194026,1712157179999,117479.8797930,691,2619639,1712161920000,0.036295
1712157180000,0.0367760,0.0368400,0.0367570,0.0367910,2308654,1712157239999,84970.8783510,563,1303523,1712161920000,0.036295
1712157240000,0.0367900,0.0368220,0.0367650,0.0367710,743937,1712157299999,27371.4453720,278,377539,1712161920000,0.036295
1712157300000,0.0367730,0.0368100,0.0367050,0.0367400,4003007,1712157359999,147095.3001490,623,2264534,1712161920000,0.036295
1712157360000,0.0367430,0.0367510,0.0366430,0.0366610,2386106,1712157419999,87536.2615450,515,863359,1712161920000,0.036295
1712157420000,0.0366600,0.0367100,0.0366000,0.0366000,3509294,1712157479999,128627.4567810,629,916547,1712161920000,0.036295
1712157480000,0.0366010,0.0366610,0.0366000,0.0366140,2368609,1712157539999,86771.4648270,401,1532908,1712161920000,0.036295
1712157540000,0.0366130,0.0366760,0.0366040,0.0366590,1110998,1712157599999,40706.9875750,297,511591,1712161920000,0.036295
1712157600000,0.0366540,0.0366600,0.0365610,0.0365660,3175743,1712157659999,116191.2505960,802,1302279,1712161920000,0.036295
1712157660000,0.0365710,0.0366480,0.0365620,0.0366240,2008271,1712157719999,73504.0245730,625,1009203,1712161920000,0.036295
1712157720000,0.0366230,0.0366680,0.0365260,0.0365370,2202803,1712157779999,80593.4940130,604,469743,1712161920000,0.036295
1712157780000,0.0365370,0.0366300,0.0365250,0.0366030,2725160,1712157839999,99679.7047710,531,1494444,1712161920000,0.036295
1712157840000,0.0366030,0.0366060,0.0365270,0.0365270,1384783,1712157899999,50626.1811460,423,390117,1712161920000,0.036295
1712157900000,0.0365280,0.0365300,0.0363930,0.0364000,8350978,1712157959999,304486.2158440,1309,1397774,1712161920000,0.036295
1712157960000,0.0363980,0.0364400,0.0362840,0.0363250,11136444,1712158019999,404830.1581960,1589,3645169,1712161920000,0.036295
1712158020000,0.0363300,0.0364200,0.0363150,0.0364170,4001014,1712158079999,145514.4391110,773,2371026,1712161920000,0.036295
1712158080000,0.0364200,0.0365020,0.0364100,0.0364920,2467316,1712158139999,89984.7285110,536,2016410,1712161920000,0.036295
1712158140000,0.0364900,0.0365410,0.0364900,0.0365250,2905961,1712158199999,106111.8447140,485,1324705,1712161920000,0.036295
1712158200000,0.0365300,0.0365360,0.0364170,0.0364270,3314255,1712158259999,120914.5804100,762,990856,1712161920000,0.036295
1712158260000,0.0364300,0.0364710,0.0362720,0.0363200,7305251,1712158319999,265720.6199010,1362,2700365,1712161920000,0.036295
1712158320000,0.0363160,0.0363390,0.0361620,0.0362370,10423148,1712158379999,377763.2787140,2060,3998075,1712161920000,0.036295
1712158380000,0.0362390,0.0363140,0.0362010,0.0362220,5387428,1712158439999,195395.9536840,1165,3786056,1712161920000,0.036295
1712158440000,0.0362230,0.0362660,0.0361170,0.0361690,4856857,1712158499999,175737.3765210,1098,2290978,1712161920000,0.036295
1712158500000,0.0361660,0.0361660,0.0360170,0.0361130,8189465,1712158559999,295554.4904830,1624,4436707,1712161920000,0.036295
1712158560000,0.0361080,0.0361910,0.0360550,0.0361230,12281929,1712158619999,443427.1553470,1683,4783449,1712161920000,0.036295
1712158620000,0.0361230,0.0361950,0.0360500,0.0361840,14342211,1712158679999,518067.3959650,1791,8133961,1712161920000,0.036295
1712158680000,0.0361880,0.0362750,0.0361230,0.0362000,21859493,1712158739999,791019.2588080,1752,14049592,1712161920000,0.036295
1712158740000,0.0362040,0.0362580,0.0361620,0.0361820,3445476,1712158799999,124772.5629250,741,979854,1712161920000,0.036295
1712158800000,0.0361820,0.0362890,0.0361700,0.0362480,3651371,1712158859999,132280.9396260,895,1732823,1712161920000,0.036295
1712158860000,0.0362560,0.0363200,0.0362370,0.0362770,5012943,1712158919999,181871.2203200,1064,1738911,1712161920000,0.036295
1712158920000,0.0362770,0.0363710,0.0362670,0.0363140,3025574,1712158979999,109840.8538850,656,1887060,1712161920000,0.036295
1712158980000,0.0363120,0.0363270,0.0362340,0.0362490,3134877,1712159039999,113726.9612500,603,1152884,1712161920000,0.036295
1712159040000,0.0362510,0.0362710,0.0360720,0.0361790,6601109,1712159099999,238635.0452060,1066,1821782,1712161920000,0.036295
1712159100000,0.0361630,0.0362010,0.0361050,0.0361580,2456998,1712159159999,88830.3814380,564,1087454,1712161920000,0.036295
1712159160000,0.0361590,0.0362870,0.0361560,0.0362690,2650738,1712159219999,96010.6988860,724,1656991,1712161920000,0.036295
1712159220000,0.0362730,0.0362840,0.0362010,0.0362050,1629108,1712159279999,59056.7233810,431,703917,1712161920000,0.036295
1712159280000,0.0362050,0.0362750,0.0361630,0.0362570,2354078,1712159339999,85257.4150830,608,1046278,1712161920000,0.036295
1712159340000,0.0362590,0.0362920,0.0361960,0.0361990,3233979,1712159399999,117233.8175940,628,1749211,1712161920000,0.036295
1712159400000,0.0361980,0.0361980,0.0361290,0.0361620,3549098,1712159459999,128334.8855930,708,1269835,1712161920000,0.036295
1712159460000,0.0361590,0.0361930,0.0360840,0.0361570,3668877,1712159519999,132599.4485530,755,2227210,1712161920000,0.036295
1712159520000,0.0361490,0.0361530,0.0360420,0.0360760,2057172,1712159579999,74225.0229940,613,1016977,1712161920000,0.036295
1712159580000,0.0360750,0.0361090,0.0360280,0.0360800,2596208,1712159639999,93648.3851160,450,1777715,1712161920000,0.036295
1712159640000,0.0360750,0.0361000,0.0360260,0.0360870,1878519,1712159699999,67750.9295530,615,1217665,1712161920000,0.036295
1712159700000,0.0360860,0.0361190,0.0360640,0.0360850,1746517,1712159759999,63039.6748010,371,1237709,1712161920000,0.036295
