Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711411080000,108.0300,108.0600,107.9900,107.9900,32.86,1711411139999,3549.871600,60,13.76,1711416480000,108.89
1711411140000,108.0000,108.0400,107.9700,108.0100,22.19,1711411199999,2396.538900,39,10.72,1711416480000,108.89
1711411200000,108.0100,108.0200,107.8500,107.8800,84.77,1711411259999,9151.111500,129,25.34,1711416480000,108.89
1711411260000,107.8800,107.9000,107.7900,107.7900,64.33,1711411319999,6934.928800,69,2.12,1711416480000,108.89
1711411320000,107.7800,107.7800,107.5400,107.5700,160.32,1711411379999,17255.231100,194,44.56,1711416480000,108.89
1711411380000,107.5700,107.5700,107.3700,107.3800,75.32,1711411439999,8092.951000,107,8.75,1711416480000,108.89
1711411440000,107.3800,107.4800,107.1300,107.1800,467.64,1711411499999,50166.254800,346,133.28,1711416480000,108.89
1711411500000,107.1700,107.2500,107.1700,107.2500,128.40,1711411559999,13767.508800,147,85.14,1711416480000,108.89
1711411560000,107.2500,107.4300,107.1700,107.1700,230.06,1711411619999,24680.721700,150,110.27,1711416480000,108.89
1711411620000,107.1700,107.4000,107.1700,107.3000,128.93,1711411679999,13834.422100,116,90.10,1711416480000,108.89
1711411680000,107.3400,107.5100,107.3000,107.3000,133.87,1711411739999,14377.396700,141,59.03,1711416480000,108.89
1711411740000,107.3100,107.4300,107.2300,107.3600,162.52,1711411799999,17443.593200,143,83.96,1711416480000,108.89
1711411800000,107.3400,107.4000,107.2400,107.3600,65.14,1711411859999,6992.040500,77,33.40,1711416480000,108.89
1711411860000,107.3600,107.4800,107.1700,107.2300,272.60,1711411919999,29251.013200,226,68.53,1711416480000,108.89
1711411920000,107.2200,107.2900,107.0900,107.0900,244.80,1711411979999,26247.907500,157,160.99,1711416480000,108.89
1711411980000,107.0900,107.1500,107.0700,107.1300,137.14,1711412039999,14691.759500,105,94.11,1711416480000,108.89
1711412040000,107.1400,107.1400,107.1000,107.1100,29.81,1711412099999,3193.216800,25,1.21,1711416480000,108.89
1711412100000,107.1100,107.1700,107.0900,107.0900,172.03,1711412159999,18432.536800,78,138.81,1711416480000,108.89
1711412160000,107.1000,107.1400,107.0600,107.1200,67.62,1711412219999,7241.669300,86,33.94,1711416480000,108.89
1711412220000,107.1500,107.2500,107.0800,107.0800,140.59,1711412279999,15071.492400,99,55.17,1711416480000,108.89
1711412280000,107.0700,107.1100,106.8600,106.9100,368.22,1711412339999,39378.253800,206,91.07,1711416480000,108.89
1711412340000,106.9400,107.4300,106.9400,107.4300,79.23,1711412399999,8498.479400,109,55.42,1711416480000,108.89
1711412400000,107.4500,107.5700,107.4000,107.5700,77.79,1711412459999,8360.020600,104,21.05,1711416480000,108.89
1711412460000,107.5600,107.6100,107.4700,107.5900,40.14,1711412519999,4317.349100,58,15.96,1711416480000,108.89
1711412520000,107.5700,107.6300,107.5500,107.6200,31.63,1711412579999,3402.984700,50,8.29,1711416480000,108.89
1711412580000,107.6000,107.6000,107.4300,107.4900,94.17,1711412639999,10125.196300,99,9.39,1711416480000,108.89
1711412640000,107.4900,107.6500,107.4600,107.6500,46.16,1711412699999,4963.631700,56,36.83,1711416480000,108.89
1711412700000,107.6400,107.8100,107.6400,107.7600,59.66,1711412759999,6428.185500,86,32.85,1711416480000,108.89
1711412760000,107.7600,107.8700,107.7000,107.7600,76.53,1711412819999,8249.095100,85,30.99,1711416480000,108.89
1711412820000,107.7500,107.8700,107.7200,107.8400,89.05,1711412879999,9598.958900,99,35.11,1711416480000,108.89
1711412880000,107.8700,107.8800,107.8400,107.8400,10.43,1711412939999,1124.933900,14,4.17,1711416480000,108.89
1711412940000,107.8400,107.9000,107.8400,107.8600,41.82,1711412999999,4511.197800,35,32.17,1711416480000,108.89
1711413000000,107.8500,108.0000,107.8200,107.9800,105.85,1711413059999,11421.787800,116,60.51,1711416480000,108.89
1711413060000,107.9700,108.0400,107.8600,107.9900,75.21,1711413119999,8119.351700,93,49.98,1711416480000,108.89
1711413120000,107.9900,108.0300,107.9100,108.0200,103.13,1711413179999,11133.463900,112,67.70,1711416480000,108.89
1711413180000,108.0300,108.0300,107.8400,107.9400,109.65,1711413239999,11836.904600,127,32.68,1711416480000,108.89
1711413240000,107.9500,108.1000,107.8800,108.0900,68.84,1711413299999,7434.182600,107,50.79,1711416480000,108.89
1711413300000,108.0700,108.1900,108.0000,108.1700,85.01,1711413359999,9191.221600,111,53.09,1711416480000,108.89
1711413360000,108.1700,108.2000,108.0300,108.2000,81.77,1711413419999,8840.829200,64,38.56,1711416480000,108.89
1711413420000,108.2100,108.2200,108.1800,108.2200,52.11,1711413479999,5638.817500,52,13.72,1711416480000,108.89
1711413480000,108.2300,108.2300,108.0600,108.0600,28.92,1711413539999,3127.018200,63,4.55,1711416480000,108.89
1711413540000,108.0500,108.0700,107.9200,107.9700,150.84,1711413599999,16289.370000,136,35.86,1711416480000,108.89
1711413600000,107.9800,108.1500,107.9800,108.0600,139.18,1711413659999,15045.404400,87,118.41,1711416480000,108.89
1711413660000,108.0700,108.1000,107.8400,107.9000,200.32,1711413719999,21618.780900,161,55.70,1711416480000,108.89
1711413720000,107.9200,107.9200,107.8600,107.8600,24.10,1711413779999,2600.209400,37,5.96,1711416480000,108.89
1711413780000,107.8500,107.9200,107.8400,107.8400,23.76,1711413839999,2563.109000,27,5.86,1711416480000,108.89
1711413840000,107.8300,107.8400,107.7700,107.8100,28.66,1711413899999,3089.622100,44,9.16,1711416480000,108.89
1711413900000,107.8200,107.9000,107.7400,107.7500,194.69,1711413959999,20993.434500,173,124.95,1711416480000,108.89
1711413960000,107.7500,107.7500,107.6100,107.6700,121.90,1711414019999,13122.653500,110,43.33,1711416480000,108.89
1711414020000,107.6900,107.7700,107.6800,107.7100,24.53,1711414079999,2642.558400,49,14.46,1711416480000,108.89
1711414080000,107.6800,107.7100,107.6500,107.7100,41.55,1711414139999,4474.021100,50,17.17,1711416480000,108.89
1711414140000,107.6900,107.7200,107.6400,107.6600,38.56,1711414199999,4152.129100,58,19.16,1711416480000,108.89
1711414200000,107.6700,107.6800,107.5700,107.5800,32.10,1711414259999,3454.079800,57,4.78,1711416480000,108.89
1711414260000,107.5400,107.5400,107.4200,107.4300,35.69,1711414319999,3836.245100,66,7.92,1711416480000,108.89
1711414320000,107.4600,107.7000,107.4600,107.6200,173.82,1711414379999,18707.048400,165,121.91,1711416480000,108.89
1711414380000,107.6200,107.6200,107.4400,107.4500,100.48,1711414439999,10802.315900,131,36.60,1711416480000,108.89
1711414440000,107.4700,107.4900,107.4300,107.4300,38.20,1711414499999,4105.017400,37,19.69,1711416480000,108.89
