Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712227740000,1.0644000,1.0652000,1.0644000,1.0646000,3119,1712227799999,3321.3899000,30,694,1712233140000,1.0833
1712227800000,1.0646000,1.0658000,1.0646000,1.0658000,7992,1712227859999,8512.7348000,35,6013,1712233140000,1.0833
1712227860000,1.0658000,1.0661000,1.0653000,1.0657000,3389,1712227919999,3611.9142000,51,1947,1712233140000,1.0833
1712227920000,1.0656000,1.0662000,1.0655000,1.0656000,2649,1712227979999,2822.9404000,25,1827,1712233140000,1.0833
1712227980000,1.0655000,1.0656000,1.0648000,1.0648000,16581,1712228039999,17666.4926000,80,11206,1712233140000,1.0833
1712228040000,1.0645000,1.0651000,1.0645000,1.0650000,1372,1712228099999,1460.9151000,22,344,1712233140000,1.0833
1712228100000,1.0652000,1.0652000,1.0643000,1.0649000,1399,1712228159999,1489.6821000,37,345,1712233140000,1.0833
1712228160000,1.0646000,1.0649000,1.0639000,1.0646000,1721,1712228219999,1831.9304000,36,641,1712233140000,1.0833
1712228220000,1.0645000,1.0646000,1.0639000,1.0639000,4083,1712228279999,4344.6280000,34,908,1712233140000,1.0833
1712228280000,1.0641000,1.0649000,1.0641000,1.0649000,8471,1712228339999,9018.9716000,38,7754,1712233140000,1.0833
1712228340000,1.0649000,1.0649000,1.0639000,1.0639000,11691,1712228399999,12444.7525000,61,30,1712233140000,1.0833
1712228400000,1.0639000,1.0643000,1.0637000,1.0637000,6982,1712228459999,7428.7751000,43,4949,1712233140000,1.0833
1712228460000,1.0638000,1.0642000,1.0637000,1.0641000,867,1712228519999,922.5349000,28,663,1712233140000,1.0833
1712228520000,1.0642000,1.0644000,1.0639000,1.0640000,6130,1712228579999,6523.0992000,79,1876,1712233140000,1.0833
1712228580000,1.0640000,1.0644000,1.0639000,1.0643000,7690,1712228639999,8184.1766000,56,5370,1712233140000,1.0833
1712228640000,1.0644000,1.0654000,1.0639000,1.0640000,104122,1712228699999,110835.4601000,161,87619,1712233140000,1.0833
1712228700000,1.0641000,1.0642000,1.0637000,1.0640000,8246,1712228759999,8772.3505000,72,1913,1712233140000,1.0833
1712228760000,1.0641000,1.0645000,1.0632000,1.0632000,19733,1712228819999,20989.4028000,88,319,1712233140000,1.0833
1712228820000,1.0632000,1.0632000,1.0626000,1.0629000,20716,1712228879999,22018.7727000,125,10911,1712233140000,1.0833
1712228880000,1.0630000,1.0650000,1.0630000,1.0650000,13454,1712228939999,14315.7006000,87,10439,1712233140000,1.0833
1712228940000,1.0650000,1.0653000,1.0639000,1.0642000,8343,1712228999999,8882.4480000,82,4130,1712233140000,1.0833
1712229000000,1.0641000,1.0641000,1.0630000,1.0636000,9859,1712229059999,10485.5841000,52,6528,1712233140000,1.0833
1712229060000,1.0637000,1.0637000,1.0632000,1.0636000,2132,1712229119999,2267.3971000,45,817,1712233140000,1.0833
1712229120000,1.0634000,1.0634000,1.0623000,1.0623000,9584,1712229179999,10183.3230000,75,1283,1712233140000,1.0833
1712229180000,1.0624000,1.0625000,1.0619000,1.0619000,7035,1712229239999,7472.2229000,49,1911,1712233140000,1.0833
1712229240000,1.0618000,1.0618000,1.0607000,1.0611000,6488,1712229299999,6885.8336000,61,1088,1712233140000,1.0833
1712229300000,1.0611000,1.0622000,1.0608000,1.0617000,13728,1712229359999,14568.5255000,94,5444,1712233140000,1.0833
1712229360000,1.0617000,1.0626000,1.0614000,1.0626000,2608,1712229419999,2770.8134000,38,2381,1712233140000,1.0833
1712229420000,1.0625000,1.0635000,1.0624000,1.0635000,3844,1712229479999,4085.3582000,35,3069,1712233140000,1.0833
1712229480000,1.0636000,1.0639000,1.0630000,1.0631000,4486,1712229539999,4771.8745000,39,175,1712233140000,1.0833
1712229540000,1.0631000,1.0640000,1.0628000,1.0628000,5774,1712229599999,6139.1290000,59,1360,1712233140000,1.0833
