Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710308280000,2744.60,2750.40,2743.50,2748.70,61.705,1710308339999,169469.75090,443,51.560,1710313680000,2778.2
1710308340000,2748.70,2754.00,2748.20,2751.70,22.633,1710308399999,62266.07390,467,14.758,1710313680000,2778.2
1710308400000,2752.00,2752.80,2747.00,2747.00,27.917,1710308459999,76782.91570,453,11.375,1710313680000,2778.2
1710308460000,2747.00,2748.60,2744.10,2745.60,17.322,1710308519999,47571.27630,317,10.599,1710313680000,2778.2
1710308520000,2745.40,2745.40,2742.00,2742.70,14.205,1710308579999,38971.76010,255,5.597,1710313680000,2778.2
1710308580000,2742.70,2744.60,2742.30,2742.70,17.173,1710308639999,47106.78650,303,7.700,1710313680000,2778.2
1710308640000,2742.80,2748.00,2742.00,2747.00,19.051,1710308699999,52306.71080,339,13.334,1710313680000,2778.2
1710308700000,2747.00,2749.20,2744.00,2745.70,55.838,1710308759999,153358.17420,913,15.018,1710313680000,2778.2
1710308760000,2745.60,2745.60,2735.00,2739.20,84.709,1710308819999,232045.78120,672,15.483,1710313680000,2778.2
1710308820000,2739.10,2740.20,2735.50,2740.20,99.269,1710308879999,271858.15320,433,91.590,1710313680000,2778.2
1710308880000,2740.30,2741.60,2737.10,2738.30,30.945,1710308939999,84749.97880,499,14.937,1710313680000,2778.2
1710308940000,2738.80,2739.20,2734.90,2737.50,42.278,1710308999999,115692.76330,372,19.379,1710313680000,2778.2
1710309000000,2737.40,2737.90,2734.90,2736.50,40.678,1710309059999,111304.84830,414,13.479,1710313680000,2778.2
1710309060000,2736.40,2736.70,2732.20,2734.70,24.998,1710309119999,68342.72740,977,10.122,1710313680000,2778.2
1710309120000,2735.10,2739.00,2731.90,2733.80,67.139,1710309179999,183621.11210,667,25.390,1710313680000,2778.2
1710309180000,2733.70,2735.90,2732.30,2733.50,20.195,1710309239999,55210.69040,377,9.181,1710313680000,2778.2
1710309240000,2733.50,2736.10,2731.60,2734.10,32.873,1710309299999,89881.46710,469,14.619,1710313680000,2778.2
1710309300000,2734.20,2738.60,2732.30,2732.70,85.380,1710309359999,233597.36140,597,67.056,1710313680000,2778.2
1710309360000,2732.60,2732.70,2728.80,2729.90,48.318,1710309419999,131913.36180,569,10.215,1710313680000,2778.2
1710309420000,2730.10,2730.10,2726.60,2727.80,16.221,1710309479999,44252.12910,309,4.333,1710313680000,2778.2
1710309480000,2727.90,2730.50,2727.90,2729.70,13.932,1710309539999,38023.73420,253,11.146,1710313680000,2778.2
1710309540000,2729.80,2735.10,2728.90,2733.20,45.287,1710309599999,123732.50940,481,39.602,1710313680000,2778.2
1710309600000,2733.50,2736.70,2733.10,2733.10,63.576,1710309659999,173935.51150,551,25.985,1710313680000,2778.2
1710309660000,2733.00,2733.10,2728.30,2728.70,15.365,1710309719999,41954.97980,295,5.974,1710313680000,2778.2
1710309720000,2728.60,2729.90,2727.60,2728.70,12.177,1710309779999,33227.58000,277,6.877,1710313680000,2778.2
1710309780000,2728.80,2730.10,2726.40,2727.10,22.339,1710309839999,60944.99680,311,8.429,1710313680000,2778.2
1710309840000,2727.20,2728.70,2726.10,2727.60,16.573,1710309899999,45201.79070,299,10.121,1710313680000,2778.2
1710309900000,2727.70,2729.20,2727.20,2728.60,15.238,1710309959999,41568.41140,285,11.037,1710313680000,2778.2
