Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711879500000,21.155000,21.164000,21.146000,21.162000,237.74,1711879559999,5030.14961000,42,94.12,1711884900000,21.37
1711879560000,21.167000,21.183000,21.163000,21.182000,657.78,1711879619999,13928.18611000,114,341.22,1711884900000,21.37
1711879620000,21.187000,21.204000,21.176000,21.203000,467.48,1711879679999,9904.69466000,95,297.00,1711884900000,21.37
1711879680000,21.205000,21.210000,21.196000,21.202000,631.83,1711879739999,13396.93335000,89,227.09,1711884900000,21.37
1711879740000,21.201000,21.208000,21.189000,21.207000,720.11,1711879799999,15264.70631000,86,553.46,1711884900000,21.37
1711879800000,21.210000,21.218000,21.210000,21.218000,244.08,1711879859999,5178.38209000,37,129.24,1711884900000,21.37
1711879860000,21.219000,21.228000,21.203000,21.209000,751.14,1711879919999,15936.80481000,114,400.45,1711884900000,21.37
1711879920000,21.211000,21.224000,21.211000,21.218000,360.28,1711879979999,7644.59976000,50,188.48,1711884900000,21.37
1711879980000,21.216000,21.223000,21.215000,21.223000,6.13,1711880039999,130.06671000,5,3.05,1711884900000,21.37
1711880040000,21.223000,21.226000,21.213000,21.221000,245.96,1711880099999,5219.85206000,55,144.55,1711884900000,21.37
1711880100000,21.228000,21.240000,21.224000,21.230000,196.21,1711880159999,4165.91117000,40,149.64,1711884900000,21.37
1711880160000,21.229000,21.250000,21.229000,21.245000,300.70,1711880219999,6386.42526000,45,286.90,1711884900000,21.37
1711880220000,21.242000,21.242000,21.218000,21.229000,179.21,1711880279999,3804.68468000,32,147.36,1711884900000,21.37
1711880280000,21.228000,21.235000,21.228000,21.234000,13.31,1711880339999,282.58000000,9,12.45,1711884900000,21.37
1711880340000,21.238000,21.240000,21.219000,21.229000,179.72,1711880399999,3815.34272000,57,20.08,1711884900000,21.37
1711880400000,21.230000,21.236000,21.215000,21.223000,116.49,1711880459999,2472.72510000,44,66.61,1711884900000,21.37
1711880460000,21.224000,21.224000,21.202000,21.202000,388.21,1711880519999,8233.95100000,32,25.67,1711884900000,21.37
