Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710477180000,2.1743,2.1755,2.1634,2.1671,36390,1710477239999,78920.5581,733,17930,1710482580000,2.1876
1710477240000,2.1673,2.1733,2.1669,2.1688,10035,1710477299999,21773.7911,318,5442,1710482580000,2.1876
1710477300000,2.1688,2.1714,2.1610,2.1628,18630,1710477359999,40342.4130,469,7587,1710482580000,2.1876
1710477360000,2.1631,2.1666,2.1560,2.1607,51640,1710477419999,111600.8719,609,41304,1710482580000,2.1876
1710477420000,2.1612,2.1612,2.1552,2.1603,22284,1710477479999,48105.1350,370,4815,1710482580000,2.1876
1710477480000,2.1607,2.1610,2.1470,2.1515,35407,1710477539999,76209.2907,688,13342,1710482580000,2.1876
1710477540000,2.1520,2.1616,2.1494,2.1529,24249,1710477599999,52266.0009,624,12299,1710482580000,2.1876
1710477600000,2.1530,2.1573,2.1482,2.1525,16323,1710477659999,35146.1303,427,4650,1710482580000,2.1876
1710477660000,2.1529,2.1529,2.1396,2.1433,34573,1710477719999,74161.9360,610,17342,1710482580000,2.1876
1710477720000,2.1447,2.1582,2.1437,2.1571,34548,1710477779999,74287.1134,693,20117,1710482580000,2.1876
1710477780000,2.1570,2.1631,2.1500,2.1511,38921,1710477839999,83894.8363,633,13099,1710482580000,2.1876
1710477840000,2.1520,2.1535,2.1406,2.1408,70131,1710477899999,150570.4731,818,44080,1710482580000,2.1876
1710477900000,2.1418,2.1609,2.1413,2.1575,69359,1710477959999,149370.9864,1142,38803,1710482580000,2.1876
1710477960000,2.1586,2.1650,2.1465,2.1511,33093,1710478019999,71356.6035,679,13012,1710482580000,2.1876
1710478020000,2.1507,2.1609,2.1498,2.1521,45876,1710478079999,98867.1811,977,20771,1710482580000,2.1876
1710478080000,2.1517,2.1582,2.1476,2.1541,41343,1710478139999,88989.2984,916,22741,1710482580000,2.1876
1710478140000,2.1542,2.1605,2.1494,2.1600,18310,1710478199999,39464.8101,512,9314,1710482580000,2.1876
1710478200000,2.1603,2.1614,2.1517,2.1525,14920,1710478259999,32183.2794,450,7404,1710482580000,2.1876
1710478260000,2.1529,2.1563,2.1486,2.1555,20636,1710478319999,44411.0959,495,13052,1710482580000,2.1876
1710478320000,2.1553,2.1600,2.1522,2.1566,21483,1710478379999,46335.3249,436,9807,1710482580000,2.1876
1710478380000,2.1567,2.1624,2.1557,2.1584,26127,1710478439999,56398.1899,491,12583,1710482580000,2.1876
1710478440000,2.1582,2.1590,2.1514,2.1515,10381,1710478499999,22368.5148,327,5931,1710482580000,2.1876
1710478500000,2.1519,2.1520,2.1462,2.1482,14428,1710478559999,30991.6367,372,6926,1710482580000,2.1876
1710478560000,2.1482,2.1586,2.1481,2.1536,21416,1710478619999,46153.5897,430,11662,1710482580000,2.1876
1710478620000,2.1535,2.1571,2.1490,2.1496,9171,1710478679999,19750.2129,288,4367,1710482580000,2.1876
1710478680000,2.1492,2.1577,2.1456,2.1535,14707,1710478739999,31653.5165,377,9132,1710482580000,2.1876
1710478740000,2.1540,2.1571,2.1519,2.1519,8534,1710478799999,18391.9978,251,3441,1710482580000,2.1876
1710478800000,2.1523,2.1611,2.1490,2.1600,28708,1710478859999,61803.9146,395,17016,1710482580000,2.1876
1710478860000,2.1601,2.1718,2.1596,2.1660,59752,1710478919999,129462.6479,976,31387,1710482580000,2.1876
1710478920000,2.1665,2.1815,2.1646,2.1784,37504,1710478979999,81511.3116,691,27074,1710482580000,2.1876
1710478980000,2.1780,2.1899,2.1755,2.1857,78555,1710479039999,171498.9566,1141,50850,1710482580000,2.1876
1710479040000,2.1854,2.1886,2.1802,2.1856,50133,1710479099999,109501.9028,561,19196,1710482580000,2.1876
1710479100000,2.1851,2.1863,2.1784,2.1817,27507,1710479159999,60012.4282,488,8498,1710482580000,2.1876
1710479160000,2.1819,2.1923,2.1803,2.1902,23317,1710479219999,51006.4633,459,9111,1710482580000,2.1876
1710479220000,2.1906,2.1926,2.1891,2.1915,16239,1710479279999,35585.1146,368,10623,1710482580000,2.1876
1710479280000,2.1906,2.1955,2.1846,2.1907,27040,1710479339999,59243.5898,502,19115,1710482580000,2.1876
1710479340000,2.1907,2.1962,2.1872,2.1925,63472,1710479399999,139154.6389,917,39444,1710482580000,2.1876
1710479400000,2.1922,2.1990,2.1914,2.1984,21574,1710479459999,47359.7285,493,13722,1710482580000,2.1876
1710479460000,2.1980,2.1995,2.1893,2.1910,14099,1710479519999,30959.4578,380,6013,1710482580000,2.1876
1710479520000,2.1911,2.1916,2.1806,2.1824,16504,1710479579999,36054.0992,397,8668,1710482580000,2.1876
1710479580000,2.1823,2.1842,2.1785,2.1842,11689,1710479639999,25494.2697,346,7347,1710482580000,2.1876
1710479640000,2.1831,2.1898,2.1823,2.1898,8991,1710479699999,19659.1733,240,5641,1710482580000,2.1876
1710479700000,2.1900,2.1920,2.1865,2.1905,8218,1710479759999,17999.5864,286,4155,1710482580000,2.1876
1710479760000,2.1909,2.1932,2.1808,2.1833,19104,1710479819999,41740.4004,359,10843,1710482580000,2.1876
1710479820000,2.1833,2.1838,2.1743,2.1757,27112,1710479879999,59028.6638,439,14033,1710482580000,2.1876
1710479880000,2.1753,2.1787,2.1724,2.1779,12679,1710479939999,27585.1151,374,7303,1710482580000,2.1876
1710479940000,2.1775,2.1779,2.1714,2.1722,11706,1710479999999,25445.5401,278,2181,1710482580000,2.1876
1710480000000,2.1724,2.1737,2.1629,2.1681,28037,1710480059999,60777.4577,517,13285,1710482580000,2.1876
1710480060000,2.1680,2.1742,2.1677,2.1691,20511,1710480119999,44491.6918,333,11864,1710482580000,2.1876
1710480120000,2.1683,2.1734,2.1674,2.1705,19853,1710480179999,43107.9813,320,8965,1710482580000,2.1876
1710480180000,2.1706,2.1728,2.1685,2.1699,4480,1710480239999,9722.2813,138,1851,1710482580000,2.1876
1710480240000,2.1694,2.1706,2.1674,2.1677,10763,1710480299999,23340.9938,227,5247,1710482580000,2.1876
1710480300000,2.1681,2.1754,2.1676,2.1730,9599,1710480359999,20853.8180,221,4191,1710482580000,2.1876
1710480360000,2.1729,2.1744,2.1675,2.1731,19701,1710480419999,42779.9535,332,13692,1710482580000,2.1876
1710480420000,2.1731,2.1733,2.1686,2.1721,4822,1710480479999,10467.1422,151,2330,1710482580000,2.1876
1710480480000,2.1720,2.1760,2.1717,2.1721,6193,1710480539999,13466.3057,153,4345,1710482580000,2.1876
1710480540000,2.1722,2.1728,2.1684,2.1719,7855,1710480599999,17054.9147,157,2010,1710482580000,2.1876
1710480600000,2.1720,2.1859,2.1705,2.1855,17961,1710480659999,39122.6513,345,9139,1710482580000,2.1876
1710480660000,2.1852,2.1890,2.1805,2.1864,23596,1710480719999,51579.2379,535,8603,1710482580000,2.1876
1710480720000,2.1871,2.1871,2.1812,2.1820,12728,1710480779999,27794.4212,311,6623,1710482580000,2.1876
1710480780000,2.1820,2.1830,2.1772,2.1822,20447,1710480839999,44569.3772,443,11680,1710482580000,2.1876
1710480840000,2.1824,2.1851,2.1801,2.1809,10185,1710480899999,22230.7904,249,5291,1710482580000,2.1876
