Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711025460000,0.2358800,0.2364300,0.2357900,0.2363400,75659,1711025519999,17865.3383800,257,40816,1711030800000,0.24169
1711025520000,0.2363000,0.2363200,0.2356400,0.2357500,54216,1711025579999,12791.4698400,154,15805,1711030800000,0.24169
1711025580000,0.2356900,0.2358900,0.2350600,0.2350800,143832,1711025639999,33865.8158300,381,66182,1711030800000,0.24169
1711025640000,0.2351200,0.2356200,0.2350400,0.2353800,122034,1711025699999,28721.4822700,306,71296,1711030800000,0.24169
1711025700000,0.2354600,0.2357600,0.2350800,0.2352600,55863,1711025759999,13146.4282000,252,13742,1711030800000,0.24169
1711025760000,0.2353800,0.2354300,0.2347900,0.2347900,89147,1711025819999,20954.6087500,291,25028,1711030800000,0.24169
1711025820000,0.2348200,0.2350100,0.2346200,0.2347300,65817,1711025879999,15446.8622100,179,42677,1711030800000,0.24169
1711025880000,0.2347300,0.2350300,0.2345600,0.2347800,85290,1711025939999,20027.2449800,304,54085,1711030800000,0.24169
1711025940000,0.2348200,0.2351900,0.2348000,0.2350200,81943,1711025999999,19254.7151800,291,47081,1711030800000,0.24169
1711026000000,0.2350000,0.2357600,0.2349100,0.2355600,84876,1711026059999,19975.7254300,327,53223,1711030800000,0.24169
1711026060000,0.2355700,0.2359800,0.2354900,0.2359800,112941,1711026119999,26626.7176200,369,85285,1711030800000,0.24169
1711026120000,0.2359500,0.2365000,0.2357700,0.2364000,104035,1711026179999,24563.1981800,341,69430,1711030800000,0.24169
1711026180000,0.2364000,0.2366000,0.2361400,0.2364400,111424,1711026239999,26340.3824400,266,59107,1711030800000,0.24169
1711026240000,0.2364900,0.2367200,0.2360600,0.2367200,85144,1711026299999,20127.0090100,196,36003,1711030800000,0.24169
1711026300000,0.2367200,0.2372800,0.2360900,0.2371100,164858,1711026359999,39009.4658700,418,82938,1711030800000,0.24169
1711026360000,0.2371300,0.2375000,0.2365900,0.2372200,219777,1711026419999,52115.0320800,431,125907,1711030800000,0.24169
1711026420000,0.2373100,0.2375700,0.2369400,0.2371600,205735,1711026479999,48811.6205200,530,114717,1711030800000,0.24169
1711026480000,0.2372000,0.2380600,0.2369800,0.2377300,121291,1711026539999,28811.5280400,390,65945,1711030800000,0.24169
1711026540000,0.2378000,0.2384000,0.2377300,0.2384000,125448,1711026599999,29869.8366700,380,76758,1711030800000,0.24169
1711026600000,0.2382900,0.2394400,0.2379100,0.2390800,278233,1711026659999,66400.2886100,601,145129,1711030800000,0.24169
