Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710636540000,6.7610,6.7670,6.7510,6.7540,38238,1710636599999,258477.5170,620,14952,1710641940000,6.947
1710636600000,6.7540,6.7580,6.7000,6.7020,114987,1710636659999,772662.7490,1982,40803,1710641940000,6.947
1710636660000,6.7050,6.7230,6.6920,6.7040,214540,1710636719999,1438300.2640,2141,130400,1710641940000,6.947
1710636720000,6.7040,6.7070,6.6820,6.6960,91220,1710636779999,610522.7840,1377,33438,1710641940000,6.947
1710636780000,6.6980,6.7000,6.6800,6.6840,64825,1710636839999,433595.1940,1181,21746,1710641940000,6.947
1710636840000,6.6840,6.6960,6.6750,6.6750,62175,1710636899999,415672.5430,1046,26112,1710641940000,6.947
1710636900000,6.6760,6.6980,6.6640,6.6930,117349,1710636959999,783689.8490,1792,52933,1710641940000,6.947
1710636960000,6.6920,6.6940,6.6640,6.6720,95635,1710637019999,638351.7430,1459,37681,1710641940000,6.947
1710637020000,6.6710,6.6730,6.6460,6.6560,101111,1710637079999,672989.3290,1337,46036,1710641940000,6.947
1710637080000,6.6570,6.6620,6.6410,6.6480,86804,1710637139999,577186.8800,1270,48110,1710641940000,6.947
1710637140000,6.6490,6.6550,6.6320,6.6460,118008,1710637199999,783969.8230,2003,54056,1710641940000,6.947
1710637200000,6.6460,6.7200,6.6460,6.7180,153196,1710637259999,1024340.2420,2409,94296,1710641940000,6.947
1710637260000,6.7190,6.7220,6.6980,6.7130,152262,1710637319999,1021892.6620,1995,54420,1710641940000,6.947
1710637320000,6.7120,6.7530,6.7110,6.7510,84909,1710637379999,571473.0100,1597,51468,1710641940000,6.947
1710637380000,6.7500,6.7550,6.7330,6.7400,81974,1710637439999,552842.8970,1486,45591,1710641940000,6.947
1710637440000,6.7400,6.7420,6.7070,6.7140,88999,1710637499999,598928.3390,1533,51220,1710641940000,6.947
1710637500000,6.7140,6.7330,6.6960,6.7330,75525,1710637559999,506946.1190,1455,49691,1710641940000,6.947
1710637560000,6.7330,6.7440,6.7150,6.7440,49934,1710637619999,336115.7810,944,27909,1710641940000,6.947
1710637620000,6.7440,6.7440,6.7240,6.7350,42212,1710637679999,284265.8860,883,20440,1710641940000,6.947
1710637680000,6.7350,6.7480,6.7350,6.7460,32743,1710637739999,220713.9750,594,15992,1710641940000,6.947
1710637740000,6.7460,6.7570,6.7320,6.7390,41502,1710637799999,279901.8440,808,20053,1710641940000,6.947
1710637800000,6.7400,6.7410,6.7120,6.7120,29760,1710637859999,200302.7080,675,11914,1710641940000,6.947
1710637860000,6.7120,6.7180,6.6870,6.7060,84245,1710637919999,564529.2050,1662,37685,1710641940000,6.947
1710637920000,6.7060,6.7220,6.6970,6.7130,34205,1710637979999,229415.7170,802,14429,1710641940000,6.947
1710637980000,6.7130,6.7220,6.6980,6.7020,23387,1710638039999,156901.9030,581,11664,1710641940000,6.947
1710638040000,6.7010,6.7070,6.6920,6.7000,18338,1710638099999,122823.7900,444,8296,1710641940000,6.947
