Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710329520000,17.995,17.998,17.981,17.981,559.97,1710329579999,10074.42859,98,39.90,1710334920000,18.248
1710329580000,17.983,17.995,17.975,17.985,1045.01,1710329639999,18794.54661,165,591.87,1710334920000,18.248
1710329640000,17.985,17.995,17.980,17.995,479.27,1710329699999,8621.01676,102,318.53,1710334920000,18.248
1710329700000,17.993,17.997,17.981,17.985,834.80,1710329759999,15014.87802,122,627.82,1710334920000,18.248
1710329760000,17.989,17.989,17.960,17.961,3405.81,1710329819999,61203.28574,183,217.81,1710334920000,18.248
1710329820000,17.963,17.975,17.961,17.969,800.95,1710329879999,14392.31873,144,547.30,1710334920000,18.248
1710329880000,17.973,17.973,17.955,17.964,692.99,1710329939999,12449.26226,137,423.12,1710334920000,18.248
1710329940000,17.965,17.973,17.965,17.973,675.46,1710329999999,12136.27545,62,595.00,1710334920000,18.248
1710330000000,17.972,17.980,17.967,17.977,339.08,1710330059999,6094.62611,98,215.09,1710334920000,18.248
1710330060000,17.981,18.007,17.980,18.007,757.77,1710330119999,13630.83220,119,610.81,1710334920000,18.248
1710330120000,18.008,18.010,18.001,18.004,479.79,1710330179999,8638.69814,105,267.47,1710334920000,18.248
1710330180000,18.004,18.004,17.982,17.982,330.56,1710330239999,5948.03824,78,62.75,1710334920000,18.248
1710330240000,17.982,17.988,17.980,17.983,284.50,1710330299999,5116.43110,72,134.90,1710334920000,18.248
1710330300000,17.985,17.993,17.984,17.987,584.49,1710330359999,10512.46317,89,456.53,1710334920000,18.248
1710330360000,17.985,17.997,17.974,17.974,942.37,1710330419999,16946.27473,165,218.31,1710334920000,18.248
1710330420000,17.981,17.981,17.948,17.958,4172.76,1710330479999,74940.48215,245,450.48,1710334920000,18.248
1710330480000,17.958,17.965,17.928,17.947,3921.69,1710330539999,70364.97634,277,831.18,1710334920000,18.248
1710330540000,17.945,17.958,17.942,17.955,903.09,1710330599999,16213.30497,101,757.29,1710334920000,18.248
1710330600000,17.956,17.969,17.950,17.959,1739.42,1710330659999,31239.48341,260,972.32,1710334920000,18.248
1710330660000,17.956,17.968,17.943,17.959,2996.57,1710330719999,53810.71418,346,1631.24,1710334920000,18.248
1710330720000,17.959,17.996,17.959,17.992,2535.70,1710330779999,45598.30791,266,2246.86,1710334920000,18.248
1710330780000,17.993,17.993,17.963,17.978,2513.58,1710330839999,45179.90343,215,1177.44,1710334920000,18.248
1710330840000,17.973,17.982,17.962,17.967,2629.19,1710330899999,47252.68076,288,1678.05,1710334920000,18.248
1710330900000,17.968,18.008,17.957,17.992,13722.54,1710330959999,246791.70654,733,7744.08,1710334920000,18.248
1710330960000,17.990,18.066,17.986,18.060,16060.18,1710331019999,289354.44717,746,7913.00,1710334920000,18.248
1710331020000,18.061,18.144,18.049,18.140,7737.77,1710331079999,139981.37370,644,6377.69,1710334920000,18.248
1710331080000,18.137,18.174,18.078,18.094,8608.97,1710331139999,156132.56696,805,3919.41,1710334920000,18.248
1710331140000,18.096,18.114,18.094,18.101,5976.01,1710331199999,108155.49684,359,2250.25,1710334920000,18.248
1710331200000,18.101,18.110,18.094,18.106,4607.96,1710331259999,83399.51134,387,1959.94,1710334920000,18.248
1710331260000,18.106,18.179,18.106,18.163,3995.07,1710331319999,72440.56626,481,2863.23,1710334920000,18.248
1710331320000,18.157,18.195,18.142,18.170,6043.62,1710331379999,109790.46181,511,4585.67,1710334920000,18.248
1710331380000,18.169,18.171,18.135,18.157,3182.73,1710331439999,57763.13260,361,989.21,1710334920000,18.248
1710331440000,18.157,18.217,18.142,18.185,3195.70,1710331499999,58100.24467,433,1480.94,1710334920000,18.248
1710331500000,18.184,18.205,18.155,18.155,3265.04,1710331559999,59322.14706,320,1336.15,1710334920000,18.248
1710331560000,18.155,18.163,18.136,18.154,3269.01,1710331619999,59318.07096,312,1139.62,1710334920000,18.248
1710331620000,18.154,18.199,18.112,18.184,4846.26,1710331679999,87909.13610,672,3041.92,1710334920000,18.248
1710331680000,18.174,18.281,18.170,18.281,11519.73,1710331739999,210069.19673,1034,6535.85,1710334920000,18.248
1710331740000,18.280,18.287,18.236,18.272,9820.21,1710331799999,179287.67787,795,5081.41,1710334920000,18.248
1710331800000,18.270,18.402,18.248,18.356,24663.00,1710331859999,451905.75952,2354,13978.04,1710334920000,18.248
1710331860000,18.354,18.401,18.322,18.401,13099.38,1710331919999,240481.23237,1453,7394.87,1710334920000,18.248
1710331920000,18.398,18.500,18.396,18.452,24775.47,1710331979999,457336.46767,2206,13578.48,1710334920000,18.248
1710331980000,18.450,18.467,18.391,18.415,12680.76,1710332039999,233628.53130,1213,5458.25,1710334920000,18.248
1710332040000,18.410,18.423,18.280,18.343,14834.59,1710332099999,271945.29177,1570,6766.75,1710334920000,18.248
1710332100000,18.336,18.347,18.295,18.309,8138.47,1710332159999,149035.35874,691,4494.03,1710334920000,18.248
1710332160000,18.309,18.316,18.248,18.273,13627.82,1710332219999,249193.85473,1150,6661.32,1710334920000,18.248
1710332220000,18.269,18.372,18.258,18.362,5956.20,1710332279999,109008.75115,631,4023.98,1710334920000,18.248
1710332280000,18.362,18.454,18.362,18.436,25644.76,1710332339999,472179.79224,2089,12269.56,1710334920000,18.248
1710332340000,18.431,18.434,18.328,18.330,9193.97,1710332399999,168922.90532,812,3274.16,1710334920000,18.248
1710332400000,18.329,18.461,18.327,18.366,13641.59,1710332459999,251165.94883,1154,9942.32,1710334920000,18.248
1710332460000,18.367,18.376,18.342,18.373,7812.47,1710332519999,143434.95520,862,3018.77,1710334920000,18.248
1710332520000,18.372,18.396,18.325,18.336,8208.05,1710332579999,150646.84503,722,4483.93,1710334920000,18.248
1710332580000,18.339,18.349,18.289,18.297,4890.27,1710332639999,89558.23475,403,2034.23,1710334920000,18.248
1710332640000,18.301,18.301,18.268,18.277,2820.91,1710332699999,51580.78302,316,1135.23,1710334920000,18.248
1710332700000,18.279,18.289,18.223,18.232,4419.03,1710332759999,80653.18068,470,1084.20,1710334920000,18.248
1710332760000,18.233,18.265,18.216,18.216,3947.42,1710332819999,72024.79858,418,2682.06,1710334920000,18.248
1710332820000,18.216,18.216,18.122,18.152,7683.82,1710332879999,139535.60412,940,2460.51,1710334920000,18.248
1710332880000,18.151,18.161,18.109,18.109,3765.09,1710332939999,68281.09195,440,924.38,1710334920000,18.248
1710332940000,18.109,18.149,18.095,18.149,3702.75,1710332999999,67069.90011,502,2042.53,1710334920000,18.248
1710333000000,18.142,18.142,18.100,18.120,3093.93,1710333059999,56057.00639,342,1323.51,1710334920000,18.248
1710333060000,18.121,18.144,18.111,18.141,2034.18,1710333119999,36873.53660,244,1580.57,1710334920000,18.248
1710333120000,18.142,18.154,18.114,18.154,4500.53,1710333179999,81583.97333,406,1716.74,1710334920000,18.248
1710333180000,18.148,18.148,18.110,18.117,1339.02,1710333239999,24272.15123,175,455.04,1710334920000,18.248
1710333240000,18.122,18.126,18.094,18.094,2489.57,1710333299999,45081.73285,343,703.95,1710334920000,18.248
1710333300000,18.095,18.103,18.015,18.016,19489.17,1710333359999,352318.42358,933,5703.75,1710334920000,18.248
1710333360000,18.014,18.120,18.012,18.104,4588.23,1710333419999,82936.84153,584,2648.42,1710334920000,18.248
1710333420000,18.107,18.119,18.085,18.092,2358.99,1710333479999,42702.20132,313,1019.54,1710334920000,18.248
1710333480000,18.093,18.099,18.009,18.040,7268.43,1710333539999,131124.16963,811,1390.34,1710334920000,18.248
1710333540000,18.039,18.039,17.995,17.995,4291.92,1710333599999,77337.20676,526,1782.14,1710334920000,18.248
1710333600000,18.000,18.034,17.996,18.011,3105.49,1710333659999,55940.33994,354,1889.96,1710334920000,18.248
1710333660000,18.011,18.036,18.009,18.026,2087.99,1710333719999,37633.14633,277,1100.22,1710334920000,18.248
1710333720000,18.025,18.057,18.022,18.057,1103.57,1710333779999,19909.33424,184,630.75,1710334920000,18.248
1710333780000,18.059,18.062,18.028,18.052,2074.64,1710333839999,37449.89824,231,886.53,1710334920000,18.248
1710333840000,18.052,18.091,18.043,18.057,2096.28,1710333899999,37878.41439,295,1616.13,1710334920000,18.248
1710333900000,18.054,18.064,18.032,18.058,6563.01,1710333959999,118484.94095,358,888.84,1710334920000,18.248
1710333960000,18.062,18.154,18.062,18.139,1300.04,1710334019999,23553.01892,269,850.64,1710334920000,18.248
1710334020000,18.139,18.142,18.120,18.131,1254.25,1710334079999,22738.83583,199,664.94,1710334920000,18.248
1710334080000,18.125,18.132,18.098,18.100,1917.76,1710334139999,34745.18252,161,382.03,1710334920000,18.248
1710334140000,18.102,18.116,18.100,18.112,675.55,1710334199999,12231.42720,115,289.81,1710334920000,18.248
1710334200000,18.108,18.108,18.080,18.080,858.96,1710334259999,15537.15640,144,102.78,1710334920000,18.248
1710334260000,18.081,18.102,18.070,18.100,1461.74,1710334319999,26430.65422,183,1099.94,1710334920000,18.248
1710334320000,18.101,18.102,18.086,18.095,1262.90,1710334379999,22853.42620,164,999.24,1710334920000,18.248
1710334380000,18.097,18.118,18.085,18.108,1136.54,1710334439999,20576.36416,155,619.14,1710334920000,18.248
1710334440000,18.108,18.119,18.106,18.111,1275.17,1710334499999,23095.99433,120,692.49,1710334920000,18.248
1710334500000,18.111,18.154,18.111,18.112,3233.60,1710334559999,58639.86710,290,1807.36,1710334920000,18.248
1710334560000,18.112,18.127,18.098,18.122,738.88,1710334619999,13381.34328,144,579.00,1710334920000,18.248
1710334620000,18.121,18.132,18.118,18.127,720.81,1710334679999,13064.48354,117,390.90,1710334920000,18.248
1710334680000,18.126,18.150,18.115,18.137,2811.54,1710334739999,50988.91528,254,2362.87,1710334920000,18.248
1710334740000,18.138,18.148,18.102,18.121,3924.18,1710334799999,71122.14200,249,906.74,1710334920000,18.248
1710334800000,18.114,18.165,18.082,18.160,6028.81,1710334859999,109209.86149,627,2392.98,1710334920000,18.248
1710334860000,18.157,18.248,18.123,18.248,9911.69,1710334919999,180112.88746,914,6919.98,1710334920000,18.248
1710334920000,18.246,18.265,18.188,18.189,4390.55,1710334979999,80030.25222,607,1730.57,1710334920000,18.248
1710334980000,18.187,18.280,18.177,18.279,3434.11,1710335039999,62561.33456,439,2074.96,1710334920000,18.248
1710335040000,18.279,18.282,18.206,18.236,4996.06,1710335099999,91076.93682,463,1007.89,1710334920000,18.248
1710335100000,18.237,18.245,18.221,18.229,1598.35,1710335159999,29137.55736,178,589.50,1710334920000,18.248
1710335160000,18.229,18.268,18.229,18.239,4121.91,1710335219999,75236.25827,391,2998.23,1710334920000,18.248
1710335220000,18.239,18.239,18.160,18.202,3563.33,1710335279999,64882.54636,367,1521.17,1710334920000,18.248
1710335280000,18.201,18.229,18.195,18.225,1408.58,1710335339999,25651.81851,187,1028.30,1710334920000,18.248
1710335340000,18.227,18.232,18.163,18.163,1571.15,1710335399999,28588.49098,204,1056.67,1710334920000,18.248
1710335400000,18.164,18.197,18.116,18.126,3166.37,1710335459999,57469.65634,425,1057.49,1710334920000,18.248
1710335460000,18.127,18.154,18.116,18.147,1415.38,1710335519999,25654.29887,187,650.25,1710334920000,18.248
1710335520000,18.147,18.162,18.133,18.150,702.23,1710335579999,12740.22050,134,366.74,1710334920000,18.248
1710335580000,18.149,18.224,18.143,18.192,1495.89,1710335639999,27224.56080,240,708.45,1710334920000,18.248
1710335640000,18.186,18.224,18.186,18.224,345.85,1710335699999,6292.55369,89,282.70,1710334920000,18.248
1710335700000,18.221,18.249,18.208,18.215,884.39,1710335759999,16117.89236,216,546.00,1710334920000,18.248
1710335760000,18.218,18.252,18.215,18.216,1069.56,1710335819999,19498.58405,180,403.20,1710334920000,18.248
1710335820000,18.213,18.232,18.199,18.199,1027.01,1710335879999,18709.55081,216,656.54,1710334920000,18.248
1710335880000,18.198,18.204,18.193,18.198,512.76,1710335939999,9331.30645,88,397.48,1710334920000,18.248
1710335940000,18.198,18.198,18.166,18.193,780.54,1710335999999,14193.63222,205,253.69,1710334920000,18.248
1710336000000,18.193,18.194,18.140,18.160,1683.61,1710336059999,30569.47514,312,678.02,1710334920000,18.248
1710336060000,18.157,18.159,18.131,18.158,417.70,1710336119999,7578.01828,106,148.53,1710334920000,18.248
1710336120000,18.160,18.182,18.153,18.161,1167.24,1710336179999,21202.44933,143,853.86,1710334920000,18.248
1710336180000,18.153,18.157,18.121,18.121,490.21,1710336239999,8892.61219,96,71.90,1710334920000,18.248
1710336240000,18.121,18.137,18.105,18.114,1752.99,1710336299999,31758.85581,221,773.40,1710334920000,18.248
1710336300000,18.113,18.115,18.083,18.089,1235.28,1710336359999,22355.67737,185,563.69,1710334920000,18.248
1710336360000,18.085,18.118,18.055,18.090,3007.04,1710336419999,54380.03414,315,795.89,1710334920000,18.248
1710336420000,18.087,18.112,18.070,18.081,748.63,1710336479999,13544.09359,164,512.87,1710334920000,18.248
1710336480000,18.071,18.079,18.053,18.066,598.93,1710336539999,10820.01713,111,343.71,1710334920000,18.248
1710336540000,18.066,18.098,18.066,18.090,847.92,1710336599999,15334.07626,101,596.46,1710334920000,18.248
1710336600000,18.089,18.161,18.080,18.119,1613.32,1710336659999,29260.57250,277,466.54,1710334920000,18.248
1710336660000,18.118,18.123,18.082,18.101,4019.52,1710336719999,72792.49994,548,1942.28,1710334920000,18.248
1710336720000,18.101,18.139,18.065,18.130,3017.11,1710336779999,54586.24796,480,1751.83,1710334920000,18.248
1710336780000,18.124,18.151,18.110,18.147,1778.35,1710336839999,32246.92805,248,1300.31,1710334920000,18.248
1710336840000,18.143,18.154,18.076,18.082,1425.74,1710336899999,25833.77551,259,427.30,1710334920000,18.248
1710336900000,18.083,18.090,18.017,18.029,2822.75,1710336959999,50933.27661,466,1413.89,1710334920000,18.248
1710336960000,18.023,18.027,17.980,17.987,2961.28,1710337019999,53312.72248,571,1213.75,1710334920000,18.248
1710337020000,17.987,18.021,17.907,17.935,6426.50,1710337079999,115389.37164,1107,2393.57,1710334920000,18.248
1710337080000,17.935,17.968,17.901,17.943,4379.85,1710337139999,78568.17553,733,2281.12,1710334920000,18.248
1710337140000,17.946,17.960,17.917,17.957,2889.61,1710337199999,51846.76077,325,1143.32,1710334920000,18.248
1710337200000,17.956,18.000,17.939,17.969,2812.32,1710337259999,50542.35692,396,1097.05,1710334920000,18.248
1710337260000,17.971,18.033,17.968,17.993,1072.32,1710337319999,19304.40620,224,242.40,1710334920000,18.248
1710337320000,17.996,18.023,17.994,18.023,1167.15,1710337379999,21020.51514,119,631.22,1710334920000,18.248
1710337380000,18.024,18.024,17.998,18.000,772.80,1710337439999,13916.40928,163,232.96,1710334920000,18.248
1710337440000,18.000,18.027,17.971,17.980,930.04,1710337499999,16742.88956,191,321.18,1710334920000,18.248
1710337500000,17.981,17.984,17.953,17.969,2218.85,1710337559999,39855.15390,307,1096.75,1710334920000,18.248
1710337560000,17.966,18.001,17.911,17.940,2226.80,1710337619999,39993.14019,363,1495.12,1710334920000,18.248
1710337620000,17.940,17.982,17.915,17.982,2501.25,1710337679999,44866.13121,365,1542.93,1710334920000,18.248
1710337680000,17.983,17.996,17.968,17.973,1807.92,1710337739999,32509.97651,277,615.00,1710334920000,18.248
1710337740000,17.974,17.974,17.904,17.933,2149.88,1710337799999,38540.45430,342,753.34,1710334920000,18.248
1710337800000,17.929,17.963,17.921,17.958,1870.46,1710337859999,33568.91495,277,1206.92,1710334920000,18.248
1710337860000,17.957,17.957,17.864,17.865,5327.26,1710337919999,95314.70535,546,1311.49,1710334920000,18.248
1710337920000,17.864,17.896,17.815,17.896,4406.59,1710337979999,78671.40587,645,2332.74,1710334920000,18.248
1710337980000,17.894,17.905,17.871,17.901,2372.69,1710338039999,42441.32030,368,1082.67,1710334920000,18.248
1710338040000,17.896,17.896,17.780,17.799,5969.03,1710338099999,106315.79392,561,1834.62,1710334920000,18.248
1710338100000,17.798,17.872,17.774,17.837,5119.56,1710338159999,91219.95128,593,3019.82,1710334920000,18.248
1710338160000,17.843,17.845,17.750,17.757,4772.96,1710338219999,84891.54551,703,1302.25,1710334920000,18.248
1710338220000,17.755,17.815,17.643,17.709,20209.74,1710338279999,358246.34048,1804,10885.00,1710334920000,18.248
1710338280000,17.705,17.771,17.703,17.767,6597.27,1710338339999,117031.95301,726,3151.07,1710334920000,18.248
1710338340000,17.763,17.866,17.756,17.866,4144.52,1710338399999,73862.91089,578,2525.81,1710334920000,18.248
1710338400000,17.868,17.912,17.833,17.909,5543.63,1710338459999,99084.75296,715,1730.73,1710334920000,18.248
1710338460000,17.910,18.003,17.909,17.975,6041.85,1710338519999,108546.75429,741,2890.60,1710334920000,18.248
1710338520000,17.974,18.000,17.948,17.997,4297.86,1710338579999,77260.88890,446,2474.76,1710334920000,18.248
1710338580000,17.996,18.004,17.932,17.964,3130.36,1710338639999,56264.98656,392,1571.41,1710334920000,18.248
1710338640000,17.964,17.975,17.943,17.961,1716.73,1710338699999,30829.89216,226,989.10,1710334920000,18.248
1710338700000,17.959,17.959,17.914,17.928,2784.86,1710338759999,49969.61257,283,700.49,1710334920000,18.248
1710338760000,17.925,17.953,17.898,17.942,2286.75,1710338819999,40979.41373,313,1230.59,1710334920000,18.248
1710338820000,17.941,17.971,17.926,17.952,3341.69,1710338879999,59983.41211,360,1504.75,1710334920000,18.248
1710338880000,17.951,17.965,17.933,17.933,1164.17,1710338939999,20894.16226,191,487.27,1710334920000,18.248
1710338940000,17.937,17.987,17.927,17.968,2540.22,1710338999999,45636.54544,270,1296.39,1710334920000,18.248
1710339000000,17.968,17.970,17.946,17.953,1768.58,1710339059999,31765.04371,201,824.40,1710334920000,18.248
1710339060000,17.955,17.991,17.954,17.981,2253.97,1710339119999,40508.56352,317,1417.04,1710334920000,18.248
1710339120000,17.980,18.004,17.964,18.004,2266.15,1710339179999,40754.31646,240,977.53,1710334920000,18.248
1710339180000,18.003,18.003,17.950,17.954,1961.93,1710339239999,35273.48882,133,543.17,1710334920000,18.248
1710339240000,17.959,17.961,17.912,17.930,1490.70,1710339299999,26741.49863,224,794.30,1710334920000,18.248
1710339300000,17.926,17.981,17.912,17.953,2135.29,1710339359999,38341.22488,317,1159.90,1710334920000,18.248
1710339360000,17.954,17.976,17.948,17.952,1350.61,1710339419999,24252.79375,194,673.44,1710334920000,18.248
1710339420000,17.950,17.960,17.939,17.939,1320.04,1710339479999,23694.43582,191,720.19,1710334920000,18.248
1710339480000,17.939,17.946,17.906,17.906,1123.53,1710339539999,20144.63321,206,620.15,1710334920000,18.248
1710339540000,17.905,17.910,17.880,17.908,1287.58,1710339599999,23042.72525,251,694.37,1710334920000,18.248
1710339600000,17.908,17.922,17.885,17.896,1408.05,1710339659999,25199.10568,250,1003.19,1710334920000,18.248
1710339660000,17.897,17.907,17.876,17.884,696.60,1710339719999,12464.87431,137,464.94,1710334920000,18.248
1710339720000,17.880,17.880,17.846,17.859,1344.24,1710339779999,24010.32827,211,742.07,1710334920000,18.248
1710339780000,17.856,17.863,17.833,17.854,1947.15,1710339839999,34757.54199,261,1018.81,1710334920000,18.248
1710339840000,17.854,17.872,17.841,17.866,1241.19,1710339899999,22161.48931,195,682.33,1710334920000,18.248
1710339900000,17.862,17.879,17.851,17.857,789.15,1710339959999,14096.45657,144,500.51,1710334920000,18.248
1710339960000,17.856,17.856,17.797,17.802,1304.45,1710340019999,23255.98270,258,298.51,1710334920000,18.248
1710340020000,17.802,17.821,17.797,17.811,2670.57,1710340079999,47562.75310,419,1581.94,1710334920000,18.248
1710340080000,17.809,17.843,17.807,17.827,1199.19,1710340139999,21376.93789,164,605.47,1710334920000,18.248
1710340140000,17.826,17.861,17.815,17.815,898.17,1710340199999,16026.49659,154,299.26,1710334920000,18.248
1710340200000,17.814,17.829,17.790,17.790,2251.32,1710340259999,40103.89008,262,1325.51,1710334920000,18.248
1710340260000,17.790,17.796,17.719,17.747,7561.05,1710340319999,134275.31856,786,3586.22,1710334920000,18.248
1710340320000,17.749,17.761,17.705,17.729,4727.47,1710340379999,83826.86787,543,2815.71,1710334920000,18.248
1710340380000,17.728,17.807,17.721,17.789,1868.55,1710340439999,33201.87097,316,1054.62,1710334920000,18.248
1710340440000,17.782,17.797,17.758,17.762,1270.02,1710340499999,22570.04064,254,561.40,1710334920000,18.248
1710340500000,17.761,17.761,17.680,17.687,4112.33,1710340559999,72870.68276,518,1787.83,1710334920000,18.248
1710340560000,17.687,17.724,17.677,17.700,5127.14,1710340619999,90737.37911,659,3015.03,1710334920000,18.248
1710340620000,17.703,17.711,17.647,17.666,2415.20,1710340679999,42676.94526,328,526.99,1710334920000,18.248
1710340680000,17.665,17.679,17.649,17.659,4524.81,1710340739999,79904.09962,445,2050.66,1710334920000,18.248
