Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711977900000,0.16142,0.16195,0.16142,0.16194,64016,1711977959999,10352.05766,149,36424,1711983240000,0.161
1711977960000,0.16196,0.16238,0.16196,0.16238,155921,1711978019999,25290.44330,239,93270,1711983240000,0.161
1711978020000,0.16235,0.16263,0.16232,0.16251,131752,1711978079999,21412.08996,289,107948,1711983240000,0.161
1711978080000,0.16251,0.16283,0.16251,0.16255,71744,1711978139999,11672.79144,128,27879,1711983240000,0.161
1711978140000,0.16249,0.16290,0.16249,0.16290,42242,1711978199999,6869.78189,110,28671,1711983240000,0.161
1711978200000,0.16291,0.16314,0.16284,0.16295,82081,1711978259999,13380.23590,162,35717,1711983240000,0.161
1711978260000,0.16294,0.16298,0.16271,0.16281,122550,1711978319999,19960.05465,243,70204,1711983240000,0.161
1711978320000,0.16280,0.16289,0.16271,0.16271,54463,1711978379999,8867.16473,136,27504,1711983240000,0.161
1711978380000,0.16273,0.16281,0.16230,0.16241,79436,1711978439999,12907.68801,204,27640,1711983240000,0.161
1711978440000,0.16241,0.16244,0.16207,0.16208,128563,1711978499999,20860.46953,231,43321,1711983240000,0.161
1711978500000,0.16208,0.16234,0.16186,0.16226,130871,1711978559999,21221.00433,320,74966,1711983240000,0.161
1711978560000,0.16227,0.16273,0.16226,0.16263,140499,1711978619999,22833.28582,287,112528,1711983240000,0.161
1711978620000,0.16263,0.16287,0.16256,0.16285,47598,1711978679999,7744.25508,138,33511,1711983240000,0.161
1711978680000,0.16287,0.16301,0.16275,0.16280,53588,1711978739999,8728.23141,134,29206,1711983240000,0.161
1711978740000,0.16282,0.16316,0.16282,0.16313,47330,1711978799999,7715.27506,129,26332,1711983240000,0.161
1711978800000,0.16311,0.16358,0.16310,0.16343,100420,1711978859999,16404.84476,162,79797,1711983240000,0.161
1711978860000,0.16337,0.16357,0.16333,0.16352,55142,1711978919999,9013.37086,156,24929,1711983240000,0.161
1711978920000,0.16354,0.16358,0.16292,0.16305,288608,1711978979999,47081.32213,265,42043,1711983240000,0.161
1711978980000,0.16305,0.16323,0.16295,0.16323,71975,1711979039999,11737.97022,157,48513,1711983240000,0.161
1711979040000,0.16320,0.16348,0.16320,0.16342,78597,1711979099999,12838.83397,178,58206,1711983240000,0.161
1711979100000,0.16346,0.16385,0.16327,0.16374,224988,1711979159999,36810.58129,322,170361,1711983240000,0.161
1711979160000,0.16372,0.16383,0.16347,0.16380,84858,1711979219999,13893.47453,174,38471,1711983240000,0.161
1711979220000,0.16380,0.16410,0.16339,0.16339,220456,1711979279999,36120.32795,295,101651,1711983240000,0.161
1711979280000,0.16339,0.16363,0.16328,0.16354,91074,1711979339999,14887.86597,238,41372,1711983240000,0.161
1711979340000,0.16356,0.16377,0.16328,0.16361,145492,1711979399999,23791.08226,226,35094,1711983240000,0.161
1711979400000,0.16360,0.16384,0.16349,0.16362,93131,1711979459999,15245.41326,197,63538,1711983240000,0.161
1711979460000,0.16361,0.16361,0.16327,0.16329,46487,1711979519999,7599.94221,147,10352,1711983240000,0.161
1711979520000,0.16330,0.16331,0.16303,0.16315,50347,1711979579999,8215.80303,129,16290,1711983240000,0.161
1711979580000,0.16314,0.16320,0.16293,0.16295,34968,1711979639999,5704.35010,96,17685,1711983240000,0.161
1711979640000,0.16292,0.16295,0.16259,0.16279,149803,1711979699999,24386.11818,283,84419,1711983240000,0.161
1711979700000,0.16276,0.16291,0.16269,0.16283,84786,1711979759999,13805.75786,209,64822,1711983240000,0.161
1711979760000,0.16281,0.16305,0.16273,0.16301,48335,1711979819999,7871.05450,131,24735,1711983240000,0.161
1711979820000,0.16302,0.16355,0.16302,0.16339,159289,1711979879999,26025.64074,235,119776,1711983240000,0.161
1711979880000,0.16342,0.16357,0.16327,0.16331,63984,1711979939999,10457.31819,149,25773,1711983240000,0.161
1711979940000,0.16334,0.16346,0.16310,0.16324,36386,1711979999999,5942.54160,120,14661,1711983240000,0.161
1711980000000,0.16323,0.16374,0.16285,0.16339,442339,1711980059999,72215.26222,710,340667,1711983240000,0.161
1711980060000,0.16336,0.16369,0.16309,0.16351,116431,1711980119999,19025.47472,219,38979,1711983240000,0.161
1711980120000,0.16355,0.16390,0.16345,0.16345,54590,1711980179999,8933.06569,168,34185,1711983240000,0.161
1711980180000,0.16351,0.16359,0.16300,0.16306,84899,1711980239999,13860.74727,156,32068,1711983240000,0.161
1711980240000,0.16305,0.16318,0.16271,0.16274,90615,1711980299999,14767.77037,226,28374,1711983240000,0.161
1711980300000,0.16272,0.16283,0.16241,0.16254,59668,1711980359999,9703.63795,196,32343,1711983240000,0.161
1711980360000,0.16251,0.16261,0.16230,0.16242,46994,1711980419999,7632.46227,168,13361,1711983240000,0.161
1711980420000,0.16239,0.16250,0.16226,0.16237,66843,1711980479999,10854.95246,186,38747,1711983240000,0.161
1711980480000,0.16233,0.16259,0.16230,0.16259,49454,1711980539999,8031.37581,137,30158,1711983240000,0.161
1711980540000,0.16258,0.16274,0.16251,0.16251,51564,1711980599999,8386.06783,169,14648,1711983240000,0.161
1711980600000,0.16261,0.16283,0.16247,0.16256,34977,1711980659999,5689.08458,149,8735,1711983240000,0.161
1711980660000,0.16254,0.16294,0.16254,0.16287,64147,1711980719999,10441.84024,166,43280,1711983240000,0.161
1711980720000,0.16285,0.16289,0.16235,0.16238,42356,1711980779999,6887.84818,158,19899,1711983240000,0.161
1711980780000,0.16238,0.16253,0.16222,0.16243,82405,1711980839999,13380.54015,176,48957,1711983240000,0.161
1711980840000,0.16241,0.16251,0.16230,0.16248,25062,1711980899999,4069.77713,103,12334,1711983240000,0.161
1711980900000,0.16248,0.16289,0.16248,0.16261,59863,1711980959999,9737.41291,171,35166,1711983240000,0.161
1711980960000,0.16259,0.16286,0.16255,0.16255,28690,1711981019999,4668.21952,102,16002,1711983240000,0.161
1711981020000,0.16258,0.16288,0.16258,0.16282,18686,1711981079999,3040.09903,75,12448,1711983240000,0.161
1711981080000,0.16276,0.16279,0.16234,0.16234,30708,1711981139999,4992.51142,83,9250,1711983240000,0.161
1711981140000,0.16231,0.16244,0.16207,0.16207,32500,1711981199999,5273.20963,125,10439,1711983240000,0.161
1711981200000,0.16205,0.16216,0.16184,0.16215,48950,1711981259999,7927.55630,148,27777,1711983240000,0.161
1711981260000,0.16213,0.16214,0.16186,0.16190,51198,1711981319999,8294.47260,147,15642,1711983240000,0.161
1711981320000,0.16190,0.16190,0.16157,0.16174,103386,1711981379999,16718.44969,191,56046,1711983240000,0.161
1711981380000,0.16173,0.16178,0.16137,0.16173,114288,1711981439999,18462.67914,194,29886,1711983240000,0.161
1711981440000,0.16168,0.16206,0.16163,0.16206,67365,1711981499999,10900.18975,132,49413,1711983240000,0.161
1711981500000,0.16200,0.16211,0.16183,0.16189,45923,1711981559999,7438.51710,152,10955,1711983240000,0.161
1711981560000,0.16187,0.16199,0.16162,0.16163,27005,1711981619999,4369.63019,99,6207,1711983240000,0.161
1711981620000,0.16165,0.16183,0.16136,0.16145,68137,1711981679999,11009.14220,179,31101,1711983240000,0.161
1711981680000,0.16144,0.16157,0.16121,0.16140,112206,1711981739999,18111.11521,225,43704,1711983240000,0.161
1711981740000,0.16142,0.16177,0.16142,0.16155,101255,1711981799999,16360.08297,201,71656,1711983240000,0.161
1711981800000,0.16146,0.16165,0.16119,0.16145,228262,1711981859999,36847.49251,344,126165,1711983240000,0.161
1711981860000,0.16140,0.16207,0.16139,0.16190,97438,1711981919999,15766.18918,235,72243,1711983240000,0.161
1711981920000,0.16197,0.16208,0.16183,0.16189,45685,1711981979999,7399.77728,152,28071,1711983240000,0.161
1711981980000,0.16191,0.16192,0.16128,0.16139,67792,1711982039999,10963.97932,159,18009,1711983240000,0.161
1711982040000,0.16139,0.16144,0.16121,0.16128,137776,1711982099999,22229.05193,205,76717,1711983240000,0.161
1711982100000,0.16133,0.16133,0.16034,0.16070,305727,1711982159999,49172.53269,483,70753,1711983240000,0.161
1711982160000,0.16067,0.16150,0.16049,0.16136,215799,1711982219999,34742.09006,419,151925,1711983240000,0.161
1711982220000,0.16140,0.16167,0.16117,0.16125,141012,1711982279999,22762.92863,339,74200,1711983240000,0.161
1711982280000,0.16127,0.16129,0.16034,0.16042,119040,1711982339999,19134.66563,293,41850,1711983240000,0.161
1711982340000,0.16042,0.16116,0.16042,0.16109,184541,1711982399999,29668.22645,270,123296,1711983240000,0.161
1711982400000,0.16109,0.16137,0.16085,0.16109,131321,1711982459999,21162.18785,262,42375,1711983240000,0.161
1711982460000,0.16109,0.16113,0.16056,0.16063,110279,1711982519999,17728.31400,252,32744,1711983240000,0.161
1711982520000,0.16056,0.16075,0.16054,0.16063,50288,1711982579999,8078.57833,129,24731,1711983240000,0.161
1711982580000,0.16059,0.16059,0.16011,0.16012,112800,1711982639999,18087.97030,252,39030,1711983240000,0.161
1711982640000,0.16012,0.16047,0.16000,0.16010,179607,1711982699999,28776.14107,370,71704,1711983240000,0.161
1711982700000,0.16007,0.16069,0.15949,0.16065,464474,1711982759999,74341.94711,581,187690,1711983240000,0.161
1711982760000,0.16067,0.16090,0.16041,0.16075,96066,1711982819999,15432.09016,291,46897,1711983240000,0.161
1711982820000,0.16073,0.16100,0.16060,0.16096,44132,1711982879999,7098.41037,143,20228,1711983240000,0.161
1711982880000,0.16098,0.16120,0.16072,0.16079,103843,1711982939999,16721.64341,179,51289,1711983240000,0.161
1711982940000,0.16078,0.16078,0.16038,0.16039,29143,1711982999999,4679.24477,113,6599,1711983240000,0.161
1711983000000,0.16043,0.16043,0.16011,0.16025,72355,1711983059999,11595.20190,251,21108,1711983240000,0.161
