Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710636600000,34.120000,34.120000,33.930000,33.940000,616.3,1710636659999,20985.4250000,161,251.9,1710642000000,34.79
1710636660000,33.950000,33.990000,33.840000,33.860000,669.7,1710636719999,22709.2500000,208,307.4,1710642000000,34.79
1710636720000,33.870000,33.890000,33.770000,33.820000,292.8,1710636779999,9907.1610000,112,136.7,1710642000000,34.79
1710636780000,33.830000,33.830000,33.750000,33.750000,144.8,1710636839999,4892.6440000,58,65.3,1710642000000,34.79
1710636840000,33.740000,33.780000,33.680000,33.680000,461.9,1710636899999,15578.6840000,161,88.6,1710642000000,34.79
1710636900000,33.670000,33.740000,33.660000,33.720000,1186.5,1710636959999,39996.6250000,327,204.6,1710642000000,34.79
1710636960000,33.730000,33.740000,33.650000,33.720000,1226.9,1710637019999,41339.3430000,294,450.8,1710642000000,34.79
1710637020000,33.710000,33.710000,33.630000,33.630000,290.5,1710637079999,9779.0650000,113,181.2,1710642000000,34.79
1710637080000,33.630000,33.650000,33.530000,33.540000,473.0,1710637139999,15880.2790000,146,129.4,1710642000000,34.79
1710637140000,33.560000,33.560000,33.430000,33.470000,1019.8,1710637199999,34143.6540000,309,172.2,1710642000000,34.79
1710637200000,33.470000,33.670000,33.460000,33.660000,1618.3,1710637259999,54344.1820000,375,744.5,1710642000000,34.79
1710637260000,33.670000,33.710000,33.650000,33.680000,1171.9,1710637319999,39455.8480000,312,254.8,1710642000000,34.79
1710637320000,33.690000,33.810000,33.690000,33.800000,174.1,1710637379999,5873.9340000,96,70.3,1710642000000,34.79
1710637380000,33.800000,33.820000,33.770000,33.790000,368.3,1710637439999,12446.3330000,173,111.5,1710642000000,34.79
1710637440000,33.800000,33.870000,33.720000,33.730000,713.9,1710637499999,24141.7350000,226,435.6,1710642000000,34.79
1710637500000,33.740000,33.830000,33.660000,33.830000,595.0,1710637559999,20070.8320000,201,308.1,1710642000000,34.79
1710637560000,33.830000,33.910000,33.830000,33.910000,761.0,1710637619999,25763.4730000,205,453.1,1710642000000,34.79
1710637620000,33.910000,33.970000,33.870000,33.940000,796.5,1710637679999,27016.2070000,204,519.8,1710642000000,34.79
1710637680000,33.930000,33.990000,33.930000,33.990000,221.1,1710637739999,7509.9200000,89,153.5,1710642000000,34.79
1710637740000,33.990000,34.040000,33.970000,33.970000,276.9,1710637799999,9417.3750000,114,114.1,1710642000000,34.79
1710637800000,33.970000,34.010000,33.940000,33.940000,959.4,1710637859999,32603.7450000,178,363.6,1710642000000,34.79
1710637860000,33.940000,33.960000,33.830000,33.890000,842.8,1710637919999,28565.9980000,271,632.1,1710642000000,34.79
1710637920000,33.860000,33.930000,33.820000,33.890000,585.4,1710637979999,19834.5220000,252,502.2,1710642000000,34.79
1710637980000,33.890000,33.950000,33.820000,33.860000,395.6,1710638039999,13409.2690000,165,239.6,1710642000000,34.79
1710638040000,33.840000,33.870000,33.810000,33.860000,211.3,1710638099999,7150.9220000,98,136.0,1710642000000,34.79
1710638100000,33.870000,34.050000,33.870000,34.000000,541.5,1710638159999,18398.4770000,198,393.5,1710642000000,34.79
1710638160000,34.000000,34.040000,33.970000,33.980000,454.4,1710638219999,15449.0820000,169,198.3,1710642000000,34.79
