Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710570600000,1.12800,1.12850,1.12740,1.12830,10786,1710570659999,12165.83090,103,5034,1710575940000,1.1488
1710570660000,1.12820,1.12920,1.12620,1.12770,12426,1710570719999,14012.78450,143,7877,1710575940000,1.1488
1710570720000,1.12750,1.12830,1.12600,1.12600,13897,1710570779999,15656.80380,107,2049,1710575940000,1.1488
1710570780000,1.12620,1.12640,1.12240,1.12240,26138,1710570839999,29394.91430,253,6283,1710575940000,1.1488
1710570840000,1.12280,1.12480,1.12220,1.12330,24048,1710570899999,27013.76470,218,16652,1710575940000,1.1488
1710570900000,1.12340,1.12450,1.12230,1.12370,29035,1710570959999,32614.20830,218,16096,1710575940000,1.1488
1710570960000,1.12380,1.12400,1.12120,1.12120,20199,1710571019999,22671.16200,187,7512,1710575940000,1.1488
1710571020000,1.12180,1.12460,1.12040,1.12420,18089,1710571079999,20306.09330,162,11048,1710575940000,1.1488
1710571080000,1.12430,1.12550,1.12390,1.12550,6537,1710571139999,7352.01880,117,4628,1710575940000,1.1488
1710571140000,1.12560,1.12620,1.12450,1.12460,2434,1710571199999,2738.87010,60,445,1710575940000,1.1488
1710571200000,1.12490,1.12670,1.12480,1.12570,9780,1710571259999,11009.34720,104,4622,1710575940000,1.1488
1710571260000,1.12610,1.12690,1.12490,1.12520,5266,1710571319999,5928.08530,92,2425,1710575940000,1.1488
1710571320000,1.12540,1.12790,1.12520,1.12750,5941,1710571379999,6692.24540,73,3959,1710575940000,1.1488
1710571380000,1.12740,1.12800,1.12710,1.12770,10314,1710571439999,11629.34900,102,4509,1710575940000,1.1488
1710571440000,1.12750,1.12750,1.12660,1.12660,8339,1710571499999,9398.74010,74,847,1710575940000,1.1488
1710571500000,1.12660,1.12770,1.12520,1.12710,29402,1710571559999,33104.18640,158,4589,1710575940000,1.1488
1710571560000,1.12710,1.12940,1.12660,1.12870,16755,1710571619999,18902.32500,150,9584,1710575940000,1.1488
1710571620000,1.12890,1.13090,1.12830,1.13020,20598,1710571679999,23271.34900,174,10192,1710575940000,1.1488
1710571680000,1.13030,1.13060,1.12860,1.13060,14247,1710571739999,16095.64780,137,7622,1710575940000,1.1488
1710571740000,1.13070,1.13170,1.13050,1.13100,14262,1710571799999,16134.18110,130,9993,1710575940000,1.1488
1710571800000,1.13140,1.13250,1.13090,1.13120,15398,1710571859999,17426.18170,183,11050,1710575940000,1.1488
