Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710271800000,0.2379,0.2384,0.2378,0.2382,159895,1710271859999,38090.7924,192,132485,1710277140000,0.2411
1710271860000,0.2382,0.2383,0.2370,0.2373,209998,1710271919999,49893.7113,333,61607,1710277140000,0.2411
1710271920000,0.2374,0.2379,0.2371,0.2379,121917,1710271979999,28953.9921,142,84076,1710277140000,0.2411
1710271980000,0.2379,0.2379,0.2378,0.2379,40025,1710272039999,9521.1733,67,18269,1710277140000,0.2411
1710272040000,0.2379,0.2380,0.2376,0.2379,119885,1710272099999,28514.1658,146,61694,1710277140000,0.2411
1710272100000,0.2379,0.2379,0.2376,0.2379,62277,1710272159999,14810.9117,102,31651,1710277140000,0.2411
1710272160000,0.2379,0.2381,0.2377,0.2381,38271,1710272219999,9106.9758,80,7468,1710277140000,0.2411
1710272220000,0.2381,0.2385,0.2378,0.2380,139159,1710272279999,33123.2928,170,33341,1710277140000,0.2411
1710272280000,0.2380,0.2381,0.2375,0.2379,49788,1710272339999,11837.9136,97,30488,1710277140000,0.2411
1710272340000,0.2378,0.2378,0.2375,0.2376,16539,1710272399999,3930.8825,65,7703,1710277140000,0.2411
1710272400000,0.2377,0.2377,0.2375,0.2377,26297,1710272459999,6249.5125,52,4525,1710277140000,0.2411
1710272460000,0.2376,0.2377,0.2375,0.2377,22839,1710272519999,5425.5809,43,6943,1710277140000,0.2411
1710272520000,0.2376,0.2379,0.2376,0.2379,55148,1710272579999,13108.3235,57,40320,1710277140000,0.2411
1710272580000,0.2378,0.2378,0.2374,0.2374,26999,1710272639999,6414.6056,59,5004,1710277140000,0.2411
1710272640000,0.2375,0.2378,0.2375,0.2378,23946,1710272699999,5691.2968,51,19256,1710277140000,0.2411
1710272700000,0.2379,0.2397,0.2379,0.2391,651904,1710272759999,155761.0368,752,476629,1710277140000,0.2411
1710272760000,0.2391,0.2396,0.2389,0.2396,141623,1710272819999,33862.3594,238,68652,1710277140000,0.2411
1710272820000,0.2396,0.2398,0.2394,0.2396,135620,1710272879999,32494.2596,255,53596,1710277140000,0.2411
1710272880000,0.2396,0.2397,0.2394,0.2396,91144,1710272939999,21835.9024,111,44663,1710277140000,0.2411
1710272940000,0.2396,0.2399,0.2394,0.2395,227151,1710272999999,54438.1558,232,174626,1710277140000,0.2411
1710273000000,0.2394,0.2394,0.2389,0.2389,58930,1710273059999,14091.8559,129,11503,1710277140000,0.2411
1710273060000,0.2390,0.2390,0.2386,0.2389,90769,1710273119999,21672.1472,167,49460,1710277140000,0.2411
1710273120000,0.2388,0.2389,0.2381,0.2382,329546,1710273179999,78586.5396,346,75583,1710277140000,0.2411
1710273180000,0.2382,0.2386,0.2382,0.2383,154805,1710273239999,36910.7610,209,65237,1710277140000,0.2411
1710273240000,0.2383,0.2386,0.2380,0.2384,75236,1710273299999,17928.5273,153,30599,1710277140000,0.2411
1710273300000,0.2385,0.2386,0.2382,0.2384,77133,1710273359999,18388.6841,143,36926,1710277140000,0.2411
1710273360000,0.2384,0.2385,0.2382,0.2385,52452,1710273419999,12501.9090,132,13217,1710277140000,0.2411
1710273420000,0.2385,0.2385,0.2382,0.2383,76246,1710273479999,18173.5459,107,19713,1710277140000,0.2411
1710273480000,0.2383,0.2383,0.2381,0.2382,60594,1710273539999,14432.9815,73,11556,1710277140000,0.2411
1710273540000,0.2381,0.2381,0.2380,0.2381,39357,1710273599999,9369.4477,54,14047,1710277140000,0.2411
1710273600000,0.2381,0.2391,0.2380,0.2383,485039,1710273659999,115728.5458,402,265329,1710277140000,0.2411
1710273660000,0.2383,0.2384,0.2379,0.2381,58849,1710273719999,14010.1090,141,30700,1710277140000,0.2411
1710273720000,0.2381,0.2384,0.2380,0.2381,50133,1710273779999,11943.0612,96,9545,1710277140000,0.2411
1710273780000,0.2381,0.2381,0.2374,0.2376,113461,1710273839999,26971.7927,199,30998,1710277140000,0.2411
1710273840000,0.2376,0.2384,0.2376,0.2381,44831,1710273899999,10671.5204,112,19502,1710277140000,0.2411
1710273900000,0.2381,0.2383,0.2379,0.2381,132108,1710273959999,31458.6850,161,51595,1710277140000,0.2411
1710273960000,0.2381,0.2386,0.2381,0.2382,75910,1710274019999,18092.5256,126,57838,1710277140000,0.2411
1710274020000,0.2382,0.2386,0.2382,0.2386,76338,1710274079999,18198.7712,101,44292,1710277140000,0.2411
1710274080000,0.2385,0.2389,0.2384,0.2385,39683,1710274139999,9468.8317,75,16131,1710277140000,0.2411
1710274140000,0.2384,0.2384,0.2379,0.2379,94119,1710274199999,22411.4886,127,42680,1710277140000,0.2411
1710274200000,0.2379,0.2380,0.2375,0.2375,70470,1710274259999,16756.2509,111,20127,1710277140000,0.2411
1710274260000,0.2374,0.2378,0.2374,0.2375,56448,1710274319999,13410.1844,94,33282,1710277140000,0.2411
1710274320000,0.2375,0.2375,0.2373,0.2375,43446,1710274379999,10314.3724,67,11799,1710277140000,0.2411
1710274380000,0.2375,0.2376,0.2375,0.2376,5598,1710274439999,1329.9925,22,3056,1710277140000,0.2411
1710274440000,0.2375,0.2378,0.2375,0.2378,23388,1710274499999,5559.8021,40,19048,1710277140000,0.2411
1710274500000,0.2377,0.2379,0.2372,0.2372,54069,1710274559999,12848.9185,81,14398,1710277140000,0.2411
1710274560000,0.2372,0.2377,0.2371,0.2377,39361,1710274619999,9337.2674,100,17924,1710277140000,0.2411
1710274620000,0.2377,0.2377,0.2375,0.2376,31610,1710274679999,7512.5751,73,25236,1710277140000,0.2411
1710274680000,0.2377,0.2383,0.2377,0.2382,39075,1710274739999,9302.3391,81,36706,1710277140000,0.2411
1710274740000,0.2382,0.2385,0.2382,0.2384,83252,1710274799999,19847.2789,129,64315,1710277140000,0.2411
1710274800000,0.2385,0.2387,0.2383,0.2383,64478,1710274859999,15376.9761,112,28976,1710277140000,0.2411
1710274860000,0.2382,0.2382,0.2377,0.2379,62997,1710274919999,14985.5469,145,46492,1710277140000,0.2411
1710274920000,0.2380,0.2383,0.2379,0.2380,68611,1710274979999,16333.3819,107,44923,1710277140000,0.2411
1710274980000,0.2380,0.2384,0.2380,0.2381,80707,1710275039999,19218.7603,125,60274,1710277140000,0.2411
1710275040000,0.2381,0.2383,0.2381,0.2383,17033,1710275099999,4056.0526,30,11183,1710277140000,0.2411
1710275100000,0.2382,0.2383,0.2380,0.2381,86081,1710275159999,20501.1425,113,56849,1710277140000,0.2411
1710275160000,0.2382,0.2390,0.2382,0.2386,117273,1710275219999,27988.0465,159,90607,1710277140000,0.2411
1710275220000,0.2386,0.2388,0.2380,0.2380,98624,1710275279999,23513.1595,133,67087,1710277140000,0.2411
1710275280000,0.2380,0.2380,0.2374,0.2379,157730,1710275339999,37490.2522,221,95452,1710277140000,0.2411
1710275340000,0.2380,0.2381,0.2375,0.2380,85663,1710275399999,20380.4639,118,73482,1710277140000,0.2411
1710275400000,0.2381,0.2382,0.2372,0.2372,79074,1710275459999,18789.7107,148,32089,1710277140000,0.2411
1710275460000,0.2373,0.2376,0.2367,0.2370,133698,1710275519999,31710.3383,226,76946,1710277140000,0.2411
1710275520000,0.2371,0.2373,0.2369,0.2370,118526,1710275579999,28093.1789,182,83814,1710277140000,0.2411
1710275580000,0.2370,0.2370,0.2362,0.2363,162967,1710275639999,38567.4381,208,60647,1710277140000,0.2411
1710275640000,0.2363,0.2374,0.2363,0.2374,250568,1710275699999,59344.8032,268,234816,1710277140000,0.2411
1710275700000,0.2374,0.2376,0.2372,0.2376,77371,1710275759999,18366.0273,132,65744,1710277140000,0.2411
1710275760000,0.2375,0.2376,0.2374,0.2374,68177,1710275819999,16188.2022,104,45549,1710277140000,0.2411
1710275820000,0.2373,0.2379,0.2372,0.2379,94366,1710275879999,22412.4120,114,62441,1710277140000,0.2411
1710275880000,0.2380,0.2385,0.2378,0.2379,161307,1710275939999,38410.8902,186,95785,1710277140000,0.2411
1710275940000,0.2380,0.2389,0.2380,0.2389,131598,1710275999999,31376.8538,187,107835,1710277140000,0.2411
1710276000000,0.2390,0.2391,0.2388,0.2390,92606,1710276059999,22127.8924,134,64585,1710277140000,0.2411
1710276060000,0.2389,0.2389,0.2386,0.2387,38748,1710276119999,9247.3159,97,20885,1710277140000,0.2411
1710276120000,0.2388,0.2391,0.2388,0.2390,70526,1710276179999,16854.6689,84,49925,1710277140000,0.2411
1710276180000,0.2390,0.2390,0.2385,0.2388,110091,1710276239999,26287.4316,168,54853,1710277140000,0.2411
1710276240000,0.2389,0.2391,0.2387,0.2391,48089,1710276299999,11489.9073,63,35119,1710277140000,0.2411
1710276300000,0.2392,0.2394,0.2391,0.2392,63454,1710276359999,15181.4410,130,39835,1710277140000,0.2411
1710276360000,0.2392,0.2392,0.2382,0.2385,97899,1710276419999,23356.4349,212,44261,1710277140000,0.2411
1710276420000,0.2384,0.2384,0.2380,0.2383,58575,1710276479999,13955.8495,104,27912,1710277140000,0.2411
1710276480000,0.2383,0.2386,0.2381,0.2386,55724,1710276539999,13280.9025,61,46942,1710277140000,0.2411
1710276540000,0.2387,0.2391,0.2386,0.2391,85764,1710276599999,20480.1257,80,55028,1710277140000,0.2411
1710276600000,0.2392,0.2392,0.2388,0.2388,94419,1710276659999,22567.5521,120,67597,1710277140000,0.2411
1710276660000,0.2387,0.2390,0.2384,0.2384,85486,1710276719999,20404.9683,175,42813,1710277140000,0.2411
1710276720000,0.2384,0.2390,0.2382,0.2388,69029,1710276779999,16459.3998,141,48823,1710277140000,0.2411
1710276780000,0.2387,0.2393,0.2387,0.2391,86121,1710276839999,20580.0626,125,51977,1710277140000,0.2411
1710276840000,0.2392,0.2396,0.2392,0.2394,73646,1710276899999,17627.0268,121,41726,1710277140000,0.2411
