Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711630740000,1.0799,1.0832,1.0799,1.0825,9750.8,1711630799999,10545.33897,115,8322.5,1711636140000,1.0855
1711630800000,1.0826,1.0828,1.0807,1.0813,20378.7,1711630859999,22043.29033,223,6616.6,1711636140000,1.0855
1711630860000,1.0813,1.0857,1.0813,1.0851,16076.2,1711630919999,17433.48341,174,15280.5,1711636140000,1.0855
1711630920000,1.0850,1.0852,1.0841,1.0845,3901.9,1711630979999,4232.08504,81,2661.1,1711636140000,1.0855
1711630980000,1.0844,1.0861,1.0842,1.0852,4002.8,1711631039999,4343.30609,65,2870.6,1711636140000,1.0855
1711631040000,1.0854,1.0855,1.0836,1.0836,2514.6,1711631099999,2726.46904,51,506.8,1711636140000,1.0855
1711631100000,1.0836,1.0836,1.0821,1.0824,5912.3,1711631159999,6401.09687,126,3564.4,1711636140000,1.0855
1711631160000,1.0826,1.0830,1.0806,1.0806,5980.1,1711631219999,6466.88796,101,1781.7,1711636140000,1.0855
1711631220000,1.0807,1.0807,1.0777,1.0801,28196.7,1711631279999,30432.49259,251,12743.9,1711636140000,1.0855
1711631280000,1.0800,1.0814,1.0794,1.0808,8633.0,1711631339999,9327.24268,110,3073.8,1711636140000,1.0855
1711631340000,1.0809,1.0812,1.0792,1.0792,1909.9,1711631399999,2063.10245,61,1021.0,1711636140000,1.0855
1711631400000,1.0792,1.0798,1.0785,1.0785,7054.2,1711631459999,7611.04776,78,3318.1,1711636140000,1.0855
1711631460000,1.0782,1.0784,1.0758,1.0760,28216.1,1711631519999,30388.01251,241,11757.1,1711636140000,1.0855
1711631520000,1.0762,1.0767,1.0755,1.0760,5825.1,1711631579999,6268.64746,85,5298.9,1711636140000,1.0855
1711631580000,1.0761,1.0766,1.0758,1.0761,4213.0,1711631639999,4534.75050,54,965.2,1711636140000,1.0855
1711631640000,1.0760,1.0770,1.0750,1.0755,15622.3,1711631699999,16802.45086,154,2594.4,1711636140000,1.0855
