Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710671100000,0.4331800,0.4334300,0.4327300,0.4329800,25181.4,1710671159999,10905.07972700,256,11227.2,1710676500000,0.43745
1710671160000,0.4328900,0.4337400,0.4323600,0.4330700,41966.2,1710671219999,18170.34103400,381,21903.4,1710676500000,0.43745
1710671220000,0.4330600,0.4337500,0.4329100,0.4332900,85498.3,1710671279999,37059.74440600,325,55731.7,1710676500000,0.43745
1710671280000,0.4332300,0.4334300,0.4318800,0.4325200,71453.5,1710671339999,30895.31297300,383,25914.4,1710676500000,0.43745
1710671340000,0.4323300,0.4324700,0.4319700,0.4320400,10574.8,1710671399999,4570.33973100,145,4738.6,1710676500000,0.43745
1710671400000,0.4320500,0.4336900,0.4317400,0.4321700,143769.7,1710671459999,62215.78214500,638,103699.5,1710676500000,0.43745
1710671460000,0.4319400,0.4356000,0.4316600,0.4348100,333203.5,1710671519999,144838.52181100,1182,221211.8,1710676500000,0.43745
1710671520000,0.4348100,0.4351200,0.4343600,0.4346600,42607.0,1710671579999,18524.20115600,408,13591.0,1710676500000,0.43745
1710671580000,0.4346100,0.4367500,0.4338700,0.4364900,343792.8,1710671639999,149860.53546700,1108,199656.1,1710676500000,0.43745
1710671640000,0.4365800,0.4371700,0.4352800,0.4360600,137288.6,1710671699999,59900.96047700,685,74737.5,1710676500000,0.43745
1710671700000,0.4360600,0.4370000,0.4358400,0.4362300,94917.7,1710671759999,41435.02837800,460,37251.1,1710676500000,0.43745
1710671760000,0.4360600,0.4367800,0.4351500,0.4351500,46393.2,1710671819999,20225.97497600,354,14389.2,1710676500000,0.43745
1710671820000,0.4351800,0.4352300,0.4332700,0.4342700,131584.0,1710671879999,57148.95278200,709,57471.4,1710676500000,0.43745
1710671880000,0.4342600,0.4350200,0.4338800,0.4341500,76474.2,1710671939999,33226.28069100,555,36924.9,1710676500000,0.43745
1710671940000,0.4342300,0.4349100,0.4340900,0.4341100,68646.9,1710671999999,29827.05935300,403,26978.7,1710676500000,0.43745
1710672000000,0.4340600,0.4365300,0.4332300,0.4354500,131329.2,1710672059999,57145.30294200,714,94422.1,1710676500000,0.43745
1710672060000,0.4354800,0.4385400,0.4354400,0.4373200,346642.4,1710672119999,151589.35680900,1188,192870.0,1710676500000,0.43745
1710672120000,0.4373300,0.4387000,0.4373300,0.4375600,101146.1,1710672179999,44311.11015400,470,71139.2,1710676500000,0.43745
1710672180000,0.4375700,0.4376300,0.4356900,0.4372500,96137.6,1710672239999,41991.48425100,597,30630.4,1710676500000,0.43745
1710672240000,0.4371700,0.4392200,0.4371600,0.4387400,120129.7,1710672299999,52680.33279700,544,75814.5,1710676500000,0.43745
1710672300000,0.4386600,0.4409200,0.4372700,0.4374100,174616.7,1710672359999,76650.11762900,884,71520.5,1710676500000,0.43745
1710672360000,0.4374500,0.4403700,0.4372700,0.4396200,173877.1,1710672419999,76307.77430300,1010,96927.5,1710676500000,0.43745
1710672420000,0.4395900,0.4428900,0.4392700,0.4418200,180730.5,1710672479999,79783.63753500,912,118542.7,1710676500000,0.43745
1710672480000,0.4419400,0.4443300,0.4398400,0.4402600,350083.5,1710672539999,154757.34692700,1290,141617.9,1710676500000,0.43745
1710672540000,0.4403700,0.4414200,0.4396700,0.4407600,87556.6,1710672599999,38578.35212900,620,37854.4,1710676500000,0.43745
1710672600000,0.4410600,0.4423800,0.4408400,0.4420300,81703.3,1710672659999,36106.68316900,507,47776.4,1710676500000,0.43745
1710672660000,0.4420900,0.4440200,0.4420900,0.4435800,169462.1,1710672719999,75102.18317100,726,86174.1,1710676500000,0.43745
1710672720000,0.4434900,0.4440800,0.4415900,0.4421300,137003.0,1710672779999,60706.12212700,680,46190.6,1710676500000,0.43745
1710672780000,0.4421000,0.4443600,0.4419200,0.4427400,161060.8,1710672839999,71367.24764500,750,66570.1,1710676500000,0.43745
1710672840000,0.4426400,0.4430000,0.4414900,0.4425100,127465.6,1710672899999,56373.73652400,625,43558.1,1710676500000,0.43745
1710672900000,0.4425200,0.4430100,0.4416000,0.4416600,90968.0,1710672959999,40234.67135200,518,26306.5,1710676500000,0.43745
1710672960000,0.4417700,0.4428800,0.4401500,0.4409400,150999.9,1710673019999,66650.97656600,839,43181.0,1710676500000,0.43745
1710673020000,0.4409200,0.4419500,0.4404600,0.4409500,87927.9,1710673079999,38783.53509900,541,30615.6,1710676500000,0.43745
1710673080000,0.4409000,0.4428000,0.4406200,0.4428000,80908.5,1710673139999,35727.84427500,456,43148.6,1710676500000,0.43745
1710673140000,0.4427500,0.4446700,0.4427500,0.4437600,120327.5,1710673199999,53427.65931200,688,55472.8,1710676500000,0.43745
1710673200000,0.4437100,0.4447200,0.4400400,0.4404300,367116.7,1710673259999,162536.33704800,1511,130890.9,1710676500000,0.43745
1710673260000,0.4403900,0.4425200,0.4400200,0.4423800,130834.6,1710673319999,57746.70643000,920,61003.6,1710676500000,0.43745
1710673320000,0.4424100,0.4432600,0.4412900,0.4417700,58973.8,1710673379999,26080.91271100,602,21566.4,1710676500000,0.43745
