Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712205780000,0.02758,0.02762,0.02757,0.02762,174725,1712205839999,4821.57682,73,100522,1712211120000,0.02828
1712205840000,0.02763,0.02764,0.02763,0.02763,139656,1712205899999,3858.70613,39,124171,1712211120000,0.02828
1712205900000,0.02763,0.02775,0.02763,0.02773,695403,1712205959999,19269.36732,155,564417,1712211120000,0.02828
1712205960000,0.02772,0.02772,0.02763,0.02763,137146,1712206019999,3795.94292,61,20919,1712211120000,0.02828
1712206020000,0.02764,0.02769,0.02764,0.02768,135962,1712206079999,3761.24969,52,106849,1712211120000,0.02828
1712206080000,0.02769,0.02769,0.02764,0.02764,143685,1712206139999,3973.72514,60,30525,1712211120000,0.02828
1712206140000,0.02765,0.02770,0.02764,0.02770,62724,1712206199999,1735.12047,43,27714,1712211120000,0.02828
1712206200000,0.02770,0.02773,0.02770,0.02773,178575,1712206259999,4949.35018,82,110016,1712211120000,0.02828
1712206260000,0.02774,0.02777,0.02774,0.02775,78972,1712206319999,2191.50045,51,42498,1712211120000,0.02828
1712206320000,0.02774,0.02779,0.02774,0.02777,103650,1712206379999,2878.69068,44,78735,1712211120000,0.02828
1712206380000,0.02776,0.02777,0.02773,0.02774,429130,1712206439999,11909.17022,88,245583,1712211120000,0.02828
1712206440000,0.02775,0.02780,0.02774,0.02780,83284,1712206499999,2312.49751,38,66062,1712211120000,0.02828
1712206500000,0.02780,0.02783,0.02778,0.02780,470510,1712206559999,13083.32833,118,183613,1712211120000,0.02828
1712206560000,0.02780,0.02786,0.02780,0.02786,144851,1712206619999,4032.32228,57,122929,1712211120000,0.02828
1712206620000,0.02786,0.02787,0.02782,0.02784,141327,1712206679999,3936.55511,65,89666,1712211120000,0.02828
1712206680000,0.02784,0.02787,0.02783,0.02785,132562,1712206739999,3691.32577,38,109261,1712211120000,0.02828
1712206740000,0.02784,0.02787,0.02783,0.02784,128704,1712206799999,3583.73257,55,27535,1712211120000,0.02828
1712206800000,0.02785,0.02786,0.02783,0.02785,121902,1712206859999,3394.33786,89,34338,1712211120000,0.02828
1712206860000,0.02786,0.02786,0.02783,0.02785,55526,1712206919999,1546.12449,34,19090,1712211120000,0.02828
1712206920000,0.02785,0.02788,0.02780,0.02780,170369,1712206979999,4743.56680,63,50074,1712211120000,0.02828
1712206980000,0.02780,0.02781,0.02776,0.02780,102279,1712207039999,2841.11806,76,52983,1712211120000,0.02828
1712207040000,0.02781,0.02787,0.02781,0.02787,146712,1712207099999,4083.56897,38,135934,1712211120000,0.02828
1712207100000,0.02787,0.02795,0.02787,0.02794,517198,1712207159999,14438.04353,124,416536,1712211120000,0.02828
1712207160000,0.02794,0.02794,0.02792,0.02792,52694,1712207219999,1471.77140,45,17413,1712211120000,0.02828
1712207220000,0.02792,0.02794,0.02785,0.02786,277153,1712207279999,7729.10754,99,81151,1712211120000,0.02828
1712207280000,0.02786,0.02788,0.02786,0.02786,409784,1712207339999,11418.90493,134,92427,1712211120000,0.02828
1712207340000,0.02786,0.02789,0.02786,0.02788,127083,1712207399999,3542.19301,75,34809,1712211120000,0.02828
1712207400000,0.02790,0.02795,0.02790,0.02795,77481,1712207459999,2164.51836,44,42201,1712211120000,0.02828
1712207460000,0.02794,0.02795,0.02792,0.02795,80472,1712207519999,2247.91584,51,31952,1712211120000,0.02828
1712207520000,0.02795,0.02796,0.02794,0.02796,93803,1712207579999,2622.18684,49,53824,1712211120000,0.02828
1712207580000,0.02795,0.02795,0.02793,0.02795,92331,1712207639999,2579.98397,44,23254,1712211120000,0.02828
