Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711467060000,0.4280600,0.4280600,0.4267100,0.4267100,27846,1711467119999,11894.6641300,205,6631,1711472460000,0.42777
1711467120000,0.4266900,0.4270800,0.4262700,0.4263500,20480,1711467179999,8740.2134000,158,7456,1711472460000,0.42777
1711467180000,0.4263200,0.4263200,0.4251500,0.4253000,19774,1711467239999,8414.1305300,188,13733,1711472460000,0.42777
1711467240000,0.4252700,0.4257400,0.4248200,0.4250000,51115,1711467299999,21744.8146500,198,13199,1711472460000,0.42777
1711467300000,0.4251300,0.4256100,0.4247900,0.4250200,31733,1711467359999,13491.2887700,275,19919,1711472460000,0.42777
1711467360000,0.4252000,0.4264700,0.4252000,0.4264200,13839,1711467419999,5893.4722800,163,6656,1711472460000,0.42777
1711467420000,0.4264600,0.4274000,0.4264600,0.4273200,15583,1711467479999,6653.9419800,158,8155,1711472460000,0.42777
1711467480000,0.4273300,0.4273300,0.4269000,0.4271000,12969,1711467539999,5538.7473200,94,6424,1711472460000,0.42777
1711467540000,0.4271000,0.4272700,0.4269000,0.4272000,19867,1711467599999,8485.1744400,146,6666,1711472460000,0.42777
1711467600000,0.4272000,0.4274200,0.4270500,0.4270700,11175,1711467659999,4774.9613400,134,5199,1711472460000,0.42777
1711467660000,0.4270100,0.4273800,0.4267600,0.4270600,19510,1711467719999,8332.4164500,143,14175,1711472460000,0.42777
1711467720000,0.4271400,0.4271400,0.4266000,0.4268400,10564,1711467779999,4508.9258900,75,7321,1711472460000,0.42777
1711467780000,0.4267400,0.4277200,0.4267400,0.4275200,14094,1711467839999,6023.3879300,124,11313,1711472460000,0.42777
1711467840000,0.4275200,0.4279700,0.4275200,0.4278600,5479,1711467899999,2343.3909900,47,1752,1711472460000,0.42777
1711467900000,0.4278000,0.4281000,0.4274100,0.4278700,15857,1711467959999,6781.4678200,96,7398,1711472460000,0.42777
1711467960000,0.4278000,0.4278000,0.4267600,0.4268000,20106,1711468019999,8587.5631900,138,5332,1711472460000,0.42777
1711468020000,0.4267500,0.4270300,0.4265400,0.4269600,11711,1711468079999,4998.1369200,86,8026,1711472460000,0.42777
1711468080000,0.4269700,0.4282300,0.4269700,0.4278000,29300,1711468139999,12530.2477900,187,18146,1711472460000,0.42777
1711468140000,0.4277900,0.4277900,0.4271400,0.4273300,18593,1711468199999,7947.6267400,124,11583,1711472460000,0.42777
1711468200000,0.4273000,0.4275800,0.4265400,0.4268400,56595,1711468259999,24170.5423100,269,44999,1711472460000,0.42777
1711468260000,0.4268400,0.4273000,0.4266100,0.4271800,18121,1711468319999,7736.4092600,102,14120,1711472460000,0.42777
1711468320000,0.4271800,0.4274200,0.4267800,0.4267800,7330,1711468379999,3130.7891100,40,1583,1711472460000,0.42777
1711468380000,0.4268200,0.4270200,0.4266200,0.4267900,9592,1711468439999,4093.8597600,67,3803,1711472460000,0.42777
1711468440000,0.4268800,0.4273400,0.4268200,0.4273000,5976,1711468499999,2552.0074700,39,4023,1711472460000,0.42777
1711468500000,0.4273400,0.4281400,0.4273200,0.4279900,25885,1711468559999,11070.6118300,151,16504,1711472460000,0.42777
1711468560000,0.4280300,0.4285300,0.4277100,0.4278000,13146,1711468619999,5628.0949000,129,3591,1711472460000,0.42777
1711468620000,0.4277700,0.4278600,0.4275700,0.4277600,8144,1711468679999,3483.1883500,76,3488,1711472460000,0.42777
1711468680000,0.4277600,0.4277600,0.4275000,0.4277200,7759,1711468739999,3318.0743100,60,1744,1711472460000,0.42777
1711468740000,0.4276000,0.4279400,0.4276000,0.4278400,10906,1711468799999,4665.3164200,70,3438,1711472460000,0.42777
1711468800000,0.4278600,0.4293700,0.4277000,0.4290400,40551,1711468859999,17385.3239000,217,28581,1711472460000,0.42777
1711468860000,0.4289100,0.4298900,0.4284000,0.4298900,33424,1711468919999,14340.4732200,209,16178,1711472460000,0.42777
1711468920000,0.4297100,0.4297100,0.4287200,0.4292700,83307,1711468979999,35743.0062600,326,21261,1711472460000,0.42777
1711468980000,0.4293200,0.4294400,0.4287500,0.4289800,31034,1711469039999,13315.9497100,185,16792,1711472460000,0.42777
1711469040000,0.4289500,0.4294900,0.4289500,0.4293900,18578,1711469099999,7974.5640000,118,11745,1711472460000,0.42777
1711469100000,0.4292300,0.4297000,0.4286700,0.4292300,40705,1711469159999,17468.0034200,242,26351,1711472460000,0.42777
1711469160000,0.4292900,0.4292900,0.4283400,0.4283400,40747,1711469219999,17470.6508100,140,12665,1711472460000,0.42777
1711469220000,0.4283800,0.4284800,0.4274000,0.4284200,60404,1711469279999,25849.8777300,308,25244,1711472460000,0.42777
1711469280000,0.4284400,0.4294800,0.4284400,0.4294800,30361,1711469339999,13027.9718500,176,15126,1711472460000,0.42777
1711469340000,0.4296200,0.4309000,0.4295500,0.4307900,54919,1711469399999,23631.7631200,202,39464,1711472460000,0.42777
1711469400000,0.4307200,0.4308800,0.4293100,0.4301000,45940,1711469459999,19760.9281400,208,38452,1711472460000,0.42777
1711469460000,0.4300600,0.4314100,0.4298900,0.4304900,130162,1711469519999,56048.9677300,451,63096,1711472460000,0.42777
1711469520000,0.4304900,0.4309100,0.4294300,0.4294300,28283,1711469579999,12169.5966600,157,16881,1711472460000,0.42777
1711469580000,0.4293400,0.4294300,0.4288600,0.4293000,15744,1711469639999,6756.7650900,100,9144,1711472460000,0.42777
1711469640000,0.4293100,0.4294200,0.4288900,0.4288900,6763,1711469699999,2902.8747400,48,4630,1711472460000,0.42777
1711469700000,0.4288200,0.4293800,0.4281500,0.4286300,45264,1711469759999,19406.7177500,257,30788,1711472460000,0.42777
1711469760000,0.4286700,0.4304900,0.4286700,0.4301300,55180,1711469819999,23722.6372500,276,47731,1711472460000,0.42777
1711469820000,0.4302000,0.4304000,0.4291400,0.4291400,21751,1711469879999,9349.4212600,133,9065,1711472460000,0.42777
1711469880000,0.4288900,0.4288900,0.4275500,0.4278000,26013,1711469939999,11138.4995800,130,11113,1711472460000,0.42777
1711469940000,0.4276400,0.4279000,0.4273000,0.4273600,37361,1711469999999,15975.9707500,181,25291,1711472460000,0.42777
1711470000000,0.4273600,0.4277400,0.4270300,0.4277400,20001,1711470059999,8546.1715700,114,11759,1711472460000,0.42777
1711470060000,0.4276200,0.4276200,0.4269500,0.4276000,19307,1711470119999,8247.7830600,172,13669,1711472460000,0.42777
1711470120000,0.4275500,0.4277000,0.4264200,0.4266300,53041,1711470179999,22643.0885900,278,32446,1711472460000,0.42777
1711470180000,0.4266200,0.4266300,0.4253400,0.4260600,67824,1711470239999,28881.9163400,331,32507,1711472460000,0.42777
1711470240000,0.4259800,0.4273400,0.4258400,0.4271800,36394,1711470299999,15519.9956200,200,18641,1711472460000,0.42777
1711470300000,0.4271800,0.4271800,0.4253400,0.4261100,45506,1711470359999,19392.0374100,298,24480,1711472460000,0.42777
1711470360000,0.4261300,0.4261300,0.4254900,0.4259100,36653,1711470419999,15601.4321100,118,9805,1711472460000,0.42777
1711470420000,0.4258500,0.4259200,0.4253800,0.4255700,25036,1711470479999,10656.9169200,143,9863,1711472460000,0.42777
1711470480000,0.4255700,0.4263800,0.4253000,0.4261200,23288,1711470539999,9922.0136400,146,15812,1711472460000,0.42777
1711470540000,0.4260100,0.4268900,0.4258300,0.4268900,23624,1711470599999,10076.4843200,195,10116,1711472460000,0.42777
1711470600000,0.4268900,0.4280900,0.4268900,0.4272500,209584,1711470659999,89501.1684800,313,178139,1711472460000,0.42777
1711470660000,0.4272500,0.4277500,0.4272000,0.4273300,18899,1711470719999,8079.4290400,143,9916,1711472460000,0.42777
1711470720000,0.4272800,0.4281300,0.4272800,0.4280500,17205,1711470779999,7360.7111000,126,7942,1711472460000,0.42777
1711470780000,0.4279900,0.4286300,0.4276800,0.4276800,18152,1711470839999,7772.1036800,139,9326,1711472460000,0.42777
1711470840000,0.4276800,0.4278400,0.4263700,0.4263700,17449,1711470899999,7452.2945100,147,11689,1711472460000,0.42777
1711470900000,0.4263600,0.4264800,0.4250700,0.4256700,63763,1711470959999,27142.9375100,252,18916,1711472460000,0.42777
1711470960000,0.4256100,0.4259000,0.4250000,0.4252500,48844,1711471019999,20774.4427300,204,26030,1711472460000,0.42777
1711471020000,0.4253700,0.4255700,0.4247200,0.4247200,30005,1711471079999,12756.1018200,157,11663,1711472460000,0.42777
1711471080000,0.4247300,0.4253000,0.4247200,0.4252000,13497,1711471139999,5736.9349200,97,7949,1711472460000,0.42777
1711471140000,0.4252000,0.4254800,0.4249000,0.4249000,22888,1711471199999,9731.8620200,173,9416,1711472460000,0.42777
1711471200000,0.4250300,0.4253500,0.4243600,0.4244100,65513,1711471259999,27832.4495700,240,40603,1711472460000,0.42777
1711471260000,0.4244900,0.4245900,0.4240200,0.4243400,37010,1711471319999,15700.4400400,184,28532,1711472460000,0.42777
1711471320000,0.4243700,0.4248000,0.4231600,0.4234000,68509,1711471379999,29036.8245400,263,17600,1711472460000,0.42777
1711471380000,0.4234000,0.4240100,0.4231600,0.4237800,43905,1711471439999,18599.2242600,204,15657,1711472460000,0.42777
1711471440000,0.4234400,0.4240100,0.4231400,0.4239300,43894,1711471499999,18594.8318000,231,27749,1711472460000,0.42777
1711471500000,0.4239300,0.4255700,0.4233500,0.4251400,95009,1711471559999,40330.6702300,303,60482,1711472460000,0.42777
1711471560000,0.4250600,0.4267100,0.4250600,0.4263400,25075,1711471619999,10679.6736300,148,12653,1711472460000,0.42777
1711471620000,0.4264200,0.4265700,0.4259500,0.4263400,14175,1711471679999,6042.1824800,107,6062,1711472460000,0.42777
1711471680000,0.4262700,0.4272200,0.4261500,0.4268700,16161,1711471739999,6896.9235800,118,5585,1711472460000,0.42777
1711471740000,0.4269600,0.4270000,0.4260200,0.4260200,10054,1711471799999,4289.1596900,95,1467,1711472460000,0.42777
1711471800000,0.4260800,0.4262800,0.4257900,0.4261800,5726,1711471859999,2439.2756000,64,3870,1711472460000,0.42777
1711471860000,0.4261200,0.4263800,0.4256700,0.4257200,8061,1711471919999,3434.4299800,92,3673,1711472460000,0.42777
1711471920000,0.4256000,0.4256000,0.4249900,0.4251300,11042,1711471979999,4695.6832200,96,3532,1711472460000,0.42777
1711471980000,0.4251700,0.4251700,0.4245300,0.4248100,12434,1711472039999,5281.8167700,86,5219,1711472460000,0.42777
1711472040000,0.4248600,0.4248600,0.4236600,0.4239500,30189,1711472099999,12807.1963700,195,10164,1711472460000,0.42777
1711472100000,0.4239500,0.4247700,0.4236600,0.4237400,28826,1711472159999,12224.8736600,134,17113,1711472460000,0.42777
1711472160000,0.4237100,0.4238900,0.4233500,0.4236000,15139,1711472219999,6413.7597800,103,6886,1711472460000,0.42777
1711472220000,0.4235700,0.4243100,0.4232600,0.4241900,48283,1711472279999,20458.7593800,235,28120,1711472460000,0.42777
1711472280000,0.4243600,0.4252700,0.4243000,0.4252700,11418,1711472339999,4852.6375300,96,3672,1711472460000,0.42777
1711472340000,0.4251300,0.4254600,0.4243500,0.4244700,6989,1711472399999,2969.9738500,88,1779,1711472460000,0.42777
1711472400000,0.4245600,0.4256600,0.4241800,0.4255700,42933,1711472459999,18236.0042400,221,16039,1711472460000,0.42777
1711472460000,0.4255100,0.4309900,0.4254600,0.4287700,416403,1711472519999,178703.2801700,1458,317552,1711472460000,0.42777
1711472520000,0.4287600,0.4288900,0.4257000,0.4277400,195239,1711472579999,83437.6770100,657,62959,1711472460000,0.42777
1711472580000,0.4278300,0.4280000,0.4269000,0.4277900,36789,1711472639999,15730.2956500,200,15051,1711472460000,0.42777
1711472640000,0.4278500,0.4282800,0.4277000,0.4277000,26363,1711472699999,11280.6618200,88,9068,1711472460000,0.42777
1711472700000,0.4278100,0.4283800,0.4277800,0.4283700,13115,1711472759999,5614.9677800,98,10284,1711472460000,0.42777
1711472760000,0.4283800,0.4284200,0.4267800,0.4279400,31565,1711472819999,13501.8559500,255,10009,1711472460000,0.42777
1711472820000,0.4279200,0.4282600,0.4279000,0.4279800,11167,1711472879999,4780.5854500,82,4760,1711472460000,0.42777
1711472880000,0.4279900,0.4280000,0.4259100,0.4260000,13696,1711472939999,5851.9799100,152,7040,1711472460000,0.42777
1711472940000,0.4260100,0.4262300,0.4256000,0.4256500,27880,1711472999999,11876.0623700,173,16121,1711472460000,0.42777
1711473000000,0.4257800,0.4261800,0.4255600,0.4255600,10167,1711473059999,4330.2635700,86,5763,1711472460000,0.42777
1711473060000,0.4255200,0.4261600,0.4242000,0.4254100,60506,1711473119999,25721.3727500,327,22626,1711472460000,0.42777
1711473120000,0.4255500,0.4259400,0.4248500,0.4254600,22681,1711473179999,9651.6420900,158,16019,1711472460000,0.42777
1711473180000,0.4255000,0.4255100,0.4247300,0.4252200,12323,1711473239999,5239.9435600,122,5268,1711472460000,0.42777
1711473240000,0.4252900,0.4254300,0.4245400,0.4254300,12797,1711473299999,5438.0638200,83,3960,1711472460000,0.42777
