Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710973860000,0.3238,0.3243,0.3235,0.3235,32779.4,1710973919999,10615.51971,116,22054.1,1710979200000,0.3257
1710973920000,0.3235,0.3236,0.3233,0.3233,23106.9,1710973979999,7475.10133,66,197.3,1710979200000,0.3257
1710973980000,0.3232,0.3232,0.3230,0.3231,12130.6,1710974039999,3919.23039,35,6790.6,1710979200000,0.3257
1710974040000,0.3231,0.3233,0.3230,0.3230,16476.9,1710974099999,5324.43247,67,6187.5,1710979200000,0.3257
1710974100000,0.3230,0.3233,0.3228,0.3233,54182.2,1710974159999,17499.93762,139,14816.9,1710979200000,0.3257
1710974160000,0.3232,0.3238,0.3231,0.3233,50334.6,1710974219999,16274.95457,148,25556.5,1710979200000,0.3257
1710974220000,0.3232,0.3232,0.3228,0.3228,19115.0,1710974279999,6173.99668,65,3616.2,1710979200000,0.3257
1710974280000,0.3228,0.3229,0.3225,0.3226,28271.3,1710974339999,9124.65567,77,13515.9,1710979200000,0.3257
1710974340000,0.3226,0.3233,0.3226,0.3233,13834.8,1710974399999,4468.12668,48,12756.5,1710979200000,0.3257
1710974400000,0.3232,0.3234,0.3230,0.3232,29712.4,1710974459999,9602.83615,76,6337.9,1710979200000,0.3257
1710974460000,0.3232,0.3234,0.3232,0.3233,12821.2,1710974519999,4145.07363,33,3136.6,1710979200000,0.3257
1710974520000,0.3233,0.3234,0.3232,0.3233,5914.9,1710974579999,1912.40595,34,1692.5,1710979200000,0.3257
1710974580000,0.3233,0.3233,0.3225,0.3227,31356.0,1710974639999,10128.70375,84,9902.3,1710979200000,0.3257
1710974640000,0.3227,0.3228,0.3226,0.3226,10010.2,1710974699999,3230.40397,50,7811.1,1710979200000,0.3257
1710974700000,0.3227,0.3229,0.3225,0.3227,31772.5,1710974759999,10253.03788,78,18335.3,1710979200000,0.3257
1710974760000,0.3226,0.3228,0.3225,0.3228,15899.5,1710974819999,5129.65355,60,7985.9,1710979200000,0.3257
1710974820000,0.3227,0.3228,0.3225,0.3225,13352.5,1710974879999,4306.98047,37,160.2,1710979200000,0.3257
1710974880000,0.3225,0.3225,0.3223,0.3224,10701.1,1710974939999,3450.49729,38,1373.0,1710979200000,0.3257
1710974940000,0.3224,0.3224,0.3219,0.3220,28345.8,1710974999999,9129.71799,104,8377.0,1710979200000,0.3257
