Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711080360000,3.4400000,3.4485000,3.4391000,3.4447000,35206.0,1711080419999,121261.46807000,656,23888.7,1711085760000,3.4916
1711080420000,3.4451000,3.4547000,3.4451000,3.4505000,35009.7,1711080479999,120782.03974000,536,21392.6,1711085760000,3.4916
1711080480000,3.4503000,3.4527000,3.4406000,3.4417000,235281.9,1711080539999,810623.64727000,1288,46572.1,1711085760000,3.4916
1711080540000,3.4420000,3.4533000,3.4273000,3.4492000,913074.5,1711080599999,3141711.02635000,4494,564966.3,1711085760000,3.4916
1711080600000,3.4489000,3.4561000,3.4471000,3.4471000,123289.3,1711080659999,425579.87810000,1267,71147.2,1711085760000,3.4916
1711080660000,3.4470000,3.4604000,3.4450000,3.4602000,55540.7,1711080719999,191765.39085000,883,40038.2,1711085760000,3.4916
1711080720000,3.4602000,3.4617000,3.4583000,3.4592000,67974.5,1711080779999,235179.16981000,828,32154.4,1711085760000,3.4916
1711080780000,3.4593000,3.4598000,3.4553000,3.4574000,31404.7,1711080839999,108588.01672000,446,11603.8,1711085760000,3.4916
1711080840000,3.4571000,3.4596000,3.4520000,3.4520000,38754.7,1711080899999,133955.43998000,477,10078.2,1711085760000,3.4916
1711080900000,3.4526000,3.4532000,3.4450000,3.4450000,36109.5,1711080959999,124543.56608000,599,15267.5,1711085760000,3.4916
1711080960000,3.4453000,3.4484000,3.4403000,3.4429000,79115.2,1711081019999,272487.99101000,1496,29117.4,1711085760000,3.4916
1711081020000,3.4430000,3.4442000,3.4391000,3.4400000,48739.7,1711081079999,167725.27836000,545,20363.6,1711085760000,3.4916
1711081080000,3.4401000,3.4414000,3.4370000,3.4407000,44935.6,1711081139999,154522.07747000,632,16618.7,1711085760000,3.4916
1711081140000,3.4407000,3.4455000,3.4401000,3.4452000,20791.8,1711081199999,71567.35758000,380,13826.7,1711085760000,3.4916
1711081200000,3.4451000,3.4499000,3.4385000,3.4478000,92283.4,1711081259999,317875.11625000,1338,70773.2,1711085760000,3.4916
1711081260000,3.4477000,3.4532000,3.4460000,3.4483000,66758.7,1711081319999,230289.83836000,901,27294.2,1711085760000,3.4916
1711081320000,3.4479000,3.4534000,3.4475000,3.4512000,24339.0,1711081379999,83983.44372000,434,10804.5,1711085760000,3.4916
1711081380000,3.4513000,3.4537000,3.4486000,3.4486000,21672.8,1711081439999,74799.33996000,375,8194.2,1711085760000,3.4916
1711081440000,3.4487000,3.4536000,3.4455000,3.4455000,33205.7,1711081499999,114560.40165000,482,18763.9,1711085760000,3.4916
1711081500000,3.4455000,3.4474000,3.4416000,3.4428000,16861.1,1711081559999,58062.61108000,385,8567.6,1711085760000,3.4916
1711081560000,3.4428000,3.4475000,3.4398000,3.4412000,25013.8,1711081619999,86116.05684000,508,10931.2,1711085760000,3.4916
1711081620000,3.4409000,3.4469000,3.4397000,3.4460000,14545.8,1711081679999,50078.20877000,359,10673.3,1711085760000,3.4916
1711081680000,3.4461000,3.4510000,3.4448000,3.4449000,25331.0,1711081739999,87320.09815000,528,15396.0,1711085760000,3.4916
1711081740000,3.4454000,3.4500000,3.4452000,3.4494000,19330.6,1711081799999,66645.52294000,352,9708.0,1711085760000,3.4916
1711081800000,3.4493000,3.4535000,3.4479000,3.4498000,38735.3,1711081859999,133624.25452000,441,7733.9,1711085760000,3.4916
1711081860000,3.4497000,3.4521000,3.4447000,3.4447000,20614.2,1711081919999,71079.79606000,465,10399.2,1711085760000,3.4916
1711081920000,3.4448000,3.4448000,3.4392000,3.4405000,27192.2,1711081979999,93581.09358000,510,11304.6,1711085760000,3.4916
1711081980000,3.4401000,3.4450000,3.4391000,3.4395000,20105.2,1711082039999,69194.91670000,522,12860.5,1711085760000,3.4916
1711082040000,3.4393000,3.4398000,3.4378000,3.4398000,10938.2,1711082099999,37614.87839000,261,7266.3,1711085760000,3.4916
1711082100000,3.4399000,3.4423000,3.4374000,3.4374000,18894.3,1711082159999,65002.88280000,410,11316.3,1711085760000,3.4916
1711082160000,3.4374000,3.4442000,3.4361000,3.4401000,32961.5,1711082219999,113353.67403000,547,21334.1,1711085760000,3.4916
1711082220000,3.4396000,3.4396000,3.4370000,3.4371000,23621.4,1711082279999,81209.51819000,258,5169.9,1711085760000,3.4916
1711082280000,3.4370000,3.4399000,3.4366000,3.4376000,11934.0,1711082339999,41028.50657000,295,7680.2,1711085760000,3.4916
1711082340000,3.4378000,3.4378000,3.4336000,3.4349000,16908.5,1711082399999,58079.74480000,424,5959.3,1711085760000,3.4916
1711082400000,3.4349000,3.4385000,3.4313000,3.4317000,30721.6,1711082459999,105516.87615000,520,10215.6,1711085760000,3.4916
1711082460000,3.4319000,3.4345000,3.4246000,3.4252000,67638.8,1711082519999,231878.84904000,882,17761.7,1711085760000,3.4916
1711082520000,3.4253000,3.4349000,3.4246000,3.4343000,80972.9,1711082579999,277650.14872000,723,57013.4,1711085760000,3.4916
1711082580000,3.4342000,3.4375000,3.4322000,3.4335000,36271.8,1711082639999,124567.97630000,502,23176.7,1711085760000,3.4916
1711082640000,3.4336000,3.4343000,3.4303000,3.4313000,20697.5,1711082699999,71042.62492000,253,12220.9,1711085760000,3.4916
1711082700000,3.4315000,3.4334000,3.4274000,3.4293000,33317.0,1711082759999,114299.72217000,655,13944.5,1711085760000,3.4916
1711082760000,3.4290000,3.4323000,3.4285000,3.4323000,22015.3,1711082819999,75528.50562000,357,11791.5,1711085760000,3.4916
