Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711005480000,0.0405300,0.0406300,0.0405300,0.0406200,41909,1711005539999,1701.2335800,45,21512,1711010820000,0.04105
1711005540000,0.0406200,0.0406500,0.0406100,0.0406300,130994,1711005599999,5322.9269200,66,99822,1711010820000,0.04105
1711005600000,0.0406200,0.0406500,0.0406200,0.0406400,61178,1711005659999,2485.6698100,43,36979,1711010820000,0.04105
1711005660000,0.0406500,0.0406500,0.0406100,0.0406400,103596,1711005719999,4208.7581600,56,11560,1711010820000,0.04105
1711005720000,0.0406300,0.0406300,0.0406200,0.0406200,15063,1711005779999,611.9823400,23,1126,1711010820000,0.04105
1711005780000,0.0406200,0.0406300,0.0406200,0.0406300,7390,1711005839999,300.1973800,13,722,1711010820000,0.04105
1711005840000,0.0406200,0.0406700,0.0406200,0.0406400,74938,1711005899999,3046.8020600,41,50517,1711010820000,0.04105
1711005900000,0.0406400,0.0406600,0.0406400,0.0406600,64253,1711005959999,2612.3778900,25,59844,1711010820000,0.04105
1711005960000,0.0406500,0.0406600,0.0406300,0.0406500,98058,1711006019999,3985.5042900,50,21202,1711010820000,0.04105
1711006020000,0.0406500,0.0406700,0.0406400,0.0406400,52264,1711006079999,2124.7530000,45,32809,1711010820000,0.04105
1711006080000,0.0406300,0.0406500,0.0406300,0.0406300,26649,1711006139999,1083.0206200,20,11067,1711010820000,0.04105
1711006140000,0.0406400,0.0406500,0.0406400,0.0406400,7410,1711006199999,301.1544000,10,6727,1711010820000,0.04105
1711006200000,0.0406400,0.0406700,0.0406400,0.0406600,30164,1711006259999,1226.3728900,18,22100,1711010820000,0.04105
1711006260000,0.0406600,0.0406600,0.0406400,0.0406600,63023,1711006319999,2562.3967700,43,4042,1711010820000,0.04105
1711006320000,0.0406500,0.0406500,0.0406400,0.0406500,15889,1711006379999,645.7761700,12,11351,1711010820000,0.04105
1711006380000,0.0406400,0.0406400,0.0406300,0.0406300,47023,1711006439999,1910.5518100,12,0,1711010820000,0.04105
1711006440000,0.0406300,0.0406300,0.0406200,0.0406200,10050,1711006499999,408.3066100,9,0,1711010820000,0.04105
1711006500000,0.0406200,0.0406200,0.0406100,0.0406100,40307,1711006559999,1637.1269600,18,640,1711010820000,0.04105
1711006560000,0.0406200,0.0406200,0.0406000,0.0406100,48206,1711006619999,1957.8828900,22,37425,1711010820000,0.04105
1711006620000,0.0406100,0.0406400,0.0406000,0.0406100,48157,1711006679999,1955.9902000,35,30582,1711010820000,0.04105
1711006680000,0.0406200,0.0406300,0.0406000,0.0406000,34450,1711006739999,1399.0260900,27,3766,1711010820000,0.04105
1711006740000,0.0406200,0.0406300,0.0405900,0.0406300,81706,1711006799999,3317.8773000,48,33384,1711010820000,0.04105
1711006800000,0.0406100,0.0406100,0.0406100,0.0406100,2901,1711006859999,117.8096100,3,0,1711010820000,0.04105
1711006860000,0.0406000,0.0406800,0.0405800,0.0406500,492025,1711006919999,19990.8665900,161,438006,1711010820000,0.04105
1711006920000,0.0406500,0.0406600,0.0406200,0.0406200,31252,1711006979999,1269.9378800,18,7412,1711010820000,0.04105
1711006980000,0.0406200,0.0406300,0.0406200,0.0406200,16699,1711007039999,678.3717900,15,2631,1711010820000,0.04105
1711007040000,0.0406200,0.0406200,0.0406000,0.0406000,19452,1711007099999,789.9603000,9,1800,1711010820000,0.04105
1711007100000,0.0406000,0.0406000,0.0405200,0.0405400,286936,1711007159999,11634.4482900,99,142851,1711010820000,0.04105
1711007160000,0.0405500,0.0405700,0.0405200,0.0405200,214034,1711007219999,8676.0628000,82,90291,1711010820000,0.04105
1711007220000,0.0405200,0.0405400,0.0405200,0.0405300,38806,1711007279999,1572.8173000,26,24849,1711010820000,0.04105
1711007280000,0.0405200,0.0405200,0.0404100,0.0404100,403696,1711007339999,16333.1064300,123,24547,1711010820000,0.04105
1711007340000,0.0404100,0.0404800,0.0403700,0.0404600,352830,1711007399999,14260.3689500,164,113772,1711010820000,0.04105
1711007400000,0.0404500,0.0405200,0.0404500,0.0404800,167758,1711007459999,6790.1949400,69,106993,1711010820000,0.04105
1711007460000,0.0404700,0.0404700,0.0404100,0.0404100,164717,1711007519999,6658.4563900,81,54127,1711010820000,0.04105
1711007520000,0.0404200,0.0404300,0.0403800,0.0404000,59805,1711007579999,2416.7791700,33,40297,1711010820000,0.04105
1711007580000,0.0404100,0.0404300,0.0403700,0.0403800,108879,1711007639999,4397.4787500,57,32003,1711010820000,0.04105
1711007640000,0.0403900,0.0403900,0.0403800,0.0403800,17241,1711007699999,696.2025800,17,3293,1711010820000,0.04105
1711007700000,0.0403800,0.0404300,0.0403700,0.0404100,32499,1711007759999,1312.6422900,32,19549,1711010820000,0.04105
1711007760000,0.0404100,0.0404500,0.0403900,0.0404500,154623,1711007819999,6248.5273400,76,108818,1711010820000,0.04105
1711007820000,0.0404400,0.0404400,0.0404200,0.0404200,15150,1711007879999,612.4305900,15,9956,1711010820000,0.04105
1711007880000,0.0404200,0.0404500,0.0404200,0.0404400,71926,1711007939999,2908.4642700,50,40337,1711010820000,0.04105
1711007940000,0.0404400,0.0404500,0.0404100,0.0404400,50388,1711007999999,2037.2895300,41,13980,1711010820000,0.04105
1711008000000,0.0404600,0.0404800,0.0404500,0.0404700,44491,1711008059999,1800.1529700,34,37853,1711010820000,0.04105
1711008060000,0.0404700,0.0405200,0.0404400,0.0404800,97251,1711008119999,3938.0700600,101,61301,1711010820000,0.04105
1711008120000,0.0404800,0.0404900,0.0404600,0.0404900,114085,1711008179999,4618.0051100,38,95943,1711010820000,0.04105
1711008180000,0.0404900,0.0405300,0.0404900,0.0405100,34744,1711008239999,1407.6683900,34,29610,1711010820000,0.04105
1711008240000,0.0405100,0.0405100,0.0404600,0.0404800,70932,1711008299999,2871.7283800,42,35562,1711010820000,0.04105
1711008300000,0.0405200,0.0406000,0.0405200,0.0406000,212416,1711008359999,8620.8240100,96,70550,1711010820000,0.04105
