Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710854040000,59.326000,59.476000,59.176000,59.227000,7373.3,1710854099999,437708.1484000,1380,4396.9,1710859440000,60.45
1710854100000,59.213000,59.248000,59.122000,59.155000,5699.7,1710854159999,337385.8620000,1353,2500.0,1710859440000,60.45
1710854160000,59.156000,59.175000,58.956000,59.001000,9243.4,1710854219999,545624.2500000,1900,3784.7,1710859440000,60.45
1710854220000,59.000000,59.218000,58.978000,59.108000,7548.7,1710854279999,445891.4533000,1336,3229.0,1710859440000,60.45
1710854280000,59.108000,59.235000,59.005000,59.174000,5966.6,1710854339999,352740.4139000,1419,2264.8,1710859440000,60.45
1710854340000,59.174000,59.221000,59.099000,59.204000,3154.3,1710854399999,186688.9931000,666,2062.2,1710859440000,60.45
1710854400000,59.207000,59.447000,59.158000,59.447000,4250.0,1710854459999,252026.9042000,930,2311.7,1710859440000,60.45
1710854460000,59.433000,59.605000,59.424000,59.601000,7208.1,1710854519999,429189.8263000,1305,4502.9,1710859440000,60.45
1710854520000,59.592000,59.807000,59.554000,59.554000,6635.2,1710854579999,395965.6444000,1979,3423.4,1710859440000,60.45
1710854580000,59.554000,59.708000,59.495000,59.685000,4874.3,1710854639999,290478.9795000,932,2065.0,1710859440000,60.45
1710854640000,59.686000,59.807000,59.683000,59.695000,5554.2,1710854699999,331789.8479000,1013,3185.9,1710859440000,60.45
1710854700000,59.696000,59.777000,59.558000,59.683000,8077.4,1710854759999,481834.2454000,1388,4755.6,1710859440000,60.45
1710854760000,59.683000,59.856000,59.649000,59.690000,6146.6,1710854819999,367422.3310000,1427,2998.8,1710859440000,60.45
1710854820000,59.686000,59.894000,59.686000,59.780000,3547.7,1710854879999,212094.4782000,1167,1594.3,1710859440000,60.45
1710854880000,59.779000,59.888000,59.767000,59.802000,4606.9,1710854939999,275608.6773000,1309,2351.9,1710859440000,60.45
1710854940000,59.813000,59.942000,59.791000,59.907000,8808.9,1710854999999,527437.4905000,1527,4605.4,1710859440000,60.45
1710855000000,59.908000,59.942000,59.536000,59.549000,9003.8,1710855059999,537291.9050000,2272,3999.0,1710859440000,60.45
1710855060000,59.549000,59.583000,59.444000,59.485000,5603.5,1710855119999,333408.0546000,1567,2304.8,1710859440000,60.45
1710855120000,59.482000,59.689000,59.472000,59.552000,3580.3,1710855179999,213296.2063000,1674,2028.7,1710859440000,60.45
1710855180000,59.553000,59.664000,59.442000,59.478000,2524.8,1710855239999,150338.6774000,1018,1039.3,1710859440000,60.45
1710855240000,59.499000,59.526000,59.310000,59.367000,5415.3,1710855299999,321726.9227000,1314,1625.3,1710859440000,60.45
1710855300000,59.362000,59.658000,59.353000,59.629000,5412.4,1710855359999,322088.5679000,1237,3731.1,1710859440000,60.45
1710855360000,59.626000,59.844000,59.583000,59.737000,5357.0,1710855419999,319966.9560000,1626,3414.8,1710859440000,60.45
1710855420000,59.734000,59.872000,59.720000,59.816000,3300.3,1710855479999,197325.9071000,1093,1630.7,1710859440000,60.45
1710855480000,59.810000,59.869000,59.637000,59.637000,3463.6,1710855539999,207017.7166000,925,1905.7,1710859440000,60.45
1710855540000,59.643000,59.694000,59.580000,59.593000,2224.1,1710855599999,132625.5631000,769,1056.5,1710859440000,60.45
1710855600000,59.584000,59.625000,59.274000,59.351000,5255.5,1710855659999,312422.1124000,1789,2364.4,1710859440000,60.45
1710855660000,59.358000,59.399000,59.193000,59.224000,5151.7,1710855719999,305358.0394000,1550,2719.3,1710859440000,60.45
