Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710357660000,0.1704000,0.1704000,0.1701100,0.1701300,45883,1710357719999,7811.7709700,107,33608,1710363000000,0.171
1710357720000,0.1701700,0.1704600,0.1701700,0.1703600,77936,1710357779999,13278.2132800,107,59949,1710363000000,0.171
1710357780000,0.1703600,0.1704800,0.1703600,0.1704000,22839,1710357839999,3891.9429600,50,17059,1710363000000,0.171
1710357840000,0.1704100,0.1705200,0.1703900,0.1704600,25598,1710357899999,4364.0092200,50,25147,1710363000000,0.171
1710357900000,0.1704800,0.1706100,0.1704800,0.1706100,19397,1710357959999,3307.6559800,26,19324,1710363000000,0.171
1710357960000,0.1705900,0.1705900,0.1704400,0.1704400,2487,1710358019999,424.0562700,12,0,1710363000000,0.171
1710358020000,0.1704600,0.1704600,0.1702900,0.1703100,13805,1710358079999,2352.1185900,36,8458,1710363000000,0.171
1710358080000,0.1702700,0.1702700,0.1701300,0.1701300,8991,1710358139999,1530.5809700,17,0,1710363000000,0.171
1710358140000,0.1701400,0.1702600,0.1701400,0.1701400,26380,1710358199999,4490.1642900,47,20586,1710363000000,0.171
1710358200000,0.1701600,0.1702500,0.1699900,0.1699900,24198,1710358259999,4115.0925200,53,3986,1710363000000,0.171
1710358260000,0.1700400,0.1701400,0.1700200,0.1700500,21308,1710358319999,3624.0074400,53,19471,1710363000000,0.171
1710358320000,0.1700600,0.1702600,0.1700500,0.1702600,29486,1710358379999,5017.0532400,32,29486,1710363000000,0.171
1710358380000,0.1702800,0.1702900,0.1701300,0.1701300,11347,1710358439999,1931.6671500,25,551,1710363000000,0.171
1710358440000,0.1701200,0.1701200,0.1699700,0.1699700,12973,1710358499999,2205.7807500,31,8238,1710363000000,0.171
1710358500000,0.1700200,0.1702500,0.1700200,0.1700900,43829,1710358559999,7458.9012100,64,42367,1710363000000,0.171
1710358560000,0.1700700,0.1702200,0.1700300,0.1701700,27028,1710358619999,4599.1564200,59,8287,1710363000000,0.171
1710358620000,0.1700500,0.1700500,0.1699500,0.1700400,16964,1710358679999,2884.1686300,16,15582,1710363000000,0.171
1710358680000,0.1699900,0.1700600,0.1699900,0.1699900,6476,1710358739999,1101.0641600,19,4293,1710363000000,0.171
1710358740000,0.1700000,0.1702600,0.1700000,0.1702600,27718,1710358799999,4716.0785400,49,26857,1710363000000,0.171
1710358800000,0.1702400,0.1703500,0.1701200,0.1703100,38205,1710358859999,6503.7750300,90,30788,1710363000000,0.171
1710358860000,0.1702100,0.1702200,0.1700900,0.1701100,2717,1710358919999,462.2276100,17,519,1710363000000,0.171
1710358920000,0.1702000,0.1703500,0.1702000,0.1702900,15661,1710358979999,2666.6517300,37,14970,1710363000000,0.171
1710358980000,0.1702900,0.1702900,0.1701100,0.1701100,4459,1710359039999,758.6991000,27,0,1710363000000,0.171
1710359040000,0.1700900,0.1702400,0.1700000,0.1700000,28792,1710359099999,4899.8672400,61,25699,1710363000000,0.171
1710359100000,0.1700000,0.1701900,0.1700000,0.1700700,24760,1710359159999,4211.5681300,73,17896,1710363000000,0.171
1710359160000,0.1700700,0.1703800,0.1700700,0.1703300,9892,1710359219999,1683.6454600,41,9892,1710363000000,0.171
