Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710673920000,2.6524000,2.6721000,2.6489000,2.6670000,137944,1710673979999,367086.2839000,1205,107975,1710679320000,2.6523
1710673980000,2.6669000,2.6696000,2.6644000,2.6687000,20165,1710674039999,53784.3778000,310,7548,1710679320000,2.6523
1710674040000,2.6687000,2.6723000,2.6682000,2.6697000,16915,1710674099999,45162.6443000,319,7406,1710679320000,2.6523
1710674100000,2.6691000,2.6704000,2.6526000,2.6540000,17240,1710674159999,45857.7159000,578,4664,1710679320000,2.6523
1710674160000,2.6540000,2.6559000,2.6486000,2.6522000,23596,1710674219999,62590.3162000,442,11813,1710679320000,2.6523
1710674220000,2.6521000,2.6567000,2.6471000,2.6536000,19761,1710674279999,52431.0666000,367,6888,1710679320000,2.6523
1710674280000,2.6536000,2.6536000,2.6460000,2.6469000,6738,1710674339999,17849.9718000,256,1574,1710679320000,2.6523
1710674340000,2.6465000,2.6471000,2.6442000,2.6465000,5262,1710674399999,13920.8739000,183,3667,1710679320000,2.6523
1710674400000,2.6466000,2.6511000,2.6450000,2.6464000,8452,1710674459999,22378.2924000,269,3700,1710679320000,2.6523
1710674460000,2.6465000,2.6486000,2.6454000,2.6464000,6369,1710674519999,16858.7355000,184,2383,1710679320000,2.6523
1710674520000,2.6458000,2.6514000,2.6453000,2.6490000,12802,1710674579999,33900.8863000,235,7758,1710679320000,2.6523
1710674580000,2.6487000,2.6506000,2.6459000,2.6494000,4009,1710674639999,10615.8227000,127,2759,1710679320000,2.6523
1710674640000,2.6495000,2.6508000,2.6473000,2.6506000,3258,1710674699999,8630.5350000,104,1494,1710679320000,2.6523
1710674700000,2.6498000,2.6517000,2.6486000,2.6486000,15199,1710674759999,40275.1418000,164,6012,1710679320000,2.6523
1710674760000,2.6491000,2.6499000,2.6411000,2.6454000,9177,1710674819999,24269.7350000,290,3456,1710679320000,2.6523
1710674820000,2.6459000,2.6500000,2.6440000,2.6450000,7359,1710674879999,19479.3197000,193,2631,1710679320000,2.6523
1710674880000,2.6445000,2.6481000,2.6393000,2.6423000,18778,1710674939999,49644.5455000,402,10568,1710679320000,2.6523
1710674940000,2.6424000,2.6435000,2.6393000,2.6435000,2285,1710674999999,6035.1202000,114,1131,1710679320000,2.6523
1710675000000,2.6435000,2.6468000,2.6400000,2.6443000,10833,1710675059999,28644.0852000,202,3664,1710679320000,2.6523
1710675060000,2.6444000,2.6444000,2.6375000,2.6390000,7874,1710675119999,20789.3189000,167,4206,1710679320000,2.6523
1710675120000,2.6384000,2.6384000,2.6312000,2.6345000,5531,1710675179999,14574.5705000,263,1775,1710679320000,2.6523
1710675180000,2.6344000,2.6375000,2.6326000,2.6370000,5506,1710675239999,14508.6937000,211,2781,1710679320000,2.6523
1710675240000,2.6370000,2.6388000,2.6356000,2.6359000,4439,1710675299999,11707.0430000,151,2676,1710679320000,2.6523
1710675300000,2.6364000,2.6392000,2.6364000,2.6379000,3219,1710675359999,8491.2389000,162,1690,1710679320000,2.6523
1710675360000,2.6380000,2.6406000,2.6347000,2.6347000,2565,1710675419999,6765.4549000,155,1474,1710679320000,2.6523
1710675420000,2.6345000,2.6411000,2.6330000,2.6406000,3748,1710675479999,9878.3539000,319,2874,1710679320000,2.6523
1710675480000,2.6401000,2.6406000,2.6376000,2.6382000,2275,1710675539999,6003.7692000,99,1386,1710679320000,2.6523
1710675540000,2.6381000,2.6383000,2.6327000,2.6351000,1985,1710675599999,5229.5889000,120,891,1710679320000,2.6523
1710675600000,2.6352000,2.6367000,2.6321000,2.6365000,8406,1710675659999,22143.0019000,170,7186,1710679320000,2.6523
1710675660000,2.6366000,2.6366000,2.6294000,2.6300000,4172,1710675719999,10985.0565000,177,525,1710679320000,2.6523
1710675720000,2.6303000,2.6303000,2.6249000,2.6264000,5121,1710675779999,13455.8690000,172,762,1710679320000,2.6523
1710675780000,2.6267000,2.6328000,2.6267000,2.6328000,1320,1710675839999,3471.2249000,103,882,1710679320000,2.6523
1710675840000,2.6337000,2.6338000,2.6270000,2.6278000,3912,1710675899999,10286.7247000,114,270,1710679320000,2.6523
1710675900000,2.6280000,2.6304000,2.6262000,2.6290000,8161,1710675959999,21452.5680000,222,2437,1710679320000,2.6523
1710675960000,2.6288000,2.6306000,2.6251000,2.6306000,3852,1710676019999,10121.2991000,165,1585,1710679320000,2.6523
1710676020000,2.6312000,2.6322000,2.6268000,2.6280000,4674,1710676079999,12291.6578000,169,1414,1710679320000,2.6523
1710676080000,2.6281000,2.6297000,2.6251000,2.6291000,4901,1710676139999,12875.1823000,157,2246,1710679320000,2.6523
1710676140000,2.6293000,2.6313000,2.6272000,2.6308000,1239,1710676199999,3258.0468000,109,800,1710679320000,2.6523
1710676200000,2.6307000,2.6371000,2.6303000,2.6358000,702,1710676259999,1848.4138000,72,546,1710679320000,2.6523
1710676260000,2.6356000,2.6361000,2.6322000,2.6340000,2728,1710676319999,7184.1098000,84,1180,1710679320000,2.6523
1710676320000,2.6340000,2.6359000,2.6335000,2.6346000,2571,1710676379999,6772.9883000,63,902,1710679320000,2.6523
1710676380000,2.6348000,2.6371000,2.6343000,2.6371000,1705,1710676439999,4493.4653000,106,1132,1710679320000,2.6523
1710676440000,2.6371000,2.6383000,2.6347000,2.6366000,3500,1710676499999,9227.2925000,91,2170,1710679320000,2.6523
1710676500000,2.6363000,2.6372000,2.6326000,2.6326000,3192,1710676559999,8409.0495000,98,415,1710679320000,2.6523
1710676560000,2.6327000,2.6348000,2.6301000,2.6344000,3236,1710676619999,8518.6934000,110,1478,1710679320000,2.6523
1710676620000,2.6339000,2.6339000,2.6269000,2.6293000,2251,1710676679999,5920.2441000,96,1561,1710679320000,2.6523
1710676680000,2.6286000,2.6311000,2.6286000,2.6290000,2117,1710676739999,5568.1673000,87,568,1710679320000,2.6523
1710676740000,2.6289000,2.6322000,2.6264000,2.6321000,2042,1710676799999,5368.5732000,100,1734,1710679320000,2.6523
1710676800000,2.6325000,2.6394000,2.6317000,2.6385000,10273,1710676859999,27073.0687000,223,5923,1710679320000,2.6523
1710676860000,2.6386000,2.6397000,2.6321000,2.6349000,2859,1710676919999,7535.2921000,129,1199,1710679320000,2.6523
1710676920000,2.6347000,2.6405000,2.6337000,2.6363000,4129,1710676979999,10891.8718000,205,2436,1710679320000,2.6523
1710676980000,2.6362000,2.6397000,2.6348000,2.6365000,3070,1710677039999,8097.2254000,148,1102,1710679320000,2.6523
1710677040000,2.6365000,2.6379000,2.6351000,2.6379000,1770,1710677099999,4666.0693000,110,1029,1710679320000,2.6523
1710677100000,2.6381000,2.6418000,2.6378000,2.6386000,4148,1710677159999,10950.0982000,160,2204,1710679320000,2.6523
1710677160000,2.6386000,2.6416000,2.6359000,2.6401000,4329,1710677219999,11421.2421000,168,2320,1710679320000,2.6523
1710677220000,2.6406000,2.6471000,2.6406000,2.6465000,2918,1710677279999,7716.1783000,170,1296,1710679320000,2.6523
1710677280000,2.6466000,2.6507000,2.6450000,2.6495000,2252,1710677339999,5963.1885000,156,1186,1710679320000,2.6523
1710677340000,2.6492000,2.6492000,2.6429000,2.6455000,3969,1710677399999,10499.3955000,151,1870,1710679320000,2.6523
1710677400000,2.6452000,2.6461000,2.6406000,2.6406000,3679,1710677459999,9725.3232000,159,644,1710679320000,2.6523
1710677460000,2.6404000,2.6439000,2.6369000,2.6439000,6162,1710677519999,16266.4710000,202,3463,1710679320000,2.6523
1710677520000,2.6432000,2.6470000,2.6426000,2.6463000,3128,1710677579999,8274.2228000,114,1059,1710679320000,2.6523
1710677580000,2.6457000,2.6529000,2.6436000,2.6436000,5610,1710677639999,14862.4086000,210,3160,1710679320000,2.6523
1710677640000,2.6436000,2.6446000,2.6410000,2.6426000,4095,1710677699999,10819.4086000,104,1428,1710679320000,2.6523
1710677700000,2.6426000,2.6484000,2.6419000,2.6445000,2881,1710677759999,7620.5506000,122,805,1710679320000,2.6523
1710677760000,2.6444000,2.6477000,2.6416000,2.6473000,8214,1710677819999,21722.9643000,198,4588,1710679320000,2.6523
1710677820000,2.6473000,2.6473000,2.6382000,2.6390000,1969,1710677879999,5199.0753000,101,758,1710679320000,2.6523
1710677880000,2.6388000,2.6400000,2.6315000,2.6389000,9194,1710677939999,24230.8498000,221,6491,1710679320000,2.6523
1710677940000,2.6382000,2.6465000,2.6380000,2.6446000,11110,1710677999999,29372.0854000,221,8638,1710679320000,2.6523
1710678000000,2.6437000,2.6476000,2.6411000,2.6429000,13552,1710678059999,35832.9430000,297,8874,1710679320000,2.6523
1710678060000,2.6427000,2.6427000,2.6375000,2.6392000,25941,1710678119999,68480.0435000,362,6168,1710679320000,2.6523
1710678120000,2.6393000,2.6463000,2.6393000,2.6402000,13538,1710678179999,35774.4150000,319,5577,1710679320000,2.6523
1710678180000,2.6398000,2.6398000,2.6335000,2.6397000,8529,1710678239999,22497.9830000,178,3235,1710679320000,2.6523
1710678240000,2.6400000,2.6413000,2.6354000,2.6361000,15319,1710678299999,40413.8510000,184,4325,1710679320000,2.6523
1710678300000,2.6360000,2.6369000,2.6293000,2.6295000,7174,1710678359999,18882.1133000,178,3117,1710679320000,2.6523
1710678360000,2.6300000,2.6322000,2.6263000,2.6302000,9053,1710678419999,23799.6217000,262,2931,1710679320000,2.6523
1710678420000,2.6302000,2.6302000,2.6207000,2.6237000,17147,1710678479999,44986.3553000,230,3472,1710679320000,2.6523
1710678480000,2.6237000,2.6260000,2.6194000,2.6223000,7378,1710678539999,19354.5988000,192,5042,1710679320000,2.6523
1710678540000,2.6217000,2.6244000,2.6205000,2.6205000,3841,1710678599999,10073.4898000,126,1523,1710679320000,2.6523
1710678600000,2.6210000,2.6244000,2.6195000,2.6212000,3689,1710678659999,9673.4797000,120,2820,1710679320000,2.6523
1710678660000,2.6203000,2.6209000,2.6136000,2.6185000,6774,1710678719999,17727.8700000,189,4635,1710679320000,2.6523
1710678720000,2.6190000,2.6192000,2.6126000,2.6138000,1933,1710678779999,5055.4693000,97,454,1710679320000,2.6523
1710678780000,2.6136000,2.6186000,2.6107000,2.6186000,5293,1710678839999,13832.7557000,247,2187,1710679320000,2.6523
1710678840000,2.6187000,2.6205000,2.6101000,2.6114000,25660,1710678899999,67126.1400000,550,8340,1710679320000,2.6523
1710678900000,2.6113000,2.6139000,2.6075000,2.6118000,22342,1710678959999,58319.2071000,541,8413,1710679320000,2.6523
1710678960000,2.6115000,2.6126000,2.6089000,2.6097000,2498,1710679019999,6521.1952000,139,1362,1710679320000,2.6523
1710679020000,2.6097000,2.6118000,2.6082000,2.6099000,3220,1710679079999,8405.4153000,134,1113,1710679320000,2.6523
