Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710504360000,0.04402,0.04408,0.04398,0.04404,1104079,1710504419999,48615.78913,367,597368,1710509760000,0.04438
1710504420000,0.04405,0.04405,0.04394,0.04398,2334874,1710504479999,102706.65050,659,1160542,1710509760000,0.04438
1710504480000,0.04397,0.04401,0.04390,0.04399,2897369,1710504539999,127354.48827,564,1085205,1710509760000,0.04438
1710504540000,0.04398,0.04411,0.04398,0.04407,1050664,1710504599999,46278.55864,345,521232,1710509760000,0.04438
1710504600000,0.04406,0.04410,0.04399,0.04401,2005677,1710504659999,88345.12066,563,414098,1710509760000,0.04438
1710504660000,0.04402,0.04412,0.04400,0.04405,488130,1710504719999,21504.51163,275,261378,1710509760000,0.04438
1710504720000,0.04406,0.04424,0.04404,0.04417,1969922,1710504779999,86976.09698,509,1123061,1710509760000,0.04438
1710504780000,0.04417,0.04417,0.04394,0.04394,1710780,1710504839999,75373.37487,568,611184,1710509760000,0.04438
1710504840000,0.04394,0.04413,0.04394,0.04412,787371,1710504899999,34665.58744,335,445986,1710509760000,0.04438
1710504900000,0.04413,0.04417,0.04407,0.04412,1619469,1710504959999,71451.52392,556,898606,1710509760000,0.04438
1710504960000,0.04411,0.04414,0.04389,0.04389,1030329,1710505019999,45327.40832,455,313532,1710509760000,0.04438
1710505020000,0.04389,0.04395,0.04383,0.04393,1711309,1710505079999,75116.11461,661,575990,1710509760000,0.04438
1710505080000,0.04393,0.04397,0.04386,0.04396,784829,1710505139999,34462.07701,381,426225,1710509760000,0.04438
1710505140000,0.04395,0.04400,0.04392,0.04394,994772,1710505199999,43726.91069,342,555027,1710509760000,0.04438
1710505200000,0.04394,0.04411,0.04392,0.04407,1507907,1710505259999,66347.09021,516,997786,1710509760000,0.04438
1710505260000,0.04408,0.04423,0.04403,0.04422,2079243,1710505319999,91790.53484,586,1086486,1710509760000,0.04438
1710505320000,0.04423,0.04433,0.04413,0.04433,3191772,1710505379999,141167.13792,835,1736379,1710509760000,0.04438
1710505380000,0.04433,0.04440,0.04427,0.04431,2821634,1710505439999,125112.18799,660,1194514,1710509760000,0.04438
1710505440000,0.04431,0.04438,0.04429,0.04436,1472013,1710505499999,65280.11283,355,679840,1710509760000,0.04438
1710505500000,0.04436,0.04449,0.04436,0.04444,2926276,1710505559999,129994.98410,744,1781701,1710509760000,0.04438
1710505560000,0.04444,0.04448,0.04441,0.04447,1882378,1710505619999,83658.30176,511,1085550,1710509760000,0.04438
1710505620000,0.04448,0.04457,0.04441,0.04444,2579383,1710505679999,114756.35434,918,1566322,1710509760000,0.04438
1710505680000,0.04443,0.04444,0.04428,0.04439,1387066,1710505739999,61516.07681,473,436359,1710509760000,0.04438
1710505740000,0.04438,0.04446,0.04436,0.04446,2030169,1710505799999,90167.12221,476,1400411,1710509760000,0.04438
1710505800000,0.04446,0.04453,0.04440,0.04447,2387132,1710505859999,106139.79527,722,1325069,1710509760000,0.04438
1710505860000,0.04447,0.04456,0.04443,0.04455,1624858,1710505919999,72290.35101,453,685898,1710509760000,0.04438
1710505920000,0.04455,0.04462,0.04453,0.04456,1583987,1710505979999,70597.41768,486,772379,1710509760000,0.04438
1710505980000,0.04456,0.04463,0.04455,0.04462,1194928,1710506039999,53288.29926,387,825106,1710509760000,0.04438
1710506040000,0.04462,0.04465,0.04460,0.04464,1014360,1710506099999,45255.00141,270,392333,1710509760000,0.04438
1710506100000,0.04463,0.04471,0.04461,0.04463,1929046,1710506159999,86155.04897,568,951167,1710509760000,0.04438
1710506160000,0.04463,0.04467,0.04443,0.04446,3283477,1710506219999,146272.93978,867,1670101,1710509760000,0.04438
1710506220000,0.04446,0.04446,0.04425,0.04431,2799486,1710506279999,124135.11716,933,1299864,1710509760000,0.04438
1710506280000,0.04430,0.04436,0.04421,0.04435,2138529,1710506339999,94701.39807,693,1014966,1710509760000,0.04438
1710506340000,0.04435,0.04443,0.04433,0.04437,923151,1710506399999,40967.83522,311,371292,1710509760000,0.04438
1710506400000,0.04437,0.04438,0.04419,0.04421,1805247,1710506459999,79910.49269,618,856705,1710509760000,0.04438
