Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710308220000,1.745200,1.750200,1.744900,1.748100,42036.6,1710308279999,73457.6063600,671,23566.6,1710313620000,1.758
1710308280000,1.748000,1.750300,1.747500,1.749900,18187.5,1710308339999,31801.9986000,320,12528.1,1710313620000,1.758
1710308340000,1.749800,1.754100,1.749000,1.749900,44476.9,1710308399999,77885.2022900,382,25880.3,1710313620000,1.758
1710308400000,1.750000,1.751400,1.745400,1.745400,33606.4,1710308459999,58766.3374600,445,14415.4,1710313620000,1.758
1710308460000,1.745400,1.745400,1.741900,1.742900,17232.4,1710308519999,30042.3115100,246,6419.5,1710313620000,1.758
1710308520000,1.742700,1.742800,1.737800,1.739900,16441.3,1710308579999,28598.0707500,261,9591.2,1710313620000,1.758
1710308580000,1.740000,1.742100,1.737600,1.739100,13732.0,1710308639999,23891.0108400,221,7849.2,1710313620000,1.758
1710308640000,1.739200,1.740200,1.738000,1.740000,8351.6,1710308699999,14525.1573300,129,5680.0,1710313620000,1.758
1710308700000,1.739900,1.741800,1.738800,1.741700,20906.6,1710308759999,36379.1211100,234,12037.8,1710313620000,1.758
1710308760000,1.741700,1.743000,1.740200,1.742100,10176.6,1710308819999,17720.6720600,149,7253.0,1710313620000,1.758
1710308820000,1.742000,1.742000,1.738400,1.739400,14340.0,1710308879999,24951.7652400,122,3750.3,1710313620000,1.758
1710308880000,1.739700,1.740300,1.738600,1.739400,7679.0,1710308939999,13357.8997200,115,4744.6,1710313620000,1.758
1710308940000,1.739900,1.739900,1.736700,1.736700,9288.5,1710308999999,16149.0504600,122,1996.3,1710313620000,1.758
1710309000000,1.736600,1.736600,1.731100,1.731900,23385.5,1710309059999,40535.0518000,316,5941.6,1710313620000,1.758
1710309060000,1.732000,1.732200,1.728700,1.730200,23171.1,1710309119999,40082.2892300,239,4261.7,1710313620000,1.758
1710309120000,1.730100,1.730100,1.725800,1.727200,13414.8,1710309179999,23183.8274600,218,4362.7,1710313620000,1.758
1710309180000,1.727300,1.728100,1.726600,1.728000,4294.7,1710309239999,7417.5876200,74,1702.4,1710313620000,1.758
1710309240000,1.727900,1.730500,1.727500,1.728800,8357.8,1710309299999,14450.3259700,77,2810.7,1710313620000,1.758
1710309300000,1.728800,1.729400,1.727400,1.728600,8436.4,1710309359999,14582.0117400,108,3481.3,1710313620000,1.758
1710309360000,1.728300,1.728300,1.726900,1.727300,2382.6,1710309419999,4115.6365800,58,819.7,1710313620000,1.758
1710309420000,1.727300,1.728500,1.726700,1.728400,5354.2,1710309479999,9250.1854100,82,2460.1,1710313620000,1.758
1710309480000,1.728400,1.728500,1.725800,1.728300,10603.5,1710309539999,18313.9700800,145,5817.1,1710313620000,1.758
1710309540000,1.728300,1.730100,1.727400,1.729000,4998.2,1710309599999,8641.2285800,80,1316.9,1710313620000,1.758
1710309600000,1.728600,1.730200,1.727000,1.727900,12916.5,1710309659999,22326.9575100,157,5543.9,1710313620000,1.758
1710309660000,1.727600,1.730400,1.726700,1.726900,11407.3,1710309719999,19719.1443500,191,7582.0,1710313620000,1.758
1710309720000,1.726900,1.728000,1.725300,1.727800,8185.9,1710309779999,14135.4153400,138,3174.0,1710313620000,1.758
1710309780000,1.727900,1.728500,1.726700,1.728300,5686.9,1710309839999,9826.9151700,84,2515.3,1710313620000,1.758
1710309840000,1.728300,1.731200,1.728000,1.731200,10928.1,1710309899999,18904.0165600,114,5783.5,1710313620000,1.758
1710309900000,1.731000,1.734200,1.731000,1.732200,8849.8,1710309959999,15335.7827300,125,3304.2,1710313620000,1.758
1710309960000,1.731900,1.732700,1.730000,1.732400,10975.3,1710310019999,19000.4284200,148,6471.6,1710313620000,1.758
1710310020000,1.732300,1.736000,1.731300,1.733600,11910.0,1710310079999,20650.6576500,186,10947.5,1710313620000,1.758
1710310080000,1.733500,1.734100,1.730400,1.731100,6835.8,1710310139999,11836.9607200,151,3573.2,1710313620000,1.758
1710310140000,1.730900,1.731200,1.728900,1.730600,5388.1,1710310199999,9321.7468000,111,2051.6,1710313620000,1.758
1710310200000,1.730500,1.731400,1.729400,1.730400,3639.9,1710310259999,6297.4412000,82,1723.0,1710313620000,1.758
1710310260000,1.730500,1.730500,1.727700,1.728900,15595.4,1710310319999,26963.4930400,235,6751.6,1710313620000,1.758
1710310320000,1.728900,1.731600,1.728400,1.731400,5266.9,1710310379999,9111.0876100,107,4932.5,1710313620000,1.758
1710310380000,1.731400,1.733100,1.731400,1.731800,5412.4,1710310439999,9373.4060200,96,3019.3,1710313620000,1.758
1710310440000,1.731700,1.731900,1.730900,1.731800,3160.8,1710310499999,5473.0131300,65,2363.3,1710313620000,1.758
1710310500000,1.731800,1.731900,1.730400,1.731900,4956.0,1710310559999,8579.3586600,92,2740.3,1710313620000,1.758
1710310560000,1.731400,1.733500,1.730000,1.733500,7021.8,1710310619999,12158.4371600,128,4120.4,1710313620000,1.758
1710310620000,1.733600,1.733900,1.730600,1.730800,7548.3,1710310679999,13074.4683600,119,2916.1,1710313620000,1.758
1710310680000,1.730600,1.730600,1.729300,1.730200,4248.1,1710310739999,7348.7669900,77,1759.4,1710313620000,1.758
1710310740000,1.729900,1.729900,1.725900,1.727400,20743.1,1710310799999,35832.8867900,223,6845.5,1710313620000,1.758
1710310800000,1.727300,1.727900,1.723800,1.727500,17792.7,1710310859999,30711.0083600,240,9358.0,1710313620000,1.758
1710310860000,1.727500,1.729200,1.727500,1.728500,6003.0,1710310919999,10375.2653400,129,4929.7,1710313620000,1.758
1710310920000,1.728500,1.729800,1.728000,1.729000,5335.3,1710310979999,9224.6149300,131,3539.6,1710313620000,1.758
1710310980000,1.729300,1.729900,1.728600,1.728900,8207.6,1710311039999,14193.7969200,112,2634.7,1710313620000,1.758
1710311040000,1.728900,1.730600,1.728200,1.729500,6404.3,1710311099999,11075.4967700,96,3703.3,1710313620000,1.758
1710311100000,1.729400,1.730800,1.729400,1.730200,6609.7,1710311159999,11436.2313100,118,4923.2,1710313620000,1.758
1710311160000,1.730200,1.730800,1.729800,1.730300,4962.9,1710311219999,8586.8344500,71,2332.7,1710313620000,1.758
1710311220000,1.730400,1.730800,1.730100,1.730600,3260.3,1710311279999,5641.6220300,82,1292.2,1710313620000,1.758
1710311280000,1.730400,1.730400,1.729800,1.729900,2973.1,1710311339999,5144.0174800,35,1305.3,1710313620000,1.758
1710311340000,1.729900,1.730700,1.729100,1.730100,4613.2,1710311399999,7979.5391000,78,2118.4,1710313620000,1.758
1710311400000,1.730000,1.730800,1.730000,1.730800,4179.8,1710311459999,7232.6479900,90,3932.8,1710313620000,1.758
1710311460000,1.730600,1.732700,1.730600,1.732200,15874.9,1710311519999,27484.2421800,124,13453.7,1710313620000,1.758
1710311520000,1.732400,1.732500,1.731000,1.732400,4397.6,1710311579999,7615.5139200,72,847.1,1710313620000,1.758
1710311580000,1.732600,1.736800,1.732600,1.733600,22672.0,1710311639999,39331.3111900,329,15024.8,1710313620000,1.758
1710311640000,1.733600,1.733600,1.731900,1.732900,4079.5,1710311699999,7068.4384000,74,894.9,1710313620000,1.758
1710311700000,1.732900,1.735800,1.732400,1.734400,13762.2,1710311759999,23871.1013200,210,11509.9,1710313620000,1.758
1710311760000,1.734700,1.734800,1.732700,1.733700,9208.1,1710311819999,15963.4387500,133,3552.5,1710313620000,1.758
1710311820000,1.733600,1.735800,1.732800,1.735100,11718.4,1710311879999,20319.3158200,198,4668.2,1710313620000,1.758
1710311880000,1.735000,1.735300,1.734300,1.735300,2755.1,1710311939999,4779.2357200,61,1626.1,1710313620000,1.758
1710311940000,1.734900,1.735600,1.734500,1.735500,1365.2,1710311999999,2368.7770900,48,653.7,1710313620000,1.758
1710312000000,1.735500,1.737200,1.735500,1.736300,4636.2,1710312059999,8049.4115400,109,3505.1,1710313620000,1.758
1710312060000,1.736400,1.736400,1.733800,1.735200,4580.9,1710312119999,7946.4742100,87,798.8,1710313620000,1.758
1710312120000,1.735300,1.735600,1.733900,1.734700,4505.2,1710312179999,7815.6188900,85,1555.0,1710313620000,1.758
1710312180000,1.734500,1.735300,1.734200,1.734900,1362.8,1710312239999,2364.2897700,50,948.4,1710313620000,1.758
1710312240000,1.734900,1.734900,1.733900,1.734200,3733.7,1710312299999,6476.2873500,70,2486.1,1710313620000,1.758
1710312300000,1.734200,1.737400,1.734200,1.737000,9689.4,1710312359999,16812.2305900,203,7242.8,1710313620000,1.758
1710312360000,1.737000,1.737800,1.735900,1.735900,5422.9,1710312419999,9419.2674500,136,2515.6,1710313620000,1.758
1710312420000,1.735900,1.737600,1.735900,1.737600,1125.7,1710312479999,1954.8253900,37,1091.3,1710313620000,1.758
1710312480000,1.737600,1.739700,1.737500,1.739300,4214.9,1710312539999,7328.6597000,87,3676.5,1710313620000,1.758
1710312540000,1.739200,1.739200,1.735900,1.736500,6407.9,1710312599999,11130.9071100,89,2894.9,1710313620000,1.758
1710312600000,1.736400,1.737800,1.735600,1.737800,4841.2,1710312659999,8408.3398100,94,4214.7,1710313620000,1.758
1710312660000,1.736900,1.737200,1.735800,1.736100,3333.3,1710312719999,5787.4726000,86,977.2,1710313620000,1.758
1710312720000,1.736100,1.736300,1.734600,1.734600,5785.5,1710312779999,10041.2670500,63,974.2,1710313620000,1.758
1710312780000,1.734600,1.735600,1.734600,1.734700,3524.4,1710312839999,6115.3434500,65,1575.9,1710313620000,1.758
