Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710575820000,2.9832000,2.9843000,2.9810000,2.9841000,1736,1710575879999,5177.6075000,93,1218,1710581160000,2.9911
1710575880000,2.9842000,2.9858000,2.9840000,2.9850000,1630,1710575939999,4864.8240000,85,928,1710581160000,2.9911
1710575940000,2.9849000,2.9901000,2.9840000,2.9885000,6637,1710575999999,19829.5033000,219,4838,1710581160000,2.9911
1710576000000,2.9875000,2.9883000,2.9798000,2.9800000,10739,1710576059999,32020.2529000,305,2770,1710581160000,2.9911
1710576060000,2.9808000,2.9812000,2.9711000,2.9763000,13054,1710576119999,38866.0166000,244,4280,1710581160000,2.9911
1710576120000,2.9760000,2.9766000,2.9718000,2.9738000,5255,1710576179999,15626.5637000,168,2963,1710581160000,2.9911
1710576180000,2.9738000,2.9743000,2.9680000,2.9680000,4977,1710576239999,14778.8492000,192,1545,1710581160000,2.9911
1710576240000,2.9692000,2.9709000,2.9684000,2.9689000,5367,1710576299999,15935.8469000,141,4299,1710581160000,2.9911
1710576300000,2.9689000,2.9782000,2.9685000,2.9777000,6023,1710576359999,17917.1565000,178,2411,1710581160000,2.9911
1710576360000,2.9776000,2.9803000,2.9756000,2.9756000,6528,1710576419999,19440.6975000,174,1475,1710581160000,2.9911
1710576420000,2.9753000,2.9753000,2.9678000,2.9694000,5430,1710576479999,16135.9575000,191,2896,1710581160000,2.9911
1710576480000,2.9692000,2.9733000,2.9620000,2.9726000,19923,1710576539999,59114.7782000,343,8538,1710581160000,2.9911
1710576540000,2.9733000,2.9779000,2.9720000,2.9779000,1062,1710576599999,3159.2221000,67,695,1710581160000,2.9911
1710576600000,2.9782000,2.9794000,2.9745000,2.9749000,4092,1710576659999,12178.0567000,175,2050,1710581160000,2.9911
1710576660000,2.9750000,2.9810000,2.9745000,2.9804000,5112,1710576719999,15222.2131000,138,1841,1710581160000,2.9911
1710576720000,2.9809000,2.9809000,2.9788000,2.9807000,1685,1710576779999,5021.1459000,74,506,1710581160000,2.9911
1710576780000,2.9807000,2.9853000,2.9804000,2.9841000,2411,1710576839999,7192.5443000,89,2191,1710581160000,2.9911
1710576840000,2.9844000,2.9918000,2.9835000,2.9904000,3782,1710576899999,11299.6387000,135,3289,1710581160000,2.9911
1710576900000,2.9906000,2.9912000,2.9783000,2.9783000,6532,1710576959999,19502.6225000,320,2044,1710581160000,2.9911
1710576960000,2.9782000,2.9806000,2.9718000,2.9769000,7095,1710577019999,21110.9772000,273,3513,1710581160000,2.9911
1710577020000,2.9763000,2.9785000,2.9684000,2.9751000,7879,1710577079999,23431.4440000,259,2304,1710581160000,2.9911
1710577080000,2.9757000,2.9782000,2.9705000,2.9720000,6356,1710577139999,18908.4012000,236,1792,1710581160000,2.9911
1710577140000,2.9712000,2.9754000,2.9697000,2.9754000,2399,1710577199999,7130.8388000,108,2023,1710581160000,2.9911
1710577200000,2.9745000,2.9781000,2.9709000,2.9781000,3479,1710577259999,10344.9268000,164,2878,1710581160000,2.9911
1710577260000,2.9770000,2.9794000,2.9755000,2.9761000,3870,1710577319999,11523.2377000,120,957,1710581160000,2.9911
1710577320000,2.9759000,2.9795000,2.9746000,2.9790000,4611,1710577379999,13730.0895000,156,3112,1710581160000,2.9911
1710577380000,2.9790000,2.9800000,2.9776000,2.9795000,1984,1710577439999,5910.2280000,93,1166,1710581160000,2.9911
1710577440000,2.9797000,2.9844000,2.9784000,2.9804000,7438,1710577499999,22177.1089000,210,3074,1710581160000,2.9911
1710577500000,2.9801000,2.9839000,2.9782000,2.9839000,1684,1710577559999,5019.5485000,99,982,1710581160000,2.9911
1710577560000,2.9837000,2.9947000,2.9837000,2.9938000,13059,1710577619999,39049.5895000,361,5754,1710581160000,2.9911
1710577620000,2.9936000,2.9958000,2.9913000,2.9939000,5262,1710577679999,15753.5432000,200,2452,1710581160000,2.9911
1710577680000,2.9940000,2.9963000,2.9903000,2.9923000,4403,1710577739999,13177.7965000,192,2065,1710581160000,2.9911
1710577740000,2.9932000,2.9944000,2.9883000,2.9888000,4295,1710577799999,12845.0642000,183,2917,1710581160000,2.9911
1710577800000,2.9883000,2.9894000,2.9797000,2.9818000,4373,1710577859999,13049.0044000,155,2631,1710581160000,2.9911
1710577860000,2.9818000,2.9915000,2.9813000,2.9911000,5521,1710577919999,16488.8736000,184,2216,1710581160000,2.9911
1710577920000,2.9914000,2.9940000,2.9885000,2.9894000,1991,1710577979999,5956.4763000,129,1006,1710581160000,2.9911
1710577980000,2.9894000,2.9931000,2.9874000,2.9931000,1437,1710578039999,4296.4982000,108,922,1710581160000,2.9911
1710578040000,2.9925000,2.9949000,2.9906000,2.9944000,3824,1710578099999,11444.4795000,89,2452,1710581160000,2.9911
1710578100000,2.9950000,3.0024000,2.9950000,2.9987000,8081,1710578159999,24236.1253000,323,4541,1710581160000,2.9911
