Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710998580000,0.7238000,0.7272000,0.7232000,0.7259000,353629,1710998639999,256384.4048000,1172,229196,1711003920000,0.7493
1710998640000,0.7258000,0.7267000,0.7251000,0.7254000,222434,1710998699999,161448.1097000,784,131456,1711003920000,0.7493
1710998700000,0.7251000,0.7259000,0.7243000,0.7248000,158453,1710998759999,114884.9874000,714,80226,1711003920000,0.7493
1710998760000,0.7248000,0.7276000,0.7228000,0.7274000,205111,1710998819999,148656.5762000,866,138838,1711003920000,0.7493
1710998820000,0.7274000,0.7289000,0.7273000,0.7283000,183778,1710998879999,133825.8795000,712,105373,1711003920000,0.7493
1710998880000,0.7284000,0.7324000,0.7281000,0.7316000,231615,1710998939999,169284.2239000,813,167007,1711003920000,0.7493
1710998940000,0.7315000,0.7316000,0.7292000,0.7312000,333306,1710998999999,243512.2378000,834,199956,1711003920000,0.7493
1710999000000,0.7311000,0.7393000,0.7310000,0.7382000,441711,1710999059999,324898.3141000,1706,287039,1711003920000,0.7493
1710999060000,0.7382000,0.7386000,0.7349000,0.7358000,341261,1710999119999,251401.9952000,997,163563,1711003920000,0.7493
1710999120000,0.7358000,0.7425000,0.7358000,0.7423000,275723,1710999179999,204086.0218000,1009,182459,1711003920000,0.7493
1710999180000,0.7424000,0.7436000,0.7391000,0.7399000,327483,1710999239999,242714.5530000,971,115950,1711003920000,0.7493
1710999240000,0.7398000,0.7407000,0.7377000,0.7379000,189754,1710999299999,140271.9219000,752,92234,1711003920000,0.7493
1710999300000,0.7378000,0.7380000,0.7351000,0.7353000,243318,1710999359999,179115.1474000,935,98845,1711003920000,0.7493
1710999360000,0.7354000,0.7396000,0.7349000,0.7386000,202208,1710999419999,149013.8752000,868,129256,1711003920000,0.7493
1710999420000,0.7386000,0.7393000,0.7367000,0.7392000,117909,1710999479999,87047.9793000,683,66246,1711003920000,0.7493
1710999480000,0.7392000,0.7405000,0.7384000,0.7405000,209035,1710999539999,154562.0385000,598,109606,1711003920000,0.7493
1710999540000,0.7403000,0.7403000,0.7361000,0.7364000,121178,1710999599999,89413.4192000,595,29134,1711003920000,0.7493
1710999600000,0.7364000,0.7388000,0.7362000,0.7383000,168321,1710999659999,124083.2238000,556,77488,1711003920000,0.7493
1710999660000,0.7382000,0.7390000,0.7373000,0.7374000,258341,1710999719999,190625.2839000,763,75321,1711003920000,0.7493
1710999720000,0.7373000,0.7402000,0.7360000,0.7399000,200238,1710999779999,147851.6795000,800,128665,1711003920000,0.7493
1710999780000,0.7399000,0.7419000,0.7391000,0.7413000,184168,1710999839999,136411.6454000,752,91030,1711003920000,0.7493
1710999840000,0.7413000,0.7437000,0.7409000,0.7429000,214262,1710999899999,159096.6955000,739,118919,1711003920000,0.7493
1710999900000,0.7429000,0.7445000,0.7426000,0.7439000,182740,1710999959999,135905.7084000,603,98858,1711003920000,0.7493
1710999960000,0.7439000,0.7445000,0.7436000,0.7436000,152234,1711000019999,113264.2491000,428,66115,1711003920000,0.7493
1711000020000,0.7436000,0.7466000,0.7431000,0.7451000,303607,1711000079999,226085.9353000,759,198669,1711003920000,0.7493
1711000080000,0.7452000,0.7453000,0.7420000,0.7420000,131919,1711000139999,98043.6414000,512,35341,1711003920000,0.7493
1711000140000,0.7419000,0.7432000,0.7411000,0.7432000,139804,1711000199999,103750.5431000,499,69996,1711003920000,0.7493
1711000200000,0.7433000,0.7436000,0.7401000,0.7407000,295290,1711000259999,218918.3170000,785,66444,1711003920000,0.7493
1711000260000,0.7407000,0.7427000,0.7400000,0.7427000,109149,1711000319999,80911.9447000,529,64518,1711003920000,0.7493
1711000320000,0.7428000,0.7469000,0.7428000,0.7453000,199722,1711000379999,148874.0747000,906,119206,1711003920000,0.7493
1711000380000,0.7453000,0.7453000,0.7413000,0.7428000,134494,1711000439999,99976.9842000,626,41747,1711003920000,0.7493
1711000440000,0.7428000,0.7453000,0.7417000,0.7437000,92969,1711000499999,69115.7592000,481,57725,1711003920000,0.7493
1711000500000,0.7436000,0.7449000,0.7430000,0.7435000,108210,1711000559999,80485.8854000,470,49046,1711003920000,0.7493
1711000560000,0.7435000,0.7475000,0.7420000,0.7468000,444711,1711000619999,331583.7846000,1322,297758,1711003920000,0.7493
1711000620000,0.7469000,0.7492000,0.7459000,0.7489000,367053,1711000679999,274444.8269000,1237,210417,1711003920000,0.7493
1711000680000,0.7489000,0.7500000,0.7471000,0.7477000,245166,1711000739999,183521.9225000,837,100673,1711003920000,0.7493
1711000740000,0.7476000,0.7476000,0.7440000,0.7456000,190996,1711000799999,142448.3229000,977,78423,1711003920000,0.7493
1711000800000,0.7455000,0.7480000,0.7442000,0.7479000,228156,1711000859999,170114.2886000,1063,118346,1711003920000,0.7493
1711000860000,0.7479000,0.7521000,0.7479000,0.7521000,333484,1711000919999,250174.5210000,1312,168568,1711003920000,0.7493
1711000920000,0.7520000,0.7524000,0.7470000,0.7472000,244986,1711000979999,183738.2724000,978,89389,1711003920000,0.7493
1711000980000,0.7470000,0.7477000,0.7451000,0.7454000,188752,1711001039999,140850.5067000,913,84531,1711003920000,0.7493
1711001040000,0.7453000,0.7481000,0.7449000,0.7466000,149400,1711001099999,111587.8806000,765,74077,1711003920000,0.7493
1711001100000,0.7465000,0.7470000,0.7430000,0.7433000,228950,1711001159999,170475.7764000,1053,104080,1711003920000,0.7493
1711001160000,0.7433000,0.7472000,0.7428000,0.7448000,173581,1711001219999,129335.0936000,864,101097,1711003920000,0.7493
1711001220000,0.7449000,0.7466000,0.7447000,0.7454000,130969,1711001279999,97674.0872000,598,54243,1711003920000,0.7493
1711001280000,0.7454000,0.7459000,0.7431000,0.7444000,90343,1711001339999,67232.1892000,445,32857,1711003920000,0.7493
1711001340000,0.7444000,0.7447000,0.7427000,0.7434000,163116,1711001399999,121273.4660000,561,48995,1711003920000,0.7493
1711001400000,0.7434000,0.7446000,0.7420000,0.7444000,126680,1711001459999,94118.9771000,654,77726,1711003920000,0.7493
1711001460000,0.7443000,0.7443000,0.7421000,0.7421000,142529,1711001519999,105903.1164000,548,49295,1711003920000,0.7493
1711001520000,0.7422000,0.7457000,0.7421000,0.7451000,131063,1711001579999,97462.7905000,468,80809,1711003920000,0.7493
1711001580000,0.7451000,0.7462000,0.7425000,0.7427000,180195,1711001639999,134101.3621000,607,54304,1711003920000,0.7493
1711001640000,0.7426000,0.7436000,0.7421000,0.7431000,66201,1711001699999,49181.1774000,317,31909,1711003920000,0.7493
1711001700000,0.7431000,0.7455000,0.7431000,0.7453000,78928,1711001759999,58740.3046000,463,54498,1711003920000,0.7493
1711001760000,0.7452000,0.7452000,0.7427000,0.7431000,93993,1711001819999,69928.8511000,475,52293,1711003920000,0.7493
1711001820000,0.7429000,0.7429000,0.7410000,0.7415000,100231,1711001879999,74355.3124000,534,42122,1711003920000,0.7493
1711001880000,0.7415000,0.7421000,0.7402000,0.7412000,103048,1711001939999,76389.2094000,494,28684,1711003920000,0.7493
1711001940000,0.7413000,0.7424000,0.7388000,0.7418000,508934,1711001999999,376748.2776000,1193,209861,1711003920000,0.7493
1711002000000,0.7419000,0.7437000,0.7417000,0.7437000,119756,1711002059999,88922.4830000,443,69077,1711003920000,0.7493
1711002060000,0.7438000,0.7450000,0.7429000,0.7429000,170237,1711002119999,126665.5399000,740,89267,1711003920000,0.7493
1711002120000,0.7430000,0.7431000,0.7413000,0.7425000,111279,1711002179999,82601.6673000,530,43228,1711003920000,0.7493
1711002180000,0.7426000,0.7445000,0.7422000,0.7432000,117052,1711002239999,86994.2437000,462,67365,1711003920000,0.7493
1711002240000,0.7433000,0.7439000,0.7412000,0.7418000,124510,1711002299999,92405.3263000,484,63601,1711003920000,0.7493
1711002300000,0.7420000,0.7428000,0.7411000,0.7426000,121307,1711002359999,90050.8608000,360,33231,1711003920000,0.7493
1711002360000,0.7426000,0.7458000,0.7423000,0.7454000,171801,1711002419999,127911.3735000,650,99572,1711003920000,0.7493
