Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710567720000,0.4184000,0.4188000,0.4182000,0.4185000,55806,1710567779999,23351.9755000,125,13949,1710573060000,0.4271
1710567780000,0.4186000,0.4193000,0.4183000,0.4191000,59361,1710567839999,24856.8024000,134,39231,1710573060000,0.4271
1710567840000,0.4191000,0.4191000,0.4185000,0.4188000,50884,1710567899999,21306.6508000,130,19646,1710573060000,0.4271
1710567900000,0.4190000,0.4190000,0.4182000,0.4187000,40153,1710567959999,16804.7539000,152,13270,1710573060000,0.4271
1710567960000,0.4186000,0.4189000,0.4182000,0.4189000,39788,1710568019999,16646.7702000,105,30811,1710573060000,0.4271
1710568020000,0.4189000,0.4192000,0.4184000,0.4184000,35137,1710568079999,14717.0010000,114,18844,1710573060000,0.4271
1710568080000,0.4184000,0.4184000,0.4165000,0.4167000,116143,1710568139999,48488.0927000,239,14092,1710573060000,0.4271
1710568140000,0.4167000,0.4179000,0.4167000,0.4175000,84895,1710568199999,35432.8215000,237,53095,1710573060000,0.4271
1710568200000,0.4175000,0.4178000,0.4172000,0.4172000,24367,1710568259999,10172.0336000,131,12316,1710573060000,0.4271
1710568260000,0.4172000,0.4174000,0.4168000,0.4174000,28150,1710568319999,11739.8868000,109,12867,1710573060000,0.4271
1710568320000,0.4175000,0.4192000,0.4175000,0.4184000,179706,1710568379999,75217.5823000,365,99514,1710573060000,0.4271
1710568380000,0.4185000,0.4186000,0.4182000,0.4185000,32870,1710568439999,13751.8924000,90,11555,1710573060000,0.4271
1710568440000,0.4185000,0.4189000,0.4184000,0.4189000,30528,1710568499999,12778.4973000,86,13212,1710573060000,0.4271
1710568500000,0.4189000,0.4190000,0.4180000,0.4185000,68278,1710568559999,28565.1959000,202,19825,1710573060000,0.4271
1710568560000,0.4185000,0.4199000,0.4185000,0.4199000,50231,1710568619999,21061.2519000,142,40528,1710573060000,0.4271
1710568620000,0.4199000,0.4203000,0.4194000,0.4196000,66489,1710568679999,27913.2825000,181,28446,1710573060000,0.4271
1710568680000,0.4196000,0.4200000,0.4187000,0.4187000,41322,1710568739999,17329.7632000,114,8495,1710573060000,0.4271
1710568740000,0.4186000,0.4191000,0.4185000,0.4190000,20855,1710568799999,8733.1648000,112,8713,1710573060000,0.4271
1710568800000,0.4191000,0.4197000,0.4190000,0.4195000,47214,1710568859999,19795.8655000,194,21650,1710573060000,0.4271
1710568860000,0.4195000,0.4201000,0.4194000,0.4201000,30976,1710568919999,13004.6075000,142,21385,1710573060000,0.4271
1710568920000,0.4200000,0.4202000,0.4197000,0.4198000,34244,1710568979999,14383.0461000,132,11871,1710573060000,0.4271
1710568980000,0.4197000,0.4199000,0.4192000,0.4199000,49474,1710569039999,20756.0094000,173,29753,1710573060000,0.4271
1710569040000,0.4199000,0.4206000,0.4195000,0.4206000,18227,1710569099999,7651.1150000,93,14703,1710573060000,0.4271
1710569100000,0.4207000,0.4220000,0.4207000,0.4220000,63804,1710569159999,26889.0046000,242,33536,1710573060000,0.4271
1710569160000,0.4220000,0.4225000,0.4209000,0.4215000,94840,1710569219999,40004.9516000,309,44913,1710573060000,0.4271
1710569220000,0.4215000,0.4221000,0.4210000,0.4220000,72921,1710569279999,30756.4966000,186,34256,1710573060000,0.4271
1710569280000,0.4220000,0.4222000,0.4213000,0.4214000,78751,1710569339999,33212.6870000,149,12497,1710573060000,0.4271
1710569340000,0.4214000,0.4216000,0.4212000,0.4215000,23083,1710569399999,9727.6896000,86,13306,1710573060000,0.4271
1710569400000,0.4216000,0.4224000,0.4216000,0.4220000,77661,1710569459999,32772.8540000,239,20220,1710573060000,0.4271
1710569460000,0.4220000,0.4223000,0.4218000,0.4220000,27926,1710569519999,11783.6760000,100,17521,1710573060000,0.4271
1710569520000,0.4220000,0.4224000,0.4217000,0.4221000,50933,1710569579999,21491.8785000,161,36132,1710573060000,0.4271
1710569580000,0.4222000,0.4226000,0.4218000,0.4218000,46538,1710569639999,19647.2677000,177,22334,1710573060000,0.4271
1710569640000,0.4218000,0.4219000,0.4211000,0.4212000,33641,1710569699999,14175.9946000,156,11758,1710573060000,0.4271
1710569700000,0.4213000,0.4217000,0.4211000,0.4216000,33533,1710569759999,14134.3934000,131,24339,1710573060000,0.4271
1710569760000,0.4217000,0.4225000,0.4216000,0.4222000,27743,1710569819999,11712.8410000,112,16925,1710573060000,0.4271
1710569820000,0.4222000,0.4225000,0.4221000,0.4224000,26015,1710569879999,10985.2055000,111,15787,1710573060000,0.4271
1710569880000,0.4224000,0.4227000,0.4221000,0.4221000,20080,1710569939999,8482.7921000,108,9692,1710573060000,0.4271
1710569940000,0.4221000,0.4223000,0.4218000,0.4220000,26656,1710569999999,11249.0208000,109,9308,1710573060000,0.4271
1710570000000,0.4220000,0.4222000,0.4216000,0.4216000,18209,1710570059999,7681.3955000,77,8496,1710573060000,0.4271
1710570060000,0.4216000,0.4219000,0.4214000,0.4218000,37845,1710570119999,15958.1784000,120,29349,1710573060000,0.4271
1710570120000,0.4217000,0.4226000,0.4217000,0.4226000,41929,1710570179999,17703.6377000,113,36255,1710573060000,0.4271
1710570180000,0.4226000,0.4233000,0.4225000,0.4233000,34560,1710570239999,14612.5812000,100,18770,1710573060000,0.4271
1710570240000,0.4233000,0.4233000,0.4229000,0.4230000,23876,1710570299999,10101.0289000,94,5740,1710573060000,0.4271
1710570300000,0.4230000,0.4230000,0.4221000,0.4222000,28027,1710570359999,11841.7190000,110,6423,1710573060000,0.4271
