Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710857280000,0.9012000,0.9019000,0.8981000,0.8999000,209970,1710857339999,188913.1493000,718,33597,1710862680000,0.9406
1710857340000,0.8998000,0.9004000,0.8980000,0.8982000,237702,1710857399999,213740.2441000,609,177009,1710862680000,0.9406
1710857400000,0.8984000,0.8993000,0.8954000,0.8974000,175416,1710857459999,157433.5320000,773,92861,1710862680000,0.9406
1710857460000,0.8974000,0.9005000,0.8960000,0.9001000,162749,1710857519999,146187.5950000,593,64614,1710862680000,0.9406
1710857520000,0.9000000,0.9006000,0.8972000,0.8992000,229342,1710857579999,206227.3200000,633,67584,1710862680000,0.9406
1710857580000,0.8996000,0.9014000,0.8995000,0.9002000,99769,1710857639999,89841.6516000,358,66732,1710862680000,0.9406
1710857640000,0.9002000,0.9019000,0.8987000,0.8991000,99387,1710857699999,89538.8391000,431,30388,1710862680000,0.9406
1710857700000,0.8994000,0.9023000,0.8993000,0.9015000,64146,1710857759999,57773.3047000,473,32751,1710862680000,0.9406
1710857760000,0.9015000,0.9029000,0.8999000,0.9002000,136238,1710857819999,122785.2376000,534,53923,1710862680000,0.9406
1710857820000,0.9004000,0.9004000,0.8974000,0.8984000,57332,1710857879999,51514.5337000,335,18979,1710862680000,0.9406
1710857880000,0.8984000,0.8988000,0.8940000,0.8953000,146896,1710857939999,131648.3113000,630,40318,1710862680000,0.9406
1710857940000,0.8954000,0.8982000,0.8954000,0.8968000,138956,1710857999999,124658.3869000,528,35049,1710862680000,0.9406
1710858000000,0.8969000,0.8980000,0.8945000,0.8961000,90757,1710858059999,81360.5054000,479,54884,1710862680000,0.9406
1710858060000,0.8957000,0.8972000,0.8954000,0.8959000,94242,1710858119999,84487.3213000,383,31960,1710862680000,0.9406
1710858120000,0.8959000,0.8969000,0.8950000,0.8957000,81319,1710858179999,72851.7106000,399,20707,1710862680000,0.9406
1710858180000,0.8957000,0.8960000,0.8926000,0.8931000,109501,1710858239999,97935.1193000,488,27861,1710862680000,0.9406
1710858240000,0.8932000,0.8954000,0.8923000,0.8939000,114989,1710858299999,102771.3328000,464,66873,1710862680000,0.9406
1710858300000,0.8939000,0.8987000,0.8935000,0.8976000,103476,1710858359999,92774.6250000,383,85937,1710862680000,0.9406
1710858360000,0.8976000,0.8991000,0.8976000,0.8986000,51990,1710858419999,46696.7419000,337,19110,1710862680000,0.9406
1710858420000,0.8986000,0.8987000,0.8962000,0.8983000,70679,1710858479999,63423.4436000,321,20070,1710862680000,0.9406
1710858480000,0.8983000,0.8989000,0.8972000,0.8980000,67406,1710858539999,60541.8723000,344,20506,1710862680000,0.9406
1710858540000,0.8981000,0.8991000,0.8970000,0.8979000,28344,1710858599999,25459.4876000,176,12857,1710862680000,0.9406
1710858600000,0.8978000,0.8999000,0.8972000,0.8999000,36372,1710858659999,32691.6980000,226,22470,1710862680000,0.9406
1710858660000,0.8998000,0.9024000,0.8997000,0.9016000,42149,1710858719999,37990.7482000,244,18214,1710862680000,0.9406
1710858720000,0.9019000,0.9019000,0.8963000,0.8967000,64318,1710858779999,57782.8608000,369,24113,1710862680000,0.9406
1710858780000,0.8968000,0.8991000,0.8964000,0.8966000,88287,1710858839999,79233.7327000,415,27678,1710862680000,0.9406
1710858840000,0.8967000,0.8973000,0.8960000,0.8972000,84061,1710858899999,75373.3151000,355,37615,1710862680000,0.9406
1710858900000,0.8971000,0.9003000,0.8971000,0.8989000,142791,1710858959999,128316.9153000,463,85806,1710862680000,0.9406
1710858960000,0.8990000,0.8991000,0.8960000,0.8972000,69596,1710859019999,62445.8458000,398,18081,1710862680000,0.9406
1710859020000,0.8972000,0.9025000,0.8972000,0.9025000,47209,1710859079999,42461.2994000,334,28554,1710862680000,0.9406
1710859080000,0.9021000,0.9038000,0.9021000,0.9032000,70875,1710859139999,64017.8831000,346,31757,1710862680000,0.9406
1710859140000,0.9031000,0.9040000,0.9005000,0.9034000,151343,1710859199999,136673.2766000,433,113301,1710862680000,0.9406
1710859200000,0.9033000,0.9063000,0.9022000,0.9060000,128709,1710859259999,116430.6603000,524,85966,1710862680000,0.9406
1710859260000,0.9060000,0.9060000,0.9034000,0.9050000,68906,1710859319999,62362.3924000,368,32890,1710862680000,0.9406
1710859320000,0.9050000,0.9076000,0.9047000,0.9071000,109940,1710859379999,99669.0407000,456,80521,1710862680000,0.9406
1710859380000,0.9070000,0.9091000,0.9069000,0.9079000,98957,1710859439999,89880.2835000,358,47692,1710862680000,0.9406
1710859440000,0.9082000,0.9109000,0.9070000,0.9106000,81050,1710859499999,73685.8629000,324,47842,1710862680000,0.9406
1710859500000,0.9105000,0.9119000,0.9083000,0.9088000,161791,1710859559999,147287.2727000,568,73268,1710862680000,0.9406
1710859560000,0.9089000,0.9089000,0.9066000,0.9071000,74729,1710859619999,67831.7329000,316,21358,1710862680000,0.9406
1710859620000,0.9069000,0.9082000,0.9047000,0.9075000,76136,1710859679999,68963.3826000,332,28172,1710862680000,0.9406
1710859680000,0.9074000,0.9077000,0.9054000,0.9077000,67339,1710859739999,61062.9860000,241,17849,1710862680000,0.9406
1710859740000,0.9079000,0.9110000,0.9079000,0.9106000,76064,1710859799999,69186.4293000,221,48874,1710862680000,0.9406
1710859800000,0.9104000,0.9136000,0.9098000,0.9133000,113624,1710859859999,103649.6352000,436,72028,1710862680000,0.9406
1710859860000,0.9133000,0.9140000,0.9088000,0.9111000,73606,1710859919999,67093.0868000,397,24128,1710862680000,0.9406
1710859920000,0.9109000,0.9134000,0.9109000,0.9121000,60763,1710859979999,55427.3928000,313,39227,1710862680000,0.9406
1710859980000,0.9120000,0.9121000,0.9087000,0.9103000,56500,1710860039999,51416.9689000,346,33332,1710862680000,0.9406
1710860040000,0.9102000,0.9122000,0.9101000,0.9113000,58920,1710860099999,53689.6242000,291,23647,1710862680000,0.9406
1710860100000,0.9108000,0.9125000,0.9092000,0.9124000,42800,1710860159999,38988.3885000,238,22135,1710862680000,0.9406
1710860160000,0.9126000,0.9152000,0.9126000,0.9133000,217708,1710860219999,198959.3765000,806,173313,1710862680000,0.9406
1710860220000,0.9132000,0.9141000,0.9121000,0.9124000,96598,1710860279999,88217.5365000,376,46594,1710862680000,0.9406
1710860280000,0.9122000,0.9149000,0.9121000,0.9125000,106145,1710860339999,96968.8695000,416,78606,1710862680000,0.9406
1710860340000,0.9128000,0.9139000,0.9125000,0.9125000,39109,1710860399999,35714.3448000,195,16098,1710862680000,0.9406
1710860400000,0.9125000,0.9129000,0.9077000,0.9089000,64360,1710860459999,58587.2814000,396,25339,1710862680000,0.9406
1710860460000,0.9089000,0.9092000,0.9038000,0.9065000,138906,1710860519999,125758.9716000,636,50021,1710862680000,0.9406
1710860520000,0.9064000,0.9064000,0.8995000,0.9019000,817755,1710860579999,737047.0871000,1755,159457,1710862680000,0.9406
1710860580000,0.9018000,0.9062000,0.9015000,0.9048000,103054,1710860639999,93197.4735000,551,67615,1710862680000,0.9406
1710860640000,0.9049000,0.9092000,0.9048000,0.9092000,120729,1710860699999,109625.7299000,509,99443,1710862680000,0.9406
1710860700000,0.9088000,0.9112000,0.9086000,0.9098000,139658,1710860759999,127088.3707000,629,97951,1710862680000,0.9406
1710860760000,0.9099000,0.9123000,0.9099000,0.9123000,42400,1710860819999,38624.2561000,294,13812,1710862680000,0.9406
1710860820000,0.9124000,0.9132000,0.9111000,0.9128000,56182,1710860879999,51256.7235000,287,15142,1710862680000,0.9406
