Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710675480000,123.420000,123.470000,123.370000,123.380000,37.9,1710675539999,4677.7440000,75,13.3,1710680820000,123.41
1710675540000,123.370000,123.400000,123.310000,123.380000,38.8,1710675599999,4786.6230000,73,21.6,1710680820000,123.41
1710675600000,123.390000,123.600000,123.350000,123.600000,72.8,1710675659999,8985.3610000,96,41.7,1710680820000,123.41
1710675660000,123.560000,123.560000,123.230000,123.420000,129.7,1710675719999,16000.8760000,154,50.5,1710680820000,123.41
1710675720000,123.400000,123.400000,123.200000,123.240000,47.9,1710675779999,5902.5000000,62,40.4,1710680820000,123.41
1710675780000,123.240000,123.420000,123.200000,123.410000,33.3,1710675839999,4106.6690000,59,17.7,1710680820000,123.41
1710675840000,123.440000,123.510000,123.220000,123.280000,32.2,1710675899999,3972.3910000,69,25.5,1710680820000,123.41
1710675900000,123.280000,123.290000,123.010000,123.130000,160.4,1710675959999,19752.1200000,182,42.4,1710680820000,123.41
1710675960000,123.130000,123.240000,123.070000,123.160000,219.9,1710676019999,27078.6540000,222,158.6,1710680820000,123.41
1710676020000,123.150000,123.150000,123.080000,123.110000,59.5,1710676079999,7326.2330000,59,33.8,1710680820000,123.41
1710676080000,123.130000,123.290000,123.010000,123.290000,68.6,1710676139999,8448.7350000,96,45.1,1710680820000,123.41
1710676140000,123.300000,123.530000,123.280000,123.480000,60.5,1710676199999,7466.1450000,73,23.4,1710680820000,123.41
1710676200000,123.460000,123.690000,123.360000,123.660000,101.3,1710676259999,12512.0830000,125,46.9,1710680820000,123.41
1710676260000,123.660000,123.690000,123.560000,123.610000,37.4,1710676319999,4623.6710000,65,25.4,1710680820000,123.41
1710676320000,123.630000,123.710000,123.590000,123.590000,26.0,1710676379999,3215.0840000,51,17.9,1710680820000,123.41
1710676380000,123.600000,123.600000,123.410000,123.500000,91.2,1710676439999,11262.4820000,71,70.5,1710680820000,123.41
1710676440000,123.530000,123.580000,123.490000,123.490000,30.8,1710676499999,3805.1100000,55,12.2,1710680820000,123.41
1710676500000,123.500000,123.520000,123.410000,123.410000,39.8,1710676559999,4914.8490000,56,26.4,1710680820000,123.41
1710676560000,123.400000,123.430000,123.280000,123.420000,35.7,1710676619999,4404.1140000,77,24.6,1710680820000,123.41
1710676620000,123.410000,123.410000,123.140000,123.140000,42.1,1710676679999,5190.3370000,63,7.3,1710680820000,123.41
1710676680000,123.150000,123.260000,123.150000,123.200000,24.9,1710676739999,3067.7810000,50,18.3,1710680820000,123.41
1710676740000,123.190000,123.240000,123.070000,123.220000,142.4,1710676799999,17537.1520000,124,60.3,1710680820000,123.41
1710676800000,123.220000,123.470000,123.220000,123.410000,56.9,1710676859999,7020.1640000,105,38.4,1710680820000,123.41
1710676860000,123.410000,123.550000,123.280000,123.370000,128.3,1710676919999,15834.5190000,152,80.2,1710680820000,123.41
1710676920000,123.350000,123.620000,123.300000,123.500000,131.1,1710676979999,16186.3010000,133,65.2,1710680820000,123.41
1710676980000,123.500000,123.540000,123.300000,123.370000,183.5,1710677039999,22648.1800000,191,45.2,1710680820000,123.41
1710677040000,123.340000,123.420000,123.320000,123.380000,74.0,1710677099999,9129.8190000,121,56.1,1710680820000,123.41
1710677100000,123.390000,123.540000,123.390000,123.450000,123.1,1710677159999,15197.8960000,191,77.1,1710680820000,123.41
1710677160000,123.450000,123.580000,123.360000,123.520000,164.4,1710677219999,20304.8330000,206,96.4,1710680820000,123.41
1710677220000,123.530000,123.710000,123.530000,123.670000,63.9,1710677279999,7898.5390000,114,36.7,1710680820000,123.41
1710677280000,123.660000,124.020000,123.640000,123.950000,88.2,1710677339999,10924.2250000,127,40.8,1710680820000,123.41
1710677340000,123.930000,123.970000,123.700000,123.730000,76.7,1710677399999,9499.0890000,115,39.1,1710680820000,123.41
1710677400000,123.690000,123.820000,123.670000,123.670000,66.4,1710677459999,8215.8870000,103,26.0,1710680820000,123.41
1710677460000,123.660000,123.850000,123.630000,123.850000,71.7,1710677519999,8873.1990000,112,61.3,1710680820000,123.41
1710677520000,123.850000,124.100000,123.850000,124.000000,86.6,1710677579999,10736.9300000,123,65.9,1710680820000,123.41
1710677580000,123.980000,124.140000,123.890000,123.890000,83.4,1710677639999,10341.7330000,119,34.2,1710680820000,123.41
1710677640000,123.860000,123.860000,123.590000,123.590000,42.0,1710677699999,5195.9540000,83,20.1,1710680820000,123.41
1710677700000,123.590000,123.780000,123.580000,123.610000,70.2,1710677759999,8681.4770000,108,33.7,1710680820000,123.41
1710677760000,123.630000,123.630000,123.360000,123.540000,111.0,1710677819999,13707.1230000,155,64.9,1710680820000,123.41
1710677820000,123.560000,123.560000,123.310000,123.350000,66.1,1710677879999,8157.5410000,98,22.1,1710680820000,123.41
1710677880000,123.330000,123.330000,123.090000,123.270000,87.3,1710677939999,10754.1750000,135,59.8,1710680820000,123.41
1710677940000,123.210000,123.270000,123.150000,123.170000,95.2,1710677999999,11730.1360000,114,57.9,1710680820000,123.41
1710678000000,123.180000,123.220000,123.020000,123.160000,83.8,1710678059999,10319.8910000,124,62.6,1710680820000,123.41
1710678060000,123.140000,123.140000,122.660000,122.780000,376.9,1710678119999,46314.1970000,381,122.5,1710680820000,123.41
1710678120000,122.790000,122.990000,122.770000,122.940000,325.2,1710678179999,39960.1740000,262,212.6,1710680820000,123.41
