Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711032720000,4.263,4.264,4.260,4.264,894.3,1711032779999,3811.8984,30,749.7,1711038120000,4.304
1711032780000,4.263,4.268,4.261,4.267,2110.9,1711032839999,9003.6207,73,1608.4,1711038120000,4.304
1711032840000,4.266,4.274,4.266,4.272,951.6,1711032899999,4061.5312,41,357.8,1711038120000,4.304
1711032900000,4.273,4.277,4.271,4.271,1081.0,1711032959999,4621.0256,44,445.7,1711038120000,4.304
1711032960000,4.271,4.271,4.268,4.270,3461.3,1711033019999,14775.3913,72,766.6,1711038120000,4.304
1711033020000,4.269,4.279,4.269,4.278,1307.9,1711033079999,5593.3932,36,1106.7,1711038120000,4.304
1711033080000,4.278,4.278,4.275,4.277,756.5,1711033139999,3234.9961,44,288.1,1711038120000,4.304
1711033140000,4.277,4.279,4.277,4.277,493.2,1711033199999,2109.8225,28,389.5,1711038120000,4.304
1711033200000,4.277,4.284,4.277,4.282,1583.2,1711033259999,6777.1849,77,919.5,1711038120000,4.304
1711033260000,4.281,4.285,4.275,4.280,4625.8,1711033319999,19806.2055,132,3155.5,1711038120000,4.304
1711033320000,4.280,4.280,4.272,4.273,4209.2,1711033379999,17995.4409,111,1198.1,1711038120000,4.304
1711033380000,4.273,4.273,4.265,4.267,2915.0,1711033439999,12443.5760,95,1054.9,1711038120000,4.304
1711033440000,4.266,4.266,4.261,4.263,6294.7,1711033499999,26833.3352,145,2411.2,1711038120000,4.304
1711033500000,4.263,4.264,4.254,4.254,3546.0,1711033559999,15109.4665,108,2358.6,1711038120000,4.304
1711033560000,4.253,4.261,4.244,4.261,11057.3,1711033619999,46992.3410,250,6827.5,1711038120000,4.304
1711033620000,4.261,4.262,4.257,4.257,6524.0,1711033679999,27782.1137,131,2744.0,1711038120000,4.304
1711033680000,4.256,4.256,4.247,4.248,13647.0,1711033739999,58031.5794,269,2987.2,1711038120000,4.304
1711033740000,4.247,4.249,4.242,4.249,7120.9,1711033799999,30218.2168,203,2769.7,1711038120000,4.304
1711033800000,4.248,4.253,4.240,4.240,3524.3,1711033859999,14966.7685,132,1281.0,1711038120000,4.304
1711033860000,4.240,4.240,4.231,4.235,8449.1,1711033919999,35783.4023,165,2786.6,1711038120000,4.304
1711033920000,4.236,4.236,4.231,4.231,2747.4,1711033979999,11629.0693,111,793.9,1711038120000,4.304
1711033980000,4.231,4.235,4.223,4.233,16521.3,1711034039999,69857.4211,353,6119.1,1711038120000,4.304
1711034040000,4.233,4.243,4.233,4.237,4348.6,1711034099999,18432.9615,97,1833.7,1711038120000,4.304
1711034100000,4.236,4.238,4.228,4.236,5929.0,1711034159999,25102.0145,174,2625.4,1711038120000,4.304
1711034160000,4.234,4.244,4.230,4.244,3226.4,1711034219999,13673.6651,131,2067.8,1711038120000,4.304
1711034220000,4.244,4.249,4.242,4.242,2983.6,1711034279999,12670.3756,134,1979.4,1711038120000,4.304
1711034280000,4.242,4.250,4.242,4.247,4733.9,1711034339999,20095.2987,137,3243.3,1711038120000,4.304
1711034340000,4.246,4.250,4.246,4.248,1914.3,1711034399999,8131.0576,89,1275.0,1711038120000,4.304
1711034400000,4.248,4.249,4.245,4.247,2375.1,1711034459999,10087.9488,91,1702.1,1711038120000,4.304
1711034460000,4.247,4.255,4.244,4.254,2552.5,1711034519999,10843.6743,72,1588.6,1711038120000,4.304
1711034520000,4.256,4.258,4.245,4.246,1821.5,1711034579999,7740.9546,74,988.9,1711038120000,4.304
1711034580000,4.245,4.245,4.236,4.239,1379.5,1711034639999,5848.6681,76,572.1,1711038120000,4.304
1711034640000,4.239,4.252,4.239,4.252,3600.4,1711034699999,15296.5726,65,748.4,1711038120000,4.304
1711034700000,4.252,4.253,4.244,4.245,2880.4,1711034759999,12243.3999,75,1486.1,1711038120000,4.304
1711034760000,4.245,4.247,4.238,4.245,5656.5,1711034819999,23999.7808,145,3650.6,1711038120000,4.304
1711034820000,4.245,4.251,4.245,4.245,3186.0,1711034879999,13531.4504,93,894.4,1711038120000,4.304
1711034880000,4.246,4.246,4.242,4.242,782.8,1711034939999,3321.6397,51,188.6,1711038120000,4.304
1711034940000,4.242,4.244,4.241,4.243,3073.3,1711034999999,13039.0558,62,2405.4,1711038120000,4.304
1711035000000,4.244,4.259,4.242,4.257,7767.9,1711035059999,33027.4321,188,6983.7,1711038120000,4.304
1711035060000,4.256,4.256,4.247,4.249,5262.0,1711035119999,22366.9518,149,1900.2,1711038120000,4.304
1711035120000,4.248,4.248,4.241,4.243,4127.6,1711035179999,17520.8420,141,2176.9,1711038120000,4.304
1711035180000,4.243,4.243,4.228,4.232,7403.0,1711035239999,31350.4605,199,3345.4,1711038120000,4.304
1711035240000,4.232,4.238,4.232,4.238,5142.7,1711035299999,21782.1644,141,3578.4,1711038120000,4.304
1711035300000,4.238,4.238,4.228,4.232,1609.3,1711035359999,6810.7728,94,730.1,1711038120000,4.304
