Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711959060000,2.899500,2.901100,2.896700,2.899000,5782,1711959119999,16764.065500,200,2900,1711964400000,2.88
1711959120000,2.898100,2.898100,2.886000,2.886700,5828,1711959179999,16846.056600,206,394,1711964400000,2.88
1711959180000,2.886700,2.886700,2.881600,2.883200,4093,1711959239999,11802.591200,156,1322,1711964400000,2.88
1711959240000,2.883800,2.892100,2.883800,2.889800,2221,1711959299999,6415.020800,109,1467,1711964400000,2.88
1711959300000,2.890000,2.890300,2.879700,2.879700,2685,1711959359999,7748.736200,160,808,1711964400000,2.88
1711959360000,2.879500,2.891700,2.878600,2.891100,2677,1711959419999,7720.429100,150,1690,1711964400000,2.88
1711959420000,2.891700,2.893100,2.887300,2.887300,1829,1711959479999,5285.932700,123,436,1711964400000,2.88
1711959480000,2.887300,2.891100,2.885100,2.885300,1983,1711959539999,5727.008400,102,1092,1711964400000,2.88
1711959540000,2.885000,2.886600,2.881000,2.881200,1692,1711959599999,4880.260600,109,493,1711964400000,2.88
1711959600000,2.880700,2.882200,2.873400,2.875300,4973,1711959659999,14304.027300,223,1374,1711964400000,2.88
1711959660000,2.875300,2.878100,2.873500,2.875000,5052,1711959719999,14527.583600,190,2443,1711964400000,2.88
1711959720000,2.874800,2.877600,2.870800,2.871600,5547,1711959779999,15939.760400,163,3087,1711964400000,2.88
1711959780000,2.871700,2.879100,2.869900,2.879100,2295,1711959839999,6593.466300,126,1090,1711964400000,2.88
1711959840000,2.879200,2.879200,2.871000,2.872000,1984,1711959899999,5704.798800,114,595,1711964400000,2.88
1711959900000,2.871800,2.872100,2.865200,2.867200,8103,1711959959999,23235.447700,256,5831,1711964400000,2.88
1711959960000,2.867900,2.872500,2.865200,2.868500,5646,1711960019999,16197.494300,260,2151,1711964400000,2.88
1711960020000,2.868900,2.880300,2.868900,2.877000,4028,1711960079999,11588.713600,160,2948,1711964400000,2.88
1711960080000,2.876900,2.879700,2.872800,2.873700,2016,1711960139999,5796.337900,109,263,1711964400000,2.88
1711960140000,2.876400,2.876400,2.870200,2.871400,988,1711960199999,2838.116800,66,253,1711964400000,2.88
1711960200000,2.871400,2.873900,2.865200,2.865200,2912,1711960259999,8356.090800,136,850,1711964400000,2.88
1711960260000,2.865400,2.868100,2.861600,2.862600,2050,1711960319999,5872.569700,116,889,1711964400000,2.88
1711960320000,2.863000,2.864800,2.856500,2.864800,9331,1711960379999,26687.260100,353,5122,1711964400000,2.88
1711960380000,2.865100,2.873400,2.865100,2.873000,3577,1711960439999,10266.938300,199,1793,1711964400000,2.88
1711960440000,2.873200,2.883800,2.873200,2.881500,3595,1711960499999,10357.964100,171,2222,1711964400000,2.88
1711960500000,2.881600,2.886500,2.880400,2.885800,5994,1711960559999,17286.859300,230,4232,1711964400000,2.88
1711960560000,2.885700,2.885700,2.880000,2.882200,4927,1711960619999,14199.607300,180,1137,1711964400000,2.88
1711960620000,2.880500,2.880500,2.871800,2.876100,2387,1711960679999,6864.918400,167,1331,1711964400000,2.88
1711960680000,2.875600,2.881200,2.874500,2.879900,3142,1711960739999,9043.347100,119,2256,1711964400000,2.88
1711960740000,2.880300,2.884500,2.879500,2.882000,4291,1711960799999,12367.197700,123,2935,1711964400000,2.88
1711960800000,2.881700,2.882400,2.880200,2.881900,1173,1711960859999,3379.763000,85,631,1711964400000,2.88
1711960860000,2.881800,2.886000,2.880600,2.886000,2426,1711960919999,6992.647100,43,2235,1711964400000,2.88
1711960920000,2.885200,2.885300,2.881300,2.881500,846,1711960979999,2439.506800,68,234,1711964400000,2.88
1711960980000,2.881200,2.881300,2.877800,2.878200,939,1711961039999,2703.499500,59,264,1711964400000,2.88
1711961040000,2.877500,2.881000,2.877500,2.877600,3068,1711961099999,8832.497300,118,261,1711964400000,2.88
1711961100000,2.877300,2.880000,2.875800,2.879500,4113,1711961159999,11835.849200,132,1258,1711964400000,2.88
1711961160000,2.880000,2.884400,2.879500,2.881800,1058,1711961219999,3049.252000,65,206,1711964400000,2.88
1711961220000,2.881800,2.885000,2.876200,2.877000,5885,1711961279999,16938.924200,171,1197,1711964400000,2.88
1711961280000,2.877300,2.877300,2.867000,2.867000,2918,1711961339999,8375.757900,157,986,1711964400000,2.88
1711961340000,2.866800,2.867700,2.864100,2.866800,2243,1711961399999,6428.202100,134,1331,1711964400000,2.88
1711961400000,2.867000,2.868300,2.864100,2.867400,2221,1711961459999,6365.184100,130,1485,1711964400000,2.88
1711961460000,2.867700,2.868200,2.863100,2.863600,1293,1711961519999,3705.265900,127,585,1711964400000,2.88
1711961520000,2.863800,2.868600,2.863700,2.863700,3391,1711961579999,9719.813500,115,2246,1711964400000,2.88
1711961580000,2.863900,2.873800,2.861300,2.873700,3795,1711961639999,10882.653000,167,3108,1711964400000,2.88
1711961640000,2.875600,2.877600,2.872300,2.874400,2582,1711961699999,7422.818400,126,611,1711964400000,2.88
1711961700000,2.872800,2.876600,2.872300,2.873800,1898,1711961759999,5455.128500,106,661,1711964400000,2.88
1711961760000,2.874200,2.876400,2.871200,2.873300,5183,1711961819999,14890.639800,160,963,1711964400000,2.88
1711961820000,2.873300,2.873900,2.871300,2.871300,2953,1711961879999,8480.642200,38,123,1711964400000,2.88
1711961880000,2.871400,2.871400,2.866500,2.866500,1122,1711961939999,3219.069700,78,144,1711964400000,2.88
1711961940000,2.867100,2.868900,2.864500,2.868000,933,1711961999999,2674.411600,67,428,1711964400000,2.88
1711962000000,2.868200,2.875700,2.868000,2.874200,3185,1711962059999,9143.759000,181,1560,1711964400000,2.88
1711962060000,2.875400,2.878200,2.871600,2.876800,4822,1711962119999,13858.575600,213,1143,1711964400000,2.88
1711962120000,2.877100,2.881600,2.874400,2.880200,4304,1711962179999,12385.739200,214,1655,1711964400000,2.88
1711962180000,2.880800,2.882400,2.876600,2.877700,5296,1711962239999,15250.279100,222,1579,1711964400000,2.88
1711962240000,2.877500,2.878200,2.868300,2.868300,1878,1711962299999,5397.304200,105,535,1711964400000,2.88
1711962300000,2.867900,2.869500,2.864300,2.869500,1906,1711962359999,5463.182000,141,1303,1711964400000,2.88
1711962360000,2.870000,2.878000,2.869200,2.877900,2779,1711962419999,7993.293200,104,1261,1711964400000,2.88
1711962420000,2.878700,2.883700,2.878700,2.881100,2521,1711962479999,7265.735900,130,887,1711964400000,2.88
1711962480000,2.881600,2.882200,2.880400,2.880700,2325,1711962539999,6699.359900,94,685,1711964400000,2.88
1711962540000,2.881100,2.881100,2.876800,2.880200,2177,1711962599999,6267.674700,161,1125,1711964400000,2.88
1711962600000,2.880100,2.881900,2.879300,2.881400,7311,1711962659999,21060.607200,226,2092,1711964400000,2.88
1711962660000,2.881600,2.884400,2.880000,2.881500,5422,1711962719999,15627.645100,224,3382,1711964400000,2.88
1711962720000,2.881500,2.882800,2.881400,2.881800,2392,1711962779999,6894.161000,119,605,1711964400000,2.88
1711962780000,2.881700,2.883900,2.881700,2.883900,587,1711962839999,1691.874200,38,519,1711964400000,2.88
1711962840000,2.882800,2.886100,2.881000,2.882500,1558,1711962899999,4492.134400,136,829,1711964400000,2.88
1711962900000,2.882800,2.883000,2.879300,2.879600,1078,1711962959999,3106.179400,78,776,1711964400000,2.88
1711962960000,2.879400,2.879400,2.874900,2.875100,1513,1711963019999,4352.333500,93,789,1711964400000,2.88
1711963020000,2.875600,2.882200,2.875400,2.881000,2354,1711963079999,6774.899200,109,2131,1711964400000,2.88
1711963080000,2.881200,2.882000,2.877400,2.878100,1369,1711963139999,3942.408600,96,631,1711964400000,2.88
1711963140000,2.877000,2.877000,2.871600,2.871600,1586,1711963199999,4557.030200,102,1002,1711964400000,2.88
1711963200000,2.871600,2.871600,2.861200,2.861500,7415,1711963259999,21251.759500,224,2403,1711964400000,2.88
1711963260000,2.861700,2.864100,2.861100,2.862200,7072,1711963319999,20243.956700,298,3192,1711964400000,2.88
1711963320000,2.862700,2.866400,2.859700,2.859700,5730,1711963379999,16401.515200,199,2060,1711964400000,2.88
1711963380000,2.859800,2.861200,2.857500,2.859500,5505,1711963439999,15741.489800,229,2341,1711964400000,2.88
1711963440000,2.859400,2.859400,2.858000,2.858500,1294,1711963499999,3699.168300,66,415,1711964400000,2.88
1711963500000,2.858100,2.861400,2.857200,2.861200,3477,1711963559999,9940.637600,119,1383,1711964400000,2.88
1711963560000,2.861000,2.861700,2.858600,2.860600,6465,1711963619999,18493.220100,120,1309,1711964400000,2.88
1711963620000,2.860200,2.861300,2.856100,2.857900,5331,1711963679999,15244.412300,162,3352,1711964400000,2.88
1711963680000,2.857800,2.860500,2.857600,2.860200,1864,1711963739999,5329.110600,113,1378,1711964400000,2.88
1711963740000,2.859800,2.859800,2.856200,2.857100,2217,1711963799999,6337.334400,77,239,1711964400000,2.88
1711963800000,2.857500,2.859200,2.850000,2.850000,9312,1711963859999,26566.664200,310,1601,1711964400000,2.88
1711963860000,2.850100,2.853200,2.849200,2.849200,6422,1711963919999,18311.436500,257,2759,1711964400000,2.88
1711963920000,2.849200,2.860400,2.848400,2.853100,29115,1711963979999,83116.588900,602,22783,1711964400000,2.88
1711963980000,2.853200,2.853500,2.844300,2.845200,22696,1711964039999,64643.256000,342,2815,1711964400000,2.88
1711964040000,2.846900,2.853700,2.845600,2.852000,6335,1711964099999,18044.285400,213,3092,1711964400000,2.88
1711964100000,2.852000,2.858700,2.848000,2.848800,14352,1711964159999,40946.172700,266,3715,1711964400000,2.88
1711964160000,2.849600,2.857000,2.849500,2.855800,9773,1711964219999,27874.114000,196,3284,1711964400000,2.88
1711964220000,2.855800,2.859800,2.855800,2.857900,2099,1711964279999,5998.870400,98,1164,1711964400000,2.88
1711964280000,2.857800,2.857800,2.851600,2.851600,5876,1711964339999,16769.836200,172,606,1711964400000,2.88
