Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712202960000,0.3178100,0.3180800,0.3174600,0.3180800,43570,1712203019999,13846.6933500,175,13594,1712208360000,0.32076
1712203020000,0.3180700,0.3181200,0.3177300,0.3180600,12255,1712203079999,3897.2720800,51,9821,1712208360000,0.32076
1712203080000,0.3180700,0.3180700,0.3170200,0.3170300,20168,1712203139999,6400.7539000,85,3138,1712208360000,0.32076
1712203140000,0.3170000,0.3170000,0.3165800,0.3166700,36004,1712203199999,11403.7918300,118,10036,1712208360000,0.32076
1712203200000,0.3166900,0.3168900,0.3164800,0.3167900,57231,1712203259999,18126.6858500,169,32838,1712208360000,0.32076
1712203260000,0.3166200,0.3166200,0.3162000,0.3165300,33441,1712203319999,10581.0810600,121,15306,1712208360000,0.32076
1712203320000,0.3164300,0.3179700,0.3164300,0.3177200,38298,1712203379999,12148.3562800,175,21637,1712208360000,0.32076
1712203380000,0.3176900,0.3179300,0.3173600,0.3178700,9627,1712203439999,3058.0337400,62,8488,1712208360000,0.32076
1712203440000,0.3177800,0.3178300,0.3169300,0.3171300,23500,1712203499999,7452.3149400,92,7300,1712208360000,0.32076
1712203500000,0.3170900,0.3174100,0.3167700,0.3167700,45693,1712203559999,14486.8615400,174,26000,1712208360000,0.32076
1712203560000,0.3168100,0.3172200,0.3168100,0.3171700,47708,1712203619999,15125.6443500,133,19617,1712208360000,0.32076
1712203620000,0.3171800,0.3173200,0.3168800,0.3168800,96758,1712203679999,30673.8070200,112,22391,1712208360000,0.32076
1712203680000,0.3167900,0.3167900,0.3161100,0.3162400,15189,1712203739999,4803.9560600,58,13383,1712208360000,0.32076
1712203740000,0.3162500,0.3166000,0.3155300,0.3157500,207949,1712203799999,65690.5485200,219,54903,1712208360000,0.32076
1712203800000,0.3157600,0.3157700,0.3153000,0.3156400,85153,1712203859999,26874.5216100,182,55160,1712208360000,0.32076
1712203860000,0.3156400,0.3164200,0.3154200,0.3158600,59881,1712203919999,18917.7865900,158,24802,1712208360000,0.32076
1712203920000,0.3158900,0.3162800,0.3151100,0.3152500,45227,1712203979999,14278.6915900,170,20934,1712208360000,0.32076
1712203980000,0.3152500,0.3153700,0.3146000,0.3146200,91063,1712204039999,28676.4696200,217,27815,1712208360000,0.32076
1712204040000,0.3146300,0.3148200,0.3143400,0.3148200,75261,1712204099999,23676.5356800,205,13757,1712208360000,0.32076
1712204100000,0.3147800,0.3155800,0.3144500,0.3152800,57608,1712204159999,18141.3457500,167,33853,1712208360000,0.32076
1712204160000,0.3153400,0.3154000,0.3146800,0.3149900,33852,1712204219999,10664.6062300,147,17707,1712208360000,0.32076
1712204220000,0.3148900,0.3148900,0.3136900,0.3136900,47972,1712204279999,15081.7184900,161,12404,1712208360000,0.32076
1712204280000,0.3137000,0.3137600,0.3129400,0.3131300,138616,1712204339999,43434.5453900,382,31036,1712208360000,0.32076
1712204340000,0.3131100,0.3140200,0.3129500,0.3136000,386438,1712204399999,121107.5435800,487,95695,1712208360000,0.32076
1712204400000,0.3136000,0.3137600,0.3130900,0.3132900,118748,1712204459999,37219.1354600,247,49928,1712208360000,0.32076
