Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711389600000,0.2676800,0.2681600,0.2676800,0.2680700,46277,1711389659999,12397.8531400,162,17725,1711395000000,0.27195
1711389660000,0.2680500,0.2680900,0.2672500,0.2675000,58007,1711389719999,15524.0483600,199,23696,1711395000000,0.27195
1711389720000,0.2674700,0.2679500,0.2671400,0.2679500,45006,1711389779999,12034.1671900,209,11480,1711395000000,0.27195
1711389780000,0.2680000,0.2680000,0.2675600,0.2675600,18566,1711389839999,4972.5940300,128,7028,1711395000000,0.27195
1711389840000,0.2675000,0.2679100,0.2674500,0.2674500,9061,1711389899999,2424.9457900,94,4424,1711395000000,0.27195
1711389900000,0.2674100,0.2682300,0.2671700,0.2676000,110373,1711389959999,29560.5790900,257,76186,1711395000000,0.27195
1711389960000,0.2675500,0.2680700,0.2674900,0.2678400,21558,1711390019999,5771.5745400,139,15147,1711395000000,0.27195
1711390020000,0.2678600,0.2680900,0.2678000,0.2679100,9823,1711390079999,2631.5622100,75,6511,1711395000000,0.27195
1711390080000,0.2678600,0.2679700,0.2677800,0.2678000,9768,1711390139999,2616.4775100,87,4469,1711395000000,0.27195
1711390140000,0.2678000,0.2680600,0.2677400,0.2680600,18922,1711390199999,5069.6285100,56,17113,1711395000000,0.27195
1711390200000,0.2679800,0.2682900,0.2679300,0.2680000,16215,1711390259999,4348.1931900,102,7404,1711395000000,0.27195
1711390260000,0.2680600,0.2682100,0.2679500,0.2679500,19450,1711390319999,5213.8909200,83,12944,1711395000000,0.27195
1711390320000,0.2679500,0.2681800,0.2678100,0.2681000,13046,1711390379999,3495.1345300,57,6619,1711395000000,0.27195
1711390380000,0.2680600,0.2683800,0.2677600,0.2681300,42596,1711390439999,11420.8533200,126,27012,1711395000000,0.27195
1711390440000,0.2681800,0.2681800,0.2678000,0.2681200,10327,1711390499999,2766.9257500,77,4039,1711395000000,0.27195
1711390500000,0.2680400,0.2682200,0.2675800,0.2681900,63351,1711390559999,16972.9971000,216,48262,1711395000000,0.27195
