Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711309980000,3.6817,3.6847,3.6817,3.6826,938.7,1711310039999,3457.46935,32,685.2,1711315380000,3.7617
1711310040000,3.6824,3.6825,3.6794,3.6794,766.8,1711310099999,2822.91316,38,90.7,1711315380000,3.7617
1711310100000,3.6795,3.6809,3.6765,3.6783,2083.7,1711310159999,7663.96690,134,361.7,1711315380000,3.7617
1711310160000,3.6779,3.6802,3.6779,3.6794,467.5,1711310219999,1719.99535,45,357.8,1711315380000,3.7617
1711310220000,3.6795,3.6806,3.6738,3.6739,1474.6,1711310279999,5424.01225,77,272.7,1711315380000,3.7617
1711310280000,3.6738,3.6769,3.6738,3.6769,737.5,1711310339999,2711.14366,74,299.7,1711315380000,3.7617
1711310340000,3.6762,3.6762,3.6728,3.6751,2066.8,1711310399999,7594.25502,124,609.6,1711315380000,3.7617
1711310400000,3.6757,3.6766,3.6694,3.6707,2883.4,1711310459999,10589.07786,199,720.3,1711315380000,3.7617
1711310460000,3.6706,3.6728,3.6645,3.6674,2529.1,1711310519999,9274.61660,231,560.9,1711315380000,3.7617
1711310520000,3.6678,3.6726,3.6660,3.6688,1721.8,1711310579999,6318.04588,189,601.0,1711315380000,3.7617
1711310580000,3.6688,3.6727,3.6670,3.6716,1011.7,1711310639999,3712.55393,108,770.2,1711315380000,3.7617
1711310640000,3.6713,3.6736,3.6705,3.6727,796.9,1711310699999,2926.32841,76,440.4,1711315380000,3.7617
1711310700000,3.6730,3.6738,3.6670,3.6702,2007.4,1711310759999,7369.83182,223,818.7,1711315380000,3.7617
1711310760000,3.6702,3.6715,3.6666,3.6675,1561.7,1711310819999,5729.92983,176,811.2,1711315380000,3.7617
1711310820000,3.6675,3.6719,3.6662,3.6699,1360.9,1711310879999,4992.69391,105,939.5,1711315380000,3.7617
1711310880000,3.6701,3.6767,3.6701,3.6734,3255.9,1711310939999,11959.51831,146,2680.4,1711315380000,3.7617
1711310940000,3.6736,3.6739,3.6727,3.6733,437.4,1711310999999,1606.67790,48,206.0,1711315380000,3.7617
1711311000000,3.6730,3.6855,3.6725,3.6845,4992.2,1711311059999,18363.12461,169,3738.1,1711315380000,3.7617
1711311060000,3.6846,3.6889,3.6822,3.6829,3716.2,1711311119999,13694.05520,262,1362.3,1711315380000,3.7617
1711311120000,3.6829,3.6897,3.6805,3.6841,8006.5,1711311179999,29502.02684,343,2679.6,1711315380000,3.7617
1711311180000,3.6844,3.6900,3.6841,3.6870,3274.3,1711311239999,12074.78051,246,2181.5,1711315380000,3.7617
1711311240000,3.6869,3.6897,3.6868,3.6880,1284.0,1711311299999,4735.70929,153,421.4,1711315380000,3.7617
1711311300000,3.6883,3.6926,3.6855,3.6926,2027.2,1711311359999,7477.47626,180,486.4,1711315380000,3.7617
1711311360000,3.6927,3.6970,3.6919,3.6942,3984.6,1711311419999,14722.45075,212,1950.0,1711315380000,3.7617
1711311420000,3.6940,3.6947,3.6916,3.6917,977.1,1711311479999,3608.30087,119,397.5,1711315380000,3.7617
1711311480000,3.6917,3.6926,3.6887,3.6923,1421.3,1711311539999,5245.67707,130,456.2,1711315380000,3.7617
1711311540000,3.6918,3.6934,3.6911,3.6924,1195.3,1711311599999,4413.47104,123,979.1,1711315380000,3.7617
