Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710675060000,11.388900,11.388900,11.343100,11.367000,23419.6,1710675119999,266136.2557300,1312,9047.5,1710680460000,11.5917
1710675120000,11.369100,11.371700,11.306400,11.323000,38205.9,1710675179999,433123.6995400,2168,9469.7,1710680460000,11.5917
1710675180000,11.324400,11.353400,11.322100,11.350600,22190.0,1710675239999,251643.2498400,1471,14293.9,1710680460000,11.5917
1710675240000,11.353200,11.364700,11.338400,11.347600,16721.4,1710675299999,189780.8596800,816,8263.5,1710680460000,11.5917
1710675300000,11.347200,11.358900,11.305000,11.313400,24448.7,1710675359999,276963.5231600,1178,10760.5,1710680460000,11.5917
1710675360000,11.317200,11.359800,11.315800,11.351500,10513.2,1710675419999,119237.9789200,819,6946.1,1710680460000,11.5917
1710675420000,11.352700,11.368900,11.332000,11.355900,12395.1,1710675479999,140680.5444900,781,4718.4,1710680460000,11.5917
1710675480000,11.360100,11.399400,11.357100,11.383800,16840.5,1710675539999,191780.0634500,913,12408.6,1710680460000,11.5917
1710675540000,11.383900,11.403500,11.360100,11.365500,13568.2,1710675599999,154432.3538700,921,7816.1,1710680460000,11.5917
1710675600000,11.366800,11.406600,11.357300,11.405200,11431.2,1710675659999,130108.0653000,912,4951.2,1710680460000,11.5917
1710675660000,11.405500,11.406000,11.346300,11.404900,35746.2,1710675719999,406657.3092900,1485,12400.8,1710680460000,11.5917
1710675720000,11.404200,11.405200,11.356900,11.367400,10595.5,1710675779999,120639.0264400,685,5434.1,1710680460000,11.5917
1710675780000,11.367700,11.420300,11.367700,11.419800,15426.1,1710675839999,175847.3324800,941,9405.4,1710680460000,11.5917
1710675840000,11.420300,11.423000,11.353600,11.356400,7809.2,1710675899999,88888.3644600,568,2908.8,1710680460000,11.5917
1710675900000,11.358700,11.433200,11.350300,11.412700,54049.4,1710675959999,616429.2512000,2254,37687.8,1710680460000,11.5917
1710675960000,11.408100,11.415100,11.381100,11.384300,10422.9,1710676019999,118780.6214700,878,4191.1,1710680460000,11.5917
1710676020000,11.381500,11.398300,11.352800,11.398300,7549.0,1710676079999,85862.3857200,756,3537.6,1710680460000,11.5917
1710676080000,11.397500,11.436400,11.390000,11.434000,7184.0,1710676139999,81993.0905300,653,3306.3,1710680460000,11.5917
1710676140000,11.433300,11.436400,11.416600,11.429700,9064.7,1710676199999,103588.3065000,585,3947.3,1710680460000,11.5917
1710676200000,11.430100,11.450000,11.429700,11.430700,12383.2,1710676259999,141726.4144600,693,6989.2,1710680460000,11.5917
1710676260000,11.431400,11.442600,11.406000,11.411500,9986.2,1710676319999,114060.4483100,769,5729.7,1710680460000,11.5917
1710676320000,11.411000,11.423200,11.395100,11.403400,13002.5,1710676379999,148318.4612900,880,5989.7,1710680460000,11.5917
1710676380000,11.405100,11.410400,11.387700,11.400000,16082.7,1710676439999,183236.7237700,813,5335.6,1710680460000,11.5917
1710676440000,11.399900,11.411200,11.383600,11.389500,9761.7,1710676499999,111276.7291600,572,4325.2,1710680460000,11.5917
1710676500000,11.392300,11.439000,11.386000,11.411100,38529.5,1710676559999,439962.2438500,1512,22569.9,1710680460000,11.5917
1710676560000,11.411300,11.420000,11.400600,11.403900,16867.2,1710676619999,192441.8409000,693,8454.0,1710680460000,11.5917
1710676620000,11.402500,11.407500,11.370300,11.406600,22567.8,1710676679999,257046.5084900,918,17116.5,1710680460000,11.5917
1710676680000,11.408000,11.427600,11.403900,11.422100,9610.8,1710676739999,109737.6704400,693,4770.4,1710680460000,11.5917
1710676740000,11.421700,11.432200,11.417300,11.430600,5621.0,1710676799999,64205.8763800,459,3059.6,1710680460000,11.5917
1710676800000,11.430500,11.515600,11.425500,11.487600,68127.3,1710676859999,782097.8562400,3234,41895.3,1710680460000,11.5917
1710676860000,11.490200,11.494800,11.462300,11.483100,19572.1,1710676919999,224669.9941400,1166,7537.9,1710680460000,11.5917
1710676920000,11.483100,11.526200,11.482800,11.493400,34030.9,1710676979999,391555.8846100,1718,12009.9,1710680460000,11.5917
1710676980000,11.493300,11.503400,11.464900,11.476600,15096.1,1710677039999,173325.6072400,1086,6337.7,1710680460000,11.5917
1710677040000,11.478600,11.487200,11.460400,11.483100,18718.3,1710677099999,214796.6077000,829,12023.1,1710680460000,11.5917
1710677100000,11.483100,11.560000,11.483100,11.544400,46253.2,1710677159999,533633.6957900,2392,30087.5,1710680460000,11.5917
1710677160000,11.543300,11.603200,11.542000,11.598700,70651.0,1710677219999,818023.5245300,3800,48819.8,1710680460000,11.5917
1710677220000,11.598400,11.658000,11.568200,11.649000,128023.7,1710677279999,1487498.7702700,4651,65860.0,1710680460000,11.5917
1710677280000,11.649100,11.688000,11.629800,11.678600,61113.4,1710677339999,712869.5702400,2543,32883.8,1710680460000,11.5917
1710677340000,11.678700,11.685500,11.637600,11.674000,31175.3,1710677399999,363474.9758800,1588,10943.3,1710680460000,11.5917
1710677400000,11.672500,11.760000,11.666900,11.747100,127359.5,1710677459999,1493251.6958500,5591,66868.3,1710680460000,11.5917
1710677460000,11.744800,11.779700,11.733700,11.774200,43876.4,1710677519999,515991.4609600,2551,23747.1,1710680460000,11.5917
1710677520000,11.775200,11.783300,11.710600,11.713700,39861.8,1710677579999,468172.4169500,2571,16563.3,1710680460000,11.5917
1710677580000,11.713500,11.725700,11.690000,11.697300,36271.1,1710677639999,424617.4204800,1777,18387.4,1710680460000,11.5917
1710677640000,11.697300,11.718000,11.667000,11.718000,22940.9,1710677699999,268208.4979700,1082,14471.0,1710680460000,11.5917
1710677700000,11.717900,11.773800,11.696600,11.722600,46328.1,1710677759999,543843.0088100,2315,24203.5,1710680460000,11.5917
1710677760000,11.722500,11.776000,11.716300,11.739800,62864.7,1710677819999,738702.5024600,2632,32512.3,1710680460000,11.5917
1710677820000,11.738200,11.738200,11.687400,11.690800,48746.2,1710677879999,570860.1682000,1791,18221.4,1710680460000,11.5917
1710677880000,11.690200,11.713100,11.684900,11.694100,27383.6,1710677939999,320299.0617500,1369,12121.3,1710680460000,11.5917
1710677940000,11.694100,11.703700,11.629800,11.641300,45688.8,1710677999999,532802.0258600,1596,11087.3,1710680460000,11.5917
1710678000000,11.641400,11.650000,11.616200,11.646100,39872.1,1710678059999,463885.2207600,2113,15901.9,1710680460000,11.5917
1710678060000,11.646100,11.646900,11.600000,11.620900,53244.5,1710678119999,618610.6761500,2044,13845.2,1710680460000,11.5917
1710678120000,11.618600,11.629600,11.606100,11.617000,19704.1,1710678179999,228947.9020600,902,7993.0,1710680460000,11.5917
1710678180000,11.617500,11.625900,11.576400,11.587400,20615.9,1710678239999,239180.6434200,1242,8794.5,1710680460000,11.5917
1710678240000,11.587500,11.604100,11.569500,11.603400,33437.7,1710678299999,387511.6786100,1935,18803.7,1710680460000,11.5917
1710678300000,11.603400,11.623600,11.591700,11.605300,15703.7,1710678359999,182275.0241500,940,7357.1,1710680460000,11.5917
1710678360000,11.605400,11.622100,11.588500,11.597500,26063.0,1710678419999,302339.7780300,1118,8909.7,1710680460000,11.5917
1710678420000,11.597500,11.601000,11.574000,11.591500,24938.2,1710678479999,288935.1266600,1050,7828.5,1710680460000,11.5917
1710678480000,11.590700,11.604700,11.587400,11.597800,14854.0,1710678539999,172235.8743900,851,8395.6,1710680460000,11.5917
1710678540000,11.598100,11.604100,11.571600,11.588700,36616.3,1710678599999,424182.5499600,1337,8622.9,1710680460000,11.5917
1710678600000,11.588700,11.619600,11.585400,11.598200,17778.4,1710678659999,206309.6984900,1042,10026.2,1710680460000,11.5917
1710678660000,11.598200,11.605600,11.578800,11.596100,31362.7,1710678719999,363603.9264300,1132,13098.3,1710680460000,11.5917
1710678720000,11.596000,11.597400,11.506500,11.526200,59016.7,1710678779999,681704.5575800,2729,19426.1,1710680460000,11.5917
1710678780000,11.526200,11.576600,11.506200,11.572000,37913.1,1710678839999,436975.4142300,1766,16822.3,1710680460000,11.5917
1710678840000,11.572000,11.588100,11.548400,11.583300,13853.0,1710678899999,160278.3406300,914,5518.6,1710680460000,11.5917
1710678900000,11.583100,11.603500,11.552100,11.558800,23529.2,1710678959999,272488.4677300,1188,8938.3,1710680460000,11.5917
1710678960000,11.559600,11.564900,11.523500,11.525300,20872.8,1710679019999,240831.0886500,1145,11697.0,1710680460000,11.5917
1710679020000,11.525300,11.538500,11.506200,11.535100,13541.0,1710679079999,156032.4507100,895,3959.3,1710680460000,11.5917
1710679080000,11.533200,11.552800,11.510500,11.552800,17568.7,1710679139999,202572.1824400,906,6519.4,1710680460000,11.5917
1710679140000,11.552800,11.569400,11.532100,11.533400,16415.6,1710679199999,189626.8109200,1063,5394.4,1710680460000,11.5917
1710679200000,11.533400,11.536500,11.510100,11.511200,15944.0,1710679259999,183705.1210200,862,6597.2,1710680460000,11.5917
1710679260000,11.510000,11.510000,11.436000,11.449200,60290.5,1710679319999,691074.4837300,2572,25264.2,1710680460000,11.5917
1710679320000,11.450400,11.542800,11.450400,11.535300,86227.4,1710679379999,992175.9818100,3106,54553.6,1710680460000,11.5917
