Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710416820000,0.16650,0.16650,0.16629,0.16629,39298,1710416879999,6538.87960,134,11179,1710422160000,0.16538
1710416880000,0.16633,0.16651,0.16616,0.16616,162236,1710416939999,26976.36007,163,37324,1710422160000,0.16538
1710416940000,0.16624,0.16630,0.16614,0.16630,52729,1710416999999,8765.41580,83,44632,1710422160000,0.16538
1710417000000,0.16635,0.16635,0.16618,0.16625,69158,1710417059999,11495.96865,131,36969,1710422160000,0.16538
1710417060000,0.16625,0.16625,0.16613,0.16620,50490,1710417119999,8389.22620,87,9042,1710422160000,0.16538
1710417120000,0.16620,0.16628,0.16611,0.16616,64357,1710417179999,10694.97825,101,38325,1710422160000,0.16538
1710417180000,0.16617,0.16630,0.16617,0.16629,22258,1710417239999,3699.85348,70,16665,1710422160000,0.16538
1710417240000,0.16627,0.16640,0.16627,0.16639,37560,1710417299999,6247.74473,106,29792,1710422160000,0.16538
1710417300000,0.16639,0.16639,0.16625,0.16627,46084,1710417359999,7665.06476,64,18410,1710422160000,0.16538
1710417360000,0.16629,0.16645,0.16627,0.16638,74921,1710417419999,12462.89202,111,41256,1710422160000,0.16538
1710417420000,0.16645,0.16651,0.16621,0.16631,191277,1710417479999,31822.19952,173,18954,1710422160000,0.16538
1710417480000,0.16628,0.16660,0.16622,0.16660,71506,1710417539999,11899.65804,110,19644,1710422160000,0.16538
1710417540000,0.16657,0.16681,0.16657,0.16672,43850,1710417599999,7311.21033,123,29861,1710422160000,0.16538
1710417600000,0.16669,0.16670,0.16635,0.16639,98355,1710417659999,16377.59062,130,24848,1710422160000,0.16538
1710417660000,0.16640,0.16655,0.16624,0.16625,103265,1710417719999,17183.59944,171,55507,1710422160000,0.16538
1710417720000,0.16625,0.16683,0.16625,0.16683,65851,1710417779999,10961.21201,146,55448,1710422160000,0.16538
1710417780000,0.16685,0.16699,0.16678,0.16698,48984,1710417839999,8175.04794,173,33940,1710422160000,0.16538
1710417840000,0.16696,0.16740,0.16696,0.16736,354255,1710417899999,59249.51456,437,328762,1710422160000,0.16538
1710417900000,0.16733,0.16738,0.16718,0.16731,68994,1710417959999,11541.08721,156,24633,1710422160000,0.16538
1710417960000,0.16731,0.16752,0.16730,0.16751,105657,1710418019999,17691.13233,157,67236,1710422160000,0.16538
1710418020000,0.16753,0.16761,0.16746,0.16750,95682,1710418079999,16031.15641,668,33385,1710422160000,0.16538
1710418080000,0.16750,0.16767,0.16750,0.16767,93951,1710418139999,15746.03812,149,19011,1710422160000,0.16538
1710418140000,0.16766,0.16767,0.16745,0.16762,117802,1710418199999,19739.68456,175,88834,1710422160000,0.16538
1710418200000,0.16765,0.16780,0.16763,0.16780,104534,1710418259999,17535.15333,120,55855,1710422160000,0.16538
1710418260000,0.16777,0.16784,0.16774,0.16784,24803,1710418319999,4161.66961,68,18129,1710422160000,0.16538
1710418320000,0.16784,0.16794,0.16783,0.16789,88320,1710418379999,14828.24015,116,72735,1710422160000,0.16538
1710418380000,0.16786,0.16789,0.16775,0.16775,154476,1710418439999,25924.51937,169,83178,1710422160000,0.16538
1710418440000,0.16775,0.16778,0.16761,0.16761,18922,1710418499999,3173.97332,79,3653,1710422160000,0.16538
1710418500000,0.16763,0.16774,0.16712,0.16716,88095,1710418559999,14741.88984,217,49000,1710422160000,0.16538
1710418560000,0.16713,0.16737,0.16712,0.16728,58771,1710418619999,9827.76007,140,41909,1710422160000,0.16538
1710418620000,0.16727,0.16730,0.16705,0.16705,30031,1710418679999,5020.10912,84,2648,1710422160000,0.16538
1710418680000,0.16705,0.16705,0.16650,0.16650,65335,1710418739999,10896.31588,170,10108,1710422160000,0.16538
1710418740000,0.16647,0.16664,0.16635,0.16638,58712,1710418799999,9774.85720,127,43075,1710422160000,0.16538
1710418800000,0.16636,0.16639,0.16609,0.16613,116546,1710418859999,19374.74947,236,83001,1710422160000,0.16538
1710418860000,0.16620,0.16650,0.16620,0.16650,91170,1710418919999,15169.19505,180,71414,1710422160000,0.16538
1710418920000,0.16649,0.16650,0.16616,0.16616,85409,1710418979999,14200.82886,189,29558,1710422160000,0.16538
1710418980000,0.16615,0.16629,0.16583,0.16627,349176,1710419039999,57976.52309,456,187539,1710422160000,0.16538
1710419040000,0.16628,0.16639,0.16571,0.16592,175637,1710419099999,29157.41384,320,51508,1710422160000,0.16538
1710419100000,0.16591,0.16607,0.16548,0.16607,195621,1710419159999,32420.13251,713,107049,1710422160000,0.16538
1710419160000,0.16611,0.16647,0.16590,0.16642,129096,1710419219999,21456.43241,208,62434,1710422160000,0.16538
1710419220000,0.16637,0.16641,0.16606,0.16621,316068,1710419279999,52544.51074,277,182127,1710422160000,0.16538
1710419280000,0.16620,0.16627,0.16602,0.16615,78051,1710419339999,12965.94988,120,24460,1710422160000,0.16538
1710419340000,0.16612,0.16628,0.16599,0.16621,83791,1710419399999,13917.13114,166,45436,1710422160000,0.16538
1710419400000,0.16622,0.16638,0.16597,0.16612,292858,1710419459999,48664.37938,323,97231,1710422160000,0.16538
1710419460000,0.16608,0.16627,0.16593,0.16608,46086,1710419519999,7654.48223,139,19061,1710422160000,0.16538
1710419520000,0.16608,0.16616,0.16540,0.16569,176901,1710419579999,29316.20755,342,124148,1710422160000,0.16538
1710419580000,0.16571,0.16614,0.16548,0.16607,120296,1710419639999,19935.16505,229,77674,1710422160000,0.16538
1710419640000,0.16612,0.16621,0.16572,0.16586,130942,1710419699999,21735.85313,237,59331,1710422160000,0.16538
1710419700000,0.16584,0.16598,0.16577,0.16594,55629,1710419759999,9228.38589,120,32355,1710422160000,0.16538
1710419760000,0.16589,0.16589,0.16539,0.16543,121104,1710419819999,20055.81891,206,16537,1710422160000,0.16538
1710419820000,0.16540,0.16553,0.16529,0.16530,55329,1710419879999,9151.82982,136,13276,1710422160000,0.16538
1710419880000,0.16530,0.16530,0.16507,0.16513,107537,1710419939999,17757.97166,187,32655,1710422160000,0.16538
1710419940000,0.16507,0.16526,0.16500,0.16523,101909,1710419999999,16829.58366,154,69986,1710422160000,0.16538
1710420000000,0.16522,0.16553,0.16522,0.16540,54314,1710420059999,8982.54954,191,37239,1710422160000,0.16538
1710420060000,0.16540,0.16541,0.16507,0.16507,61171,1710420119999,10106.38955,141,8738,1710422160000,0.16538
1710420120000,0.16509,0.16521,0.16502,0.16506,144194,1710420179999,23812.66449,134,101348,1710422160000,0.16538
1710420180000,0.16507,0.16539,0.16498,0.16530,285184,1710420239999,47073.46549,235,68586,1710422160000,0.16538
1710420240000,0.16526,0.16557,0.16519,0.16538,141742,1710420299999,23443.36710,249,69247,1710422160000,0.16538
1710420300000,0.16537,0.16572,0.16535,0.16567,49997,1710420359999,8278.95868,140,25647,1710422160000,0.16538
1710420360000,0.16567,0.16567,0.16536,0.16537,70494,1710420419999,11666.89950,113,36128,1710422160000,0.16538
1710420420000,0.16535,0.16546,0.16501,0.16504,40874,1710420479999,6752.68069,107,10825,1710422160000,0.16538
1710420480000,0.16505,0.16527,0.16505,0.16520,74203,1710420539999,12253.24763,133,43285,1710422160000,0.16538
1710420540000,0.16520,0.16524,0.16489,0.16497,126805,1710420599999,20917.68123,240,60196,1710422160000,0.16538
1710420600000,0.16494,0.16508,0.16491,0.16499,47222,1710420659999,7790.71784,145,19791,1710422160000,0.16538
1710420660000,0.16498,0.16517,0.16491,0.16494,57976,1710420719999,9566.01199,100,21949,1710422160000,0.16538
1710420720000,0.16496,0.16514,0.16494,0.16514,92925,1710420779999,15338.84467,89,81805,1710422160000,0.16538
1710420780000,0.16514,0.16514,0.16493,0.16504,44841,1710420839999,7399.72896,99,19696,1710422160000,0.16538
1710420840000,0.16502,0.16558,0.16502,0.16557,61954,1710420899999,10239.50730,129,54141,1710422160000,0.16538
1710420900000,0.16556,0.16559,0.16536,0.16545,59489,1710420959999,9843.68065,119,19224,1710422160000,0.16538
1710420960000,0.16544,0.16599,0.16537,0.16583,179411,1710421019999,29712.70512,234,114947,1710422160000,0.16538
1710421020000,0.16575,0.16590,0.16572,0.16583,58824,1710421079999,9753.53458,93,32442,1710422160000,0.16538
1710421080000,0.16584,0.16590,0.16571,0.16571,40000,1710421139999,6632.09153,80,9113,1710422160000,0.16538
1710421140000,0.16573,0.16573,0.16553,0.16573,47017,1710421199999,7787.90449,85,15634,1710422160000,0.16538
1710421200000,0.16574,0.16592,0.16569,0.16586,97337,1710421259999,16141.09470,203,59214,1710422160000,0.16538
1710421260000,0.16585,0.16587,0.16555,0.16570,86053,1710421319999,14255.15477,158,47818,1710422160000,0.16538
1710421320000,0.16567,0.16574,0.16553,0.16568,89137,1710421379999,14764.77173,181,62593,1710422160000,0.16538
1710421380000,0.16565,0.16614,0.16565,0.16599,74972,1710421439999,12441.31779,153,45114,1710422160000,0.16538
1710421440000,0.16592,0.16604,0.16580,0.16599,73628,1710421499999,12218.62399,133,30863,1710422160000,0.16538
1710421500000,0.16598,0.16600,0.16545,0.16545,71498,1710421559999,11842.57988,134,19787,1710422160000,0.16538
1710421560000,0.16543,0.16544,0.16498,0.16508,223238,1710421619999,36864.98491,316,37009,1710422160000,0.16538
1710421620000,0.16508,0.16512,0.16487,0.16496,37864,1710421679999,6246.67485,132,19870,1710422160000,0.16538
1710421680000,0.16494,0.16494,0.16451,0.16460,227195,1710421739999,37424.54094,383,55802,1710422160000,0.16538
1710421740000,0.16460,0.16483,0.16447,0.16459,266473,1710421799999,43876.44510,288,190456,1710422160000,0.16538
1710421800000,0.16456,0.16468,0.16433,0.16438,368338,1710421859999,60575.70426,363,179297,1710422160000,0.16538
1710421860000,0.16439,0.16442,0.16398,0.16407,725649,1710421919999,119092.38640,673,102591,1710422160000,0.16538
1710421920000,0.16408,0.16410,0.16375,0.16393,617010,1710421979999,101140.90728,647,232441,1710422160000,0.16538
1710421980000,0.16391,0.16391,0.16356,0.16369,248629,1710422039999,40697.52960,631,107622,1710422160000,0.16538
1710422040000,0.16369,0.16392,0.16358,0.16378,194544,1710422099999,31856.21195,247,97884,1710422160000,0.16538
1710422100000,0.16379,0.16453,0.16375,0.16437,616091,1710422159999,101221.63586,546,546898,1710422160000,0.16538
1710422160000,0.16437,0.16553,0.16437,0.16515,1727372,1710422219999,285399.11421,1057,1284106,1710422160000,0.16538
1710422220000,0.16514,0.16515,0.16428,0.16450,945865,1710422279999,155728.94347,541,123001,1710422160000,0.16538
1710422280000,0.16449,0.16449,0.16427,0.16430,71123,1710422339999,11691.62599,144,20923,1710422160000,0.16538
1710422340000,0.16428,0.16434,0.16410,0.16410,63387,1710422399999,10411.70519,132,14904,1710422160000,0.16538
1710422400000,0.16409,0.16414,0.16391,0.16392,52429,1710422459999,8599.82022,115,20031,1710422160000,0.16538
1710422460000,0.16393,0.16398,0.16354,0.16365,562245,1710422519999,92056.09736,495,152217,1710422160000,0.16538
1710422520000,0.16362,0.16377,0.16326,0.16362,538741,1710422579999,88070.61104,471,253663,1710422160000,0.16538
1710422580000,0.16364,0.16381,0.16353,0.16364,211041,1710422639999,34531.05839,289,98143,1710422160000,0.16538
1710422640000,0.16353,0.16364,0.16326,0.16338,242081,1710422699999,39564.17806,354,85127,1710422160000,0.16538
1710422700000,0.16338,0.16400,0.16333,0.16344,561661,1710422759999,91952.59937,469,470937,1710422160000,0.16538
1710422760000,0.16345,0.16395,0.16345,0.16381,179826,1710422819999,29447.06413,291,78156,1710422160000,0.16538
1710422820000,0.16380,0.16410,0.16351,0.16351,250693,1710422879999,41076.50959,394,147251,1710422160000,0.16538
1710422880000,0.16351,0.16374,0.16321,0.16363,550177,1710422939999,89949.97856,511,341471,1710422160000,0.16538
1710422940000,0.16362,0.16414,0.16350,0.16350,328737,1710422999999,53860.16709,478,158785,1710422160000,0.16538
1710423000000,0.16352,0.16382,0.16352,0.16364,135838,1710423059999,22232.16311,274,85431,1710422160000,0.16538
1710423060000,0.16366,0.16404,0.16358,0.16404,117630,1710423119999,19276.58628,249,67608,1710422160000,0.16538
1710423120000,0.16405,0.16407,0.16363,0.16363,143871,1710423179999,23584.58386,273,47854,1710422160000,0.16538
1710423180000,0.16362,0.16367,0.16326,0.16339,266571,1710423239999,43566.01180,473,126583,1710422160000,0.16538
1710423240000,0.16344,0.16358,0.16310,0.16323,330923,1710423299999,54051.20637,479,157517,1710422160000,0.16538
1710423300000,0.16323,0.16333,0.16235,0.16247,1050011,1710423359999,170926.81916,916,210767,1710422160000,0.16538
1710423360000,0.16248,0.16312,0.16216,0.16288,794511,1710423419999,129087.17641,1115,439531,1710422160000,0.16538
1710423420000,0.16299,0.16357,0.16290,0.16292,357398,1710423479999,58344.49019,569,124734,1710422160000,0.16538
1710423480000,0.16293,0.16303,0.16230,0.16237,250716,1710423539999,40749.30366,382,78390,1710422160000,0.16538
1710423540000,0.16231,0.16231,0.16153,0.16195,1229590,1710423599999,199108.47985,1354,371388,1710422160000,0.16538
