Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712092620000,0.009456,0.009462,0.009449,0.009451,1881582,1712092679999,17788.334326,123,549203,1712098020000,0.009603
1712092680000,0.009450,0.009452,0.009438,0.009439,3608149,1712092739999,34079.924384,271,2015500,1712098020000,0.009603
1712092740000,0.009439,0.009464,0.009439,0.009452,2364651,1712092799999,22356.406093,164,1332232,1712098020000,0.009603
1712092800000,0.009451,0.009451,0.009424,0.009430,2934065,1712092859999,27672.772135,193,1396790,1712098020000,0.009603
1712092860000,0.009431,0.009431,0.009419,0.009424,2035349,1712092919999,19185.014653,184,995568,1712098020000,0.009603
1712092920000,0.009425,0.009429,0.009413,0.009417,2995553,1712092979999,28225.153349,203,942302,1712098020000,0.009603
1712092980000,0.009416,0.009420,0.009407,0.009407,3665233,1712093039999,34502.077720,254,2566167,1712098020000,0.009603
1712093040000,0.009409,0.009422,0.009403,0.009421,1675779,1712093099999,15770.582326,164,1037918,1712098020000,0.009603
1712093100000,0.009421,0.009421,0.009389,0.009404,7167509,1712093159999,67360.469732,327,1404074,1712098020000,0.009603
1712093160000,0.009403,0.009403,0.009376,0.009383,8241884,1712093219999,77371.458058,462,4299466,1712098020000,0.009603
1712093220000,0.009383,0.009395,0.009372,0.009378,4303825,1712093279999,40382.816695,348,1611300,1712098020000,0.009603
1712093280000,0.009380,0.009397,0.009380,0.009397,1722907,1712093339999,16177.434972,151,1186404,1712098020000,0.009603
1712093340000,0.009395,0.009396,0.009386,0.009389,2606701,1712093399999,24480.788506,190,855935,1712098020000,0.009603
1712093400000,0.009390,0.009409,0.009387,0.009387,3578405,1712093459999,33640.646949,232,1602610,1712098020000,0.009603
1712093460000,0.009385,0.009385,0.009360,0.009362,5640659,1712093519999,52846.040439,327,1244061,1712098020000,0.009603
1712093520000,0.009364,0.009376,0.009364,0.009365,4506254,1712093579999,42220.752250,295,3064830,1712098020000,0.009603
1712093580000,0.009365,0.009373,0.009362,0.009371,3046494,1712093639999,28537.941307,262,1861323,1712098020000,0.009603
1712093640000,0.009369,0.009400,0.009369,0.009397,3690232,1712093699999,34643.785472,261,2593648,1712098020000,0.009603
1712093700000,0.009398,0.009401,0.009387,0.009393,3111013,1712093759999,29222.409119,286,2080047,1712098020000,0.009603
1712093760000,0.009390,0.009404,0.009390,0.009399,1517640,1712093819999,14261.048071,134,1216911,1712098020000,0.009603
1712093820000,0.009398,0.009403,0.009379,0.009382,1853455,1712093879999,17405.052365,189,984812,1712098020000,0.009603
1712093880000,0.009384,0.009423,0.009384,0.009423,1631592,1712093939999,15341.362368,206,1350334,1712098020000,0.009603
1712093940000,0.009419,0.009428,0.009411,0.009426,2110101,1712093999999,19879.535576,188,1439299,1712098020000,0.009603
1712094000000,0.009424,0.009435,0.009421,0.009424,2061134,1712094059999,19431.215579,243,960253,1712098020000,0.009603
1712094060000,0.009424,0.009428,0.009418,0.009420,1449550,1712094119999,13659.859788,179,731111,1712098020000,0.009603
1712094120000,0.009420,0.009427,0.009419,0.009427,782481,1712094179999,7372.953941,97,626755,1712098020000,0.009603
1712094180000,0.009427,0.009427,0.009426,0.009427,186315,1712094239999,1756.339669,29,134479,1712098020000,0.009603
1712094240000,0.009427,0.009434,0.009426,0.009434,974031,1712094299999,9183.231444,74,957553,1712098020000,0.009603
1712094300000,0.009434,0.009434,0.009433,0.009433,704825,1712094359999,6648.796732,75,182507,1712098020000,0.009603
1712094360000,0.009434,0.009439,0.009433,0.009439,2011349,1712094419999,18976.571549,106,1547321,1712098020000,0.009603
1712094420000,0.009439,0.009443,0.009436,0.009442,1181452,1712094479999,11153.185829,124,525199,1712098020000,0.009603
