Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710275640000,9.7410,9.8540,9.7370,9.8350,93659,1710275699999,918759.1190,2145,62243,1710280980000,10.139
1710275700000,9.8320,9.8350,9.7880,9.8090,45088,1710275759999,442156.9120,1283,21963,1710280980000,10.139
1710275760000,9.8090,9.8310,9.7980,9.8190,26204,1710275819999,257108.6450,758,15081,1710280980000,10.139
1710275820000,9.8200,9.8700,9.8080,9.8690,43346,1710275879999,426083.4400,931,24998,1710280980000,10.139
1710275880000,9.8690,9.8710,9.8390,9.8440,35293,1710275939999,347749.3440,1163,18819,1710280980000,10.139
1710275940000,9.8430,9.8590,9.8340,9.8550,11637,1710275999999,114524.5540,517,7397,1710280980000,10.139
1710276000000,9.8560,9.8730,9.8500,9.8660,13143,1710276059999,129594.1820,566,7622,1710280980000,10.139
1710276060000,9.8650,9.8900,9.8530,9.8870,18418,1710276119999,181847.4410,713,10822,1710280980000,10.139
1710276120000,9.8870,9.9200,9.8780,9.9000,37942,1710276179999,375730.2180,1187,17000,1710280980000,10.139
1710276180000,9.9000,9.9310,9.8950,9.9290,29390,1710276239999,291455.8280,946,22614,1710280980000,10.139
1710276240000,9.9300,9.9370,9.9180,9.9350,21828,1710276299999,216695.3090,1192,15979,1710280980000,10.139
1710276300000,9.9350,9.9370,9.9080,9.9160,25474,1710276359999,252760.1940,1203,11463,1710280980000,10.139
1710276360000,9.9170,9.9240,9.9070,9.9100,18859,1710276419999,187001.4010,983,9338,1710280980000,10.139
1710276420000,9.9100,9.9270,9.9030,9.9240,21336,1710276479999,211596.2890,760,11276,1710280980000,10.139
1710276480000,9.9230,9.9240,9.9010,9.9030,21374,1710276539999,211842.2240,655,8016,1710280980000,10.139
1710276540000,9.9020,9.9090,9.8950,9.9010,13222,1710276599999,130921.6920,568,7246,1710280980000,10.139
1710276600000,9.9010,9.9320,9.8940,9.9270,28602,1710276659999,283573.4990,599,19857,1710280980000,10.139
