Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711897860000,0.04987,0.04988,0.04978,0.04979,3160504,1711897919999,157459.62939,639,1714211,1711903260000,0.05126
1711897920000,0.04980,0.04985,0.04977,0.04982,1925816,1711897979999,95916.66819,456,985346,1711903260000,0.05126
1711897980000,0.04983,0.04998,0.04982,0.04998,5174514,1711898039999,258289.68902,901,4127790,1711903260000,0.05126
1711898040000,0.04997,0.04999,0.04986,0.04990,3794619,1711898099999,189433.20078,669,2003594,1711903260000,0.05126
1711898100000,0.04990,0.05007,0.04983,0.04984,4210092,1711898159999,210298.83332,891,2517776,1711903260000,0.05126
1711898160000,0.04985,0.04991,0.04973,0.04989,5795144,1711898219999,288550.82390,1060,2447574,1711903260000,0.05126
1711898220000,0.04990,0.04991,0.04983,0.04988,2224753,1711898279999,110944.67157,546,1337070,1711903260000,0.05126
1711898280000,0.04988,0.04990,0.04975,0.04990,2564473,1711898339999,127779.76691,680,1371851,1711903260000,0.05126
1711898340000,0.04990,0.04994,0.04987,0.04991,1514707,1711898399999,75599.51383,494,866588,1711903260000,0.05126
1711898400000,0.04992,0.04995,0.04982,0.04988,2828676,1711898459999,141151.99116,641,1430489,1711903260000,0.05126
1711898460000,0.04987,0.04996,0.04984,0.04993,2713030,1711898519999,135422.23434,594,1462175,1711903260000,0.05126
1711898520000,0.04994,0.05016,0.04988,0.05016,5504336,1711898579999,275265.35322,943,4044812,1711903260000,0.05126
1711898580000,0.05016,0.05036,0.05013,0.05028,9085900,1711898639999,456689.79675,1422,6402074,1711903260000,0.05126
1711898640000,0.05027,0.05046,0.05027,0.05043,8656091,1711898699999,436123.62306,1277,6416772,1711903260000,0.05126
1711898700000,0.05044,0.05062,0.05031,0.05035,11293874,1711898759999,569886.96257,1900,6570469,1711903260000,0.05126
1711898760000,0.05034,0.05047,0.05030,0.05045,5908340,1711898819999,297596.81283,1033,3105129,1711903260000,0.05126
1711898820000,0.05045,0.05050,0.05038,0.05042,6611194,1711898879999,333529.09753,1165,3977881,1711903260000,0.05126
1711898880000,0.05041,0.05041,0.05033,0.05036,2281334,1711898939999,114907.43708,601,1087988,1711903260000,0.05126
1711898940000,0.05036,0.05045,0.05031,0.05037,3619878,1711898999999,182290.24705,814,1532963,1711903260000,0.05126
1711899000000,0.05037,0.05044,0.05020,0.05023,5347569,1711899059999,268854.58322,1111,2209164,1711903260000,0.05126
1711899060000,0.05022,0.05023,0.05012,0.05015,4552695,1711899119999,228371.26668,892,1531046,1711903260000,0.05126
1711899120000,0.05015,0.05029,0.05015,0.05026,2458271,1711899179999,123444.19999,471,1619761,1711903260000,0.05126
1711899180000,0.05027,0.05036,0.05026,0.05033,2566053,1711899239999,129122.97478,530,1125825,1711903260000,0.05126
1711899240000,0.05033,0.05046,0.05030,0.05046,3700525,1711899299999,186504.84213,726,2578466,1711903260000,0.05126
1711899300000,0.05046,0.05075,0.05045,0.05068,7069438,1711899359999,357896.59136,1343,5173168,1711903260000,0.05126
1711899360000,0.05068,0.05081,0.05062,0.05076,9216723,1711899419999,467511.95591,1309,5742379,1711903260000,0.05126
1711899420000,0.05075,0.05084,0.05063,0.05065,7967878,1711899479999,404214.69449,1453,3746718,1711903260000,0.05126
1711899480000,0.05064,0.05073,0.05061,0.05063,2399962,1711899539999,121589.29235,519,1578329,1711903260000,0.05126
1711899540000,0.05062,0.05068,0.05061,0.05067,1623575,1711899599999,82207.51228,405,838915,1711903260000,0.05126
1711899600000,0.05068,0.05068,0.05061,0.05064,2087089,1711899659999,105688.51617,489,1157083,1711903260000,0.05126
