Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710842460000,0.56820,0.56880,0.56720,0.56760,208608,1710842519999,118479.67740,545,106393,1710847860000,0.5617
1710842520000,0.56750,0.56780,0.56630,0.56680,193316,1710842579999,109592.83980,397,90534,1710847860000,0.5617
1710842580000,0.56690,0.56740,0.56590,0.56730,189681,1710842639999,107446.58020,490,74042,1710847860000,0.5617
1710842640000,0.56720,0.56760,0.56630,0.56720,121290,1710842699999,68763.42910,331,64927,1710847860000,0.5617
1710842700000,0.56720,0.56800,0.56550,0.56550,191158,1710842759999,108278.35220,400,43798,1710847860000,0.5617
1710842760000,0.56560,0.56590,0.56510,0.56550,182562,1710842819999,103218.59520,405,107801,1710847860000,0.5617
1710842820000,0.56560,0.56630,0.56510,0.56530,133140,1710842879999,75306.11250,308,51867,1710847860000,0.5617
1710842880000,0.56540,0.56690,0.56540,0.56640,114817,1710842939999,64986.71940,301,61395,1710847860000,0.5617
1710842940000,0.56620,0.56690,0.56610,0.56660,60884,1710842999999,34484.78140,171,44769,1710847860000,0.5617
1710843000000,0.56660,0.56670,0.56480,0.56550,119228,1710843059999,67426.97970,286,61830,1710847860000,0.5617
1710843060000,0.56560,0.56580,0.56420,0.56430,110230,1710843119999,62242.20800,293,61709,1710847860000,0.5617
1710843120000,0.56430,0.56460,0.56280,0.56340,103208,1710843179999,58169.33830,328,50873,1710847860000,0.5617
1710843180000,0.56340,0.56530,0.56320,0.56420,195843,1710843239999,110514.06370,353,123555,1710847860000,0.5617
1710843240000,0.56430,0.56520,0.56430,0.56450,145341,1710843299999,82068.27850,274,55578,1710847860000,0.5617
1710843300000,0.56440,0.56510,0.56360,0.56400,189589,1710843359999,106968.30110,357,77535,1710847860000,0.5617
1710843360000,0.56390,0.56420,0.56000,0.56000,524015,1710843419999,294240.80570,1009,205070,1710847860000,0.5617
1710843420000,0.55990,0.56050,0.55750,0.55790,567488,1710843479999,317154.56890,1165,294909,1710847860000,0.5617
1710843480000,0.55780,0.55880,0.55640,0.55880,374250,1710843539999,208583.76320,1368,227660,1710847860000,0.5617
1710843540000,0.55890,0.56130,0.55800,0.55830,338968,1710843599999,189787.99050,626,173909,1710847860000,0.5617
1710843600000,0.55840,0.56050,0.55760,0.55940,238109,1710843659999,132990.78510,595,130571,1710847860000,0.5617
1710843660000,0.55930,0.55970,0.55700,0.55820,278963,1710843719999,155676.03840,599,138148,1710847860000,0.5617
1710843720000,0.55810,0.56010,0.55740,0.55840,176232,1710843779999,98433.21440,481,89064,1710847860000,0.5617
1710843780000,0.55840,0.55960,0.55800,0.55910,134564,1710843839999,75206.35340,383,75594,1710847860000,0.5617
1710843840000,0.55910,0.56060,0.55910,0.55990,201880,1710843899999,113055.85610,416,121295,1710847860000,0.5617
1710843900000,0.55990,0.56060,0.55900,0.55970,269292,1710843959999,150801.21900,477,160433,1710847860000,0.5617
1710843960000,0.55980,0.55980,0.55700,0.55880,288003,1710844019999,160773.99970,599,100207,1710847860000,0.5617
1710844020000,0.55870,0.55870,0.55740,0.55820,275006,1710844079999,153462.25590,504,141784,1710847860000,0.5617
1710844080000,0.55820,0.55870,0.55680,0.55750,155832,1710844139999,86896.76150,335,67973,1710847860000,0.5617
1710844140000,0.55740,0.55810,0.55660,0.55680,131282,1710844199999,73176.66030,357,55924,1710847860000,0.5617
1710844200000,0.55680,0.55760,0.55610,0.55620,203674,1710844259999,113410.06580,498,151883,1710847860000,0.5617
1710844260000,0.55620,0.55830,0.55560,0.55820,414183,1710844319999,230542.93290,714,232853,1710847860000,0.5617
1710844320000,0.55840,0.55930,0.55790,0.55900,217699,1710844379999,121572.56380,402,134170,1710847860000,0.5617
1710844380000,0.55890,0.55920,0.55700,0.55830,199975,1710844439999,111564.77870,387,107741,1710847860000,0.5617
1710844440000,0.55830,0.56060,0.55800,0.55910,146983,1710844499999,82232.60260,337,81010,1710847860000,0.5617
1710844500000,0.55920,0.56170,0.55840,0.56170,167755,1710844559999,93956.48270,414,91363,1710847860000,0.5617
1710844560000,0.56160,0.56190,0.55980,0.56040,179572,1710844619999,100723.34420,476,121300,1710847860000,0.5617
1710844620000,0.56030,0.56150,0.56020,0.56110,162659,1710844679999,91248.84690,328,92667,1710847860000,0.5617
1710844680000,0.56110,0.56210,0.55980,0.56000,161629,1710844739999,90681.95470,355,57263,1710847860000,0.5617
1710844740000,0.56000,0.56010,0.55780,0.55840,177206,1710844799999,99026.81210,335,74557,1710847860000,0.5617
1710844800000,0.55830,0.55920,0.55810,0.55830,111624,1710844859999,62348.91280,316,77288,1710847860000,0.5617
1710844860000,0.55840,0.56110,0.55780,0.56060,267987,1710844919999,149934.85120,479,139780,1710847860000,0.5617
1710844920000,0.56060,0.56110,0.55960,0.56070,144590,1710844979999,81004.14060,321,100349,1710847860000,0.5617
1710844980000,0.56070,0.56150,0.56040,0.56060,91087,1710845039999,51105.36870,197,60192,1710847860000,0.5617
1710845040000,0.56060,0.56080,0.55970,0.56080,153249,1710845099999,85881.78930,296,77873,1710847860000,0.5617
1710845100000,0.56100,0.56120,0.55880,0.55900,175508,1710845159999,98329.59810,392,86102,1710847860000,0.5617
1710845160000,0.55900,0.55990,0.55800,0.55910,115908,1710845219999,64770.53540,298,54396,1710847860000,0.5617
1710845220000,0.55900,0.55960,0.55600,0.55620,393624,1710845279999,219385.74680,695,93524,1710847860000,0.5617
1710845280000,0.55630,0.56190,0.55560,0.56180,509519,1710845339999,284156.62920,1006,285071,1710847860000,0.5617
1710845340000,0.56190,0.56570,0.56170,0.56480,771420,1710845399999,435109.37340,2706,427581,1710847860000,0.5617
1710845400000,0.56490,0.56590,0.56260,0.56500,565033,1710845459999,319077.67960,1046,298564,1710847860000,0.5617
1710845460000,0.56500,0.56670,0.56410,0.56470,420880,1710845519999,237982.63570,892,214623,1710847860000,0.5617
1710845520000,0.56470,0.56650,0.56460,0.56570,356835,1710845579999,201887.58360,646,189190,1710847860000,0.5617
1710845580000,0.56570,0.56690,0.56530,0.56610,240054,1710845639999,135890.33830,472,120658,1710847860000,0.5617
