Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711548300000,0.8528000,0.8555000,0.8514000,0.8520000,890732,1711548359999,759730.2672000,2468,443469,1711553700000,0.8634
1711548360000,0.8520000,0.8578000,0.8520000,0.8574000,434518,1711548419999,371992.9549000,1600,197806,1711553700000,0.8634
1711548420000,0.8573000,0.8579000,0.8536000,0.8553000,378271,1711548479999,323513.2036000,1254,184641,1711553700000,0.8634
1711548480000,0.8553000,0.8567000,0.8489000,0.8489000,1016406,1711548539999,865520.7660000,2459,229549,1711553700000,0.8634
1711548540000,0.8490000,0.8514000,0.8463000,0.8505000,1287444,1711548599999,1093014.7566000,3766,783175,1711553700000,0.8634
1711548600000,0.8505000,0.8515000,0.8452000,0.8463000,776735,1711548659999,658490.0117000,3259,339581,1711553700000,0.8634
1711548660000,0.8463000,0.8502000,0.8420000,0.8432000,1182140,1711548719999,999027.9212000,4017,586208,1711553700000,0.8634
1711548720000,0.8432000,0.8435000,0.8375000,0.8379000,1604169,1711548779999,1347151.0427000,5956,710016,1711553700000,0.8634
1711548780000,0.8378000,0.8500000,0.8371000,0.8491000,956400,1711548839999,807907.3522000,3693,670912,1711553700000,0.8634
1711548840000,0.8489000,0.8508000,0.8471000,0.8508000,551217,1711548899999,468034.6588000,2660,261038,1711553700000,0.8634
1711548900000,0.8508000,0.8534000,0.8457000,0.8477000,840487,1711548959999,714116.1488000,4102,313041,1711553700000,0.8634
1711548960000,0.8477000,0.8533000,0.8477000,0.8517000,608281,1711549019999,517954.8414000,1981,334985,1711553700000,0.8634
1711549020000,0.8517000,0.8541000,0.8501000,0.8516000,423141,1711549079999,360620.7180000,1598,258437,1711553700000,0.8634
1711549080000,0.8517000,0.8541000,0.8505000,0.8535000,255066,1711549139999,217489.6997000,923,122766,1711553700000,0.8634
1711549140000,0.8535000,0.8551000,0.8524000,0.8527000,374709,1711549199999,319998.9872000,2363,138084,1711553700000,0.8634
1711549200000,0.8527000,0.8549000,0.8512000,0.8548000,484794,1711549259999,413479.9827000,1318,288494,1711553700000,0.8634
1711549260000,0.8548000,0.8561000,0.8536000,0.8553000,405904,1711549319999,346934.8720000,2343,179319,1711553700000,0.8634
1711549320000,0.8555000,0.8575000,0.8547000,0.8566000,441179,1711549379999,377770.3439000,1405,201473,1711553700000,0.8634
1711549380000,0.8566000,0.8599000,0.8547000,0.8568000,575471,1711549439999,493761.9098000,1833,341987,1711553700000,0.8634
1711549440000,0.8569000,0.8572000,0.8546000,0.8547000,424189,1711549499999,363103.1038000,1464,193902,1711553700000,0.8634
1711549500000,0.8545000,0.8560000,0.8530000,0.8547000,330678,1711549559999,282556.2493000,1220,160449,1711553700000,0.8634
1711549560000,0.8547000,0.8564000,0.8541000,0.8552000,169715,1711549619999,145114.2926000,766,87792,1711553700000,0.8634
1711549620000,0.8551000,0.8561000,0.8527000,0.8540000,205276,1711549679999,175373.5955000,716,64674,1711553700000,0.8634
1711549680000,0.8540000,0.8549000,0.8519000,0.8520000,200271,1711549739999,170845.4556000,651,79303,1711553700000,0.8634
