Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710489840000,0.7821,0.7830,0.7819,0.7819,10070,1710489899999,7878.9258,88,6029,1710495240000,0.7529
1710489900000,0.7820,0.7820,0.7809,0.7813,1438,1710489959999,1123.5253,38,471,1710495240000,0.7529
1710489960000,0.7816,0.7830,0.7810,0.7823,19961,1710490019999,15608.6417,163,11336,1710495240000,0.7529
1710490020000,0.7824,0.7824,0.7812,0.7815,4989,1710490079999,3900.2543,69,560,1710495240000,0.7529
1710490080000,0.7815,0.7815,0.7804,0.7808,16646,1710490139999,12996.6682,101,4570,1710495240000,0.7529
1710490140000,0.7809,0.7809,0.7794,0.7795,38831,1710490199999,30296.7778,105,3492,1710495240000,0.7529
1710490200000,0.7797,0.7807,0.7787,0.7799,15883,1710490259999,12384.9470,164,12162,1710495240000,0.7529
1710490260000,0.7797,0.7814,0.7786,0.7809,14059,1710490319999,10962.4177,166,5659,1710495240000,0.7529
1710490320000,0.7805,0.7812,0.7801,0.7803,7329,1710490379999,5721.0405,76,3723,1710495240000,0.7529
1710490380000,0.7801,0.7801,0.7780,0.7787,10261,1710490439999,7993.1645,111,5754,1710495240000,0.7529
1710490440000,0.7787,0.7788,0.7777,0.7785,4100,1710490499999,3190.6222,46,376,1710495240000,0.7529
1710490500000,0.7786,0.7788,0.7772,0.7773,9264,1710490559999,7205.7118,106,2445,1710495240000,0.7529
1710490560000,0.7773,0.7775,0.7754,0.7763,40248,1710490619999,31242.6404,263,25382,1710495240000,0.7529
1710490620000,0.7762,0.7775,0.7760,0.7761,17098,1710490679999,13279.5529,168,6836,1710495240000,0.7529
1710490680000,0.7762,0.7763,0.7754,0.7763,6901,1710490739999,5354.5211,100,3981,1710495240000,0.7529
1710490740000,0.7764,0.7772,0.7762,0.7762,4077,1710490799999,3166.5361,39,1928,1710495240000,0.7529
1710490800000,0.7762,0.7762,0.7745,0.7746,9034,1710490859999,7004.0030,143,4219,1710495240000,0.7529
