Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710944520000,0.10206,0.10259,0.10201,0.10251,1284654,1710944579999,131350.18741,935,784320,1710949920000,0.10463
1710944580000,0.10251,0.10291,0.10223,0.10286,2212360,1710944639999,226781.68761,1448,1120570,1710949920000,0.10463
1710944640000,0.10287,0.10374,0.10278,0.10374,2763259,1710944699999,285084.14846,2011,1695372,1710949920000,0.10463
1710944700000,0.10369,0.10431,0.10319,0.10422,3294261,1710944759999,341657.36477,2727,1651236,1710949920000,0.10463
1710944760000,0.10421,0.10551,0.10388,0.10446,6697459,1710944819999,700486.76202,4837,3269710,1710949920000,0.10463
1710944820000,0.10442,0.10492,0.10380,0.10403,3360391,1710944879999,350480.11470,3438,1367112,1710949920000,0.10463
1710944880000,0.10401,0.10521,0.10395,0.10458,3259031,1710944939999,340841.41835,3455,2053973,1710949920000,0.10463
1710944940000,0.10455,0.10478,0.10372,0.10383,2440302,1710944999999,254542.28449,2549,990214,1710949920000,0.10463
1710945000000,0.10379,0.10408,0.10265,0.10270,3946622,1710945059999,407731.14398,2938,1565151,1710949920000,0.10463
1710945060000,0.10267,0.10320,0.10232,0.10273,2700294,1710945119999,277267.59260,2352,1380126,1710949920000,0.10463
1710945120000,0.10273,0.10312,0.10264,0.10279,1274772,1710945179999,131102.17028,1358,695433,1710949920000,0.10463
1710945180000,0.10281,0.10311,0.10206,0.10211,1898325,1710945239999,194786.14953,1768,885693,1710949920000,0.10463
1710945240000,0.10214,0.10214,0.10167,0.10191,1771494,1710945299999,180523.23809,1715,873075,1710949920000,0.10463
1710945300000,0.10192,0.10213,0.10148,0.10208,1958905,1710945359999,199324.65389,1848,1126338,1710949920000,0.10463
1710945360000,0.10204,0.10229,0.10148,0.10148,1301139,1710945419999,132542.60914,1165,550568,1710949920000,0.10463
1710945420000,0.10147,0.10216,0.10141,0.10201,1355199,1710945479999,137885.60155,1350,929644,1710949920000,0.10463
1710945480000,0.10205,0.10247,0.10190,0.10194,1169416,1710945539999,119534.09469,1309,465681,1710949920000,0.10463
1710945540000,0.10193,0.10219,0.10134,0.10138,1070642,1710945599999,108981.26196,1036,400864,1710949920000,0.10463
1710945600000,0.10138,0.10183,0.10136,0.10174,1086017,1710945659999,110382.01658,1126,515320,1710949920000,0.10463
1710945660000,0.10174,0.10217,0.10170,0.10207,1298490,1710945719999,132405.75672,1029,814978,1710949920000,0.10463
1710945720000,0.10207,0.10240,0.10204,0.10230,743657,1710945779999,76066.02998,803,403996,1710949920000,0.10463
1710945780000,0.10231,0.10303,0.10226,0.10284,1209102,1710945839999,124208.12291,1038,678307,1710949920000,0.10463
1710945840000,0.10286,0.10308,0.10192,0.10197,975774,1710945899999,100141.93587,870,262148,1710949920000,0.10463
1710945900000,0.10199,0.10200,0.10145,0.10160,1410059,1710945959999,143463.32875,1228,767264,1710949920000,0.10463
1710945960000,0.10158,0.10221,0.10136,0.10145,974951,1710946019999,99152.02091,1103,446868,1710949920000,0.10463
1710946020000,0.10146,0.10160,0.10119,0.10156,1139662,1710946079999,115591.67922,1089,637953,1710949920000,0.10463
1710946080000,0.10155,0.10289,0.10155,0.10270,2324372,1710946139999,237981.48645,1798,1284871,1710949920000,0.10463
1710946140000,0.10270,0.10285,0.10202,0.10214,924476,1710946199999,94728.22735,1026,417163,1710949920000,0.10463
1710946200000,0.10214,0.10263,0.10186,0.10229,757700,1710946259999,77517.07156,764,427288,1710949920000,0.10463
1710946260000,0.10230,0.10328,0.10207,0.10315,1603695,1710946319999,164869.92644,1369,1117444,1710949920000,0.10463
1710946320000,0.10322,0.10383,0.10312,0.10380,1576622,1710946379999,163203.09631,1314,739540,1710949920000,0.10463
1710946380000,0.10381,0.10595,0.10381,0.10535,5445073,1710946439999,571573.82188,3317,3523841,1710949920000,0.10463
1710946440000,0.10531,0.10674,0.10512,0.10614,6333124,1710946499999,671444.92484,4371,3498325,1710949920000,0.10463
1710946500000,0.10611,0.10647,0.10537,0.10603,5053802,1710946559999,534924.12809,3637,2530253,1710949920000,0.10463
1710946560000,0.10606,0.10619,0.10489,0.10492,3715864,1710946619999,391447.51311,2564,1403237,1710949920000,0.10463
1710946620000,0.10492,0.10500,0.10430,0.10461,2529528,1710946679999,264477.92754,1988,1321058,1710949920000,0.10463
1710946680000,0.10461,0.10475,0.10403,0.10446,2180782,1710946739999,227588.16575,1720,1178596,1710949920000,0.10463
1710946740000,0.10447,0.10462,0.10403,0.10434,1094323,1710946799999,114135.87751,940,553367,1710949920000,0.10463
1710946800000,0.10434,0.10463,0.10385,0.10404,2832963,1710946859999,295158.99200,2102,1587181,1710949920000,0.10463
1710946860000,0.10405,0.10453,0.10389,0.10403,1381146,1710946919999,143922.86254,1509,799952,1710949920000,0.10463
1710946920000,0.10404,0.10414,0.10346,0.10346,1319105,1710946979999,136920.88846,1533,659036,1710949920000,0.10463
1710946980000,0.10347,0.10391,0.10332,0.10361,1752181,1710947039999,181523.59688,1707,1035305,1710949920000,0.10463
1710947040000,0.10356,0.10376,0.10329,0.10333,1194455,1710947099999,123611.08882,1291,601940,1710949920000,0.10463
1710947100000,0.10335,0.10360,0.10269,0.10341,1974285,1710947159999,203661.83331,1794,929019,1710949920000,0.10463
1710947160000,0.10344,0.10373,0.10288,0.10299,1767484,1710947219999,182478.95400,1478,1012163,1710949920000,0.10463
1710947220000,0.10299,0.10313,0.10256,0.10313,1233099,1710947279999,126869.99187,1091,689601,1710949920000,0.10463
1710947280000,0.10312,0.10331,0.10278,0.10322,848892,1710947339999,87498.15589,870,522321,1710949920000,0.10463
1710947340000,0.10326,0.10335,0.10238,0.10254,1506049,1710947399999,154886.78792,1148,542886,1710949920000,0.10463
1710947400000,0.10251,0.10285,0.10230,0.10254,1144264,1710947459999,117415.69904,1127,626224,1710949920000,0.10463
1710947460000,0.10254,0.10290,0.10237,0.10287,1285859,1710947519999,132021.65065,1197,763596,1710949920000,0.10463
1710947520000,0.10288,0.10323,0.10283,0.10289,610881,1710947579999,62930.01790,666,308228,1710949920000,0.10463
1710947580000,0.10290,0.10326,0.10285,0.10304,588840,1710947639999,60671.89565,679,342137,1710949920000,0.10463
1710947640000,0.10304,0.10370,0.10298,0.10312,1107395,1710947699999,114431.08116,1174,646314,1710949920000,0.10463
1710947700000,0.10314,0.10372,0.10282,0.10302,1471357,1710947759999,152032.26275,1347,755432,1710949920000,0.10463
1710947760000,0.10298,0.10327,0.10231,0.10262,2842905,1710947819999,292018.74860,1755,1342670,1710949920000,0.10463
1710947820000,0.10264,0.10287,0.10230,0.10287,1734490,1710947879999,177939.86495,1185,988200,1710949920000,0.10463
1710947880000,0.10286,0.10412,0.10285,0.10398,3507222,1710947939999,363601.81216,2139,1630381,1710949920000,0.10463
1710947940000,0.10398,0.10493,0.10389,0.10471,2812111,1710947999999,293762.77962,2059,1440636,1710949920000,0.10463
1710948000000,0.10472,0.10576,0.10452,0.10531,3484530,1710948059999,366045.96619,2624,2033224,1710949920000,0.10463
1710948060000,0.10531,0.10548,0.10421,0.10473,3233791,1710948119999,338776.06458,2289,1405217,1710949920000,0.10463
1710948120000,0.10471,0.10488,0.10406,0.10446,1864609,1710948179999,194716.69672,1343,847634,1710949920000,0.10463
1710948180000,0.10444,0.10459,0.10393,0.10455,1598467,1710948239999,166633.07354,1333,833070,1710949920000,0.10463
1710948240000,0.10453,0.10526,0.10441,0.10497,1707941,1710948299999,179166.50819,1507,1020200,1710949920000,0.10463
1710948300000,0.10496,0.10524,0.10453,0.10486,1243280,1710948359999,130386.57466,1230,610787,1710949920000,0.10463
1710948360000,0.10485,0.10492,0.10408,0.10417,1534399,1710948419999,160128.65918,1281,690064,1710949920000,0.10463
1710948420000,0.10417,0.10518,0.10403,0.10483,1103870,1710948479999,115372.47439,1104,616619,1710949920000,0.10463
1710948480000,0.10478,0.10490,0.10421,0.10476,916062,1710948539999,95801.69292,946,427905,1710949920000,0.10463
1710948540000,0.10476,0.10509,0.10436,0.10469,1258945,1710948599999,131897.23393,1181,752419,1710949920000,0.10463
1710948600000,0.10470,0.10470,0.10387,0.10406,1413740,1710948659999,147310.55486,1102,667454,1710949920000,0.10463
1710948660000,0.10405,0.10424,0.10342,0.10346,2804802,1710948719999,291077.21475,1675,1098461,1710949920000,0.10463
1710948720000,0.10346,0.10349,0.10281,0.10344,2026816,1710948779999,209135.41956,1395,981169,1710949920000,0.10463
1710948780000,0.10344,0.10350,0.10297,0.10338,1628520,1710948839999,168174.71218,1302,703195,1710949920000,0.10463
1710948840000,0.10338,0.10365,0.10278,0.10286,2360094,1710948899999,243491.11748,1479,860740,1710949920000,0.10463
1710948900000,0.10289,0.10347,0.10251,0.10313,3450824,1710948959999,355485.66080,1938,2252955,1710949920000,0.10463
1710948960000,0.10311,0.10326,0.10240,0.10294,2109877,1710949019999,216650.96778,1582,1091367,1710949920000,0.10463
1710949020000,0.10289,0.10297,0.10250,0.10254,1119567,1710949079999,115035.13321,877,395802,1710949920000,0.10463
1710949080000,0.10255,0.10315,0.10249,0.10276,1245230,1710949139999,128080.71568,1151,803929,1710949920000,0.10463
1710949140000,0.10277,0.10320,0.10265,0.10302,852445,1710949199999,87787.21583,887,409210,1710949920000,0.10463
1710949200000,0.10298,0.10304,0.10224,0.10228,1150732,1710949259999,118166.51095,1220,443520,1710949920000,0.10463
1710949260000,0.10228,0.10251,0.10163,0.10196,2538696,1710949319999,259212.34678,1811,1103934,1710949920000,0.10463
1710949320000,0.10200,0.10216,0.10161,0.10188,1313353,1710949379999,133764.64513,1240,646610,1710949920000,0.10463
1710949380000,0.10188,0.10212,0.10162,0.10197,1049396,1710949439999,106888.69151,1036,537580,1710949920000,0.10463
1710949440000,0.10200,0.10227,0.10181,0.10187,999540,1710949499999,102021.19968,933,595501,1710949920000,0.10463
1710949500000,0.10188,0.10211,0.10160,0.10196,1535765,1710949559999,156380.66538,1151,1053550,1710949920000,0.10463
1710949560000,0.10197,0.10214,0.10167,0.10199,1352720,1710949619999,137821.17469,972,767956,1710949920000,0.10463
1710949620000,0.10203,0.10269,0.10203,0.10248,1047021,1710949679999,107190.01265,998,617490,1710949920000,0.10463
1710949680000,0.10248,0.10264,0.10193,0.10207,884186,1710949739999,90455.98022,796,361828,1710949920000,0.10463
1710949740000,0.10207,0.10208,0.10176,0.10181,671716,1710949799999,68474.39439,605,187250,1710949920000,0.10463
1710949800000,0.10180,0.10226,0.10170,0.10224,1035015,1710949859999,105575.04678,917,622967,1710949920000,0.10463
1710949860000,0.10221,0.10258,0.10180,0.10189,1283326,1710949919999,131086.39792,900,623028,1710949920000,0.10463
1710949920000,0.10188,0.10794,0.10167,0.10378,32757256,1710949979999,3431046.12287,14659,17459853,1710949920000,0.10463
1710949980000,0.10376,0.10405,0.10237,0.10268,9965366,1710950039999,1026757.33433,5806,4404832,1710949920000,0.10463
1710950040000,0.10264,0.10346,0.10259,0.10312,1961354,1710950099999,201946.84242,1892,1002810,1710949920000,0.10463
