Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711926540000,0.0505400,0.0505500,0.0505300,0.0505300,29781,1711926599999,1505.1474500,16,19155,1711931880000,0.05087
1711926600000,0.0505100,0.0505500,0.0505000,0.0505100,199903,1711926659999,10100.8298000,56,49100,1711931880000,0.05087
1711926660000,0.0504800,0.0505300,0.0504800,0.0505200,32643,1711926719999,1648.0735100,19,32431,1711931880000,0.05087
1711926720000,0.0505200,0.0505300,0.0505200,0.0505300,12412,1711926779999,627.0723300,9,2002,1711931880000,0.05087
1711926780000,0.0505200,0.0505500,0.0505200,0.0505400,48935,1711926839999,2472.8139500,36,32697,1711931880000,0.05087
1711926840000,0.0505400,0.0506700,0.0505400,0.0506200,314466,1711926899999,15919.1112400,133,288907,1711931880000,0.05087
1711926900000,0.0506100,0.0506200,0.0505400,0.0505500,51591,1711926959999,2609.2323800,42,9960,1711931880000,0.05087
1711926960000,0.0505600,0.0505700,0.0505500,0.0505500,23738,1711927019999,1200.0446800,23,11660,1711931880000,0.05087
1711927020000,0.0505400,0.0506100,0.0505300,0.0506000,31206,1711927079999,1577.9001000,34,20143,1711931880000,0.05087
1711927080000,0.0506000,0.0506400,0.0506000,0.0506300,6806,1711927139999,344.5831200,18,5336,1711931880000,0.05087
1711927140000,0.0506400,0.0507800,0.0506400,0.0507300,93100,1711927199999,4722.0519900,91,73210,1711931880000,0.05087
1711927200000,0.0507200,0.0507800,0.0507200,0.0507800,29916,1711927259999,1518.3883500,33,27038,1711931880000,0.05087
1711927260000,0.0507900,0.0508600,0.0507700,0.0507700,98498,1711927319999,5005.8814100,73,26654,1711931880000,0.05087
1711927320000,0.0507600,0.0507900,0.0507600,0.0507800,16233,1711927379999,824.2716200,14,12464,1711931880000,0.05087
1711927380000,0.0507900,0.0507900,0.0507800,0.0507800,3079,1711927439999,156.3588800,9,726,1711931880000,0.05087
1711927440000,0.0507800,0.0508400,0.0507700,0.0508300,73128,1711927499999,3715.7348400,46,49446,1711931880000,0.05087
1711927500000,0.0508300,0.0508600,0.0508200,0.0508400,86914,1711927559999,4418.1993400,40,35192,1711931880000,0.05087
1711927560000,0.0508200,0.0508300,0.0508100,0.0508300,38898,1711927619999,1977.0118100,38,29665,1711931880000,0.05087
1711927620000,0.0508400,0.0512400,0.0508400,0.0509800,1025001,1711927679999,52369.6488200,493,720473,1711931880000,0.05087
1711927680000,0.0509800,0.0509800,0.0508800,0.0509000,678105,1711927739999,34525.0470500,141,47421,1711931880000,0.05087
1711927740000,0.0509100,0.0509500,0.0509100,0.0509400,43449,1711927799999,2212.2710900,23,43449,1711931880000,0.05087
1711927800000,0.0509300,0.0509300,0.0508500,0.0508800,210820,1711927859999,10727.1703000,88,67860,1711931880000,0.05087
1711927860000,0.0508900,0.0509400,0.0508900,0.0508900,111682,1711927919999,5686.7015500,44,64784,1711931880000,0.05087
1711927920000,0.0508900,0.0510100,0.0508900,0.0510000,83991,1711927979999,4278.7565200,51,22778,1711931880000,0.05087
1711927980000,0.0510000,0.0510500,0.0510000,0.0510400,63438,1711928039999,3237.2532100,74,57039,1711931880000,0.05087
1711928040000,0.0510400,0.0510900,0.0510200,0.0510200,74360,1711928099999,3797.3019300,52,45724,1711931880000,0.05087
1711928100000,0.0510300,0.0510300,0.0510200,0.0510200,10383,1711928159999,529.8040000,14,980,1711931880000,0.05087
1711928160000,0.0510300,0.0511100,0.0510300,0.0510600,89437,1711928219999,4568.0362500,66,62379,1711931880000,0.05087
1711928220000,0.0510500,0.0510500,0.0510200,0.0510200,37081,1711928279999,1892.1669000,17,2612,1711931880000,0.05087
1711928280000,0.0510300,0.0510300,0.0510300,0.0510300,3151,1711928339999,160.7955300,3,3151,1711931880000,0.05087
1711928340000,0.0510300,0.0511000,0.0510200,0.0510200,61302,1711928399999,3129.3773900,45,18894,1711931880000,0.05087
1711928400000,0.0510300,0.0510700,0.0510300,0.0510700,49873,1711928459999,2546.0792800,29,41355,1711931880000,0.05087
1711928460000,0.0510500,0.0510600,0.0510400,0.0510500,25762,1711928519999,1315.2721700,31,9616,1711931880000,0.05087
1711928520000,0.0510500,0.0510500,0.0510000,0.0510100,59282,1711928579999,3024.6134400,40,6171,1711931880000,0.05087
1711928580000,0.0510200,0.0510600,0.0509800,0.0510000,78692,1711928639999,4014.1453500,50,8284,1711931880000,0.05087
1711928640000,0.0510100,0.0510100,0.0510000,0.0510100,8137,1711928699999,415.0273600,10,4036,1711931880000,0.05087
1711928700000,0.0510000,0.0510000,0.0509800,0.0509900,7640,1711928759999,389.5504800,13,944,1711931880000,0.05087
1711928760000,0.0509800,0.0509800,0.0509400,0.0509500,97432,1711928819999,4966.0143000,55,61826,1711931880000,0.05087
1711928820000,0.0509500,0.0510000,0.0509100,0.0509600,112444,1711928879999,5730.0692400,111,67264,1711931880000,0.05087
1711928880000,0.0509600,0.0509800,0.0509000,0.0509100,132279,1711928939999,6737.9134400,85,9260,1711931880000,0.05087
1711928940000,0.0509200,0.0509400,0.0509000,0.0509400,29471,1711928999999,1500.6960200,22,25681,1711931880000,0.05087
1711929000000,0.0509300,0.0510300,0.0508900,0.0509700,172676,1711929059999,8800.7949900,106,107113,1711931880000,0.05087
1711929060000,0.0509800,0.0510100,0.0509800,0.0510100,13573,1711929119999,692.1381000,30,10300,1711931880000,0.05087
1711929120000,0.0509900,0.0510200,0.0509900,0.0510000,2583,1711929179999,131.7381500,15,1212,1711931880000,0.05087
1711929180000,0.0510000,0.0510000,0.0509800,0.0509800,18045,1711929239999,920.1865500,22,1275,1711931880000,0.05087
1711929240000,0.0509900,0.0509900,0.0509800,0.0509800,8881,1711929299999,452.8014500,15,4807,1711931880000,0.05087
1711929300000,0.0509800,0.0509900,0.0509700,0.0509800,6918,1711929359999,352.6769000,14,1431,1711931880000,0.05087
1711929360000,0.0509900,0.0510300,0.0509800,0.0510200,55898,1711929419999,2850.6418600,35,41487,1711931880000,0.05087
1711929420000,0.0510200,0.0510800,0.0510100,0.0510700,155705,1711929479999,7950.5607000,118,122028,1711931880000,0.05087
1711929480000,0.0510700,0.0511100,0.0510500,0.0511100,124862,1711929539999,6378.3647200,161,95433,1711931880000,0.05087
1711929540000,0.0510900,0.0511000,0.0509300,0.0509400,226146,1711929599999,11538.8190800,269,65305,1711931880000,0.05087
1711929600000,0.0509400,0.0509800,0.0509100,0.0509300,207232,1711929659999,10558.5488700,200,84093,1711931880000,0.05087
1711929660000,0.0509300,0.0509800,0.0509200,0.0509400,132567,1711929719999,6753.9200600,210,74288,1711931880000,0.05087
1711929720000,0.0509300,0.0509300,0.0508000,0.0508100,180768,1711929779999,9190.4924200,173,43334,1711931880000,0.05087
1711929780000,0.0508100,0.0508500,0.0507800,0.0508400,99208,1711929839999,5041.4351700,134,31463,1711931880000,0.05087
1711929840000,0.0508400,0.0509100,0.0508400,0.0509000,54569,1711929899999,2776.0222200,101,34042,1711931880000,0.05087
1711929900000,0.0509100,0.0509200,0.0509000,0.0509100,30197,1711929959999,1537.3678100,51,13337,1711931880000,0.05087
1711929960000,0.0509100,0.0509900,0.0508500,0.0509700,223851,1711930019999,11400.1197800,155,162424,1711931880000,0.05087
1711930020000,0.0509700,0.0510000,0.0509300,0.0509700,115462,1711930079999,5884.5530900,92,16151,1711931880000,0.05087
1711930080000,0.0509700,0.0509900,0.0509300,0.0509900,69084,1711930139999,3521.3367400,49,49367,1711931880000,0.05087
1711930140000,0.0509900,0.0510100,0.0509500,0.0509700,107366,1711930199999,5473.3135500,66,37286,1711931880000,0.05087
1711930200000,0.0509800,0.0510400,0.0509800,0.0510300,262053,1711930259999,13367.9145900,82,115481,1711931880000,0.05087
1711930260000,0.0510300,0.0510800,0.0510000,0.0510700,129656,1711930319999,6617.8067300,66,62007,1711931880000,0.05087
1711930320000,0.0510700,0.0511100,0.0510600,0.0511100,115899,1711930379999,5922.0809900,31,24801,1711931880000,0.05087
1711930380000,0.0511100,0.0511300,0.0510500,0.0510500,102575,1711930439999,5241.9700100,44,3951,1711931880000,0.05087
1711930440000,0.0510600,0.0510700,0.0510600,0.0510700,558,1711930499999,28.4951100,3,363,1711931880000,0.05087
1711930500000,0.0510600,0.0510600,0.0510300,0.0510400,183462,1711930559999,9365.6039400,54,64192,1711931880000,0.05087
1711930560000,0.0510400,0.0510600,0.0510200,0.0510300,73200,1711930619999,3735.8661100,50,14115,1711931880000,0.05087
1711930620000,0.0510300,0.0510300,0.0509400,0.0509400,55775,1711930679999,2842.7489000,40,3218,1711931880000,0.05087
1711930680000,0.0509500,0.0509800,0.0509500,0.0509700,10944,1711930739999,557.6759300,11,9999,1711931880000,0.05087
1711930740000,0.0509800,0.0510100,0.0509800,0.0510100,18560,1711930799999,946.6333100,17,13991,1711931880000,0.05087
1711930800000,0.0510100,0.0510300,0.0509600,0.0510300,67056,1711930859999,3418.9955600,43,26565,1711931880000,0.05087
1711930860000,0.0510400,0.0510500,0.0510400,0.0510500,3581,1711930919999,182.7805700,4,3581,1711931880000,0.05087
1711930920000,0.0510400,0.0510400,0.0510300,0.0510300,12988,1711930979999,662.8740800,24,958,1711931880000,0.05087
1711930980000,0.0510200,0.0510300,0.0509800,0.0509800,20306,1711931039999,1035.6285900,21,606,1711931880000,0.05087
1711931040000,0.0509900,0.0510100,0.0509900,0.0510100,20961,1711931099999,1068.9106300,13,20961,1711931880000,0.05087
1711931100000,0.0510000,0.0510200,0.0509600,0.0509900,261311,1711931159999,13324.4500000,105,20238,1711931880000,0.05087
1711931160000,0.0510000,0.0510000,0.0509400,0.0509600,100546,1711931219999,5124.4464700,51,60631,1711931880000,0.05087
1711931220000,0.0509700,0.0509700,0.0509100,0.0509100,14754,1711931279999,751.7276000,24,2254,1711931880000,0.05087
1711931280000,0.0509100,0.0509300,0.0508200,0.0508200,406458,1711931339999,20669.0198600,147,26089,1711931880000,0.05087
1711931340000,0.0508200,0.0508200,0.0508100,0.0508100,7896,1711931399999,401.2081100,5,1235,1711931880000,0.05087
1711931400000,0.0508100,0.0508100,0.0507900,0.0507900,23168,1711931459999,1177.0005800,27,4475,1711931880000,0.05087
1711931460000,0.0508000,0.0508500,0.0508000,0.0508500,59787,1711931519999,3037.6316200,29,59787,1711931880000,0.05087
1711931520000,0.0508500,0.0508500,0.0508500,0.0508500,6970,1711931579999,354.4245000,6,6970,1711931880000,0.05087
1711931580000,0.0508400,0.0508400,0.0507300,0.0507300,179752,1711931639999,9127.9577700,77,4466,1711931880000,0.05087
1711931640000,0.0507200,0.0507200,0.0507100,0.0507200,13150,1711931699999,666.9441200,13,340,1711931880000,0.05087
1711931700000,0.0507100,0.0507100,0.0506600,0.0506600,53863,1711931759999,2730.0272500,34,9097,1711931880000,0.05087
1711931760000,0.0506500,0.0506500,0.0505600,0.0505800,111066,1711931819999,5617.2384300,54,15146,1711931880000,0.05087
1711931820000,0.0505900,0.0506000,0.0505700,0.0505900,68311,1711931879999,3455.4371900,30,27797,1711931880000,0.05087
1711931880000,0.0506000,0.0509400,0.0505900,0.0508700,2539455,1711931939999,129055.4132800,492,2006196,1711931880000,0.05087
1711931940000,0.0508600,0.0509000,0.0508600,0.0508700,86927,1711931999999,4422.0594200,44,35451,1711931880000,0.05087
1711932000000,0.0508700,0.0508700,0.0507400,0.0507500,191296,1711932059999,9716.4001800,74,34516,1711931880000,0.05087
