Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711642500000,4.814,4.820,4.814,4.820,4345.2,1711642559999,20927.9501,103,3374.8,1711647840000,4.886
1711642560000,4.821,4.821,4.815,4.821,2970.7,1711642619999,14311.2759,141,901.2,1711647840000,4.886
1711642620000,4.821,4.825,4.819,4.823,1797.5,1711642679999,8668.3040,113,687.1,1711647840000,4.886
1711642680000,4.824,4.825,4.816,4.817,2499.6,1711642739999,12051.9032,112,1036.5,1711647840000,4.886
1711642740000,4.818,4.819,4.804,4.804,6034.5,1711642799999,29038.3604,235,2311.9,1711647840000,4.886
1711642800000,4.804,4.824,4.804,4.823,2703.1,1711642859999,13013.0078,144,2008.3,1711647840000,4.886
1711642860000,4.824,4.834,4.822,4.834,2946.3,1711642919999,14227.3968,136,2007.5,1711647840000,4.886
1711642920000,4.834,4.835,4.828,4.830,2995.9,1711642979999,14474.2507,156,1126.4,1711647840000,4.886
1711642980000,4.830,4.833,4.830,4.832,1842.7,1711643039999,8903.9104,99,979.3,1711647840000,4.886
1711643040000,4.832,4.834,4.832,4.833,711.0,1711643099999,3436.6073,35,160.4,1711647840000,4.886
1711643100000,4.833,4.833,4.828,4.829,2448.3,1711643159999,11824.8522,104,1094.0,1711647840000,4.886
1711643160000,4.830,4.835,4.830,4.833,2154.7,1711643219999,10414.1294,88,997.5,1711647840000,4.886
1711643220000,4.833,4.840,4.833,4.839,1661.1,1711643279999,8035.8300,108,836.7,1711647840000,4.886
1711643280000,4.838,4.841,4.837,4.841,1960.1,1711643339999,9486.3292,105,1649.6,1711647840000,4.886
1711643340000,4.840,4.841,4.839,4.840,952.5,1711643399999,4610.5455,51,554.4,1711647840000,4.886
1711643400000,4.840,4.842,4.840,4.841,4683.1,1711643459999,22668.8664,92,1793.4,1711647840000,4.886
1711643460000,4.841,4.848,4.839,4.842,8754.6,1711643519999,42400.6162,272,3575.1,1711647840000,4.886
1711643520000,4.842,4.845,4.840,4.844,3284.2,1711643579999,15903.2239,125,2027.8,1711647840000,4.886
1711643580000,4.844,4.855,4.844,4.848,20255.1,1711643639999,98274.3707,1111,17090.0,1711647840000,4.886
1711643640000,4.848,4.849,4.844,4.844,1465.7,1711643699999,7103.5649,86,428.7,1711647840000,4.886
1711643700000,4.845,4.845,4.838,4.840,7908.1,1711643759999,38282.2870,204,2262.6,1711647840000,4.886
