Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711865940000,195.6850,195.8400,195.6840,195.7990,5234,1711865999999,1024725.9890,625,3885,1711871280000,197.458
1711866000000,195.7810,196.0330,195.7810,195.9770,5697,1711866059999,1116274.9320,741,3403,1711871280000,197.458
1711866060000,195.9760,196.0440,195.8910,195.8930,1923,1711866119999,376853.8820,450,599,1711871280000,197.458
1711866120000,195.8940,196.0850,195.8210,195.8690,7904,1711866179999,1548687.4050,1052,2452,1711871280000,197.458
1711866180000,195.8690,196.0800,195.8690,196.0610,1855,1711866239999,363537.3630,398,1349,1711871280000,197.458
1711866240000,196.0610,196.0610,195.8830,195.9000,2725,1711866299999,534024.9530,462,1159,1711871280000,197.458
1711866300000,195.9010,195.9420,195.7620,195.8140,6167,1711866359999,1207688.4670,701,2225,1711871280000,197.458
1711866360000,195.8200,195.8340,195.6640,195.7020,4551,1711866419999,890768.1690,664,1148,1711871280000,197.458
1711866420000,195.7120,195.7930,195.6640,195.7920,3826,1711866479999,748857.5110,554,2560,1711871280000,197.458
1711866480000,195.7910,195.7910,195.5500,195.5500,12226,1711866539999,2391747.5050,1215,4628,1711871280000,197.458
1711866540000,195.5510,195.7770,195.5510,195.7310,6976,1711866599999,1364847.0020,927,5114,1711871280000,197.458
1711866600000,195.7310,195.8890,195.7310,195.8500,4453,1711866659999,871997.6540,655,2971,1711871280000,197.458
1711866660000,195.8500,195.8830,195.6430,195.8750,6122,1711866719999,1198478.9600,824,2561,1711871280000,197.458
1711866720000,195.8750,195.9420,195.8360,195.8760,2954,1711866779999,578650.9870,416,1198,1711871280000,197.458
1711866780000,195.8760,195.9660,195.7730,195.9360,4175,1711866839999,817759.4850,587,2999,1711871280000,197.458
1711866840000,195.9370,195.9400,195.7230,195.9120,8627,1711866899999,1689255.2370,824,2625,1711871280000,197.458
1711866900000,195.9120,195.9480,195.8500,195.8850,3507,1711866959999,687059.9220,513,1809,1711871280000,197.458
1711866960000,195.8860,195.8870,195.7600,195.7900,2444,1711867019999,478560.8010,461,730,1711871280000,197.458
1711867020000,195.8000,195.9300,195.8000,195.8890,2189,1711867079999,428805.3220,400,1713,1711871280000,197.458
1711867080000,195.8880,196.1280,195.8880,196.0600,6180,1711867139999,1211542.9360,830,5344,1711871280000,197.458
1711867140000,196.0610,196.1350,195.9830,196.0610,2707,1711867199999,530762.8530,498,1453,1711871280000,197.458
1711867200000,196.0610,196.0940,195.9440,195.9850,4895,1711867259999,959465.7550,747,2509,1711871280000,197.458
1711867260000,195.9850,196.0680,195.9360,195.9560,2488,1711867319999,487653.3070,472,1322,1711871280000,197.458
1711867320000,195.9550,195.9560,195.7600,195.7600,3397,1711867379999,665332.5410,548,590,1711871280000,197.458
1711867380000,195.7610,195.7750,195.6490,195.7650,5642,1711867439999,1104204.7150,808,2908,1711871280000,197.458
1711867440000,195.7660,195.7730,195.6150,195.6700,2128,1711867499999,416422.3760,395,821,1711871280000,197.458
1711867500000,195.6700,195.6700,195.3690,195.3710,13697,1711867559999,2677730.4920,1433,5081,1711871280000,197.458
1711867560000,195.3700,195.3700,195.0500,195.2140,13262,1711867619999,2588464.8850,1867,4832,1711871280000,197.458
1711867620000,195.2130,195.2870,195.0850,195.1560,6887,1711867679999,1344080.0300,863,3503,1711871280000,197.458
1711867680000,195.1560,195.1900,194.9620,194.9710,8302,1711867739999,1619158.9070,1051,2546,1711871280000,197.458
1711867740000,194.9710,195.2880,194.8940,195.2870,9564,1711867799999,1865428.8640,1141,5328,1711871280000,197.458
1711867800000,195.2870,195.4940,195.2660,195.3160,6378,1711867859999,1246288.6040,939,3191,1711871280000,197.458
1711867860000,195.3170,195.4240,195.2950,195.3710,2497,1711867919999,487791.3400,477,1396,1711871280000,197.458
1711867920000,195.3720,195.4140,195.3090,195.3850,3325,1711867979999,649584.8820,486,1438,1711871280000,197.458
1711867980000,195.3840,195.5860,195.3840,195.4720,5797,1711868039999,1133313.9430,689,2893,1711871280000,197.458
