Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711900560000,0.0012766,0.0012777,0.0012749,0.0012750,12770402,1711900619999,16301.2798111,174,3221685,1711905900000,0.0012967
1711900620000,0.0012754,0.0012759,0.0012748,0.0012752,4826890,1711900679999,6157.0326800,80,1238343,1711905900000,0.0012967
1711900680000,0.0012752,0.0012760,0.0012748,0.0012748,5504580,1711900739999,7021.3650499,85,2417797,1711905900000,0.0012967
1711900740000,0.0012747,0.0012758,0.0012747,0.0012752,3290346,1711900799999,4195.9175985,54,1880915,1711905900000,0.0012967
1711900800000,0.0012752,0.0012772,0.0012748,0.0012755,9230505,1711900859999,11778.1584385,170,5839229,1711905900000,0.0012967
1711900860000,0.0012756,0.0012761,0.0012747,0.0012752,1418043,1711900919999,1808.6803311,73,461928,1711905900000,0.0012967
1711900920000,0.0012751,0.0012762,0.0012747,0.0012762,6292223,1711900979999,8025.8143436,131,1116153,1711905900000,0.0012967
1711900980000,0.0012762,0.0012770,0.0012759,0.0012763,3322546,1711901039999,4240.2982719,93,1072712,1711905900000,0.0012967
1711901040000,0.0012764,0.0012767,0.0012758,0.0012764,2675430,1711901099999,3414.8460723,75,1305194,1711905900000,0.0012967
1711901100000,0.0012763,0.0012766,0.0012755,0.0012762,5233322,1711901159999,6678.4077279,92,3032092,1711905900000,0.0012967
1711901160000,0.0012761,0.0012761,0.0012728,0.0012728,25111258,1711901219999,31988.6016196,254,5564710,1711905900000,0.0012967
1711901220000,0.0012732,0.0012758,0.0012732,0.0012739,21127978,1711901279999,26928.7158038,264,16726460,1711905900000,0.0012967
1711901280000,0.0012740,0.0012761,0.0012739,0.0012761,10389839,1711901339999,13247.0014516,166,7549744,1711905900000,0.0012967
1711901340000,0.0012762,0.0012774,0.0012762,0.0012762,6673675,1711901399999,8518.7553861,98,3846140,1711905900000,0.0012967
1711901400000,0.0012764,0.0012768,0.0012749,0.0012763,13308928,1711901459999,16976.4353564,129,5041818,1711905900000,0.0012967
1711901460000,0.0012763,0.0012773,0.0012750,0.0012755,10060251,1711901519999,12836.9699867,140,1995328,1711905900000,0.0012967
1711901520000,0.0012756,0.0012756,0.0012748,0.0012751,3434532,1711901579999,4379.1955231,41,825217,1711905900000,0.0012967
1711901580000,0.0012756,0.0012761,0.0012744,0.0012760,4190176,1711901639999,5343.7803144,80,1575361,1711905900000,0.0012967
1711901640000,0.0012761,0.0012771,0.0012756,0.0012759,10467071,1711901699999,13357.8454075,123,3752087,1711905900000,0.0012967
1711901700000,0.0012758,0.0012787,0.0012749,0.0012775,7409130,1711901759999,9464.2922579,158,3802428,1711905900000,0.0012967
1711901760000,0.0012771,0.0012778,0.0012757,0.0012778,4030679,1711901819999,5146.3850528,78,2367656,1711905900000,0.0012967
1711901820000,0.0012778,0.0012779,0.0012766,0.0012774,6612134,1711901879999,8446.9704126,118,2074971,1711905900000,0.0012967
1711901880000,0.0012775,0.0012796,0.0012775,0.0012789,9641275,1711901939999,12327.8536093,187,6030348,1711905900000,0.0012967
1711901940000,0.0012787,0.0012801,0.0012780,0.0012795,14567398,1711901999999,18632.2665783,238,10255620,1711905900000,0.0012967
1711902000000,0.0012792,0.0012806,0.0012792,0.0012802,8964342,1711902059999,11475.5298368,143,8353510,1711905900000,0.0012967
1711902060000,0.0012799,0.0012826,0.0012789,0.0012824,19128737,1711902119999,24500.3669760,293,13717284,1711905900000,0.0012967
1711902120000,0.0012824,0.0012858,0.0012820,0.0012843,33303049,1711902179999,42773.9525175,362,27866654,1711905900000,0.0012967
1711902180000,0.0012842,0.0012846,0.0012800,0.0012808,23116566,1711902239999,29638.4226633,243,10549827,1711905900000,0.0012967
1711902240000,0.0012807,0.0012839,0.0012794,0.0012809,37673407,1711902299999,48316.0351319,303,24371340,1711905900000,0.0012967
1711902300000,0.0012809,0.0012809,0.0012769,0.0012777,8559657,1711902359999,10943.2342404,108,3451752,1711905900000,0.0012967
1711902360000,0.0012777,0.0012792,0.0012768,0.0012787,33816101,1711902419999,43198.0515693,245,8696672,1711905900000,0.0012967
1711902420000,0.0012787,0.0012793,0.0012772,0.0012774,12761025,1711902479999,16313.8792991,120,4708180,1711905900000,0.0012967
