Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710978060000,57.050000,57.060000,56.950000,57.010000,2277.58,1710978119999,129830.43420000,552,1240.63,1710983460000,55.45
1710978120000,57.010000,57.060000,56.900000,56.950000,1360.08,1710978179999,77487.60330000,456,534.71,1710983460000,55.45
1710978180000,56.950000,56.960000,56.740000,56.910000,1585.58,1710978239999,90153.56030000,579,784.37,1710983460000,55.45
1710978240000,56.920000,56.970000,56.680000,56.710000,1527.76,1710978299999,86767.15610000,509,575.39,1710983460000,55.45
1710978300000,56.700000,56.710000,56.580000,56.680000,2634.70,1710978359999,149245.19720000,824,1131.94,1710983460000,55.45
1710978360000,56.690000,56.770000,56.500000,56.590000,4957.56,1710978419999,280716.76820000,946,1835.78,1710983460000,55.45
1710978420000,56.600000,56.930000,56.510000,56.830000,1988.24,1710978479999,112765.70920000,586,1081.10,1710983460000,55.45
1710978480000,56.830000,56.830000,56.590000,56.700000,2485.45,1710978539999,140929.05820000,539,1372.96,1710983460000,55.45
1710978540000,56.710000,56.710000,56.360000,56.380000,2114.66,1710978599999,119493.45680000,670,742.06,1710983460000,55.45
1710978600000,56.380000,56.380000,56.130000,56.150000,2455.46,1710978659999,138052.26010000,824,609.57,1710983460000,55.45
1710978660000,56.140000,56.280000,56.100000,56.130000,2657.60,1710978719999,149285.68470000,595,1764.75,1710983460000,55.45
1710978720000,56.130000,56.130000,55.800000,55.980000,7754.15,1710978779999,433970.76040000,1308,3516.34,1710983460000,55.45
1710978780000,55.980000,56.150000,55.980000,56.100000,1823.94,1710978839999,102256.52030000,333,1206.50,1710983460000,55.45
1710978840000,56.100000,56.150000,56.030000,56.100000,1281.72,1710978899999,71885.50210000,278,590.06,1710983460000,55.45
1710978900000,56.090000,56.120000,55.960000,55.960000,1900.31,1710978959999,106511.11830000,340,416.80,1710983460000,55.45
1710978960000,55.960000,55.960000,55.710000,55.740000,4982.32,1710979019999,278053.27800000,1034,1949.71,1710983460000,55.45
1710979020000,55.730000,55.730000,55.600000,55.610000,1850.62,1710979079999,102995.57860000,553,626.45,1710983460000,55.45
1710979080000,55.620000,55.620000,55.540000,55.560000,1191.51,1710979139999,66223.80970000,322,574.90,1710983460000,55.45
1710979140000,55.550000,55.630000,55.410000,55.630000,3030.71,1710979199999,168168.19940000,849,1562.26,1710983460000,55.45
1710979200000,55.640000,55.660000,55.510000,55.560000,2558.44,1710979259999,142180.87640000,634,1382.58,1710983460000,55.45
1710979260000,55.570000,55.610000,55.230000,55.340000,4266.40,1710979319999,236499.79230000,910,1624.94,1710983460000,55.45
1710979320000,55.340000,55.360000,55.130000,55.140000,2771.36,1710979379999,153142.68930000,493,347.52,1710983460000,55.45
1710979380000,55.130000,55.140000,54.930000,54.980000,5290.57,1710979439999,291133.44180000,1203,2038.47,1710983460000,55.45
1710979440000,54.980000,55.000000,54.730000,54.860000,4042.72,1710979499999,221780.98210000,1009,1364.23,1710983460000,55.45
1710979500000,54.850000,54.850000,54.690000,54.700000,3489.79,1710979559999,191137.35440000,752,1607.32,1710983460000,55.45
