Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711233480000,0.303680,0.303800,0.303580,0.303580,2034,1711233539999,617.777940,26,947,1711238880000,0.30088
1711233540000,0.303550,0.303550,0.303380,0.303400,2021,1711233599999,613.227540,11,400,1711238880000,0.30088
1711233600000,0.303440,0.303440,0.303170,0.303200,8548,1711233659999,2592.505770,50,718,1711238880000,0.30088
1711233660000,0.303180,0.303180,0.303040,0.303040,1924,1711233719999,583.052920,3,1888,1711238880000,0.30088
1711233720000,0.303050,0.303050,0.302820,0.302820,3471,1711233779999,1051.664800,18,834,1711238880000,0.30088
1711233780000,0.302930,0.303080,0.302930,0.303080,2524,1711233839999,764.852700,14,2524,1711238880000,0.30088
1711233840000,0.303090,0.303230,0.303090,0.303170,4987,1711233899999,1511.846900,29,1670,1711238880000,0.30088
1711233900000,0.303200,0.303520,0.303200,0.303520,7970,1711233959999,2418.107620,55,7892,1711238880000,0.30088
1711233960000,0.303460,0.303460,0.303110,0.303110,4555,1711234019999,1381.498280,40,0,1711238880000,0.30088
1711234020000,0.303120,0.303150,0.302810,0.303130,13698,1711234079999,4151.626510,51,2917,1711238880000,0.30088
1711234080000,0.303140,0.303180,0.303060,0.303060,2031,1711234139999,615.631450,21,679,1711238880000,0.30088
1711234140000,0.303060,0.303060,0.302800,0.302800,966,1711234199999,292.590420,26,88,1711238880000,0.30088
1711234200000,0.302810,0.303050,0.302770,0.303050,1804,1711234259999,546.397960,24,1496,1711238880000,0.30088
1711234260000,0.303090,0.303480,0.303090,0.303480,7222,1711234319999,2191.269290,44,4366,1711238880000,0.30088
1711234320000,0.303470,0.303620,0.303470,0.303610,4054,1711234379999,1230.659000,25,4054,1711238880000,0.30088
1711234380000,0.303610,0.303760,0.303610,0.303740,1168,1711234439999,354.718330,15,933,1711238880000,0.30088
1711234440000,0.303620,0.303620,0.303200,0.303480,2954,1711234499999,896.294890,23,1854,1711238880000,0.30088
1711234500000,0.303500,0.303570,0.303160,0.303570,18864,1711234559999,5723.713460,90,7950,1711238880000,0.30088
1711234560000,0.303570,0.303650,0.302990,0.303080,15364,1711234619999,4661.119200,43,3939,1711238880000,0.30088
1711234620000,0.302890,0.303050,0.302760,0.302920,5163,1711234679999,1563.701270,52,2628,1711238880000,0.30088
1711234680000,0.302990,0.303030,0.302610,0.302640,3682,1711234739999,1115.104690,30,1263,1711238880000,0.30088
1711234740000,0.302660,0.302810,0.302600,0.302600,4355,1711234799999,1318.201700,18,723,1711238880000,0.30088
1711234800000,0.302600,0.302950,0.302500,0.302580,9002,1711234859999,2725.412590,96,4331,1711238880000,0.30088
1711234860000,0.302570,0.302680,0.302500,0.302500,1843,1711234919999,557.536230,20,185,1711238880000,0.30088
1711234920000,0.302480,0.302700,0.302480,0.302550,1612,1711234979999,487.748620,25,1500,1711238880000,0.30088
1711234980000,0.302540,0.302600,0.302240,0.302350,5038,1711235039999,1523.554950,55,2971,1711238880000,0.30088
1711235040000,0.302370,0.302650,0.302320,0.302650,5883,1711235099999,1779.277910,46,5848,1711238880000,0.30088
1711235100000,0.302660,0.302710,0.302540,0.302570,6430,1711235159999,1945.998480,44,1676,1711238880000,0.30088
1711235160000,0.302670,0.302930,0.302600,0.302620,3824,1711235219999,1157.865890,31,3275,1711238880000,0.30088
1711235220000,0.302640,0.302650,0.302040,0.302350,17040,1711235279999,5148.719710,83,850,1711238880000,0.30088
1711235280000,0.302350,0.302520,0.302210,0.302300,2457,1711235339999,742.939500,33,1604,1711238880000,0.30088
1711235340000,0.302200,0.302230,0.301800,0.302020,6061,1711235399999,1830.462680,64,2941,1711238880000,0.30088
1711235400000,0.301960,0.301960,0.301570,0.301650,8404,1711235459999,2535.463180,61,4798,1711238880000,0.30088
1711235460000,0.301650,0.301790,0.301360,0.301370,10598,1711235519999,3196.751620,73,4159,1711238880000,0.30088
1711235520000,0.301350,0.301530,0.301190,0.301250,7809,1711235579999,2353.266550,53,6405,1711238880000,0.30088
1711235580000,0.301250,0.301730,0.301250,0.301600,5095,1711235639999,1536.316560,48,4135,1711238880000,0.30088
1711235640000,0.301540,0.301830,0.301440,0.301830,8363,1711235699999,2522.501560,83,4849,1711238880000,0.30088
1711235700000,0.301770,0.302030,0.301680,0.302010,4648,1711235759999,1402.684780,26,780,1711238880000,0.30088
1711235760000,0.301960,0.302410,0.301900,0.302400,21920,1711235819999,6626.494530,79,20990,1711238880000,0.30088
1711235820000,0.302440,0.302680,0.302240,0.302300,7564,1711235879999,2288.580830,51,4531,1711238880000,0.30088
1711235880000,0.302240,0.302690,0.302200,0.302690,6949,1711235939999,2101.511270,55,4997,1711238880000,0.30088
1711235940000,0.302710,0.302820,0.302540,0.302540,6300,1711235999999,1906.920290,37,1310,1711238880000,0.30088
1711236000000,0.302520,0.302520,0.302350,0.302470,8979,1711236059999,2715.986300,71,6133,1711238880000,0.30088
1711236060000,0.302400,0.302430,0.301980,0.302170,29376,1711236119999,8877.074720,129,13423,1711238880000,0.30088
1711236120000,0.302130,0.302130,0.301880,0.301940,8772,1711236179999,2648.727020,67,2258,1711238880000,0.30088
1711236180000,0.301910,0.301940,0.301620,0.301720,19884,1711236239999,5999.920960,93,6498,1711238880000,0.30088
1711236240000,0.301790,0.301800,0.301740,0.301780,6594,1711236299999,1989.910400,22,3885,1711238880000,0.30088
1711236300000,0.301770,0.301770,0.301480,0.301480,13570,1711236359999,4092.063540,39,0,1711238880000,0.30088
1711236360000,0.301420,0.301420,0.300750,0.300820,47665,1711236419999,14350.217900,123,5208,1711238880000,0.30088
1711236420000,0.300820,0.300830,0.300640,0.300710,24875,1711236479999,7481.340380,69,12152,1711238880000,0.30088
1711236480000,0.300770,0.300850,0.300750,0.300840,4544,1711236539999,1366.735000,16,3881,1711238880000,0.30088
