Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710867780000,0.7180000,0.7183000,0.7176000,0.7181000,13476,1710867839999,9675.0686000,83,6656,1710873120000,0.7199
1710867840000,0.7180000,0.7192000,0.7177000,0.7192000,12760,1710867899999,9167.2098000,81,6416,1710873120000,0.7199
1710867900000,0.7189000,0.7200000,0.7189000,0.7193000,28959,1710867959999,20836.4159000,151,16812,1710873120000,0.7199
1710867960000,0.7193000,0.7196000,0.7181000,0.7193000,46598,1710868019999,33499.8126000,241,27753,1710873120000,0.7199
1710868020000,0.7194000,0.7206000,0.7186000,0.7197000,25835,1710868079999,18597.2951000,163,19312,1710873120000,0.7199
1710868080000,0.7202000,0.7205000,0.7186000,0.7188000,7424,1710868139999,5343.0939000,102,4487,1710873120000,0.7199
1710868140000,0.7188000,0.7200000,0.7185000,0.7192000,17465,1710868199999,12563.1616000,122,8074,1710873120000,0.7199
1710868200000,0.7191000,0.7205000,0.7189000,0.7200000,15112,1710868259999,10879.9779000,98,5149,1710873120000,0.7199
1710868260000,0.7200000,0.7206000,0.7192000,0.7202000,53478,1710868319999,38508.0796000,162,37584,1710873120000,0.7199
1710868320000,0.7201000,0.7204000,0.7200000,0.7201000,11514,1710868379999,8292.4074000,58,6454,1710873120000,0.7199
1710868380000,0.7201000,0.7205000,0.7201000,0.7202000,5357,1710868439999,3858.4325000,35,3535,1710873120000,0.7199
1710868440000,0.7202000,0.7202000,0.7199000,0.7200000,3815,1710868499999,2747.2830000,28,1389,1710873120000,0.7199
1710868500000,0.7199000,0.7199000,0.7184000,0.7191000,23760,1710868559999,17085.5601000,127,12242,1710873120000,0.7199
1710868560000,0.7192000,0.7192000,0.7175000,0.7180000,50939,1710868619999,36583.7097000,198,34278,1710873120000,0.7199
1710868620000,0.7181000,0.7189000,0.7177000,0.7187000,66219,1710868679999,47561.0213000,248,32423,1710873120000,0.7199
1710868680000,0.7187000,0.7193000,0.7186000,0.7189000,3514,1710868739999,2526.5765000,43,709,1710873120000,0.7199
1710868740000,0.7188000,0.7204000,0.7188000,0.7203000,8446,1710868799999,6079.4605000,79,5932,1710873120000,0.7199
1710868800000,0.7205000,0.7211000,0.7205000,0.7208000,10235,1710868859999,7376.0901000,93,2570,1710873120000,0.7199
1710868860000,0.7209000,0.7220000,0.7203000,0.7220000,14941,1710868919999,10776.2685000,129,7204,1710873120000,0.7199
1710868920000,0.7220000,0.7223000,0.7215000,0.7220000,25582,1710868979999,18468.0934000,89,3982,1710873120000,0.7199
1710868980000,0.7220000,0.7220000,0.7209000,0.7217000,49988,1710869039999,36065.7801000,72,1435,1710873120000,0.7199
1710869040000,0.7217000,0.7223000,0.7217000,0.7222000,12712,1710869099999,9178.6213000,62,2066,1710873120000,0.7199
1710869100000,0.7221000,0.7229000,0.7221000,0.7227000,10798,1710869159999,7801.6999000,76,1070,1710873120000,0.7199
1710869160000,0.7227000,0.7233000,0.7223000,0.7232000,25969,1710869219999,18771.3852000,120,12185,1710873120000,0.7199
1710869220000,0.7232000,0.7242000,0.7226000,0.7240000,33851,1710869279999,24488.4760000,155,19979,1710873120000,0.7199
1710869280000,0.7241000,0.7243000,0.7235000,0.7240000,8875,1710869339999,6426.2891000,102,2284,1710873120000,0.7199
1710869340000,0.7240000,0.7243000,0.7233000,0.7233000,5870,1710869399999,4248.4592000,54,2559,1710873120000,0.7199
1710869400000,0.7233000,0.7233000,0.7210000,0.7210000,33910,1710869459999,24482.7435000,233,10028,1710873120000,0.7199
1710869460000,0.7212000,0.7212000,0.7198000,0.7198000,22005,1710869519999,15849.4308000,111,8274,1710873120000,0.7199
1710869520000,0.7198000,0.7204000,0.7184000,0.7190000,31563,1710869579999,22703.5869000,174,4395,1710873120000,0.7199
1710869580000,0.7195000,0.7213000,0.7195000,0.7212000,7724,1710869639999,5565.8530000,66,3222,1710873120000,0.7199
1710869640000,0.7214000,0.7214000,0.7190000,0.7197000,44446,1710869699999,32024.1260000,150,7727,1710873120000,0.7199
1710869700000,0.7197000,0.7199000,0.7189000,0.7191000,16037,1710869759999,11536.1239000,111,6525,1710873120000,0.7199
1710869760000,0.7189000,0.7197000,0.7177000,0.7194000,20971,1710869819999,15074.7136000,194,13290,1710873120000,0.7199
1710869820000,0.7193000,0.7193000,0.7176000,0.7180000,3984,1710869879999,2860.8549000,46,2358,1710873120000,0.7199
1710869880000,0.7180000,0.7190000,0.7168000,0.7181000,16815,1710869939999,12065.1874000,124,7334,1710873120000,0.7199
1710869940000,0.7185000,0.7186000,0.7163000,0.7171000,10047,1710869999999,7204.2821000,70,5628,1710873120000,0.7199
1710870000000,0.7173000,0.7182000,0.7166000,0.7168000,8656,1710870059999,6210.6201000,80,2904,1710873120000,0.7199
1710870060000,0.7166000,0.7171000,0.7153000,0.7167000,75684,1710870119999,54206.5694000,349,30388,1710873120000,0.7199
1710870120000,0.7167000,0.7167000,0.7150000,0.7156000,34222,1710870179999,24487.3283000,167,7530,1710873120000,0.7199
1710870180000,0.7156000,0.7176000,0.7156000,0.7168000,27494,1710870239999,19704.2416000,113,8531,1710873120000,0.7199
1710870240000,0.7172000,0.7182000,0.7162000,0.7179000,10720,1710870299999,7691.0560000,73,3126,1710873120000,0.7199
1710870300000,0.7177000,0.7190000,0.7176000,0.7189000,20856,1710870359999,14983.3437000,114,7651,1710873120000,0.7199
1710870360000,0.7193000,0.7196000,0.7180000,0.7185000,22659,1710870419999,16285.7407000,122,5784,1710873120000,0.7199
1710870420000,0.7184000,0.7190000,0.7168000,0.7175000,14367,1710870479999,10318.3760000,66,4934,1710873120000,0.7199
1710870480000,0.7176000,0.7176000,0.7171000,0.7173000,11183,1710870539999,8022.7077000,54,3633,1710873120000,0.7199
1710870540000,0.7172000,0.7179000,0.7163000,0.7166000,13733,1710870599999,9848.2052000,60,6867,1710873120000,0.7199
1710870600000,0.7166000,0.7169000,0.7140000,0.7145000,33536,1710870659999,23989.1308000,164,8238,1710873120000,0.7199
1710870660000,0.7145000,0.7164000,0.7145000,0.7149000,41927,1710870719999,29989.5149000,202,23076,1710873120000,0.7199
1710870720000,0.7149000,0.7149000,0.7141000,0.7141000,7792,1710870779999,5567.3185000,65,1793,1710873120000,0.7199
1710870780000,0.7144000,0.7153000,0.7144000,0.7153000,3518,1710870839999,2514.3243000,35,3291,1710873120000,0.7199
1710870840000,0.7153000,0.7167000,0.7152000,0.7166000,5740,1710870899999,4109.3742000,46,4001,1710873120000,0.7199
1710870900000,0.7167000,0.7167000,0.7157000,0.7158000,11257,1710870959999,8063.3170000,98,8929,1710873120000,0.7199
1710870960000,0.7153000,0.7171000,0.7149000,0.7167000,24806,1710871019999,17744.9217000,90,3303,1710873120000,0.7199
1710871020000,0.7168000,0.7175000,0.7168000,0.7174000,5696,1710871079999,4085.5919000,48,4753,1710873120000,0.7199
1710871080000,0.7174000,0.7174000,0.7170000,0.7171000,3653,1710871139999,2619.7361000,35,835,1710873120000,0.7199
1710871140000,0.7171000,0.7174000,0.7166000,0.7174000,2903,1710871199999,2081.0986000,36,830,1710873120000,0.7199
1710871200000,0.7173000,0.7179000,0.7165000,0.7169000,8100,1710871259999,5808.4064000,104,2909,1710873120000,0.7199
1710871260000,0.7172000,0.7172000,0.7154000,0.7157000,5112,1710871319999,3659.8695000,76,1806,1710873120000,0.7199
1710871320000,0.7158000,0.7159000,0.7149000,0.7155000,4738,1710871379999,3390.1039000,91,2857,1710873120000,0.7199
