Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711461240000,0.01228,0.01230,0.01227,0.01228,1080161,1711461299999,13269.31826,94,736872,1711466580000,0.0125
1711461300000,0.01229,0.01231,0.01227,0.01228,3391463,1711461359999,41671.39390,143,1642769,1711466580000,0.0125
1711461360000,0.01229,0.01230,0.01227,0.01229,3421252,1711461419999,42046.85625,154,2893734,1711466580000,0.0125
1711461420000,0.01230,0.01230,0.01227,0.01228,2470749,1711461479999,30339.53820,118,1140722,1711466580000,0.0125
1711461480000,0.01227,0.01230,0.01227,0.01229,4087045,1711461539999,50219.34979,165,3418024,1711466580000,0.0125
1711461540000,0.01229,0.01231,0.01228,0.01230,1210811,1711461599999,14883.74731,88,640906,1711466580000,0.0125
1711461600000,0.01230,0.01231,0.01229,0.01230,2848649,1711461659999,35040.56165,145,1508326,1711466580000,0.0125
1711461660000,0.01231,0.01232,0.01227,0.01228,4084746,1711461719999,50225.50234,228,2466922,1711466580000,0.0125
1711461720000,0.01227,0.01227,0.01224,0.01224,3612832,1711461779999,44265.02322,196,2068849,1711466580000,0.0125
1711461780000,0.01224,0.01225,0.01221,0.01221,4734182,1711461839999,57870.34352,279,2336383,1711466580000,0.0125
1711461840000,0.01221,0.01228,0.01221,0.01227,6765103,1711461899999,82834.08714,332,3842400,1711466580000,0.0125
1711461900000,0.01227,0.01231,0.01227,0.01231,2920945,1711461959999,35885.61629,230,1820518,1711466580000,0.0125
1711461960000,0.01231,0.01235,0.01231,0.01233,3931500,1711462019999,48454.39339,239,2676333,1711466580000,0.0125
1711462020000,0.01233,0.01236,0.01233,0.01235,2318633,1711462079999,28605.00339,125,1436723,1711466580000,0.0125
1711462080000,0.01234,0.01236,0.01234,0.01234,1404464,1711462139999,17341.24421,119,697569,1711466580000,0.0125
1711462140000,0.01235,0.01236,0.01233,0.01236,1537551,1711462199999,18986.15793,107,1142528,1711466580000,0.0125
1711462200000,0.01236,0.01240,0.01234,0.01239,3394985,1711462259999,42002.12009,134,3075325,1711466580000,0.0125
1711462260000,0.01239,0.01242,0.01237,0.01242,7104420,1711462319999,88021.45269,259,5086873,1711466580000,0.0125
1711462320000,0.01242,0.01245,0.01239,0.01243,19027785,1711462379999,236423.20704,546,9629064,1711466580000,0.0125
1711462380000,0.01243,0.01248,0.01243,0.01248,10110508,1711462439999,125946.13397,317,7220021,1711466580000,0.0125
1711462440000,0.01248,0.01248,0.01243,0.01243,14541547,1711462499999,181131.87763,389,5812302,1711466580000,0.0125
1711462500000,0.01242,0.01243,0.01237,0.01238,9315982,1711462559999,115570.98847,328,3399678,1711466580000,0.0125
1711462560000,0.01238,0.01241,0.01236,0.01241,6353764,1711462619999,78664.55244,217,4808227,1711466580000,0.0125
1711462620000,0.01241,0.01244,0.01240,0.01241,6681362,1711462679999,83010.41499,268,4787176,1711466580000,0.0125
1711462680000,0.01241,0.01243,0.01239,0.01242,2273558,1711462739999,28211.06054,112,1416306,1711466580000,0.0125
1711462740000,0.01241,0.01241,0.01237,0.01238,2442250,1711462799999,30275.84314,136,636666,1711466580000,0.0125
1711462800000,0.01237,0.01240,0.01236,0.01239,1961206,1711462859999,24282.40808,160,1458042,1711466580000,0.0125
1711462860000,0.01240,0.01240,0.01234,0.01235,1750335,1711462919999,21630.04405,144,783302,1711466580000,0.0125
1711462920000,0.01236,0.01237,0.01228,0.01229,5531498,1711462979999,68117.53601,234,761058,1711466580000,0.0125
1711462980000,0.01230,0.01232,0.01228,0.01229,3099869,1711463039999,38157.02781,174,1127911,1711466580000,0.0125
1711463040000,0.01228,0.01228,0.01221,0.01221,14581392,1711463099999,178575.73925,406,3703624,1711466580000,0.0125
1711463100000,0.01222,0.01227,0.01221,0.01223,10824851,1711463159999,132567.90644,406,5791731,1711466580000,0.0125
1711463160000,0.01224,0.01229,0.01224,0.01227,4780372,1711463219999,58651.38898,270,2484367,1711466580000,0.0125
1711463220000,0.01227,0.01227,0.01220,0.01223,7978281,1711463279999,97513.37157,267,3496766,1711466580000,0.0125
1711463280000,0.01222,0.01227,0.01221,0.01227,6454431,1711463339999,79051.44944,269,3141055,1711466580000,0.0125
1711463340000,0.01226,0.01229,0.01218,0.01219,11658418,1711463399999,142724.91128,487,5931107,1711466580000,0.0125
1711463400000,0.01219,0.01226,0.01218,0.01226,11320788,1711463459999,138184.25879,473,6758213,1711466580000,0.0125
1711463460000,0.01226,0.01226,0.01221,0.01222,13974320,1711463519999,171086.35257,516,9527504,1711466580000,0.0125
1711463520000,0.01221,0.01222,0.01206,0.01206,20942347,1711463579999,253947.02799,881,6662259,1711466580000,0.0125
1711463580000,0.01207,0.01218,0.01207,0.01214,17754365,1711463639999,215319.50527,749,8997632,1711466580000,0.0125
1711463640000,0.01214,0.01222,0.01214,0.01217,10693734,1711463699999,130238.62466,504,5831209,1711466580000,0.0125
1711463700000,0.01218,0.01228,0.01218,0.01224,7082399,1711463759999,86558.21526,369,3963011,1711466580000,0.0125
1711463760000,0.01224,0.01228,0.01224,0.01227,13597636,1711463819999,166667.74874,476,8505993,1711466580000,0.0125
1711463820000,0.01227,0.01232,0.01225,0.01231,6667608,1711463879999,81848.54191,319,3841725,1711466580000,0.0125
1711463880000,0.01231,0.01233,0.01228,0.01232,7691576,1711463939999,94659.46739,315,2947527,1711466580000,0.0125
1711463940000,0.01231,0.01231,0.01224,0.01228,6150396,1711463999999,75498.14870,275,1987289,1711466580000,0.0125
1711464000000,0.01229,0.01231,0.01224,0.01226,4572939,1711464059999,56087.40780,265,1987085,1711466580000,0.0125
1711464060000,0.01226,0.01228,0.01226,0.01226,2186350,1711464119999,26816.10864,171,1393166,1711466580000,0.0125
1711464120000,0.01227,0.01230,0.01227,0.01230,2841796,1711464179999,34929.71829,152,1955234,1711466580000,0.0125
1711464180000,0.01230,0.01233,0.01230,0.01232,3317048,1711464239999,40847.18332,186,1864156,1711466580000,0.0125
1711464240000,0.01233,0.01237,0.01233,0.01237,5933610,1711464299999,73289.01946,304,4429102,1711466580000,0.0125
1711464300000,0.01236,0.01238,0.01235,0.01238,5824276,1711464359999,71984.24180,194,2134162,1711466580000,0.0125
1711464360000,0.01237,0.01238,0.01235,0.01237,6054795,1711464419999,74848.03974,217,1989142,1711466580000,0.0125
1711464420000,0.01238,0.01241,0.01238,0.01240,2995347,1711464479999,37135.85925,188,1730907,1711466580000,0.0125
1711464480000,0.01240,0.01240,0.01236,0.01237,3317447,1711464539999,41057.13616,156,1835542,1711466580000,0.0125
1711464540000,0.01237,0.01239,0.01235,0.01239,5960030,1711464599999,73718.06092,217,3344370,1711466580000,0.0125
1711464600000,0.01239,0.01240,0.01237,0.01239,2666057,1711464659999,33027.60884,202,1536494,1711466580000,0.0125
1711464660000,0.01239,0.01242,0.01239,0.01240,2487082,1711464719999,30841.06346,167,1345698,1711466580000,0.0125
1711464720000,0.01240,0.01242,0.01237,0.01242,3177123,1711464779999,39357.49601,168,1424307,1711466580000,0.0125
1711464780000,0.01242,0.01243,0.01239,0.01242,2645420,1711464839999,32831.01751,189,1021071,1711466580000,0.0125
1711464840000,0.01241,0.01244,0.01241,0.01243,3136427,1711464899999,38958.89627,202,2252770,1711466580000,0.0125
1711464900000,0.01243,0.01243,0.01241,0.01243,3242339,1711464959999,40281.13040,208,2076602,1711466580000,0.0125
1711464960000,0.01242,0.01243,0.01241,0.01243,2513445,1711465019999,31205.24706,148,972533,1711466580000,0.0125
1711465020000,0.01243,0.01244,0.01241,0.01244,3752530,1711465079999,46619.02421,184,1372464,1711466580000,0.0125
1711465080000,0.01244,0.01245,0.01241,0.01244,12334076,1711465139999,153250.10984,351,6156347,1711466580000,0.0125
1711465140000,0.01243,0.01245,0.01242,0.01243,4675171,1711465199999,58149.80643,199,2379184,1711466580000,0.0125
1711465200000,0.01243,0.01244,0.01240,0.01240,3718649,1711465259999,46202.07691,214,1595770,1711466580000,0.0125
1711465260000,0.01241,0.01241,0.01237,0.01238,1883030,1711465319999,23328.73452,140,814642,1711466580000,0.0125
1711465320000,0.01237,0.01238,0.01235,0.01235,3132488,1711465379999,38723.28172,191,983605,1711466580000,0.0125
1711465380000,0.01234,0.01235,0.01232,0.01233,3358932,1711465439999,41424.72685,152,906694,1711466580000,0.0125
1711465440000,0.01233,0.01234,0.01230,0.01231,2671832,1711465499999,32910.67174,145,1142575,1711466580000,0.0125
1711465500000,0.01231,0.01236,0.01231,0.01233,5004171,1711465559999,61745.47548,284,3640171,1711466580000,0.0125
1711465560000,0.01233,0.01234,0.01230,0.01231,1825914,1711465619999,22498.18512,111,519434,1711466580000,0.0125
1711465620000,0.01230,0.01231,0.01227,0.01230,3957088,1711465679999,48649.33065,248,1109020,1711466580000,0.0125
1711465680000,0.01229,0.01231,0.01228,0.01228,1922249,1711465739999,23631.80018,141,851558,1711466580000,0.0125
1711465740000,0.01229,0.01230,0.01227,0.01229,2087566,1711465799999,25651.56101,106,780636,1711466580000,0.0125
1711465800000,0.01229,0.01231,0.01228,0.01231,2555195,1711465859999,31416.41125,160,1196289,1711466580000,0.0125
1711465860000,0.01231,0.01239,0.01230,0.01238,8315501,1711465919999,102653.82041,335,4633331,1711466580000,0.0125
1711465920000,0.01237,0.01238,0.01233,0.01233,1867133,1711465979999,23067.45997,130,650805,1711466580000,0.0125
1711465980000,0.01233,0.01235,0.01233,0.01234,815594,1711466039999,10062.42303,78,455431,1711466580000,0.0125
1711466040000,0.01234,0.01238,0.01234,0.01238,2706944,1711466099999,33434.99987,141,1603814,1711466580000,0.0125
1711466100000,0.01238,0.01239,0.01237,0.01239,8329757,1711466159999,103144.06125,287,4716898,1711466580000,0.0125
1711466160000,0.01238,0.01238,0.01232,0.01233,5911044,1711466219999,72935.06155,211,2326562,1711466580000,0.0125
1711466220000,0.01232,0.01235,0.01230,0.01234,6266639,1711466279999,77185.14315,280,3527644,1711466580000,0.0125
