Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1711623720000,0.8235,0.8237,0.8194,0.8204,100330,1711623779999,82425.9707,367,28686,1711629120000,0.8354
1711623780000,0.8199,0.8199,0.8160,0.8175,127742,1711623839999,104490.8785,526,37748,1711629120000,0.8354
1711623840000,0.8176,0.8199,0.8176,0.8178,77629,1711623899999,63565.1810,330,43012,1711629120000,0.8354
1711623900000,0.8178,0.8178,0.8153,0.8157,64895,1711623959999,52991.4200,324,37821,1711629120000,0.8354
1711623960000,0.8158,0.8183,0.8147,0.8175,89126,1711624019999,72788.0126,382,39958,1711629120000,0.8354
1711624020000,0.8175,0.8185,0.8160,0.8185,51360,1711624079999,41952.4011,231,27343,1711629120000,0.8354
1711624080000,0.8187,0.8198,0.8174,0.8192,45865,1711624139999,37545.4606,244,19211,1711629120000,0.8354
1711624140000,0.8191,0.8192,0.8175,0.8187,38504,1711624199999,31502.3165,146,30451,1711629120000,0.8354
1711624200000,0.8188,0.8220,0.8187,0.8212,62899,1711624259999,51646.0092,326,28991,1711629120000,0.8354
1711624260000,0.8212,0.8218,0.8195,0.8206,45182,1711624319999,37071.8186,199,32874,1711629120000,0.8354
1711624320000,0.8203,0.8217,0.8197,0.8204,67120,1711624379999,55088.4779,249,24854,1711629120000,0.8354
1711624380000,0.8202,0.8210,0.8197,0.8197,40969,1711624439999,33616.2692,135,18303,1711629120000,0.8354
1711624440000,0.8198,0.8216,0.8189,0.8210,43269,1711624499999,35468.8678,179,32810,1711629120000,0.8354
1711624500000,0.8211,0.8238,0.8209,0.8235,177234,1711624559999,145788.1857,649,95180,1711629120000,0.8354
1711624560000,0.8234,0.8308,0.8234,0.8282,406255,1711624619999,336400.8157,1727,191196,1711629120000,0.8354
1711624620000,0.8281,0.8309,0.8276,0.8284,317580,1711624679999,263341.0264,1147,140494,1711629120000,0.8354
1711624680000,0.8284,0.8304,0.8227,0.8241,456685,1711624739999,378001.9555,1469,222886,1711629120000,0.8354
1711624740000,0.8240,0.8264,0.8236,0.8254,176830,1711624799999,145862.7741,656,103569,1711629120000,0.8354
1711624800000,0.8256,0.8271,0.8250,0.8266,188568,1711624859999,155802.8337,621,140716,1711629120000,0.8354
1711624860000,0.8267,0.8283,0.8241,0.8253,141841,1711624919999,117146.2193,505,57271,1711629120000,0.8354
1711624920000,0.8254,0.8282,0.8251,0.8267,90913,1711624979999,75177.3583,315,42395,1711629120000,0.8354
