Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710394200000,0.0830800,0.0831200,0.0830600,0.0831000,27053,1710394259999,2247.9536500,57,18362,1710399600000,0.08396
1710394260000,0.0831100,0.0832700,0.0831100,0.0832600,34995,1710394319999,2911.4014200,57,25574,1710399600000,0.08396
1710394320000,0.0832700,0.0832900,0.0832200,0.0832300,20047,1710394379999,1668.7608700,41,7838,1710399600000,0.08396
1710394380000,0.0832300,0.0832700,0.0832300,0.0832700,25677,1710394439999,2137.4351600,53,23354,1710399600000,0.08396
1710394440000,0.0832800,0.0832900,0.0832700,0.0832900,5761,1710394499999,479.7915500,21,3982,1710399600000,0.08396
1710394500000,0.0832800,0.0832800,0.0832300,0.0832500,72091,1710394559999,6002.5672900,91,12591,1710399600000,0.08396
1710394560000,0.0832300,0.0833600,0.0832100,0.0833600,70878,1710394619999,5903.3980300,83,63222,1710399600000,0.08396
1710394620000,0.0833700,0.0833800,0.0833700,0.0833800,14340,1710394679999,1195.6565800,24,9692,1710399600000,0.08396
1710394680000,0.0833800,0.0833900,0.0833400,0.0833600,35965,1710394739999,2998.1247400,49,1505,1710399600000,0.08396
1710394740000,0.0833400,0.0833400,0.0833200,0.0833200,29675,1710394799999,2472.7506500,22,0,1710399600000,0.08396
1710394800000,0.0833200,0.0834200,0.0833100,0.0833500,109291,1710394859999,9109.2209800,144,40448,1710399600000,0.08396
1710394860000,0.0833600,0.0833800,0.0833200,0.0833300,111926,1710394919999,9328.5165200,75,33229,1710399600000,0.08396
1710394920000,0.0833300,0.0833300,0.0833000,0.0833000,26509,1710394979999,2208.5363100,34,7193,1710399600000,0.08396
1710394980000,0.0833100,0.0833400,0.0833000,0.0833000,14619,1710395039999,1218.0470800,25,9400,1710399600000,0.08396
1710395040000,0.0833100,0.0833200,0.0832900,0.0833000,31104,1710395099999,2590.9840000,38,3307,1710399600000,0.08396
1710395100000,0.0833200,0.0834000,0.0833100,0.0833300,128850,1710395159999,10737.3088000,67,54840,1710399600000,0.08396
1710395160000,0.0833300,0.0834100,0.0833200,0.0834100,55134,1710395219999,4597.3052000,39,53870,1710399600000,0.08396
1710395220000,0.0834200,0.0835400,0.0833900,0.0835100,83145,1710395279999,6939.6452400,102,43468,1710399600000,0.08396
1710395280000,0.0835200,0.0837400,0.0834900,0.0837400,127050,1710395339999,10623.8886400,151,104915,1710399600000,0.08396
1710395340000,0.0837100,0.0837500,0.0835700,0.0836100,130059,1710395399999,10877.9090300,133,24584,1710399600000,0.08396
1710395400000,0.0835800,0.0837600,0.0835800,0.0837000,157793,1710395459999,13203.1955400,212,102853,1710399600000,0.08396
1710395460000,0.0836900,0.0838000,0.0836600,0.0836600,87445,1710395519999,7323.5582000,141,36495,1710399600000,0.08396
1710395520000,0.0836800,0.0837000,0.0836000,0.0836000,31985,1710395579999,2675.9939500,45,819,1710399600000,0.08396
1710395580000,0.0836100,0.0836100,0.0835100,0.0835100,13796,1710395639999,1152.7507200,21,596,1710399600000,0.08396
1710395640000,0.0835400,0.0836800,0.0835400,0.0836700,40136,1710395699999,3356.2030100,57,39382,1710399600000,0.08396
1710395700000,0.0836900,0.0837000,0.0836400,0.0837000,7288,1710395759999,609.7820900,21,6580,1710399600000,0.08396
1710395760000,0.0836800,0.0836800,0.0836300,0.0836600,23778,1710395819999,1989.2192400,51,2234,1710399600000,0.08396
1710395820000,0.0836400,0.0836400,0.0836000,0.0836100,11117,1710395879999,929.5395000,21,0,1710399600000,0.08396
1710395880000,0.0836100,0.0836100,0.0834700,0.0835500,171282,1710395939999,14308.1369500,108,20458,1710399600000,0.08396
1710395940000,0.0835300,0.0835400,0.0834200,0.0834500,52298,1710395999999,4364.8547800,71,17359,1710399600000,0.08396
1710396000000,0.0834500,0.0835800,0.0834300,0.0835300,97059,1710396059999,8108.6130800,89,68372,1710399600000,0.08396
1710396060000,0.0835300,0.0835300,0.0834300,0.0835200,40805,1710396119999,3406.7019700,84,22794,1710399600000,0.08396
1710396120000,0.0835200,0.0835200,0.0833400,0.0833700,59743,1710396179999,4983.5412100,121,35543,1710399600000,0.08396
1710396180000,0.0833600,0.0834800,0.0833400,0.0834800,32689,1710396239999,2725.9038800,68,26210,1710399600000,0.08396
1710396240000,0.0834600,0.0834800,0.0833600,0.0834700,50882,1710396299999,4243.7451500,91,21067,1710399600000,0.08396
1710396300000,0.0834800,0.0835200,0.0833800,0.0833800,78172,1710396359999,6524.6257700,151,33128,1710399600000,0.08396
1710396360000,0.0833600,0.0834500,0.0833500,0.0833500,45380,1710396419999,3784.3619100,63,27709,1710399600000,0.08396
1710396420000,0.0833800,0.0834100,0.0833000,0.0833800,52914,1710396479999,4410.8046300,77,46699,1710399600000,0.08396
1710396480000,0.0833900,0.0834000,0.0832800,0.0833400,80276,1710396539999,6689.6244500,112,42669,1710399600000,0.08396
1710396540000,0.0833500,0.0834800,0.0833000,0.0834300,68682,1710396599999,5727.6204500,104,43300,1710399600000,0.08396
1710396600000,0.0834500,0.0835300,0.0834000,0.0835200,85385,1710396659999,7128.2498900,148,47749,1710399600000,0.08396
1710396660000,0.0835200,0.0835600,0.0833700,0.0834300,95783,1710396719999,7994.1534400,133,58576,1710399600000,0.08396
1710396720000,0.0834400,0.0834700,0.0834000,0.0834700,45822,1710396779999,3823.3740700,72,26605,1710399600000,0.08396
1710396780000,0.0834600,0.0836300,0.0834600,0.0835400,84931,1710396839999,7094.9590200,138,54677,1710399600000,0.08396
1710396840000,0.0835400,0.0837300,0.0835400,0.0836800,52420,1710396899999,4386.5941800,100,34283,1710399600000,0.08396
1710396900000,0.0836800,0.0836900,0.0836100,0.0836600,94871,1710396959999,7936.1753800,102,64275,1710399600000,0.08396
1710396960000,0.0836800,0.0838100,0.0836300,0.0836400,212973,1710397019999,17823.8142300,185,73387,1710399600000,0.08396
1710397020000,0.0836400,0.0836700,0.0836100,0.0836300,68117,1710397079999,5696.8178800,69,37790,1710399600000,0.08396
1710397080000,0.0836400,0.0836400,0.0836300,0.0836300,6783,1710397139999,567.2634800,9,119,1710399600000,0.08396
1710397140000,0.0836200,0.0836300,0.0834200,0.0834200,252690,1710397199999,21100.4961100,169,49303,1710399600000,0.08396
1710397200000,0.0834200,0.0834200,0.0833400,0.0833800,79179,1710397259999,6602.4638100,94,22279,1710399600000,0.08396
1710397260000,0.0833800,0.0834600,0.0833800,0.0834400,25345,1710397319999,2113.8442600,34,12713,1710399600000,0.08396
1710397320000,0.0834700,0.0835700,0.0834700,0.0835500,23851,1710397379999,1992.2865300,68,17216,1710399600000,0.08396
1710397380000,0.0835500,0.0835500,0.0834500,0.0834900,54465,1710397439999,4547.8588600,65,11291,1710399600000,0.08396
1710397440000,0.0835200,0.0835700,0.0835200,0.0835200,41789,1710397499999,3490.9497900,43,5879,1710399600000,0.08396
1710397500000,0.0835300,0.0835900,0.0835100,0.0835300,46507,1710397559999,3885.4222000,101,33920,1710399600000,0.08396
1710397560000,0.0835300,0.0835500,0.0835000,0.0835200,19040,1710397619999,1590.3607000,22,1612,1710399600000,0.08396
1710397620000,0.0835200,0.0835300,0.0834600,0.0835000,37191,1710397679999,3104.8883100,58,12621,1710399600000,0.08396
1710397680000,0.0835000,0.0835300,0.0834600,0.0834700,39199,1710397739999,3272.9734100,47,4044,1710399600000,0.08396
1710397740000,0.0835000,0.0835500,0.0834800,0.0835500,21297,1710397799999,1778.5033600,26,13336,1710399600000,0.08396
1710397800000,0.0835500,0.0835800,0.0835400,0.0835800,61360,1710397859999,5126.9261500,64,30003,1710399600000,0.08396
1710397860000,0.0835900,0.0836000,0.0833700,0.0833700,140640,1710397919999,11741.9152500,131,1973,1710399600000,0.08396
1710397920000,0.0833800,0.0834000,0.0832800,0.0833200,72651,1710397979999,6054.1576000,107,39070,1710399600000,0.08396
1710397980000,0.0833000,0.0833000,0.0832200,0.0832200,24590,1710398039999,2047.1698300,45,2711,1710399600000,0.08396
1710398040000,0.0831600,0.0831800,0.0831300,0.0831700,22379,1710398099999,1860.8641000,38,12578,1710399600000,0.08396
1710398100000,0.0831600,0.0831900,0.0830700,0.0831800,118839,1710398159999,9879.9313400,90,114279,1710399600000,0.08396
1710398160000,0.0831900,0.0833200,0.0831900,0.0833000,54482,1710398219999,4536.0126000,77,34357,1710399600000,0.08396
1710398220000,0.0832900,0.0832900,0.0831000,0.0831000,58832,1710398279999,4895.5264600,55,981,1710399600000,0.08396
1710398280000,0.0831000,0.0831300,0.0830900,0.0830900,17115,1710398339999,1422.3340200,36,12555,1710399600000,0.08396
1710398340000,0.0831100,0.0832500,0.0831100,0.0832500,9994,1710398399999,831.2882300,31,5538,1710399600000,0.08396
1710398400000,0.0832600,0.0833000,0.0832600,0.0832700,31050,1710398459999,2585.8897200,57,7478,1710399600000,0.08396
