Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710363660000,1.6497000,1.6520000,1.6494000,1.6505000,5742,1710363719999,9479.5856000,63,4635,1710369000000,1.6517
1710363720000,1.6504000,1.6515000,1.6504000,1.6508000,789,1710363779999,1302.6694000,22,429,1710369000000,1.6517
1710363780000,1.6507000,1.6508000,1.6504000,1.6504000,576,1710363839999,950.7145000,24,366,1710369000000,1.6517
1710363840000,1.6504000,1.6505000,1.6486000,1.6488000,3735,1710363899999,6160.5045000,52,602,1710369000000,1.6517
1710363900000,1.6494000,1.6494000,1.6480000,1.6480000,915,1710363959999,1508.5280000,19,155,1710369000000,1.6517
1710363960000,1.6479000,1.6506000,1.6478000,1.6489000,7644,1710364019999,12605.3218000,141,5564,1710369000000,1.6517
1710364020000,1.6491000,1.6491000,1.6450000,1.6467000,3747,1710364079999,6169.5366000,103,2532,1710369000000,1.6517
1710364080000,1.6465000,1.6483000,1.6465000,1.6470000,3958,1710364139999,6520.7773000,60,3249,1710369000000,1.6517
1710364140000,1.6467000,1.6472000,1.6463000,1.6463000,8092,1710364199999,13326.5984000,44,167,1710369000000,1.6517
1710364200000,1.6459000,1.6464000,1.6459000,1.6460000,1335,1710364259999,2197.6101000,28,882,1710369000000,1.6517
1710364260000,1.6460000,1.6468000,1.6440000,1.6445000,6902,1710364319999,11353.4263000,74,2053,1710369000000,1.6517
1710364320000,1.6442000,1.6470000,1.6442000,1.6458000,4808,1710364379999,7912.0493000,48,2393,1710369000000,1.6517
1710364380000,1.6458000,1.6460000,1.6446000,1.6448000,3588,1710364439999,5902.2479000,42,937,1710369000000,1.6517
1710364440000,1.6447000,1.6449000,1.6409000,1.6423000,18075,1710364499999,29687.9378000,203,7647,1710369000000,1.6517
1710364500000,1.6422000,1.6423000,1.6409000,1.6412000,6089,1710364559999,9993.9878000,71,2116,1710369000000,1.6517
1710364560000,1.6414000,1.6427000,1.6414000,1.6422000,11723,1710364619999,19251.8940000,93,10259,1710369000000,1.6517
1710364620000,1.6423000,1.6424000,1.6409000,1.6415000,5660,1710364679999,9292.6551000,47,1432,1710369000000,1.6517
1710364680000,1.6415000,1.6415000,1.6407000,1.6415000,4837,1710364739999,7938.0720000,51,3063,1710369000000,1.6517
1710364740000,1.6418000,1.6419000,1.6408000,1.6409000,383,1710364799999,628.5169000,16,60,1710369000000,1.6517
1710364800000,1.6408000,1.6412000,1.6394000,1.6394000,16425,1710364859999,26939.3391000,135,2036,1710369000000,1.6517
1710364860000,1.6393000,1.6395000,1.6382000,1.6382000,4291,1710364919999,7033.2687000,65,2510,1710369000000,1.6517
1710364920000,1.6383000,1.6384000,1.6346000,1.6353000,12351,1710364979999,20209.5022000,148,3621,1710369000000,1.6517
1710364980000,1.6352000,1.6355000,1.6337000,1.6354000,3475,1710365039999,5680.4841000,65,1457,1710369000000,1.6517
1710365040000,1.6354000,1.6364000,1.6354000,1.6364000,1772,1710365099999,2898.9430000,31,1674,1710369000000,1.6517
1710365100000,1.6364000,1.6374000,1.6364000,1.6367000,3973,1710365159999,6503.1843000,51,3029,1710369000000,1.6517
1710365160000,1.6367000,1.6374000,1.6361000,1.6361000,4589,1710365219999,7511.1694000,62,3056,1710369000000,1.6517
1710365220000,1.6364000,1.6380000,1.6361000,1.6368000,4363,1710365279999,7142.5977000,58,2752,1710369000000,1.6517
1710365280000,1.6364000,1.6380000,1.6364000,1.6369000,3642,1710365339999,5963.1973000,60,2876,1710369000000,1.6517
