Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1710941340000,2.0368000,2.0417000,2.0360000,2.0410000,29486.2,1710941399999,60094.55159000,373,18719.6,1710946680000,2.0614
1710941400000,2.0410000,2.0432000,2.0404000,2.0414000,13156.0,1710941459999,26862.41201000,194,5499.6,1710946680000,2.0614
1710941460000,2.0414000,2.0417000,2.0281000,2.0306000,161860.4,1710941519999,328869.21825000,1112,41361.0,1710946680000,2.0614
1710941520000,2.0306000,2.0326000,2.0250000,2.0270000,105173.5,1710941579999,213282.63855000,855,23668.3,1710946680000,2.0614
1710941580000,2.0271000,2.0342000,2.0255000,2.0335000,122432.2,1710941639999,248342.38025000,901,53582.6,1710946680000,2.0614
1710941640000,2.0336000,2.0401000,2.0336000,2.0384000,43530.2,1710941699999,88695.23986000,470,19970.2,1710946680000,2.0614
1710941700000,2.0385000,2.0400000,2.0330000,2.0332000,66285.2,1710941759999,134940.80661000,551,36158.0,1710946680000,2.0614
1710941760000,2.0337000,2.0433000,2.0337000,2.0419000,36140.5,1710941819999,73749.79560000,426,19735.1,1710946680000,2.0614
1710941820000,2.0418000,2.0446000,2.0404000,2.0445000,65971.0,1710941879999,134771.96388000,551,48343.9,1710946680000,2.0614
1710941880000,2.0443000,2.0473000,2.0424000,2.0458000,66919.2,1710941939999,136840.55595000,510,32433.5,1710946680000,2.0614
1710941940000,2.0458000,2.0478000,2.0420000,2.0420000,73617.5,1710941999999,150606.12756000,550,29316.1,1710946680000,2.0614
1710942000000,2.0425000,2.0433000,2.0382000,2.0405000,42791.1,1710942059999,87325.62565000,499,20388.2,1710946680000,2.0614
1710942060000,2.0407000,2.0500000,2.0405000,2.0475000,34407.8,1710942119999,70407.39548000,480,21269.6,1710946680000,2.0614
1710942120000,2.0470000,2.0485000,2.0434000,2.0457000,26248.1,1710942179999,53705.91096000,310,12341.5,1710946680000,2.0614
1710942180000,2.0457000,2.0472000,2.0433000,2.0439000,21244.6,1710942239999,43440.34270000,236,11537.7,1710946680000,2.0614
1710942240000,2.0438000,2.0456000,2.0397000,2.0408000,34402.4,1710942299999,70242.99434000,421,13833.3,1710946680000,2.0614
1710942300000,2.0401000,2.0509000,2.0357000,2.0500000,62271.9,1710942359999,127350.31832000,776,36564.8,1710946680000,2.0614
1710942360000,2.0500000,2.0513000,2.0431000,2.0455000,81691.3,1710942419999,167192.91532000,670,41607.1,1710946680000,2.0614
1710942420000,2.0457000,2.0481000,2.0424000,2.0461000,38315.9,1710942479999,78406.15324000,425,24874.6,1710946680000,2.0614
1710942480000,2.0461000,2.0462000,2.0412000,2.0452000,34397.4,1710942539999,70282.43295000,424,23019.6,1710946680000,2.0614
1710942540000,2.0451000,2.0467000,2.0407000,2.0429000,24242.9,1710942599999,49549.94055000,344,11504.6,1710946680000,2.0614
1710942600000,2.0435000,2.0438000,2.0322000,2.0339000,67749.7,1710942659999,137957.58207000,693,21018.1,1710946680000,2.0614
1710942660000,2.0341000,2.0384000,2.0313000,2.0313000,37161.1,1710942719999,75629.54282000,431,16657.9,1710946680000,2.0614
1710942720000,2.0315000,2.0347000,2.0308000,2.0308000,27390.7,1710942779999,55669.70351000,349,12501.0,1710946680000,2.0614
1710942780000,2.0307000,2.0378000,2.0303000,2.0331000,28437.7,1710942839999,57853.41532000,367,16028.1,1710946680000,2.0614
1710942840000,2.0333000,2.0382000,2.0333000,2.0366000,42131.5,1710942899999,85794.63859000,458,22836.9,1710946680000,2.0614
1710942900000,2.0363000,2.0381000,2.0317000,2.0358000,28437.6,1710942959999,57857.77011000,340,16938.1,1710946680000,2.0614
1710942960000,2.0359000,2.0378000,2.0324000,2.0376000,21693.8,1710943019999,44158.66170000,270,11613.8,1710946680000,2.0614
1710943020000,2.0379000,2.0383000,2.0332000,2.0347000,29745.1,1710943079999,60558.15333000,314,12473.0,1710946680000,2.0614
