Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Time_alert,Price_alert
1712229900000,3.1809000,3.1836000,3.1805000,3.1836000,2215,1712229959999,7047.6202000,71,1564,1712235240000,3.2271
1712229960000,3.1843000,3.1859000,3.1840000,3.1845000,4813,1712230019999,15329.9969000,107,1078,1712235240000,3.2271
1712230020000,3.1849000,3.1858000,3.1819000,3.1831000,11730,1712230079999,37344.8054000,165,3091,1712235240000,3.2271
1712230080000,3.1828000,3.1861000,3.1828000,3.1861000,9593,1712230139999,30551.4436000,128,6911,1712235240000,3.2271
1712230140000,3.1860000,3.1862000,3.1852000,3.1862000,2997,1712230199999,9548.3709000,33,211,1712235240000,3.2271
1712230200000,3.1863000,3.1899000,3.1863000,3.1899000,5294,1712230259999,16876.4332000,132,2558,1712235240000,3.2271
1712230260000,3.1900000,3.1941000,3.1900000,3.1938000,4647,1712230319999,14834.6471000,121,3333,1712235240000,3.2271
1712230320000,3.1941000,3.1981000,3.1929000,3.1951000,27375,1712230379999,87453.8590000,412,5599,1712235240000,3.2271
1712230380000,3.1952000,3.1967000,3.1943000,3.1967000,5428,1712230439999,17345.0743000,152,3066,1712235240000,3.2271
1712230440000,3.1967000,3.2025000,3.1967000,3.1976000,56598,1712230499999,181130.6024000,497,25514,1712235240000,3.2271
1712230500000,3.1978000,3.1986000,3.1950000,3.1958000,19258,1712230559999,61560.8850000,296,6556,1712235240000,3.2271
1712230560000,3.1964000,3.1987000,3.1964000,3.1979000,3043,1712230619999,9730.9480000,112,1225,1712235240000,3.2271
1712230620000,3.1979000,3.1996000,3.1973000,3.1996000,5514,1712230679999,17635.1357000,119,2719,1712235240000,3.2271
1712230680000,3.1992000,3.1992000,3.1942000,3.1942000,13112,1712230739999,41910.7708000,292,992,1712235240000,3.2271
1712230740000,3.1954000,3.1974000,3.1935000,3.1974000,17256,1712230799999,55134.6211000,187,10954,1712235240000,3.2271
1712230800000,3.1979000,3.1989000,3.1968000,3.1989000,4246,1712230859999,13578.6852000,131,3061,1712235240000,3.2271
1712230860000,3.1995000,3.2001000,3.1967000,3.2001000,6974,1712230919999,22308.8103000,138,4367,1712235240000,3.2271
1712230920000,3.2001000,3.2038000,3.2001000,3.2016000,11763,1712230979999,37671.7113000,174,9486,1712235240000,3.2271
1712230980000,3.2019000,3.2020000,3.1984000,3.1992000,16034,1712231039999,51306.2778000,219,5668,1712235240000,3.2271
1712231040000,3.1992000,3.2019000,3.1988000,3.2019000,7944,1712231099999,25426.9616000,152,2283,1712235240000,3.2271
1712231100000,3.2020000,3.2027000,3.1997000,3.2003000,3595,1712231159999,11508.0571000,107,1511,1712235240000,3.2271
1712231160000,3.2003000,3.2027000,3.1997000,3.2012000,3559,1712231219999,11392.8093000,129,2262,1712235240000,3.2271
1712231220000,3.2011000,3.2011000,3.1921000,3.1947000,35451,1712231279999,113258.8302000,393,7164,1712235240000,3.2271
1712231280000,3.1944000,3.1956000,3.1938000,3.1952000,1753,1712231339999,5599.7564000,85,1184,1712235240000,3.2271
1712231340000,3.1955000,3.1995000,3.1949000,3.1984000,3322,1712231399999,10624.3949000,103,1827,1712235240000,3.2271
1712231400000,3.1983000,3.1992000,3.1966000,3.1988000,1091,1712231459999,3488.8307000,60,514,1712235240000,3.2271
1712231460000,3.1988000,3.1988000,3.1957000,3.1975000,2557,1712231519999,8174.9518000,101,1556,1712235240000,3.2271
1712231520000,3.1977000,3.1977000,3.1944000,3.1958000,4542,1712231579999,14516.7316000,140,1551,1712235240000,3.2271
1712231580000,3.1959000,3.1962000,3.1936000,3.1936000,1264,1712231639999,4038.0896000,68,269,1712235240000,3.2271
1712231640000,3.1935000,3.1963000,3.1935000,3.1955000,2904,1712231699999,9276.0967000,63,2445,1712235240000,3.2271
1712231700000,3.1956000,3.1960000,3.1894000,3.1916000,8868,1712231759999,28300.3312000,203,4682,1712235240000,3.2271
1712231760000,3.1914000,3.1943000,3.1914000,3.1941000,8233,1712231819999,26289.1743000,165,6345,1712235240000,3.2271
1712231820000,3.1942000,3.1958000,3.1942000,3.1945000,3335,1712231879999,10655.4443000,114,1748,1712235240000,3.2271
1712231880000,3.1944000,3.1955000,3.1920000,3.1944000,4480,1712231939999,14307.6433000,133,3391,1712235240000,3.2271
1712231940000,3.1944000,3.1946000,3.1917000,3.1924000,7999,1712231999999,25547.8999000,137,2290,1712235240000,3.2271
